"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0005488","binding",0.898235753947506,4992,1.03377250848745,6.88338275267597e-15,8.6799456511244e-12,150307,4564,7354,0.999129031646,0.611300046131797,0.997749795428567
"GO:0005515","protein binding",0.839316881871691,4661,1.03298468888391,8.35967994827769e-09,4.44363237650514e-06,147690,4042,6572,0.990143914554415,0.983975564933437,0.997749795428567
"GO:0043167","ion binding",0.447140217456109,2609,1.08535318581905,1.05716868592509e-08,4.44363237650514e-06,151954,1733,2813,0.991809808122134,0.758785808788841,0.997749795428567
"GO:0036094","small molecule binding",0.458199086460047,2664,1.08148560075517,2.22361065116417e-08,7.00993257779503e-06,152068,1792,2906,0.992754726878554,0.738519456658856,0.997749795428567
"GO:0097159","organic cyclic compound binding",0.437289930470518,2535,1.07832388928796,2.36836556588571e-07,5.97301795716376e-05,154274,1676,2693,1.00192965062654,0.448246292041075,0.997749795428567
"GO:0097367","carbohydrate derivative binding",0.17238772410464,1056,1.13945800055542,2.41139263501555e-06,0.000506794352125769,147854,650,1078,0.970720416653328,0.911231707624459,0.997749795428567
"GO:0005524","ATP binding",0.102886279147649,657,1.18781457003797,2.97417014150092e-06,0.000535775506918952,139681,409,692,0.95151750365337,0.958967817081861,0.997749795428567
"GO:0032559","adenyl ribonucleotide binding",0.107262485263965,680,1.17923890097099,4.74001261085988e-06,0.000720688004664216,139357,423,714,0.95376575236246,0.954268089728759,0.997749795428567
"GO:0043169","cation binding",0.354818891114362,2063,1.08151670932348,5.55870272023196e-06,0.000720688004664216,158109,1287,2055,1.00824549202994,0.300862844360383,0.997749795428567
"GO:0035639","purine ribonucleoside triphosphate binding",0.127593946584354,796,1.16044279649731,5.7152101876623e-06,0.000720688004664216,140940,496,849,0.94053195277618,0.990971647241169,0.997749795428567
"GO:0030554","adenyl nucleotide binding",0.11292839223573,711,1.17113563442612,6.56241877017294e-06,0.000752291824471643,136642,447,758,0.949375206598483,0.971415951741144,0.997749795428567
"GO:0003723","RNA binding",0.107524237577127,679,1.17463825998057,7.68977152942885e-06,0.000808066824884148,137851,412,685,0.968291707963487,0.874512447345554,0.997749795428567
"GO:0032555","purine ribonucleotide binding",0.132881409801062,824,1.15346314998673,8.50726165324556e-06,0.000825204380364819,141406,513,874,0.944942757428487,0.987036839493078,0.997749795428567
"GO:0032553","ribonucleotide binding",0.133350502748399,826,1.15219538109449,9.5709067694516e-06,0.000862065245448462,141000,517,882,0.943672993078202,0.988954528768375,0.997749795428567
"GO:0017076","purine nucleotide binding",0.138691491099424,856,1.14806026825428,1.03508233959548e-05,0.00087015922015327,138967,538,919,0.942467390514658,0.991563550601537,0.997749795428567
"GO:0003674","molecular_function",0.947374154430319,5159,1.01294236514582,1.67705935794071e-05,0.00132173240647702,150398,4954,7947,1.0035808310326,0.072836611283482,0.997749795428567
"GO:0046872","metal ion binding",0.346021708376008,2004,1.07729615836064,2.19337375275686e-05,0.00162696723660376,157220,1251,2012,1.00098807007915,0.485054959918899,0.997749795428567
