"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"R-HSA-195721",0.0248325594167777,181,1.36239584221338,3.35954988472942e-05,0.0372525319011651,151819,92,141,1.0537926249141,0.232542964120059,0.995271145688441
"R-HSA-109582",0.0540765651004156,353,1.22014607045942,0.000104375347016905,0.0372525319011651,128278,190,304,1.00940733772342,0.440999544086453,0.995271145688441
"R-HSA-76002",0.0265229784620622,187,1.31784863747613,0.000138395534064806,0.0372525319011651,142328,91,138,1.06499788675747,0.186277319184304,0.995271145688441
"R-HSA-382551",0.0555002450187826,360,1.21242202810809,0.000140943418093231,0.0372525319011651,115036,227,343,1.06885348414329,0.0536996113641902,0.995271145688441
"R-HSA-9662851",0.00910049183281807,76,1.56097139996406,0.00016323171631516,0.0372525319011651,134464,34,49,1.1206481463705,0.175994716378973,0.995271145688441
"R-HSA-9664433",0.00910049183281807,76,1.56097139996406,0.00016323171631516,0.0372525319011651,134464,34,49,1.1206481463705,0.175994716378973,0.995271145688441
"R-HSA-71291",0.0230664516204818,165,1.33705530450734,0.000173382794752763,0.0372525319011651,122625,89,148,0.971213546566322,0.705502925149206,0.995271145688441
"R-HSA-69481",0.00524712543432377,49,1.74550401344717,0.000207858779073256,0.039077450465772,76087,35,52,1.08705405600984,0.257012808080305,0.995271145688441
"R-HSA-5693607",0.00299042598249651,32,2.00015263585342,0.000269375441693365,0.041853518136323,83119,24,33,1.17458308389635,0.134446364624178,0.995271145688441
"R-HSA-69473",0.00301214632685705,32,1.98572969642414,0.000304322346214025,0.041853518136323,93482,23,32,1.16081843838194,0.16375118872815,0.995271145688441
"R-HSA-73894",0.0164421898628493,122,1.38690396522433,0.00030610950764598,0.041853518136323,122479,71,119,0.963602298868748,0.728835502015052,0.995271145688441
"R-HSA-9816359",0.00360579880001746,36,1.86615292084079,0.000418156461137187,0.0496415115544939,77268,23,29,1.28090310442145,0.0370007700280083,0.963780081613635
"R-HSA-3700989",0.0230565888110527,162,1.31330675495501,0.000429082214234322,0.0496415115544939,167906,91,148,0.993038570084666,0.579463673683131,0.995271145688441
"R-HSA-114604",0.00422283388879051,40,1.77052560221831,0.000571744945945363,0.0575720204879848,136949,17,23,1.19373389504683,0.166005658324733,0.995271145688441
"R-HSA-9009391",0.00861355717404135,70,1.51901379246245,0.000587740306164708,0.0575720204879848,127703,33,45,1.18437127626215,0.0744030267175786,0.995271145688441
"R-HSA-9843940",0.00249340687812382,27,2.02402945794393,0.000648001989402847,0.0575720204879848,37810,22,30,1.18437127626215,0.134418521729609,0.995271145688441
"R-HSA-5693567",0.00426095530950493,40,1.75468526913214,0.0006751104836491,0.0575720204879848,75336,31,47,1.06524689257621,0.340612139031857,0.995271145688441
"R-HSA-5633007",0.0108144043117986,84,1.4518538540592,0.000689026840946627,0.0575720204879848,203886,47,71,1.06911875770143,0.268746277271989,0.995271145688441
"R-HSA-2424491",0.00239134342324595,26,2.03225226325525,0.000760755140322145,0.0580679502838693,156613,12,12,1.61505174035748,0.00316014168660761,0.698378746703139
"R-HSA-5625740",0.00265486882574277,28,1.97133839874323,0.000772180189945071,0.0580679502838693,82402,21,33,1.0277601984093,0.496121263925201,0.995271145688441
"R-HSA-3858494",0.0151029533240881,110,1.36137265489382,0.00106982473927164,0.0718989279141348,144813,45,71,1.02362434248009,0.451243347703469,0.995271145688441
"R-HSA-392499",0.156878622504626,922,1.09853366791928,0.00112560296106301,0.0718989279141348,153418,534,897,0.961468929042245,0.943858400819715,0.995271145688441
"R-HSA-933541",0.000469425401588112,9,3.58362156151545,0.0011720960221111,0.0718989279141348,66296,7,9,1.25615135361137,0.269449752768079,0.995271145688441
"R-HSA-8953854",0.0298078480923443,199,1.24786806370623,0.00119486906323973,0.0718989279141348,121437,135,229,0.952104737765326,0.842723025661536,0.995271145688441
"R-HSA-427359",0.000994149026828836,14,2.63222349897958,0.00123368065541296,0.0718989279141348,45035,11,14,1.26896922456659,0.156486875892526,0.995271145688441
"R-HSA-5693571",0.00287794562777225,29,1.88348268131093,0.00124293359426031,0.0718989279141348,133030,17,20,1.37279397930386,0.0239124627082321,0.963780081613635
"R-HSA-73857",0.102935482376711,619,1.12401410969262,0.00133503402591051,0.0743663398136817,166067,350,569,0.993441316564354,0.600242392385339,0.995271145688441
"R-HSA-9821002",0.000787362483069767,12,2.8487395607937,0.00140024808139361,0.0752133255148566,45589,11,14,1.26896922456659,0.156486875892526,0.995271145688441
"R-HSA-75893",0.00250881059172645,26,1.93709844024847,0.00147263632141514,0.0763739664623578,87800,18,23,1.26395353593194,0.0770920113368975,0.995271145688441
"R-HSA-186797",0.00880161546169362,69,1.46532148760797,0.00155314032804754,0.0778641017794501,178804,27,37,1.17855126999059,0.109980659994217,0.995271145688441
"R-HSA-212436",0.0982537508042622,591,1.12430608313056,0.00168150411239743,0.081580070485346,166113,333,536,1.0033810252594,0.478486196686832,0.995271145688441
"R-HSA-69620",0.0132587187789443,97,1.36746554654197,0.00177299554774102,0.0833307907438279,126096,64,104,0.993877994066141,0.575024670890188,0.995271145688441
"R-HSA-9842860",0.00451905062591162,40,1.65447040383852,0.00192107465842661,0.084544349209827,71060,30,49,0.988807187973967,0.601898710775031,0.995271145688441
"R-HSA-9821993",0.000606950643177075,10,3.07958958362839,0.00194901956160409,0.084544349209827,30916,7,8,1.41317027281279,0.127780424339648,0.995271145688441
"R-HSA-2187338",0.00644540137090835,53,1.53699381714046,0.00196745493506911,0.084544349209827,114932,25,41,0.984787646559438,0.616730768665661,0.995271145688441
"R-HSA-9006934",0.0588104919901797,365,1.16007019762414,0.00226544420067398,0.0879251771405832,171295,199,308,1.04349122185435,0.175969564166742,0.995271145688441
"R-HSA-1430728",0.172398030186403,1002,1.08637969600734,0.00226842999039079,0.0879251771405832,124825,600,965,1.00417724789066,0.444997919535629,0.995271145688441
"R-HSA-918233",0.000421219535277718,8,3.54999466446361,0.00228254057914645,0.0879251771405832,72184,6,7,1.38433006316355,0.184992524575202,0.995271145688441
"R-HSA-975634",0.00259402969791655,26,1.87346085051201,0.00229569084125614,0.0879251771405832,74064,13,20,1.04978363123236,0.486099905668372,0.995271145688441
"R-HSA-983712",0.0164643534795438,116,1.31692040125313,0.00233843556224955,0.0879251771405832,119059,68,100,1.09823518344309,0.123108394175309,0.995271145688441
"R-HSA-5625886",0.000742148705013122,11,2.77043502530775,0.00267571898690377,0.0977589345819014,77874,10,13,1.24234749258268,0.206321628908764,0.995271145688441
"R-HSA-6803529",0.000855183150154735,12,2.62281904618884,0.00272997024763288,0.0977589345819014,26766,8,10,1.29204139228598,0.200053613429784,0.995271145688441
"R-HSA-6804756",0.00418415837765872,37,1.65287430021641,0.0027988062812061,0.097893131324046,181908,23,34,1.09253500083006,0.30821701462085,0.995271145688441
"R-HSA-5357905",0.00171768029381863,19,2.06755697316853,0.00300322709727363,0.0990635938358445,80829,14,17,1.33004260970616,0.0637065534146095,0.995271145688441
