"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"hsa04151",0.030422001910947,207,1.37989980618453,4.3165273504453e-06,0.00148488540855318,159410,111,184,1.05940902298442,0.194720645186573,0.99151475494368
"hsa03250",0.00241816139944622,27,2.26434958701563,0.000117967188625556,0.0168939371648461,86209,17,30,0.995144571740316,0.588207381872712,0.99151475494368
"hsa04713",0.00967995959129404,75,1.57127686631903,0.000147330847367844,0.0168939371648461,176957,32,59,0.952481344836195,0.711163064252797,0.99151475494368
"hsa04152",0.0118007960727844,87,1.49510930580574,0.000230479755065627,0.0198212589356439,170215,39,64,1.07014627659574,0.302819426323217,0.99151475494368
"hsa05200",0.0512097012809906,305,1.20784886161054,0.000542761703196559,0.0373420051799233,161675,163,283,1.01148554475372,0.435535318507415,0.99151475494368
"hsa04979",0.00500975309952639,42,1.70019198780856,0.000916522560322708,0.0525472934585019,94214,20,31,1.13299192228499,0.25283177168957,0.99151475494368
"hsa04915",0.0099604401605621,71,1.44558893550074,0.00186050550727457,0.0755367112328657,149929,43,72,1.04880432805965,0.361821615626926,0.99151475494368
"hsa04066",0.00948059785912761,68,1.45458191886504,0.00197569615111726,0.0755367112328657,169565,38,62,1.07634232617074,0.28756377297866,0.99151475494368
"hsa04918",0.00620060422451832,48,1.56990084418528,0.00207376117128333,0.0755367112328657,173121,20,37,0.949263502454992,0.700831794475762,0.99151475494368
"hsa04270",0.0112401673884987,78,1.40730043324775,0.00229992562768122,0.0755367112328657,191535,43,75,1.00685215493726,0.521476726904495,0.99151475494368
"hsa01524",0.00297335999764179,27,1.8415404695415,0.00241541809174861,0.0755367112328657,101476,17,27,1.10571619082257,0.333781890648893,0.99151475494368
"hsa05230",0.00632804502051132,48,1.53828453732201,0.00303375906146552,0.0818445648238846,197221,24,37,1.13911620294599,0.210269686299165,0.99151475494368
"hsa00350",0.00304129148281023,27,1.80040709584128,0.00325438589740434,0.0818445648238846,121360,10,17,1.03302204678926,0.539609665445493,0.99151475494368
"hsa04744",0.00245439891274162,23,1.90041164787083,0.00333088345213484,0.0818445648238846,113322,9,15,1.05368248772504,0.513518605367636,0.99151475494368
"hsa04960",0.00237438825647471,22,1.87903964280486,0.004569037736885,0.101214301518334,189858,11,19,1.01671117236627,0.562795869120331,0.99151475494368
"hsa04062",0.0143783138762636,94,1.32582099230645,0.0047076419310853,0.101214301518334,140121,43,84,0.898975138336841,0.880858120825443,0.99151475494368
"hsa05417",0.0147749317970105,96,1.31768240155257,0.00508753155703878,0.102947697389491,140762,52,91,1.00350713116671,0.528898103692437,0.99151475494368
"hsa00052",0.00184212900155788,18,1.98160670309283,0.00577588796995021,0.110383636759048,155918,10,14,1.25438391395838,0.206391837531295,0.99151475494368
"hsa04926",0.0132883072072314,87,1.32774474198899,0.00610167747258417,0.110472476345734,162162,42,71,1.03884188930638,0.400455352030118,0.99151475494368
"hsa04970",0.00970079339098681,66,1.37975405150004,0.00708661845648773,0.11250565541167,203580,36,55,1.14947180479095,0.126146844064955,0.904052382465512
"hsa04512",0.0098744453277877,67,1.37602742775958,0.00709996850438044,0.11250565541167,160368,36,55,1.14947180479095,0.126146844064955,0.904052382465512
"hsa05160",0.0100620603431061,68,1.37052509681737,0.00731735262740152,0.11250565541167,129908,46,70,1.15403320084171,0.0848240451605113,0.771467116778392
"hsa04114",0.0123793772865926,81,1.32693979012259,0.00799006937603486,0.11250565541167,196747,36,61,1.03640900431971,0.42370137999399,0.99151475494368
"hsa00480",0.0029789009018154,25,1.70195843747091,0.0087188639008563,0.11250565541167,84376,12,16,1.3171031096563,0.112049404133958,0.897555728212794
"hsa04148",0.0142082081181338,91,1.29887416870392,0.00883092008826547,0.11250565541167,117027,46,75,1.07709765411893,0.257652181862127,0.99151475494368
"hsa04140",0.0106848579722197,71,1.34758011068205,0.00895063328047674,0.11250565541167,169884,40,65,1.0806999874103,0.267197765623603,0.99151475494368
"hsa04081",0.0273311747448247,163,1.20946777907041,0.00911702210431642,0.11250565541167,143689,77,114,1.18616303442731,0.0128871867076955,0.295546148496484
"hsa00500",0.00108812276161324,12,2.23649714672316,0.00915743706839178,0.11250565541167,174521,9,14,1.12894552256254,0.392977907807937,0.99151475494368
"hsa04510",0.0227611478005159,138,1.22956056254508,0.00948577052314059,0.112520864136564,164287,77,123,1.09937061727409,0.117635398199023,0.897555728212794
"hsa04071",0.00867062848702952,59,1.37995978666276,0.0103321158930847,0.11641985553352,166318,30,59,0.892951260783933,0.859945190240814,0.99151475494368
"hsa04925",0.0100712582440343,67,1.34913704680315,0.0105702753945001,0.11641985553352,153878,34,62,0.963043133942242,0.680364527316935,0.99151475494368
"hsa00564",0.00922161599805315,62,1.36348276731062,0.0110309379637265,0.11641985553352,138056,34,49,1.21854437355957,0.0509608109871804,0.651093230096938
"hsa03083",0.00888062875520928,60,1.37016393698758,0.0111681838157156,0.11641985553352,166524,24,37,1.13911620294599,0.210269686299165,0.99151475494368
"hsa05418",0.0160835825447334,100,1.26090453047592,0.0133158870175287,0.134725445118526,144717,47,69,1.19620958751394,0.0378150463045239,0.542015663698176
"hsa04064",0.00796017375388944,54,1.37573950907736,0.0143125320557608,0.138475173517024,162947,31,51,1.06745611501556,0.341708204777693,0.99151475494368
"hsa00515",0.00130399638821702,13,2.02177099294476,0.0147525735442371,0.138475173517024,160321,7,11,1.11754203243565,0.448923910603874,0.99151475494368
"hsa04110",0.0122019575349537,78,1.29637333930219,0.0148941320352614,0.138475173517024,158680,42,69,1.06895324841671,0.296380777243794,0.99151475494368
"hsa00561",0.0064463987336596,45,1.41566451606093,0.0153647404682629,0.139091334765327,181263,26,32,1.42686170212766,0.00343519980342044,0.13130097026407
"hsa04150",0.0115852549004311,74,1.29536191311384,0.0175384662941565,0.148100554859759,111376,44,74,1.04418985270049,0.37600817713981,0.99151475494368
"hsa04750",0.00982646109764425,64,1.32083276095722,0.0180525475776756,0.148100554859759,186282,36,61,1.03640900431971,0.42370137999399,0.99151475494368
"hsa04912",0.00860923526878594,57,1.3426885239349,0.0185375051957782,0.148100554859759,193853,28,53,0.927770743908841,0.772789964631244,0.99151475494368
"hsa00260",0.00240043050609067,20,1.68968541646852,0.0186392924352066,0.148100554859759,122599,11,18,1.07319512638662,0.457180522188112,0.99151475494368
"hsa04920",0.00845375749767448,56,1.34339348832862,0.0192650949295368,0.148100554859759,149400,26,38,1.20156774916013,0.101255795427013,0.893128041715189
"hsa04724",0.0116505267515962,74,1.28810467300784,0.019566304000918,0.148100554859759,213566,34,64,0.932948036006547,0.772786467681835,0.99151475494368
"hsa00590",0.00288947070845336,23,1.61426390952839,0.0197845091704256,0.148100554859759,42800,18,30,1.05368248772504,0.44228345541034,0.99151475494368
"hsa00670",0.00386721865892831,29,1.52077255692124,0.0201530200815534,0.148100554859759,83729,11,17,1.13632425146818,0.348183677295321,0.99151475494368
"hsa00230",0.0111344469368663,71,1.29316724669562,0.0202346688325833,0.148100554859759,160951,35,48,1.28051691216585,0.0164770570283669,0.333418095162247
"hsa03420",0.00290864223689404,23,1.60362392566934,0.021128485153096,0.151100542739099,103874,12,18,1.17075831969449,0.278822048727181,0.99151475494368
"hsa04919",0.0113565263761445,72,1.285736520673,0.0217525352902561,0.151100542739099,168314,36,64,0.987827332242226,0.596497104984395,0.99151475494368
"hsa04725",0.0110220774002255,70,1.28795171294714,0.0226189678274926,0.151100542739099,188387,32,65,0.864559989928239,0.916615915132212,0.99151475494368
"hsa04723",0.0146459395478489,90,1.24620723905177,0.0230944486665127,0.151100542739099,223356,39,75,0.913191489361702,0.837842197788287,0.99151475494368
"hsa04014",0.0210830295624969,125,1.20238068945581,0.023258684327744,0.151100542739099,156900,67,123,0.956595212433303,0.742624757311842,0.99151475494368
"hsa05171",0.0148335545631673,91,1.24411680488489,0.023280025480152,0.151100542739099,196200,58,89,1.14444914397102,0.0700860288447566,0.753424810081133
"hsa05214",0.00664487392115825,45,1.3733801501581,0.0239931808688347,0.152845448497762,174736,22,37,1.04418985270049,0.446103421386176,0.99151475494368
"hsa05205",0.0226127623867467,133,1.1927873352057,0.0244878405851841,0.153160312023697,182196,61,112,0.956467734393266,0.736207147008378,0.99151475494368
"hsa00511",0.00156364315779232,14,1.81574720512312,0.0262536459062455,0.161272396281222,169311,7,9,1.36588470631024,0.178559298410249,0.99151475494368
"hsa05225",0.0137112998318446,84,1.24241205212824,0.0289560993934884,0.17209681399204,150554,49,94,0.91543336699516,0.853702306434159,0.99151475494368
"hsa04142",0.00814080722994908,53,1.32030234935857,0.0290728244848837,0.17209681399204,164600,28,59,0.833421176731671,0.945482516806207,0.99151475494368
"hsa04974",0.0119163793338459,74,1.25936725672281,0.0298820059008551,0.17209681399204,138139,43,54,1.3984057707462,0.000387461274174772,0.0222144463860203
"hsa05144",0.00519470848084144,36,1.40542060864886,0.0300168861614024,0.17209681399204,222787,16,26,1.0806999874103,0.395073297799036,0.99151475494368
