"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"hsa05205",0.0226127623867467,317,1.41946458561202,1.34407407426096e-09,4.69081851917075e-07,165463,94,112,1.01915809469919,0.385170550580945,0.984687378347226
"hsa04330",0.011447951295009,176,1.55669601439324,2.14047801705419e-08,2.8023962384364e-06,136362,33,44,0.910737020795021,0.925396557348374,0.997377891938115
"hsa05200",0.0512097012809906,630,1.24568210533865,2.40893659464447e-08,2.8023962384364e-06,149112,239,283,1.02551777606601,0.194977435343847,0.861356011835477
"hsa04151",0.030422001910947,396,1.31803309537843,5.02937281821048e-08,4.38812778388864e-06,148086,161,184,1.06252652426086,0.0356295006299656,0.678714655743447
"hsa05131",0.0186955647721724,256,1.38650134373021,3.02912882776951e-07,2.11433192178312e-05,143667,105,123,1.03661124318132,0.225493174191684,0.886941033179636
"hsa04148",0.0142082081181338,201,1.43243744820575,7.11513618023574e-07,4.13863754483712e-05,108776,65,75,1.0524072240298,0.205341006715701,0.875901798581664
"hsa05160",0.0100620603431061,150,1.50946573967337,1.18801476312047e-06,5.9231021761292e-05,112614,62,70,1.07553705312936,0.108615497954222,0.791251811331725
"hsa03250",0.00241816139944622,50,2.09364786567775,2.00444883846629e-06,8.74440805780918e-05,94638,26,30,1.0524072240298,0.369155978044456,0.984687378347226
"hsa05417",0.0147749317970105,203,1.39119968882614,3.87938210466565e-06,0.000137966533340459,132040,78,91,1.04084230948002,0.244205182459012,0.900553197969055
"hsa05206",0.0193834126162842,256,1.33729938022552,4.06050628343202e-06,0.000137966533340459,166345,85,95,1.08649328796599,0.0388948226787076,0.678714655743447
"hsa04925",0.0100712582440343,147,1.47792542804597,4.41424429942217e-06,0.000137966533340459,170049,51,62,0.998872861517119,0.587326483524595,0.98983818521411
"hsa05225",0.0137112998318446,190,1.40311701710547,4.74731672750472e-06,0.000137966533340459,131065,76,94,0.981787426672646,0.705482941889197,0.98983818521411
