"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:1902679","negative regulation of RNA biosynthetic process",0.148939060914262,1217,1.31410857525154,0,0,140566,484,656,1.12792824099212,1.07673020455223e-06,0.000295203531081404
"GO:0045892","negative regulation of DNA-templated transcription",0.148486701497529,1213,1.31377962811728,0,0,140677,481,648,1.13477567802293,3.38778156638853e-07,0.000131127074746097
"GO:0045934","negative regulation of nucleobase-containing compound metabolic process",0.161208506662051,1315,1.31185876150966,0,0,140090,541,746,1.10866001876437,8.58626183986022e-06,0.0015911075704851
"GO:0051253","negative regulation of RNA metabolic process",0.156477128588206,1271,1.3063031219936,0,0,141612,515,706,1.11517359157861,4.77510032925732e-06,0.00104733867221711
"GO:0009968","negative regulation of signal transduction",0.134960135410833,1073,1.27862590478274,0,0,133052,485,689,1.07612436623341,0.00217463126624895,0.0633208490993254
"GO:0006915","apoptotic process",0.165037603900265,1293,1.25998361482877,0,0,126449,663,930,1.08985953523109,3.11933812034981e-05,0.00362681184559349
"GO:0008219","cell death",0.170721020129218,1335,1.25760295978657,0,0,126772,686,963,1.08902481762894,2.61469024388505e-05,0.00324616260467239
"GO:0012501","programmed cell death",0.1706929831541,1334,1.25686734646095,0,0,126951,684,961,1.08810965128896,3.19688582134381e-05,0.00362681184559349
"GO:0006366","transcription by RNA polymerase II",0.253330360453547,1979,1.25634187499366,0,0,131417,900,1278,1.07659312956994,2.16151184985192e-05,0.00278877411216188
"GO:0006357","regulation of transcription by RNA polymerase II",0.247580010102176,1933,1.25564120780924,0,0,129994,874,1239,1.07840048526768,1.9628823586082e-05,0.00269078456659207
"GO:0045893","positive regulation of DNA-templated transcription",0.182547969269702,1394,1.22810372882613,0,0,129310,639,860,1.13590589989439,2.28925289835757e-09,7.53164203559642e-06
"GO:0051254","positive regulation of RNA metabolic process",0.190399319665622,1451,1.22560719683909,0,0,129818,676,916,1.1282131844288,5.35637667553601e-09,8.81123963125674e-06
"GO:0006355","regulation of DNA-templated transcription",0.305071434444787,2316,1.22091742833154,0,0,131221,1102,1574,1.07032782266596,1.05722244043704e-05,0.00184796965531846
"GO:2001141","regulation of RNA biosynthetic process",0.307165009677743,2321,1.21521376627761,0,0,131360,1107,1584,1.0683963409698,1.66328080186684e-05,0.00248736083551905
"GO:0031324","negative regulation of cellular metabolic process",0.239282616920281,1806,1.21382444255421,0,0,135471,829,1186,1.06858676245122,0.000236191424577425,0.0133127133590935
"GO:0010605","negative regulation of macromolecule metabolic process",0.244978998865001,1846,1.21185908631844,0,0,135300,858,1238,1.05951373614122,0.000959301539977142,0.0353226520677601
"GO:0051252","regulation of RNA metabolic process",0.321374880067129,2418,1.21002307193154,0,0,132814,1173,1687,1.06297457747449,3.6188652579372e-05,0.00392829146615951
"GO:0010558","negative regulation of macromolecule biosynthetic process",0.211970724521981,1594,1.20937702838793,0,0,137486,727,1035,1.07382623321762,0.000249616108998651,0.0134629016164846
"GO:0006351","DNA-templated transcription",0.312791243775625,2348,1.2072376961392,0,0,130472,1129,1618,1.06673212204199,2.05843466549727e-05,0.0027337744938746
"GO:0009966","regulation of signal transduction",0.291905470401709,2187,1.20491339222246,0,0,126374,1099,1579,1.0640340127576,5.36968701532192e-05,0.00509119322246636
