"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"hsa05221",0.00411589443823986,5,7.23096892024088,0.000711859944394488,0.0185083585542567,50010,2,35,3.04667258207631,0.139436430315174,0.494306364702784
"hsa01200",0.00907034931411364,6,3.93747632836076,0.00456848279569833,0.0593902763440782,194681,3,48,3.33229813664596,0.060667178727702,0.473588853910527
"hsa05208",0.0135811994018483,7,3.06796663783584,0.00848740073180321,0.0735574730089611,68811,3,91,1.75769572042864,0.243374615046805,0.494306364702784
"hsa05410",0.0116319093135728,6,3.07037174650356,0.0143707765596978,0.0810947707641037,55923,3,57,2.80614579928081,0.0910747795981783,0.473588853910527
"hsa04921",0.01533057366754,7,2.71788046359212,0.0155951482238661,0.0810947707641037,69592,3,97,1.64897227380419,0.273775920989851,0.494306364702784
"hsa05412",0.00939449220826973,5,3.1680163336243,0.0218965012596473,0.0862474565927312,62836,2,54,1.9746951920865,0.268981038681331,0.494306364702784
"hsa05414",0.0129893200180235,6,2.74951157294839,0.0232204690826584,0.0862474565927312,55923,3,63,2.53889381839692,0.114214771178177,0.494306364702784
"hsa04380",0.010538245647786,5,2.82418020575915,0.033485368317141,0.0913388229721721,50010,2,65,1.6405160057334,0.345293225238988,0.494306364702784
"hsa04727",0.0106911746029776,5,2.78378249978405,0.0352757465837941,0.0913388229721721,15225,3,53,3.01793038790578,0.0768812981043108,0.473588853910527
"hsa04613",0.0144923456841565,6,2.46435508044289,0.0366354196020874,0.0913388229721721,101411,2,67,1.59154537869658,0.358940936999955,0.494306364702784
"hsa04520",0.011523750864104,5,2.58265777461502,0.0460529655920732,0.0913388229721721,92136,1,59,0.903674070954837,0.67402361229175,0.70098455678342
"hsa05012",0.0193809746184478,7,2.14987468313416,0.046399588765567,0.0913388229721721,152682,5,108,2.46836899010812,0.0521189998917626,0.473588853910527
"hsa05034",0.0154448271115998,6,2.31237847184852,0.0472828415962163,0.0913388229721721,74944,2,73,1.46073342976261,0.399219658235942,0.518985555706724
"hsa04261",0.0156000832465443,6,2.28936507259966,0.0491824431388619,0.0913388229721721,49821,2,86,1.23992488805431,0.482095871175289,0.569749665934433
"hsa04360",0.0252891299206831,8,1.88298481475639,0.064836688813217,0.11238359394291,15111,6,122,2.62213623867223,0.0269954619409474,0.473588853910527
"hsa04740",0.0205187438814566,6,1.74056881457358,0.133390843603739,0.214666531593463,105310,3,96,1.66614906832298,0.268676432849154,0.494306364702784
"hsa05202",0.0208365701448547,6,1.71401941231219,0.14035888604188,0.214666531593463,73045,3,108,1.48102139406487,0.330326691934806,0.494306364702784
"hsa05322",0.0264551577949772,6,1.34999329775559,0.286329757730652,0.396649425168647,101411,2,53,2.01195359193719,0.261994015472724,0.494306364702784
"hsa05014",0.0213402383342358,5,1.39463788059753,0.289859195315549,0.396649425168647,229068,4,139,1.53429554493052,0.263967868876707,0.494306364702784
"hsa04082",0.0241869332624689,5,1.23049517848907,0.383691092858349,0.498798420715853,45605,3,108,1.48102139406487,0.330326691934806,0.494306364702784
"hsa04024",0.0268073376642518,5,1.11021486484997,0.469881738373989,0.575232090533457,45605,3,130,1.23038700430005,0.442167076734298,0.547444952147227
"hsa04081",0.0273311747448247,5,1.08893617050033,0.486734845836002,0.575232090533457,45370,3,114,1.40307289964041,0.361223881898188,0.494306364702784
"hsa05022",0.0341833893001594,5,0.870654003924823,0.683452250196039,0.772598195873784,212307,4,207,1.03027575239295,0.547055626484313,0.618410708199658
"hsa01100",0.137134053754306,19,0.824705716771585,0.846159307933483,0.899352865540058,85795,13,708,0.978980243534407,0.57445417917405,0.622325360771887
"hsa05200",0.0512097012809906,6,0.697412498431096,0.864762370711594,0.899352865540058,21350,3,283,0.5651954436714,0.904955342127421,0.904955342127421
"hsa04145",0.0506496266871222,5,0.587603635180825,0.931090509110351,0.931090509110351,285508,3,89,1.79719450066299,0.233366782641995,0.494306364702784
