"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"Acetylation",0.218232611146659,1819,1.30420010999683,0,0,130983,981,1423,1.03275948975875,0.0292120464530582,0.71655431593678
"Isopeptide bond",0.140860976719559,1145,1.27187951822222,0,0,141343,542,788,1.03040547124848,0.109102246046476,0.849757795004503
"Disease variant",0.289328617506731,2259,1.22167594185153,0,0,127720,1205,1708,1.05690089957535,9.92271826995017e-05,0.0137925783952307
"Phosphoprotein",0.56632706095593,4225,1.16732176091653,0,0,128027,2611,3767,1.03835614788294,4.5620798772017e-06,0.00190238730879311
"Alternative splicing",0.681161302591215,4808,1.10444901988554,0,0,130809,3186,4709,1.01356631336452,0.0262101752073285,0.683102691340999
"Reference proteome",0.954991457033945,6270,1.02730460929198,0,0,124753,5366,8059,0.997480925469601,0.911094180479413,0.999999999999924
"Coiled coil",0.175365849279871,1375,1.22684262852279,2.22044604925031e-16,1.32275143219626e-14,138382,639,936,1.02272788293731,0.156940784369998,0.896497357291635
"Transcription",0.212475057619862,1627,1.19814886229194,4.44089209850063e-16,2.31481500634345e-14,136788,751,1077,1.04462236741255,0.0140492213248133,0.450655791726705
"Repressor",0.0769983991219662,671,1.36355294844135,7.7715611723761e-16,3.60082334320092e-14,150743,239,329,1.08827108430539,0.0112348806242638,0.390412101693167
"Ubl conjugation",0.199141204180324,1533,1.20451498803114,8.88178419700125e-16,3.70370401014952e-14,136820,784,1143,1.02755462722483,0.082770977076153,0.849757795004503
"Cytoplasm",0.114682642497095,932,1.27159673308549,2.64233079860787e-14,1.00168358456317e-12,133449,462,640,1.08142670157068,0.001232466076171,0.0640299963661574
"Cytoskeleton",0.114613713649175,931,1.27099627842813,3.04201108747293e-14,1.05709885289684e-12,133535,461,638,1.08246866571474,0.00109835596416208,0.0640299963661574
"Repeat",0.37398155410837,2645,1.10664079723199,3.18512993757736e-11,1.02169167997674e-09,132185,1461,2165,1.01094470575433,0.209675562846132,0.973030131595535
"3D-structure",0.547119738274283,3754,1.07360139656465,4.76166883700557e-11,1.41829707502237e-09,128867,2294,3445,0.997560569102602,0.612577445521912,0.999999999999924
"Methylation",0.0947801579778271,760,1.2546637385726,1.09732445352506e-10,3.05056198079967e-09,137264,347,475,1.0943870671443,0.00138194236761491,0.0640299963661574
"Intellectual disability",0.0589881333779856,501,1.32893657657759,1.82031945072936e-10,4.74420756846339e-09,192015,212,271,1.1719299601373,1.71156344601631e-05,0.003568609784944
"Activator",0.0774066529414776,619,1.25124842111265,1.06977204872294e-08,2.6240879077498e-07,124352,276,373,1.10849908061143,0.00121235163779176,0.0640299963661574
"Zinc",0.147738901070259,1106,1.17136284722024,1.30555493083051e-08,3.02453558975735e-07,133695,556,806,1.03341518021471,0.0843830574118501,0.849757795004503
"Transport",0.076290271568579,608,1.24699755191266,2.31872510081388e-08,5.08899140547046e-07,114847,339,493,1.03012011087157,0.177188196820488,0.935284532584095
"Metal-binding",0.159727755430696,1172,1.14809653265071,2.18115728478629e-07,4.54771293877943e-06,132396,595,872,1.02219927309989,0.173182222615522,0.9272219737527
"Zinc-finger",0.139970331782693,1037,1.15924157107507,2.63873045414087e-07,5.23976475893687e-06,135984,514,755,1.01988511725206,0.221041278920108,0.973030131595535
"Guanine-nucleotide releasing factor",0.0201370864019784,189,1.46857575179531,2.89998520197621e-07,5.49679013283672e-06,130107,63,89,1.06043884934408,0.244368383391002,0.973030131595535
"Chromatin regulator",0.0251229027954748,226,1.4075693569806,4.57614971471898e-07,8.29675839581659e-06,179648,89,131,1.01777973169205,0.425743621721239,0.985340845868663
"Cell cycle",0.0281344950319145,248,1.37925236905915,5.8419290493994e-07,1.01503517233315e-05,135910,122,190,0.961925231927988,0.797411351727118,0.999999999999924
"SH3 domain",0.0285259045027382,246,1.34935699758021,3.00817842235901e-06,5.01764160849483e-05,142322,89,115,1.15938386827529,0.00820124609110939,0.310901783635692
