"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0060090","molecular adaptor activity",0.108108913785526,1595,1.27538382159922,0,0,155752,591,612,1.00380854691114,0.360508445354478,0.999999969049195
"GO:0030674","protein-macromolecule adaptor activity",0.0940820040519524,1369,1.25787825174267,0,0,148219,517,535,1.00450381731224,0.34522029199788,0.999999969049195
"GO:0005524","ATP binding",0.102886279147649,1473,1.237619106757,0,0,130034,671,692,1.0079320525761,0.160571267795138,0.999999969049195
"GO:0035639","purine ribonucleoside triphosphate binding",0.127593946584354,1795,1.21611907987979,0,0,132543,820,849,1.00397059381473,0.308031245470016,0.999999969049195
"GO:0032553","ribonucleotide binding",0.133350502748399,1859,1.20510934015312,0,0,132991,853,882,1.00529905996467,0.231788514366478,0.999999969049195
"GO:0032555","purine ribonucleotide binding",0.132881409801062,1850,1.20350866473255,0,0,133147,845,874,1.00498621958985,0.249101141351028,0.999999969049195
"GO:0017076","purine nucleotide binding",0.138691491099424,1921,1.19734489682517,0,0,131888,885,919,1.00101961997612,0.479587978467181,0.999999969049195
"GO:0000166","nucleotide binding",0.148165883145877,2042,1.19137708832137,0,0,128503,948,985,1.00043053159957,0.51491165185652,0.999999969049195
"GO:1901265","nucleoside phosphate binding",0.148920000203905,2051,1.19056840254426,0,0,128583,956,994,0.999738318503903,0.56075833846797,0.999999969049195
"GO:0097367","carbohydrate derivative binding",0.17238772410464,2341,1.17391539388291,0,0,136080,1043,1078,1.00572762185744,0.177602590845233,0.999999969049195
"GO:0140110","transcription regulator activity",0.199035151274441,2669,1.1592057070665,0,0,144227,953,979,1.01187074359565,0.0248859327221407,0.999999969049195
"GO:0097159","organic cyclic compound binding",0.437289930470518,5686,1.12403309527696,0,0,139271,2603,2693,1.00473757704667,0.0748122994760918,0.999999969049195
"GO:0003676","nucleic acid binding",0.309870189913382,4006,1.11756519208701,0,0,144067,1669,1725,1.00573153481385,0.100499802660707,0.999999969049195
"GO:0043167","ion binding",0.447140217456109,5761,1.1137708869114,0,0,135642,2714,2813,1.00289378871597,0.189290730029074,0.999999969049195
"GO:0036094","small molecule binding",0.458199086460047,5874,1.10820841418641,0,0,134991,2800,2906,1.00156064644066,0.324128449936835,0.999999969049195
"GO:0005515","protein binding",0.839316881871691,10293,1.06012660640415,0,0,133711,6339,6572,1.00262384125348,0.0174487256370015,0.999999969049195
