"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"hsa04940",0.0231141754864017,102,1.74559985016814,1.06545474887199e-07,3.270946079037e-05,73983,22,28,2.69137187739916,8.66576419511489e-08,1.33019480395014e-05
"hsa05322",0.014201963430233,69,1.92186833401954,4.88068041537559e-07,7.49184443760154e-05,40071,28,42,2.28358825961141,5.19381195163149e-07,5.31500089716956e-05
"hsa05330",0.0211817457482489,91,1.69942722714504,1.49620935330219e-06,0.000125178026556205,42554,20,23,2.97859338210184,1.28430226453702e-08,3.94280795212865e-06
"hsa05320",0.0209254569622908,90,1.70133755678268,1.63098405936424e-06,0.000125178026556205,38093,19,25,2.60329061595701,1.6916015944668e-06,0.000129830422375327
"hsa04612",0.0217041569426481,92,1.67674815287485,2.2371082037953e-06,0.000137358443713032,38194,23,38,2.07325776201562,5.61540711081499e-05,0.0017239299830202
"hsa05332",0.0208262602954954,88,1.67145354414915,4.14471023546525e-06,0.000212071007047972,35359,19,26,2.50316405380481,4.55985661451663e-06,0.000279975196131321
"hsa03010",0.00879457734721808,46,2.06902524285621,6.14415852506767e-06,0.000240467608969105,79830,22,48,1.56996692848284,0.0104740435910597,0.114840406516262
"hsa05166",0.0395701281099753,146,1.45951421730179,6.26625691124705e-06,0.000240467608969105,94491,45,107,1.44058137872682,0.00290203587244098,0.044546250641969
"hsa04145",0.0333971945166738,122,1.44501639641594,5.37204062298624e-05,0.00177534433762263,50724,37,77,1.64596296634329,0.000346327374675437,0.00708816693502394
"hsa05203",0.02788901380321,105,1.48928931010826,5.78288057857534e-05,0.00177534433762263,100353,35,94,1.2754083364851,0.0559719443239404,0.306846194775887
"hsa04141",0.0124668207431416,55,1.74513852105341,8.47742913692162e-05,0.00236597340457722,155260,25,61,1.40384524156439,0.0320134448633793,0.258634936133091
"hsa05416",0.0269408067553053,99,1.45360874901608,0.000213835039488131,0.00532103965418951,50385,25,44,1.946239993987,0.000115775393758399,0.00296192049031905
"hsa05168",0.0303485257064413,109,1.42073091209316,0.000241393458404682,0.00532103965418951,56562,34,74,1.57382434108354,0.00159457673984709,0.0257650031122661
"hsa05140",0.0142436334055039,59,1.63852908387254,0.000242653274132421,0.00532103965418951,50239,22,38,1.98311612018886,0.00020443627017297,0.00448299535307869
"hsa05323",0.0142886222283628,58,1.6056858112703,0.000442178607698462,0.0090499221708952,54746,22,35,2.15309750191933,3.55263892690694e-05,0.00136332518820054
"hsa04640",0.0150905541418357,60,1.57278367594145,0.00058665746907105,0.0112564901878008,44333,26,42,2.12047481249631,1.03399065649601e-05,0.000453478759348964
"hsa03013",0.0045092075894915,24,2.10539672385022,0.000728896866985185,0.0131630198920266,92731,15,40,1.28451839603142,0.162197426162049,0.653770077570525
"hsa04658",0.0214278321508812,79,1.45838364702305,0.000803432663659676,0.0137029904301956,74005,22,46,1.63822636015601,0.00567711417173788,0.0792215477601605
"hsa05150",0.0131276401739863,53,1.59702654822626,0.00085084043321737,0.0137477901577754,30920,18,30,2.05522943365027,0.000424250975151752,0.00766147349244635
"hsa05171",0.0155088518581982,60,1.53036326816441,0.00110578979988563,0.0167132668835143,104874,36,86,1.43388100022112,0.00791825618425168,0.105691506459359
"hsa04672",0.0123711887644963,50,1.59875347383106,0.00114325278356286,0.0167132668835143,59008,15,25,2.05522943365027,0.00128790870748152,0.0219659985109349
"hsa00520",0.00164590256305995,12,2.88403186772672,0.00125743616286711,0.0174972066010278,77249,7,15,1.59851178172799,0.116206271130161,0.509647503385137
"hsa00450",0.000635620773232486,7,4.35635123705965,0.00136160392784013,0.0174972066010278,24182,5,7,2.44670170672651,0.0255235539066908,0.230462677922179
"hsa05310",0.0106165017527203,44,1.63943488133269,0.00136785979942888,0.0174972066010278,30032,12,15,2.74030591153369,6.70944484910674e-05,0.00187254506243252
"hsa00310",0.00455923614387278,23,1.99553192217294,0.00182399733453997,0.0222041539056242,222687,15,37,1.38866853625018,0.0925883963919789,0.458461898263508
"hsa04973",0.00270387742192903,16,2.34075475194258,0.00188048208972713,0.0222041539056242,133248,9,21,1.46802102403591,0.128741409053199,0.548939063601834
"hsa04714",0.0197428409384521,71,1.42256340541518,0.00259551320970863,0.0295119464955759,140681,34,98,1.18839797183859,0.137710054468393,0.563693156290622
"hsa05169",0.0351044342999702,116,1.30713047694393,0.00269604461575401,0.0295602034655886,56261,37,92,1.3775994392221,0.0148678114344341,0.152147270345708
"hsa04613",0.0117752712420381,46,1.54528945937861,0.00326949545419719,0.0346115553254668,142169,25,58,1.47645792647289,0.0163663510548253,0.162079670123593
"hsa05164",0.0186972810279676,67,1.4174876292076,0.00363077073136819,0.0365690570564277,69940,26,66,1.34939306249765,0.0478718162771923,0.299931583614245
"hsa05134",0.00290116447299036,16,2.1815770815389,0.00369264094055133,0.0365690570564277,117199,13,22,2.02408959374648,0.00328601689215724,0.0480384374234415
"hsa04060",0.0153220130310248,56,1.44575642177845,0.00501418835468159,0.0481048695277265,183927,39,106,1.26028219987988,0.0543500024725603,0.3033718319832
"hsa04660",0.0118184162606815,45,1.5061775214851,0.00558387970945118,0.0519470021455004,131765,25,56,1.52918856670407,0.00985239960718498,0.114840406516262
"hsa00510",0.00390861909635401,19,1.92288442530021,0.00628000984795507,0.0567047948035943,90212,11,25,1.50716825134353,0.0824956263015795,0.422102621243082
"hsa00230",0.00942982935960746,37,1.55210400859007,0.00718625353543889,0.0630337095822783,181980,23,57,1.38217184134375,0.0462787418684623,0.29599111986704
"hsa00240",0.00369301692341845,18,1.92803155582782,0.00746666898240389,0.0636740938221665,203612,11,26,1.44920024167647,0.106652176700191,0.496094215863008
"hsa04514",0.0384977715782251,121,1.24329076952873,0.00995326806345376,0.0825852242021704,57812,43,90,1.63657158605484,0.000139707192718608,0.00329923908958558
"hsa04144",0.0372010855335859,117,1.2440939533293,0.0109175941602672,0.0882026686105795,93737,38,121,1.07573992394918,0.326738277942842,0.901683412544612
"hsa00513",0.00304436660039625,15,1.94902424137263,0.0125457204304131,0.0987573377470982,37974,7,17,1.41045157211293,0.202503499423966,0.70997614103858
"hsa00380",0.00338018480818413,16,1.8724165343642,0.0143039045475719,0.109782467402614,165138,9,18,1.71269119470856,0.0505678616644991,0.3033718319832
"hsa05165",0.0433994636250617,133,1.21224446339217,0.0149716533101609,0.112104818688278,114697,58,171,1.16182560576721,0.100012798232451,0.487363953291468
"hsa04650",0.0176792552604349,60,1.34248738793345,0.0157443663530576,0.113948762812362,66030,19,59,1.10308924404958,0.350778104848519,0.92503295744911
"hsa04080",0.0352347297978674,110,1.23493662297026,0.0159602501659009,0.113948762812362,210294,68,163,1.42899388024763,0.000383259266114155,0.00735378716856536
"hsa04061",0.00404788777476678,18,1.75900458726705,0.0172990621604827,0.120700274619732,114309,15,34,1.51119811297814,0.0454932408388204,0.29599111986704
"hsa04360",0.0244326184207841,79,1.2790278742051,0.0183153417207518,0.124951331294907,248894,42,111,1.2960906338335,0.0300589887105291,0.256336375948124
"hsa04120",0.0151501704781378,52,1.35771543183935,0.0193414470152724,0.126907315893955,265898,19,62,1.04971395804718,0.447889285798539,0.945234927620013
"hsa01232",0.00470649464055283,20,1.68095217550997,0.01942880731927,0.126907315893955,180218,13,35,1.27228488749779,0.1956059036939,0.70997614103858
"hsa04659",0.0174382085893251,58,1.31567631257309,0.0243399242384594,0.155674098775147,39786,21,50,1.43866060355519,0.0357774235685508,0.274591725888628
"hsa04620",0.00704591342921279,27,1.51582613867408,0.0248495460429345,0.155690012962876,156108,19,46,1.41483185649837,0.0527240203255012,0.3033718319832
"hsa05321",0.0149085092056228,50,1.3266571955564,0.0303803897287747,0.186535592934676,45790,15,29,1.77174951176747,0.00881527324122133,0.11276203687729
"hsa04550",0.0220343208175084,70,1.25667015775314,0.0342581226728902,0.206220463932888,165649,37,90,1.4082127600937,0.0100387218307511,0.114840406516262
"hsa01212",0.00410627490825845,17,1.63766033559499,0.0359727010339297,0.211978827830616,130080,14,31,1.54694688554321,0.0428062362724215,0.292033656347409
"hsa01250",0.00260578703766302,12,1.82165133774521,0.0366479961871369,0.211978827830616,77249,7,19,1.26198298557473,0.3060062784344,0.891958266120221
"hsa00970",0.00203568277422224,10,1.94317909087921,0.0372861781851899,0.211978827830616,85467,4,13,1.05396381212834,0.554092572631433,0.980831519388271
"hsa05152",0.0211276608245935,67,1.25442966814912,0.0387217491704783,0.216137763551579,49195,27,79,1.17070031030711,0.19512590151833,0.70997614103858
"hsa05146",0.00618325889690848,23,1.47140875346036,0.0470620615726466,0.258000944692902,182329,18,43,1.43388100022112,0.0513550204740679,0.3033718319832
"hsa04974",0.00855598908172896,30,1.38699202327604,0.0500895843776374,0.269780743928679,148092,22,51,1.47761593268974,0.0232363134546756,0.216168128199558
"hsa01240",0.014194834053933,46,1.28188906347968,0.0572098846329657,0.302817837626215,142969,28,66,1.45319252884362,0.0146296834545995,0.152147270345708
"hsa04622",0.00348860049605709,14,1.58744880355417,0.0647673720821424,0.332190760908583,180070,9,24,1.28451839603142,0.245793467611427,0.811382737168905
"hsa04962",0.0031762600619469,13,1.61901260066818,0.0649232757476058,0.332190760908583,149437,6,15,1.37015295576685,0.254861274179374,0.811638903970604
"hsa05163",0.0270208278582591,81,1.18579413660387,0.0702516361079348,0.353561512871082,93021,28,99,0.968795019229083,0.617067341195605,0.999131972915333
"hsa04137",0.010020092549138,33,1.30276216555279,0.0803137322177162,0.397682512755466,238730,13,40,1.11324927656056,0.378920392105488,0.92503295744911
"hsa05145",0.0212552520763079,64,1.19106824070185,0.091591852195946,0.443839226411118,55085,26,65,1.37015295576685,0.0397294499307053,0.292033656347409
"hsa00052",0.00181307414526768,8,1.74540956876207,0.0934298028322424,0.443839226411118,59081,7,13,1.8444366712246,0.0543063556795087,0.3033718319832
"hsa04666",0.0112510162434235,36,1.26570844988673,0.0949253654575117,0.443839226411118,111313,19,56,1.16218331069509,0.259089943287033,0.811638903970604
"hsa04814",0.0198848138630476,60,1.1935830719188,0.096693659663329,0.443839226411118,179140,26,95,0.937473074998368,0.689759025888459,0.999131972915333
"hsa04932",0.0123679928371894,39,1.24734994537555,0.0994457605836037,0.443839226411118,119350,20,60,1.1417941298057,0.281578278662004,0.864445315492352
"hsa04914",0.010986860559479,35,1.26013583533796,0.102655601813385,0.443839226411118,172821,16,49,1.11849220878926,0.346532562090816,0.92503295744911
"hsa00062",0.0031202084137949,12,1.52131999325799,0.103664868566628,0.443839226411118,49878,8,15,1.82687060768913,0.0427863627786693,0.292033656347409
"hsa04330",0.0120718778801758,38,1.24517873017129,0.104475677665113,0.443839226411118,149641,13,31,1.43645067943298,0.0888849987885378,0.447339256198051
"hsa04216",0.00345184733202759,13,1.48975449046599,0.104851294385412,0.443839226411118,129442,9,17,1.81343773557377,0.0338595820274304,0.266535684164645
"hsa04218",0.0262753163537813,77,1.15921956369177,0.106927281949208,0.443839226411118,76231,23,76,1.03662888100781,0.461594663315381,0.945234927620013
"hsa00280",0.0024974942700711,10,1.5838659771656,0.106937512694561,0.443839226411118,41707,8,20,1.37015295576685,0.203511076258616,0.70997614103858
"hsa03082",0.00788005045631696,26,1.30517059295446,0.10780916429184,0.443839226411118,121026,10,36,0.951495108171421,0.636011770645298,0.999131972915333
"hsa05415",0.0142797719681282,44,1.21886143069977,0.109643463513542,0.443839226411118,138666,24,84,0.978680682690604,0.591309744705947,0.999131972915333
"hsa03040",0.00548802178737397,19,1.36949579939741,0.109875508818387,0.443839226411118,148322,12,41,1.00255094324403,0.554836879712419,0.980831519388271
"hsa00983",0.00871738341072804,28,1.27055893325261,0.123214757343966,0.471930796417763,80677,16,34,1.61194465384335,0.0205375449528793,0.197032071891686
"hsa00020",0.00163520849860989,7,1.69335429954412,0.124907316920271,0.471930796417763,159999,4,11,1.24559359615168,0.406773450344071,0.92503295744911
"hsa03430",0.00163717522310646,7,1.69132008760684,0.125459881204619,0.471930796417763,16066,6,11,1.86839039422752,0.0693143069280189,0.366887797015548
"hsa05217",0.00981174267278351,31,1.24979411270774,0.126850881145431,0.471930796417763,221937,16,44,1.24559359615168,0.187316835482319,0.70997614103858
"hsa01100",0.127525366443796,342,1.06084627630697,0.127614505524485,0.471930796417763,131302,215,709,1.03872667662155,0.257180364052726,0.811638903970604
"hsa00061",0.00164553380221684,7,1.68272893455109,0.127822088223682,0.471930796417763,228495,5,12,1.42724266225713,0.255223230549762,0.811638903970604
"hsa04072",0.0141395199274672,43,1.20297533142152,0.128878961841476,0.471930796417763,184220,26,79,1.127341039555,0.268842062166407,0.833681950354413
"hsa04960",0.00359677034336797,13,1.42972849872752,0.130677871476434,0.471930796417763,256521,6,19,1.08169970192119,0.495087691763179,0.949949508570599
"hsa00561",0.00668059435397648,22,1.30265829422641,0.131624245076282,0.471930796417763,157975,14,35,1.37015295576685,0.112503344516438,0.509647503385137
"hsa03020",0.00261943118885792,10,1.51013556659083,0.133041578443733,0.471930796417763,123985,2,8,0.856345597354279,0.728560260664008,0.999131972915333
"hsa04975",0.00229910093648045,9,1.54848642170902,0.133739346216109,0.471930796417763,52233,5,13,1.31745476516043,0.32157453236326,0.897485285777463
"hsa05100",0.00993576923634792,31,1.23419313956968,0.140961766122427,0.491764343177104,128863,16,42,1.30490757692081,0.135994575664858,0.563693156290622
"hsa00670",0.00300122158175293,11,1.44983157832797,0.145024303300959,0.50025237206061,103373,8,15,1.82687060768913,0.0427863627786693,0.292033656347409
"hsa04614",0.00113000614355565,5,1.75029853823837,0.161149865922002,0.549700098200607,148487,4,7,1.95736136538121,0.115731835942748,0.509647503385137
"hsa00830",0.00871455624426423,27,1.22557930059435,0.168298385931025,0.563679688905071,133037,13,27,1.64925818749713,0.0287482321943465,0.252163065247554
"hsa00980",0.00729581036055714,23,1.24703094189636,0.170155827070567,0.563679688905071,71595,13,29,1.53551624353181,0.0531992268373468,0.3033718319832
