"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GSE30083_SP3_VS_SP4_THYMOCYTE_UP",0.0233536241938581,91,2.25367927951887,2.56838994516784e-12,1.25131958128577e-08,169225,35,99,1.60514736405147,0.00158514893535799,0.393460344702898
"GSE17721_PAM3CSK4_VS_CPG_6H_BMDC_UP",0.0166190678365072,65,2.2620994951247,3.00192537494581e-09,7.312690213368e-06,180540,20,74,1.22710107367642,0.182100282165649,0.830730691762922
"GSE20198_IL12_IL18_VS_IFNA_TREATED_ACT_CD4_TCELL_DN",0.0196783077909087,72,2.11616610538007,6.429541121733e-09,7.88729858292037e-06,201508,24,86,1.26705320165658,0.118148986657425,0.761984829874374
"GSE24814_STAT5_KO_VS_WT_PRE_BCELL_DN",0.0265447576098102,89,1.93917163249972,6.47561460009882e-09,7.88729858292037e-06,151280,30,102,1.33537469782434,0.0487646637042777,0.668327576994626
"GSE26495_NAIVE_VS_PD1LOW_CD8_TCELL_UP",0.0209057897173251,74,2.04724655398843,1.49800478688178e-08,1.45965586433761e-05,138346,36,92,1.77662894580107,0.000145188656047068,0.176839783065329
"GSE15330_LYMPHOID_MULTIPOTENT_VS_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_IKAROS_KO_UP",0.0236033982049214,79,1.93578698107894,4.91188825169075e-08,3.80040749830002e-05,223759,28,85,1.49561966156326,0.0129923786486421,0.554840975317655
"GSE9316_IL6_KO_VS_IFNG_KO_INVIVO_EXPANDED_CD4_TCELL_UP",0.0187883649562146,67,2.06248510988349,5.46035560100577e-08,3.80040749830002e-05,172284,27,93,1.31814405656209,0.0682210340188496,0.687979516431101
"GSE17721_POLYIC_VS_CPG_8H_BMDC_UP",0.0259163891331588,84,1.87460512734999,7.14531667167506e-08,4.10297489317202e-05,175414,33,95,1.57714780100937,0.00294521715220486,0.398586054598391
"GSE11924_TH1_VS_TH17_CD4_TCELL_UP",0.0284975921146148,90,1.82658274209952,7.5793871179286e-08,4.10297489317202e-05,221830,38,113,1.5268177960965,0.00286648032726267,0.398586054598391
"GSE4142_GC_BCELL_VS_MEMORY_BCELL_UP",0.0149075258433745,56,2.17263845844723,1.32383159989757e-07,6.44970755470098e-05,184103,19,86,1.00308378464479,0.536480802100774,0.914348220378489
"GSE4590_PRE_BCELL_VS_VPREB_POS_LARGE_PRE_BCELL_DN",0.0186929788181313,65,2.01112863434808,2.05417955978504e-07,8.39137604895512e-05,180064,23,76,1.37403028118241,0.0583016071491833,0.672852388001927
"GSE42021_CD24HI_VS_CD24LOW_TREG_THYMUS_UP",0.0159200201982606,58,2.10712056572138,2.13190779141392e-07,8.39137604895512e-05,211529,22,75,1.33181369863014,0.0846567208638308,0.709523626285761
"GSE32034_UNTREATED_VS_ROSIGLIZATONE_TREATED_LY6C_HIGH_MONOCYTE_DN",0.021605697797539,72,1.92738824492402,2.23907817398228e-07,8.39137604895512e-05,142729,36,94,1.73882832993296,0.000240391147991126,0.234237134602553
"GSE23308_WT_VS_MINERALCORTICOID_REC_KO_MACROPHAGE_DN",0.0196258208309067,67,1.9744765477643,2.55099027235417e-07,8.87744614779251e-05,230802,26,101,1.16878339888783,0.213390228618478,0.849621730031354
"GSE15330_HSC_VS_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_DN",0.0205125677382939,69,1.94551269588699,2.8657143036348e-07,9.30784005820584e-05,261167,25,77,1.47411492616972,0.0219215279789444,0.634471894930169
"GSE1740_UNSTIM_VS_IFNA_STIMULATED_MCSF_DERIVED_MACROPHAGE_UP",0.0173092652145192,61,2.03824417313369,3.12433455107453e-07,9.51359870802193e-05,198180,19,74,1.1657460199926,0.262413566128606,0.855923343791013
"GSE29618_LAIV_VS_TIV_FLU_VACCINE_DAY7_BCELL_DN",0.0202555414306495,68,1.94164604759271,3.73568450839912e-07,0.000107060323087768,188281,28,80,1.58909589041096,0.00522960653178428,0.446758204639486
"GSE2770_IL12_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_2H_UP",0.0138981044955143,52,2.16397768340509,4.11437318215135e-07,0.000107454035245001,233562,13,61,0.96759937121042,0.603740805045849,0.929184918685746
"GSE3565_CTRL_VS_LPS_INJECTED_DUSP1_KO_SPLENOCYTES_DN",0.0245121478426139,78,1.84042550022726,4.19053093114741e-07,0.000107454035245001,164119,27,79,1.55173920582625,0.00861602617390167,0.484620137555531
"GSE22025_UNTREATED_VS_TGFB1_AND_PROGESTERONE_TREATED_CD4_TCELL_UP",0.0207794276684211,69,1.9205274368909,4.50362803494642e-07,0.000109708378931295,208887,32,99,1.46756330427563,0.0112132338604571,0.525296878539877
"GSE25087_TREG_VS_TCONV_ADULT_UP",0.0298633593571958,90,1.74304602926074,5.3881586659088e-07,0.000123346460030962,147564,31,96,1.4661301369863,0.0126101970510375,0.548543571720131
"GSE45365_NK_CELL_VS_CD8A_DC_DN",0.0221606828664124,72,1.87911934886593,5.56983193900074e-07,0.000123346460030962,168978,28,102,1.24634971796938,0.114682625039637,0.761984829874374
"GSE2770_TGFB_AND_IL4_VS_IL4_TREATED_ACT_CD4_TCELL_6H_UP",0.0144897198081362,53,2.11553828336515,6.22574942932275e-07,0.000131877613998524,200919,19,71,1.21500289407679,0.202730348161655,0.847504070366005
"GSE1460_CD4_THYMOCYTE_VS_NAIVE_CD4_TCELL_CORD_BLOOD_UP",0.0205999640581098,68,1.90918255244177,6.66520646452895e-07,0.000135303691229938,150920,30,97,1.40420844513487,0.0256353072162505,0.645587740473928
"GSE43955_1H_VS_42H_ACT_CD4_TCELL_WITH_TGFB_IL6_DN",0.0210926285444985,69,1.8920098495975,7.54579068562578e-07,0.000147052368881475,216388,21,90,1.05939726027397,0.422383312879743,0.882387402905154
"GSE42021_TREG_VS_TCONV_PLN_DN",0.025451258789722,79,1.79524130149352,8.99844532331606e-07,0.000168617021596907,169282,27,108,1.13506849315068,0.258952544607106,0.855923343791013
"GSE40274_IRF4_VS_FOXP3_AND_IRF4_TRANSDUCED_ACTIVATED_CD4_TCELL_UP",0.0191531923503267,64,1.93260816713684,9.48650309418042e-07,0.000171178678054989,144843,21,72,1.32424657534247,0.0951412974725513,0.728054297166447
"GSE19888_ADENOSINE_A3R_INH_VS_ACT_WITH_INHIBITOR_PRETREATMENT_IN_MAST_CELL_DN",0.0229913781256476,73,1.83638130463699,1.0546985815818e-06,0.000183517553195234,192581,19,91,0.94796929098299,0.645116842820606,0.936534343927888
"GSE27670_CTRL_VS_LMP1_TRANSDUCED_GC_BCELL_DN",0.0231338427313673,73,1.82507236035332,1.30916275509207e-06,0.000219939342855469,160451,31,93,1.51342465753425,0.00769462484189254,0.47949049825869
"GSE19401_PLN_VS_PEYERS_PATCH_FOLLICULAR_DC_UP",0.0285266013009391,85,1.72335163352321,1.71318311603663e-06,0.000278220938044349,225349,29,96,1.37154109589041,0.0376479214046843,0.645587740473928
"GSE32423_MEMORY_VS_NAIVE_CD8_TCELL_DN",0.0211024621669813,67,1.83631287451764,2.89046984169872e-06,0.000454269969959876,166176,29,94,1.40072282133489,0.0288010401498808,0.645587740473928
"GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_UP",0.0207875404069694,66,1.83630930906235,3.41836174655441e-06,0.000517043782622295,147853,29,95,1.38597837058399,0.0329998203270221,0.645587740473928
"GSE23321_CENTRAL_VS_EFFECTOR_MEMORY_CD8_TCELL_DN",0.018695314303471,61,1.88713109563337,3.50214384781111e-06,0.000517043782622295,162223,27,95,1.29039365537131,0.085210479750037,0.709523626285761
"GSE13946_CTRL_VS_DSS_COLITIS_GD_TCELL_FROM_COLON_DN",0.0191581091615681,62,1.87173366962932,3.75567558474899e-06,0.000538166219085208,234901,23,86,1.21425931825422,0.175022586131066,0.821493294441768
"GSE7348_LPS_VS_TOLERIZED_AND_LPS_STIM_MACROPHAGE_UP",0.0226508889471804,70,1.7873837116911,4.28122029005884e-06,0.00059594586437619,191187,25,90,1.26118721461187,0.117384138598494,0.761984829874374
