"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GSE30083_SP3_VS_SP4_THYMOCYTE_UP",0.0233536241938581,91,2.28406299782422,1.25222054947471e-12,6.10081851704081e-09,169225,35,99,1.61844969027289,0.00136203437339155,0.339956706754995
"GSE17721_PAM3CSK4_VS_CPG_6H_BMDC_UP",0.0166190678365072,65,2.29259673333564,1.79994397164762e-09,4.38466351493361e-06,180540,20,74,1.23727041959086,0.172016021046758,0.81050488833637
"GSE15330_LYMPHOID_MULTIPOTENT_VS_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_IKAROS_KO_UP",0.0236033982049214,79,1.96188492982737,2.84384278348426e-08,2.56503381135254e-05,223759,28,85,1.50801429964251,0.0116296610506694,0.515088260353286
"GSE24814_STAT5_KO_VS_WT_PRE_BCELL_DN",0.0265447576098102,86,1.89906863234133,2.85924141030236e-08,2.56503381135254e-05,156109,30,102,1.34644133896653,0.0442734468039967,0.633794565169687
"GSE9316_IL6_KO_VS_IFNG_KO_INVIVO_EXPANDED_CD4_TCELL_UP",0.0187883649562146,67,2.09029118111873,3.34421357273129e-08,2.56503381135254e-05,172284,27,93,1.3290679023347,0.0626189693783948,0.649601084423674
"GSE20198_IL12_IL18_VS_IFNA_TREATED_ACT_CD4_TCELL_DN",0.0196783077909087,69,2.0553335656665,3.92692789397131e-08,2.56503381135254e-05,204418,24,86,1.27755364255429,0.110032275662008,0.73668553013381
"GSE17721_POLYIC_VS_CPG_8H_BMDC_UP",0.0259163891331588,84,1.89987823281836,4.0687327951261e-08,2.56503381135254e-05,175414,33,95,1.5902180866531,0.00256064816095691,0.366925818828885
"GSE11924_TH1_VS_TH17_CD4_TCELL_UP",0.0284975921146148,90,1.85120841798949,4.21187817956081e-08,2.56503381135254e-05,221830,38,113,1.53947098225199,0.00246066802350775,0.365184897420485
"GSE26495_NAIVE_VS_PD1LOW_CD8_TCELL_UP",0.0209057897173251,71,1.99073175533939,8.30395243678339e-08,4.2073562901912e-05,143505,36,92,1.79135239010329,0.000121672188636901,0.148196725759745
"GSE4142_GC_BCELL_VS_MEMORY_BCELL_UP",0.0149075258433745,56,2.20192959827389,8.63578877297044e-08,4.2073562901912e-05,184103,19,86,1.01139663368881,0.520226613416558,0.902222621333494
"GSE15330_HSC_VS_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_DN",0.0205125677382939,69,1.9717417650578,1.77495152686724e-07,7.86142167172473e-05,261167,25,77,1.4863313482098,0.0198843162648636,0.584966484725136
"GSE1740_UNSTIM_VS_IFNA_STIMULATED_MCSF_DERIVED_MACROPHAGE_UP",0.0173092652145192,61,2.06572343220876,2.00884343604102e-07,8.15590435032654e-05,198180,19,74,1.17540689861132,0.2499935051491,0.835218708488576
"GSE3565_CTRL_VS_LPS_INJECTED_DUSP1_KO_SPLENOCYTES_DN",0.0245121478426139,78,1.86523780181298,2.51035863652049e-07,9.4080517516368e-05,164119,27,79,1.56459892300161,0.00769497250620721,0.446308405360018
"GSE2770_IL12_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_2H_UP",0.0138981044955143,52,2.19315206014502,2.770437081967e-07,9.64112104524517e-05,233562,13,61,0.975618150529843,0.590499575482969,0.921363968039919
"GSE23308_WT_VS_MINERALCORTICOID_REC_KO_MACROPHAGE_DN",0.0196258208309067,66,1.97122899661926,3.29343504801294e-07,0.000104619465856826,234236,25,101,1.13314370111044,0.27264669779745,0.837195805553379
"GSE45365_NK_CELL_VS_CD8A_DC_DN",0.0221606828664124,72,1.90445331429613,3.43577884587276e-07,0.000104619465856826,168978,28,102,1.25667858303542,0.106060684460422,0.73668553013381
"GSE2770_TGFB_AND_IL4_VS_IL4_TREATED_ACT_CD4_TCELL_6H_UP",0.0144897198081362,53,2.14405960840466,4.19031160880934e-07,0.000113488486880383,200919,19,71,1.22507197883433,0.192177987391732,0.825071837798554
"GSE1460_CD4_THYMOCYTE_VS_NAIVE_CD4_TCELL_CORD_BLOOD_UP",0.0205999640581098,68,1.93492182483694,4.19292439213237e-07,0.000113488486880383,150920,30,97,1.41584553169676,0.0230487298546221,0.591017957114311
"GSE43955_1H_VS_42H_ACT_CD4_TCELL_WITH_TGFB_IL6_DN",0.0210926285444985,69,1.91751760255221,4.73446122750687e-07,0.000115606550720804,216388,21,90,1.06817679558011,0.405986247994612,0.864581705674964
"GSE29618_LAIV_VS_TIV_FLU_VACCINE_DAY7_BCELL_DN",0.0202555414306495,67,1.93888441393078,4.74575331366189e-07,0.000115606550720804,190725,28,80,1.60226519337017,0.00463401160541999,0.403694407615333
"GSE42021_TREG_VS_TCONV_PLN_DN",0.025451258789722,79,1.81944443744566,5.43041932865584e-07,0.000125103949014034,169282,27,108,1.14447513812155,0.244115976129118,0.835218708488576
"GSE22025_UNTREATED_VS_TGFB1_AND_PROGESTERONE_TREATED_CD4_TCELL_UP",0.0207794276684211,68,1.91821067851009,5.64919309997691e-07,0.000125103949014034,211852,31,99,1.43348401138456,0.0177083173555193,0.584966484725136
"GSE40274_IRF4_VS_FOXP3_AND_IRF4_TRANSDUCED_ACTIVATED_CD4_TCELL_UP",0.0191531923503267,64,1.95866325965979,6.10112580234912e-07,0.000128877525512721,144843,21,72,1.33522099447514,0.0887615048130813,0.700336580704092
"GSE19888_ADENOSINE_A3R_INH_VS_ACT_WITH_INHIBITOR_PRETREATMENT_IN_MAST_CELL_DN",0.0229913781256476,73,1.86113908306996,6.53802471717313e-07,0.000128877525512721,192581,19,91,0.955825390079534,0.629463031768062,0.925949242383454
"GSE42021_CD24HI_VS_CD24LOW_TREG_THYMUS_UP",0.0159200201982606,56,2.06188949403128,6.61317351768886e-07,0.000128877525512721,207918,21,75,1.28181215469613,0.125248046914384,0.758965776824475
"GSE19401_PLN_VS_PEYERS_PATCH_FOLLICULAR_DC_UP",0.0285266013009391,85,1.74658556527645,1.02041443816869e-06,0.000184982899323671,225349,29,96,1.38290745856354,0.034107930644691,0.613187594468393
"GSE25087_TREG_VS_TCONV_ADULT_UP",0.0298633593571958,88,1.72728891132005,1.02515153566074e-06,0.000184982899323671,150564,30,96,1.43059392265193,0.019975483387605,0.584966484725136
"GSE32034_UNTREATED_VS_ROSIGLIZATONE_TREATED_LY6C_HIGH_MONOCYTE_DN",0.021605697797539,69,1.87198242320959,1.07957653927571e-06,0.000187846317833973,143083,36,94,1.7532385094628,0.000202316715559481,0.197137407641158
"GSE32423_MEMORY_VS_NAIVE_CD8_TCELL_DN",0.0211024621669813,67,1.86106973038746,1.86381793687573e-06,0.000313121413395123,166176,29,94,1.4123310215117,0.0259912928182764,0.59172700285347
"GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_UP",0.0207875404069694,66,1.86106611686331,2.21868828187421e-06,0.000360314976976373,147853,29,95,1.39746437917999,0.0298387538691129,0.613187594468393
"GSE23321_CENTRAL_VS_EFFECTOR_MEMORY_CD8_TCELL_DN",0.018695314303471,61,1.91257307406219,2.32188170423697e-06,0.000364909924614275,162223,27,95,1.30108752544344,0.0785064468315959,0.678435570948506
