"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GSE17721_POLYIC_VS_CPG_8H_BMDC_UP",0.0259163891331588,193,1.76177551111705,1.65534252971611e-13,8.06482880477688e-10,155010,50,95,1.36240319636956,0.00369365043281533,0.299990586232863
"GSE24814_STAT5_KO_VS_WT_PRE_BCELL_DN",0.0265447576098102,185,1.64877242932546,1.04834363412465e-10,2.55376509272764e-07,177695,49,102,1.24352683903927,0.0323946787944975,0.488628096243938
"GSE4142_NAIVE_VS_MEMORY_BCELL_UP",0.0184135810193386,137,1.76015154949822,5.73062708397742e-10,9.30653838437934e-07,230612,41,84,1.26346677377605,0.0360526179067002,0.494421165802514
"GSE27670_CTRL_VS_LMP1_TRANSDUCED_GC_BCELL_DN",0.0231338427313673,161,1.6464397752193,1.86241133626197e-09,1.94740896475309e-06,149826,43,93,1.19686388326229,0.0805488849928017,0.597312279581324
"GSE1460_CD4_THYMOCYTE_VS_NAIVE_CD4_TCELL_CORD_BLOOD_UP",0.0205999640581098,147,1.68817950805139,1.99857241867107e-09,1.94740896475309e-06,156866,56,97,1.49442989787341,9.85988394653914e-05,0.142730040490963
"GSE11864_CSF1_IFNG_VS_CSF1_IFNG_PAM3CYS_IN_MAC_DN",0.0194002621152073,139,1.69502049884792,4.28128732465893e-09,3.47640530762305e-06,104987,44,81,1.40613465699376,0.00287140678064679,0.284000678103629
"GSE30083_SP3_VS_SP4_THYMOCYTE_UP",0.0233536241938581,160,1.62081500112074,5.7917700635457e-09,3.95334148750592e-06,169073,50,99,1.30735660257685,0.0103801199066786,0.36569650829799
"GSE3565_CTRL_VS_LPS_INJECTED_DUSP1_KO_SPLENOCYTES_DN",0.0245121478426139,166,1.60211790056058,6.49152953613452e-09,3.95334148750592e-06,154241,44,79,1.44173300274044,0.0014842787182352,0.243492928992723
"GSE7219_WT_VS_NIK_NFKB2_KO_DC_DN",0.0205817718565166,144,1.6551885920726,9.59269375044869e-09,5.19284488357622e-06,196039,45,89,1.30882554257974,0.0142015012375685,0.415538147828645
"GSE2405_HEAT_KILLED_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_9H_UP",0.0139873446195458,107,1.80974028824156,1.07579136710001e-08,5.24125554051125e-06,201698,44,80,1.42371134020619,0.00207952620398943,0.266617149100961
"GSE15330_HSC_VS_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_DN",0.0205125677382939,142,1.63770648340304,2.25194161096454e-08,9.97405411692657e-06,235013,40,77,1.34470964836476,0.0116757042403388,0.395027993464797
"GSE17721_CTRL_VS_LPS_6H_BMDC_UP",0.0171012840990079,122,1.68771403107266,4.62070577356144e-08,1.87600654406594e-05,128736,40,85,1.21814874028337,0.0689174311077205,0.572002937575493
"GSE17974_0H_VS_48H_IN_VITRO_ACT_CD4_TCELL_DN",0.0140816244750997,104,1.7472229797825,9.05589897515213e-08,3.30211637886713e-05,178435,40,74,1.39922490437954,0.00489599992208678,0.317600291558923
"GSE27786_BCELL_VS_NKCELL_UP",0.0160697371005613,115,1.69299946442543,9.48884016915841e-08,3.30211637886713e-05,155544,43,86,1.29428303655108,0.0204074429862654,0.437995868850595
"GSE11924_TH1_VS_TH17_CD4_TCELL_UP",0.0284975921146148,181,1.50258192718057,1.05174571718436e-07,3.4160700894148e-05,193953,55,113,1.25992154000547,0.0182588613907138,0.423546773977414
"GSE21546_UNSTIM_VS_ANTI_CD3_STIM_ELK1_KO_DP_THYMOCYTES_DN",0.0211277837448745,142,1.5900184128114,1.20112577883802e-07,3.65742799656177e-05,169636,41,85,1.24860245879045,0.0442436282860023,0.51027678341907
"GSE1740_UNSTIM_VS_IFNA_STIMULATED_MCSF_DERIVED_MACROPHAGE_UP",0.0173092652145192,121,1.65376764211771,1.46919859944639e-07,4.21055033911929e-05,158771,33,74,1.15436054611312,0.173760843742006,0.670279359232821
"GSE30962_PRIMARY_VS_SECONDARY_CHRONIC_LCMV_INF_CD8_TCELL_UP",0.0149779591644076,107,1.69004740937361,2.81556704617714e-07,7.62080147165278e-05,155397,48,92,1.3505562120533,0.0054785885922306,0.334981427429452
"GSE15330_LYMPHOID_MULTIPOTENT_VS_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_IKAROS_KO_UP",0.0236033982049214,153,1.53350306981844,3.22415054876402e-07,7.86147810044824e-05,228604,38,85,1.1572413032692,0.148324288949864,0.653041476540262
"GSE43955_1H_VS_20H_ACT_CD4_TCELL_WITH_TGFB_IL6_DN",0.0245604555130606,158,1.52190807693957,3.2272077588047e-07,7.86147810044824e-05,198686,49,102,1.24352683903927,0.0323946787944975,0.488628096243938
"GSE3982_BCELL_VS_TH2_DN",0.0176383228068502,121,1.62291523032385,3.72585019281502e-07,8.64397244733084e-05,172093,45,91,1.28006014603953,0.0225029944397293,0.447488118001473
"GSE37301_LYMPHOID_PRIMED_MPP_VS_CD4_TCELL_UP",0.0189621742335982,128,1.59694363980153,3.95863830049414e-07,8.76658445454885e-05,158526,48,89,1.39608057875172,0.00230623053300505,0.271103397694047
"GSE4984_UNTREATED_VS_VEHICLE_CTRL_TREATED_DC_DN",0.0142119199729969,102,1.69791197221146,4.29882555552652e-07,9.10603395935879e-05,142215,40,79,1.31066636612767,0.0194935396043391,0.428880031774956
"GSE17721_POLYIC_VS_GARDIQUIMOD_4H_BMDC_DN",0.0181367645464475,123,1.60440146043603,5.26742137463287e-07,0.000106928653905047,164728,39,97,1.04076367887612,0.411850260133629,0.829832285926816
