"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0030527","structural constituent of chromatin",0.00317933306897278,20,16.2969624064368,0,0,83137,10,20,9.74823529411765,1.32041244604864e-08,3.38025586188451e-06
"GO:0070008","serine-type exopeptidase activity",0.0012450595266045,9,18.726865405185,2.25039387125037e-09,2.88050415520047e-07,38808,1,7,2.78521008403361,0.308375240868718,0.969053146620555
"GO:0016505","peptidase activator activity involved in apoptotic process",0.00211299963099332,8,9.80851501204159,2.22567470919977e-06,0.000189924241851713,24583,2,10,3.89929411764706,0.0899234686898174,0.719387749518539
"GO:0042288","MHC class I protein binding",0.000641275106160101,5,20.1993929769258,6.15877377452279e-06,0.000394161521569458,32567,3,8,7.31117647058824,0.00618371948433405,0.281753197672757
"GO:0016504","peptidase activator activity",0.00361570006664738,9,6.448560927728,1.48699807968056e-05,0.000663468189555618,34466,4,23,3.3906905370844,0.027829278689455,0.474953022966698
"GO:0008236","serine-type peptidase activity",0.01572875624097,19,3.12947808290439,1.66775780739981e-05,0.000663468189555618,91038,7,88,1.55085561497326,0.164520461779844,0.832066995734661
"GO:0017171","serine hydrolase activity",0.015826969545517,19,3.11005829548737,1.81417083081614e-05,0.000663468189555618,91038,7,89,1.5334302709848,0.171272738304387,0.832066995734661
"GO:0003755","peptidyl-prolyl cis-trans isomerase activity",0.00395041199190595,9,5.9021849427195,2.94835803875682e-05,0.000816751526757158,126359,2,16,2.43705882352941,0.196740028499846,0.860854545615747
"GO:0019104","DNA N-glycosylase activity",0.000917722818208034,5,14.1146843236836,3.38814841074342e-05,0.000816751526757158,105301,1,6,3.24941176470588,0.270954423219986,0.963393504782172
"GO:0032356","oxidized DNA binding",0.00153465970872319,6,10.1286567715455,3.50947921653466e-05,0.000816751526757158,111852,2,5,7.79858823529412,0.0236696236474221,0.474953022966698
"GO:0032357","oxidized purine DNA binding",0.00153465970872319,6,10.1286567715455,3.50947921653466e-05,0.000816751526757158,111852,2,5,7.79858823529412,0.0236696236474221,0.474953022966698
"GO:0016859","cis-trans isomerase activity",0.00420915918348482,9,5.53936336445753,4.78504013122771e-05,0.0009550159932351,126359,2,17,2.29370242214533,0.215860841556828,0.879095157324049
"GO:0019789","SUMO transferase activity",0.00753648827082386,12,4.12500912685106,4.84969059064699e-05,0.0009550159932351,173253,2,19,2.0522600619195,0.254503749770766,0.954987082533676
"GO:0030983","mismatched DNA binding",0.00115311515639024,5,11.2333688477371,9.85365411769745e-05,0.00180181103866468,105301,1,7,2.78521008403361,0.308375240868718,0.969053146620555
"GO:0016018","cyclosporin A binding",0.00285420892563495,7,6.35367469530019,0.00014454516890261,0.00246690421593788,152833,1,10,1.94964705882353,0.409525621893278,0.969053146620555
"GO:0042287","MHC protein binding",0.00132299098478075,5,9.79097214165398,0.000185713706375212,0.0029714193020034,32567,3,13,4.49918552036199,0.0260864136060258,0.474953022966698
