"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0005515","protein binding",0.865319686805639,8536,1.03586709506761,0,0,138178,5783,5910,1.0039964590626,0.000101838069135995,0.0633432790025892
"GO:0005488","binding",0.922217235031874,9050,1.03048472964539,0,0,140999,6457,6606,1.00290243728953,0.000189696501331493,0.0786608158854592
"GO:0003674","molecular_function",0.948235872388895,9263,1.02579717518197,0,0,141995,6958,7117,1.00312239965413,1.88456634075962e-07,0.000234440052790497
"GO:0003824","catalytic activity",0.392351451599004,4099,1.09705618503683,1.98729921407903e-14,6.18050055578578e-12,137221,2188,2237,1.00357030714362,0.121562679800854,0.999997724303744
"GO:0032559","adenyl ribonucleotide binding",0.111977695089446,1267,1.18815009390919,1.1253420417745e-10,2.35441852680651e-08,137167,613,623,1.00957572044085,0.0726530836513495,0.999997724303744
"GO:0030554","adenyl nucleotide binding",0.116660255203956,1315,1.18366565486473,1.1355716367234e-10,2.35441852680651e-08,135906,648,660,1.00738977864662,0.133281409696978,0.999997724303744
"GO:0005524","ATP binding",0.109362999480014,1235,1.1858308927937,3.14162584835742e-10,5.58311793622376e-08,137942,596,605,1.01078166342321,0.0499227191453363,0.999997724303744
"GO:0097367","carbohydrate derivative binding",0.17843042560748,1924,1.13230225434853,1.72379377438858e-09,2.68049931917425e-07,142169,927,942,1.0097068464319,0.0261774004508617,0.999997724303744
"GO:0140096","catalytic activity, acting on a protein",0.192415020379324,2059,1.12368243243642,3.43744810393787e-09,4.75131715699856e-07,150099,967,989,1.0032210870936,0.292394289207807,0.999997724303744
"GO:1901363","heterocyclic compound binding",0.16328196915035,1766,1.13573938295102,4.71202588059327e-09,5.86176019545803e-07,130667,889,908,1.00457503725988,0.215491976333806,0.999997724303744
"GO:0035639","purine ribonucleoside triphosphate binding",0.136320538058183,1492,1.1493009011239,7.41062256004454e-09,8.38074042245038e-07,134627,721,734,1.00787268322313,0.0985139501167651,0.999997724303744
"GO:0032553","ribonucleotide binding",0.140440697012348,1532,1.14549185303579,9.6160890361574e-09,9.94706084256336e-07,134702,744,758,1.00709444303283,0.121737775183993,0.999997724303744
"GO:0017076","purine nucleotide binding",0.144959368865096,1577,1.14238270501554,1.04573585346657e-08,9.94706084256336e-07,133735,775,791,1.00529075513444,0.198659190304556,0.999997724303744
"GO:1901265","nucleoside phosphate binding",0.154761524458813,1675,1.13652247392158,1.13297256021383e-08,9.94706084256336e-07,132042,834,851,1.00554835588895,0.172088485078955,0.999997724303744
"GO:0032555","purine ribonucleotide binding",0.140276808750586,1529,1.14458440361665,1.19940444243127e-08,9.94706084256336e-07,134684,740,754,1.00699390880532,0.12661382594261,0.999997724303744
"GO:0000166","nucleotide binding",0.153876313085907,1664,1.13555393262449,1.58038877540179e-08,1.22875227287489e-06,132464,830,847,1.00545155877429,0.177978226334576,0.999997724303744
"GO:0016740","transferase activity",0.182841717763743,1941,1.11474737489058,9.34203556735014e-08,6.83617190928445e-06,144836,920,934,1.01066545323815,0.0157855790546011,0.999997724303744
"GO:0043168","anion binding",0.189070142833788,1998,1.10968252586716,1.79756585838575e-07,1.24231773768438e-05,131083,972,990,1.00738977864662,0.0711107277277521,0.999997724303744
"GO:0098772","molecular function regulator activity",0.191443099901506,2018,1.10689814514108,2.8637552451638e-07,1.87500606578093e-05,135625,923,940,1.00748900931828,0.0750470770349588,0.999997724303744
"GO:0036094","small molecule binding",0.481223988946334,4819,1.05156439590454,6.68293611116866e-07,4.15678626114691e-05,143898,2542,2599,1.00354242338638,0.0959351344618871,0.999997724303744
"GO:0097159","organic cyclic compound binding",0.487633214580337,4877,1.05023307603415,9.16226210678772e-07,5.42754955278282e-05,142853,2412,2464,1.0043915947816,0.0575617296286933,0.999997724303744
"GO:0043167","ion binding",0.470866814546405,4715,1.05150133680407,1.13714762028927e-06,6.43005290745387e-05,144874,2474,2528,1.00412804134762,0.0662247441753689,0.999997724303744
"GO:0030234","enzyme regulator activity",0.124282737183629,1330,1.12374312333261,4.06886537462903e-06,0.00022007254461037,124344,588,597,1.01057712765779,0.0554439577664616,0.999997724303744
"GO:0140677","molecular function activator activity",0.0978760564484326,1061,1.1383220194274,6.8771782815169e-06,0.000354733498315714,148937,487,492,1.01561785685975,0.0119011089745571,0.999997724303744
"GO:0016787","hydrolase activity",0.185452655083798,1933,1.09452330784818,7.12888863174665e-06,0.000354733498315714,139778,925,947,1.0022088268733,0.37609367822972,0.999997724303744
"GO:0050839","cell adhesion molecule binding",0.052281429298926,588,1.18101683856179,2.86390205086473e-05,0.00137026698125989,151702,262,266,1.01061589461834,0.188393674955154,0.999997724303744
"GO:0045296","cadherin binding",0.0346155900823039,403,1.22252999241477,3.7566993916438e-05,0.00173086446044626,147532,160,161,1.01967219370719,0.0805365566976861,0.999997724303744
"GO:0016772","transferase activity, transferring phosphorus-containing groups",0.0721056004149151,788,1.14758122838862,4.51199411263259e-05,0.00200461452718391,136820,366,374,1.00409765518699,0.385646027293436,0.999997724303744
"GO:0071889","14-3-3 protein binding",0.00519341902054147,79,1.5973494728857,6.29516033618938e-05,0.00270040670973089,200456,22,22,1.02604514491786,0.567540540314811,0.999997724303744
"GO:0019900","kinase binding",0.0763238775667439,828,1.1391899009869,6.87117151519923e-05,0.00277912550554333,136359,348,354,1.00865454924128,0.19815874654617,0.999997724303744
"GO:0016301","kinase activity",0.0615543372135881,678,1.1566374505398,6.9254735266755e-05,0.00277912550554333,144159,309,314,1.0097068464319,0.184729703199875,0.999997724303744
"GO:0140993","histone modifying activity",0.0386829987605699,441,1.19713925350548,9.59859745388592e-05,0.00373145476019815,156750,175,180,0.997543890892362,0.693003667190852,0.999997724303744
"GO:0019901","protein kinase binding",0.0689738715669033,751,1.14335619348671,0.000101800263978991,0.00377067590233511,137436,312,317,1.00986146755322,0.177757141536169,0.999997724303744
"GO:0016773","phosphotransferase activity, alcohol group as acceptor",0.057672963859484,636,1.15800666921237,0.00010305705842395,0.00377067590233511,144417,292,296,1.01217966998654,0.122906150334783,0.999997724303744
"GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding",0.0414415831632931,468,1.18586630876101,0.000130719788240752,0.00464615475918558,139220,166,167,1.01990116201416,0.070914726776735,0.999997724303744
"GO:0140297","DNA-binding transcription factor binding",0.0613896436041029,671,1.14776670864027,0.000163144952341598,0.00563756446424857,139526,245,247,1.01773708706427,0.0464501019291649,0.999997724303744
"GO:0008047","enzyme activator activity",0.0574034408213043,630,1.15246790578139,0.00017538585309862,0.0058967567906671,135268,282,283,1.02241954369907,0.00521331765750488,0.999997724303744
"GO:0016881","acid-amino acid ligase activity",0.00109258841174422,24,2.30664556855883,0.00021100467789803,0.00690762682381972,162600,11,12,0.940541382841369,0.964207136115533,0.999997724303744
"GO:0004672","protein kinase activity",0.0486762902140319,539,1.16277988184929,0.00024077585061022,0.00768013226049009,145735,248,252,1.00975871404615,0.227247420065157,0.999997724303744
"GO:0000287","magnesium ion binding",0.0198306138977783,237,1.25498461787901,0.000358567063025506,0.0111514356600932,110636,95,98,0.99463559966527,0.762391961390486,0.999997724303744
"GO:0032266","phosphatidylinositol-3-phosphate binding",0.005021611506164,73,1.52653218413547,0.000410643709404357,0.0124595310853419,134306,27,28,0.989400675456506,0.841985483575076,0.999997724303744
"GO:0005154","epidermal growth factor receptor binding",0.00250771858680803,42,1.75872001948941,0.000490366318771862,0.0145241833464809,93852,15,15,1.02604514491786,0.679748333005679,0.999997724303744
"GO:0060090","molecular adaptor activity",0.127739423838132,1323,1.08757973540566,0.000640682972970597,0.0185351074040796,158307,528,537,1.00884885757287,0.116028724696476,0.999997724303744
"GO:0019899","enzyme binding",0.196946309346409,2000,1.06637109481436,0.000758474404061404,0.0214441399693724,129810,896,913,1.00694025174852,0.0980967397700716,0.999997724303744
"GO:0140657","ATP-dependent activity",0.0383479741075338,426,1.16652322356746,0.000825512435819631,0.0228208326702138,129568,209,211,1.01631959852053,0.0917097880482727,0.999997724303744
"GO:0008134","transcription factor binding",0.073245838566975,779,1.11681366158735,0.000855148158869556,0.0231261806442115,137498,287,289,1.01894448647552,0.0201055419498616,0.999997724303744
"GO:0030695","GTPase regulator activity",0.0558460325483967,603,1.13383850818079,0.000973137117112666,0.0252204702851699,131467,233,238,1.00448957464647,0.434327213082589,0.999997724303744
"GO:0060589","nucleoside-triphosphatase regulator activity",0.0558460325483967,603,1.13383850818079,0.000973137117112666,0.0252204702851699,131467,233,238,1.00448957464647,0.434327213082589,0.999997724303744
"GO:0016278","lysine N-methyltransferase activity",0.00418673436598598,61,1.52996199694927,0.0010891441622064,0.0276509252609135,152174,29,29,1.02604514491786,0.473776011066263,0.999997724303744
"GO:0070739","protein-glutamic acid ligase activity",0.000753268570848721,17,2.36987418164329,0.00123303146105691,0.0300108995446779,214773,6,6,1.02604514491786,0.856996571621328,0.999997724303744
"GO:0070740","tubulin-glutamic acid ligase activity",0.000753268570848721,17,2.36987418164329,0.00123303146105691,0.0300108995446779,214773,6,6,1.02604514491786,0.856996571621328,0.999997724303744
"GO:0016746","acyltransferase activity",0.0602885990412604,646,1.12518398368633,0.00125447490058139,0.0300108995446779,137635,297,301,1.01240999349038,0.11410524125148,0.999997724303744
