"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"R-HSA-9610379",0.00687364282130488,22,4.70681151429523,4.54081450218524e-09,1.98433593745495e-06,81111,10,44,2.10604232920276,0.0166617392680563,0.270547468641747
"R-HSA-73894",0.0200229577791087,35,2.57057867289701,6.58962830524246e-07,0.000143983378469548,144987,20,112,1.6547475443736,0.0158348897735663,0.270547468641747
"R-HSA-1461957",0.00798918364317297,20,3.68144807023127,1.03983318600065e-06,0.000151469034094095,669794,3,12,2.31664656212304,0.13173856260415,0.351035072304962
"R-HSA-9609646",0.0120968597076212,25,3.03919420171424,1.54871160562564e-06,0.000155944587504823,107012,13,65,1.85331724969843,0.0198112562849792,0.270547468641747
"R-HSA-69481",0.00692156101086172,18,3.8243668146181,2.11693663243473e-06,0.000155944587504823,52532,13,52,2.31664656212304,0.00284105466860407,0.119324687923987
"R-HSA-1461973",0.00838622007092966,20,3.5071539331333,2.14111561791519e-06,0.000155944587504823,669794,3,14,1.98569705324832,0.186132048137455,0.39979832191176
"R-HSA-5693538",0.00584628757517585,16,4.02467573860291,4.10024626751326e-06,0.000223975952362912,62231,10,45,2.05924138855381,0.0194176977538368,0.270547468641747
"R-HSA-5693567",0.00584628757517585,16,4.02467573860291,4.10024626751326e-06,0.000223975952362912,62231,10,45,2.05924138855381,0.0194176977538368,0.270547468641747
"R-HSA-1640170",0.0391931865434986,52,1.95111944139636,5.45779591631934e-06,0.000265006312825728,92483,44,251,1.62442149375958,0.000724442201346154,0.0633162483976538
"R-HSA-2559585",0.00216759339818888,9,6.10598561921518,2.33616330912456e-05,0.00102090336608743,23010,6,17,3.270559852409,0.00673943151169998,0.196342104707526
"R-HSA-69620",0.0152519436396187,26,2.50691289065129,2.68826851913539e-05,0.00106797576623833,47864,21,103,1.88930399241102,0.00286411065579073,0.119324687923987
"R-HSA-6803157",0.0103453626333152,20,2.8429902119784,4.20952270279162e-05,0.00147620324356821,669794,3,26,1.06922149021063,0.543200802010483,0.698172795525239
"R-HSA-9008059",0.00133150823642539,7,7.73117083728653,4.40126693000975e-05,0.00147620324356821,49083,5,9,5.14810347138453,0.00125607004642714,0.0784146586126656
"R-HSA-5693607",0.0042470012206387,12,4.15518101049086,4.72925524255263e-05,0.00147620324356821,38226,8,36,2.05924138855381,0.0348044194326533,0.298226103766069
"R-HSA-6796648",0.00511355537128007,13,3.73862130567638,6.6939483485462e-05,0.00195017028554313,271825,7,17,3.81565316114383,0.00122039031415822,0.0784146586126656
"R-HSA-110330",0.00154291201388205,7,6.67187600747128,0.000109196525558075,0.00265104898160438,85986,3,13,2.13844298042127,0.158213481805295,0.371890083935005
"R-HSA-110331",0.00154291201388205,7,6.67187600747128,0.000109196525558075,0.00265104898160438,85986,3,13,2.13844298042127,0.158213481805295,0.371890083935005
"R-HSA-73927",0.00154291201388205,7,6.67187600747128,0.000109196525558075,0.00265104898160438,85986,3,13,2.13844298042127,0.158213481805295,0.371890083935005
"R-HSA-73728",0.000697162679434828,5,10.5469517995878,0.000133122795325624,0.00306182429248936,47187,3,15,1.85331724969843,0.215195076652331,0.433365200447321
"R-HSA-174490",0.00216960676749799,8,5.4225060774124,0.000147629303305363,0.00307209550211637,39294,1,7,1.32379803549888,0.550529388424906,0.701403331608408
"R-HSA-174495",0.00216960676749799,8,5.4225060774124,0.000147629303305363,0.00307209550211637,39294,1,7,1.32379803549888,0.550529388424906,0.701403331608408
"R-HSA-74160",0.141178663976447,130,1.35414562798334,0.000195789504463417,0.00388909152047788,137336,107,634,1.56391913026603,8.06647882822809e-07,0.000192124873570454
"R-HSA-175474",0.00237013835068545,8,4.96372115954775,0.000266180586210307,0.00505743113799584,39294,1,9,1.02962069427691,0.642388505918441,0.762836350778148
"R-HSA-5693537",0.00129956277672083,6,6.78961383768546,0.000307137546303404,0.00536876430938351,117708,4,9,4.11848277710763,0.0108717059774965,0.259218858161189
"R-HSA-5693568",0.00129956277672083,6,6.78961383768546,0.000307137546303404,0.00536876430938351,117708,4,9,4.11848277710763,0.0108717059774965,0.259218858161189
"R-HSA-606279",0.00246610895441973,8,4.77055397786394,0.000345655089404762,0.00548952565205188,119726,6,22,2.52725079504332,0.0254657590124853,0.2714434236343
"R-HSA-774815",0.00246610895441973,8,4.77055397786394,0.000345655089404762,0.00548952565205188,119726,6,22,2.52725079504332,0.0254657590124853,0.2714434236343
"R-HSA-917729",0.00311991708139837,9,4.24219419053114,0.000351731620726436,0.00548952565205188,40373,2,13,1.42562865361418,0.417110078179335,0.609869322234048
"R-HSA-8939236",0.00314300371614285,9,4.2110335567435,0.000370758074874411,0.0055869406455213,145903,6,28,1.98569705324832,0.0740599149794001,0.316770858315833
"R-HSA-5693532",0.00975034489016265,17,2.56401186641337,0.000495542731020704,0.00705741142629103,61284,11,60,1.6988741455569,0.0538325188456921,0.300852507802728
"R-HSA-3232142",0.00398835037672824,10,3.68720923787163,0.000500640169828426,0.00705741142629103,135319,5,25,1.85331724969843,0.124982296089208,0.339237660813565
"R-HSA-162791",0.0010068188791761,5,7.30314193401664,0.00070424963452087,0.00961740907142564,88338,4,5,7.41326899879373,0.000615811406679212,0.0633162483976538
"R-HSA-212436",0.118615236803102,109,1.3513788107437,0.000755070923847079,0.00999896950670223,149792,90,509,1.63849265690431,8.79290039224045e-07,0.000192124873570454
"R-HSA-912446",0.00280945553393346,8,4.18753945035087,0.000802138657245544,0.010116720939526,56431,5,23,2.01447527141134,0.0943632727185288,0.32441601158419
