"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0050829","defense response to Gram-negative bacterium",0.0124855742089002,28,14.2840005642236,0,0,660884,4,36,9.37973137973138,0.000812371021273739,0.210503571637406
"GO:0042742","defense response to bacterium",0.0329693251105541,28,5.40939034834822,3.8746783559418e-13,8.36930524883428e-11,617598,6,97,5.22170612892262,0.000974553572395398,0.210503571637406
"GO:0090660","cerebrospinal fluid circulation",0.00585138811075894,10,10.8853260645639,4.0308723248117e-08,5.7862668192854e-06,359414,1,7,12.0596546310832,0.0800619550554321,0.997232259890088
"GO:0006505","GPI anchor metabolic process",0.00618345982214164,10,10.3007489897239,6.69706807787662e-08,5.7862668192854e-06,359414,1,12,7.03479853479854,0.133334540231065,0.997232259890088
"GO:0006506","GPI anchor biosynthetic process",0.00618345982214164,10,10.3007489897239,6.69706807787662e-08,5.7862668192854e-06,359414,1,12,7.03479853479854,0.133334540231065,0.997232259890088
"GO:0045087","innate immune response",0.0809777136124436,34,2.67432235232759,1.11230023636111e-07,8.00856170179998e-06,577096,5,341,1.23779446360092,0.379004028063877,0.997232259890088
"GO:0180046","GPI anchored protein biosynthesis",0.00682384548705954,10,9.33407235505417,1.64726270068805e-07,1.01659640956748e-05,359414,1,15,5.62783882783883,0.163821343837978,0.997232259890088
"GO:0051127","positive regulation of actin nucleation",0.00262167528970371,7,17.0066779193641,2.45932268549964e-07,1.32803425016981e-05,160463,2,7,24.1193092621664,0.00280413901987631,0.403796018862188
"GO:0006509","membrane protein ectodomain proteolysis",0.00949894217576499,11,7.37594702347721,3.98671051726751e-07,1.91362104828841e-05,339545,2,25,6.75340659340659,0.0348982819777122,0.997232259890088
"GO:0033619","membrane protein proteolysis",0.0100845641954751,11,6.94761745866553,7.11895446148247e-07,2.89223117695414e-05,339545,2,33,5.11621711621712,0.0578117474485624,0.997232259890088
"GO:0015074","DNA integration",0.00192263346558038,6,19.8771951043814,7.44013926468057e-07,2.89223117695414e-05,152170,1,5,16.8835164835165,0.0578573528119265,0.997232259890088
"GO:0006487","protein N-linked glycosylation",0.0102118091358109,11,6.86104620011118,8.03397549153928e-07,2.89223117695414e-05,356748,2,32,5.2760989010989,0.0547192908978666,0.997232259890088
"GO:0140546","defense response to symbiont",0.0934765760587839,35,2.38487486068745,1.04237311093769e-06,3.46388603019294e-05,545738,7,400,1.47730769230769,0.194822701241877,0.997232259890088
"GO:0032897","negative regulation of viral transcription",0.00218987468520971,6,17.4514828486153,1.56947612417468e-06,4.84295489745331e-05,184517,1,5,16.8835164835165,0.0578573528119265,0.997232259890088
"GO:0046782","regulation of viral transcription",0.00226208753109649,6,16.8943774209434,1.88909462017772e-06,5.44059250611184e-05,184517,1,6,14.0695970695971,0.0690251241932102,0.997232259890088
