"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GSE27786_LSK_VS_BCELL_DN",0.0168606257175984,12,4.53323158341216,1.68025697396823e-05,0.00312078941310578,303293,2,68,2.48287007110536,0.192434364572673,0.542339914612121
"GSE27786_NKCELL_VS_MONO_MAC_DN",0.0185832644984737,12,4.11300829439229,4.28818059117209e-05,0.00312078941310578,400838,2,77,2.19266447837876,0.231573901170151,0.542339914612121
"GSE2770_TGFB_AND_IL4_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_6H_UP",0.0158256196680947,11,4.42723228138535,4.70053525508662e-05,0.00312078941310578,327188,2,75,2.25113553113553,0.222816076796676,0.542339914612121
"GSE12963_ENV_NEF_VS_ENV_NEF_AND_VPR_DEFICIENT_HIV1_INF_CD4_TCELL_DN",0.019187275291207,12,3.9835317865135,5.80611983833634e-05,0.00312078941310578,321240,2,62,2.72314781992201,0.166896533975551,0.542339914612121
"GSE36476_YOUNG_VS_OLD_DONOR_MEMORY_CD4_TCELL_40H_TSST_ACT_UP",0.0214822478543523,12,3.55796663074171,0.000165743514134897,0.00712697110780058,301098,3,83,3.0512379187078,0.075130096120646,0.36711296968043
"GSE11961_MARGINAL_ZONE_BCELL_VS_MEMORY_BCELL_DAY40_UP",0.0189173495791655,11,3.70367391976939,0.000221616198454289,0.00794124711127868,326803,2,87,1.94063407856511,0.275592001676979,0.542339914612121
"GSE13547_CTRL_VS_ANTI_IGM_STIM_ZFX_KO_BCELL_2H_DN",0.01702008456688,10,3.74230029619645,0.000395326599871959,0.00845612371588798,359414,1,64,1.31902472527473,0.535050100567943,0.702774767403648
"GSE11818_WT_VS_DICER_KO_TREG_UP",0.0236800417921779,12,3.22774434647983,0.000397699865409384,0.00845612371588798,325566,2,69,2.44688644688645,0.196742178811435,0.542339914612121
"GSE18281_PERIMEDULLARY_CORTICAL_REGION_VS_WHOLE_MEDULLA_THYMUS_DN",0.0171623626647238,10,3.7112761663546,0.0004216137997477,0.00845612371588798,397417,2,76,2.22151532677848,0.227191759668856,0.542339914612121
"GSE24081_CONTROLLER_VS_PROGRESSOR_HIV_SPECIFIC_CD8_TCELL_UP",0.0239071498502456,12,3.19708210714725,0.000432641964022262,0.00845612371588798,302366,2,86,1.96319959110657,0.2711842580017,0.542339914612121
"GSE17721_CTRL_VS_GARDIQUIMOD_6H_BMDC_DN",0.0207683070973416,11,3.37358716524778,0.000483603036694258,0.00845612371588798,340149,2,98,1.72280780444046,0.323888381960574,0.585176488416163
"GSE2770_IL12_AND_TGFB_ACT_VS_ACT_CD4_TCELL_48H_UP",0.0207861589718824,11,3.37068981153718,0.00048703658332272,0.00845612371588798,329807,2,78,2.16455339532263,0.235961744201619,0.542339914612121
"GSE1112_OT1_CD8AB_VS_HY_CD8AA_THYMOCYTE_RTOC_CULTURE_DN",0.0175979215585948,10,3.61941990159715,0.000511300503751366,0.00845612371588798,359414,1,67,1.25996391668033,0.551516021457184,0.702774767403648
"GSE12198_CTRL_VS_HIGH_IL2_STIM_NK_CELL_UP",0.0246559890086143,12,3.09998195539446,0.000566818874254027,0.00870471842604399,321240,2,92,1.83516483516484,0.29760416968977,0.561271021783338
"GSE360_CTRL_VS_B_MALAYI_LOW_DOSE_DC_DN",0.0180940157563598,10,3.52018415224028,0.00063220020989152,0.00906153634177846,320409,2,86,1.96319959110657,0.2711842580017,0.542339914612121
"GSE17721_CPG_VS_GARDIQUIMOD_16H_BMDC_UP",0.0186064853578388,10,3.42322938969715,0.00078101599275171,0.00992166403998903,359414,1,78,1.08227669766131,0.607104882694427,0.702774767403648
"GSE32901_TH1_VS_TH17_NEG_CD4_TCELL_DN",0.0186174917767286,10,3.42120562102462,0.000784503668278203,0.00992166403998903,359414,1,56,1.5074568288854,0.4881605185102,0.702774767403648
"GSE20198_IL12_VS_IL12_IL18_TREATED_ACT_CD4_TCELL_UP",0.0188292982280471,10,3.38272126472818,0.000854162424339999,0.0102024956240611,359414,1,78,1.08227669766131,0.607104882694427,0.702774767403648
"GSE37533_UNTREATED_VS_PIOGLIZATONE_TREATED_CD4_TCELL_FOXP3_TRASDUCED_CD4_TCELL_DN",0.022804091918094,11,3.07241763974489,0.00103179369188522,0.0116755601976485,328794,2,70,2.41193092621664,0.201062242033281,0.542339914612121
"GSE37416_CTRL_VS_0H_F_TULARENSIS_LVS_NEUTROPHIL_UP",0.0198885989338807,10,3.20255175981345,0.00128332478102844,0.0131939686073998,359414,1,71,1.18898003405046,0.57257658488771,0.702774767403648
"GSE3691_CONVENTIONAL_VS_PLASMACYTOID_DC_SPLEEN_UP",0.0271878680271316,12,2.81129513144735,0.00130669297247632,0.0131939686073998,312675,2,101,1.67163529539767,0.336945789923096,0.598705329202195
"GSE43955_TGFB_IL6_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_52H_UP",0.020043359921441,10,3.17782386613673,0.00135864656499463,0.0131939686073998,131041,3,72,3.51739926739927,0.0534259710924594,0.36711296968043
"GSE27786_BCELL_VS_MONO_MAC_DN",0.0202128856172682,10,3.15117142213028,0.00144525301562548,0.0131939686073998,359414,1,80,1.05521978021978,0.616453078673927,0.702774767403648
"GSE28737_BCL6_HET_VS_BCL6_KO_FOLLICULAR_BCELL_UP",0.0202650989946844,10,3.14305237455937,0.0014728151003609,0.0131939686073998,359414,1,72,1.17246642246642,0.577687021200313,0.702774767403648
"GSE17721_POLYIC_VS_GARDIQUIMOD_12H_BMDC_DN",0.0137525204028135,8,3.7051691268398,0.00160038012868857,0.0137632691067217,149549,3,72,3.51739926739927,0.0534259710924594,0.36711296968043
"GSE12845_IGD_POS_BLOOD_VS_PRE_GC_TONSIL_BCELL_DN",0.0143721012515372,8,3.54543939824309,0.00210007212297647,0.0173659810169208,371278,3,88,2.87787212787213,0.0861019693980022,0.385665071261885
"GSE27786_CD8_TCELL_VS_MONO_MAC_DN",0.0216051976068287,10,2.9480992803228,0.00234045055221177,0.0178439523232575,359414,1,74,1.14077814077814,0.587727284358465,0.702774767403648
"GSE15330_WT_VS_IKAROS_KO_GRANULOCYTE_MONOCYTE_PROGENITOR_DN",0.0254169083828376,11,2.75657814916724,0.00240469181659009,0.0178439523232575,332162,2,94,1.79611877484218,0.306386225393907,0.57280903008426
"GSE19198_1H_VS_6H_IL21_TREATED_TCELL_UP",0.0216900275670526,10,2.93656922837092,0.00240685868546264,0.0178439523232575,359414,1,69,1.22344322344322,0.562171526677179,0.702774767403648
"GSE17721_CTRL_VS_LPS_1H_BMDC_DN",0.022053642064278,10,2.88815186762707,0.00270890129978052,0.0194062195590251,359414,1,86,0.981599795553284,0.643197824195197,0.702774767403648
"GSE2770_UNTREATED_VS_ACT_CD4_TCELL_48H_UP",0.0151103366648779,8,3.37222228351658,0.00284770406134716,0.0194062195590251,152983,3,72,3.51739926739927,0.0534259710924594,0.36711296968043
"GSE2770_TGFB_AND_IL4_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_2H_DN",0.0151459061893389,8,3.36430276113859,0.00288836756227351,0.0194062195590251,152983,3,71,3.56694010215137,0.0516278953926772,0.36711296968043
"GSE22033_WT_VS_PPARG_KO_MEF_DN",0.0224537656583087,10,2.83668532419882,0.00307564447004016,0.0200382897290495,359414,1,79,1.06857699262763,0.611806810058289,0.702774767403648
"GSE18203_CTRL_VS_INTRATUMORAL_CPG_INJ_MC38_TUMOR_UP",0.0226588608785968,10,2.8110092496348,0.00327843774465353,0.0207312975029561,359414,1,84,1.00497121925693,0.634494485445028,0.702774767403648
"GSE17721_PAM3CSK4_VS_GADIQUIMOD_1H_BMDC_DN",0.0124235624341796,7,3.58882466260095,0.0036972463920153,0.0223357391941405,176095,2,72,2.34493284493285,0.209735606692925,0.542339914612121
"GSE2706_UNSTIM_VS_2H_LPS_DC_UP",0.0124500046844393,7,3.58120244861214,0.0037399377255305,0.0223357391941405,226706,3,66,3.83716283716284,0.0430948360872183,0.36711296968043
"GSE32423_CTRL_VS_IL7_MEMORY_CD8_TCELL_UP",0.0233427353205915,10,2.72865483162706,0.00403287216789905,0.0234342571918458,359414,1,81,1.04219237552571,0.621044340163097,0.702774767403648
"GSE45365_WT_VS_IFNAR_KO_CD8A_DC_MCMV_INFECTION_DN",0.023482060476782,10,2.71246501468224,0.00420221554263822,0.0237756932017689,359414,1,83,1.01707930623593,0.630064410614913,0.702774767403648
"GSE10239_MEMORY_VS_KLRG1INT_EFF_CD8_TCELL_DN",0.0162838625228484,8,3.12919701583342,0.00444693590280054,0.0244211409890255,161611,3,82,3.08844813722862,0.0730158813871564,0.36711296968043
"GSE17721_CTRL_VS_POLYIC_24H_BMDC_DN",0.0237498385948937,10,2.68188212149021,0.0045434680909815,0.0244211409890255,359414,1,99,0.852702852702853,0.694980231251185,0.704814857165117
