"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"R-HSA-1461957",0.00798918364317297,27,21.5259192896325,0,0,683057,3,12,21.1043956043956,0.000327467689647865,0.00878754907829438
"R-HSA-1461973",0.00838622007092966,27,20.5067981567921,0,0,683057,3,14,18.0894819466248,0.000532578732017841,0.00878754907829438
"R-HSA-6803157",0.0103453626333152,27,16.6233440420138,0,0,683057,3,26,9.74049027895182,0.00343266604284931,0.0377593264713424
"R-HSA-9635465",0.00217833136783747,6,17.5439609757323,1.52275122156098e-06,1.25626975778781e-05,184517,1,5,16.8835164835165,0.0578573528119265,0.272756091827653
"R-HSA-168249",0.0810395911625436,30,2.35789445389119,9.0377896755367e-06,5.96494118585422e-05,620889,6,383,1.32246865406134,0.300760739789922,0.551394689614858
"R-HSA-3232142",0.00398835037672824,6,9.58204693663456,4.54479099134542e-05,0.000249963504523998,184517,1,25,3.3767032967033,0.257983671989976,0.550225744077824
"R-HSA-9637690",0.00440820498998819,6,8.66941546419704,7.85093796640268e-05,0.000370115646987555,184517,1,14,6.0298273155416,0.153778812795251,0.520270162477488
"R-HSA-9635486",0.00456873763623463,6,8.36479648261235,9.53203330852359e-05,0.000393196373976598,184517,1,17,4.96574014221073,0.183554118169774,0.531429478186449
"R-HSA-8948751",0.0054751564991964,6,6.97999418193129,0.000251393859674875,0.000921777485474543,184517,1,18,4.68986568986569,0.19324708297689,0.531429478186449
"R-HSA-9824439",0.00820837244862485,6,4.65580244424174,0.00201415095916602,0.00664669816524785,184517,1,38,2.22151532677848,0.364873605258551,0.633727840712221
"R-HSA-168256",0.16940086692998,40,1.50398917479569,0.00438147484312712,0.0131444245293814,555957,10,774,1.09066643950365,0.435951959632159,0.685067365136249
"R-HSA-6807070",0.0113672146699994,6,3.3619986618548,0.00952339010742831,0.0261893227954278,184517,1,47,1.79611877484218,0.429803224021767,0.685067365136249
"R-HSA-8951664",0.0136103765295902,6,2.80789884295029,0.0211691681077222,0.0537371190426794,429822,2,85,1.98629605688429,0.266776118340763,0.550225744077824
"R-HSA-3108232",0.0184620596660653,6,2.07000525406162,0.0721951895874571,0.170174375456149,184517,1,90,0.937973137973138,0.659994223636927,0.859990559338227
"R-HSA-2990846",0.0189381543953597,6,2.01796646662243,0.0793270412424019,0.174519490733284,184517,1,93,0.907715939974004,0.6720760693069,0.859990559338227
"R-HSA-1257604",0.0262009143918054,6,1.45859644201985,0.230947008550067,0.476328205134513,184517,1,109,0.77447323318883,0.729688959438495,0.859990559338227
"R-HSA-983168",0.0219965966005199,5,1.44782096686762,0.264644264568407,0.513721219456319,513727,1,123,0.686321808273028,0.771809954479555,0.87826649992501
"R-HSA-9709957",0.0292888860134992,6,1.304814409532,0.312905481046959,0.573660048586092,93866,4,146,2.31281047719404,0.0946053143103226,0.390246921530081
"R-HSA-9006925",0.0306476418479079,6,1.2469657763298,0.350503938865508,0.608769999082199,184517,1,135,0.625315425315425,0.802698671856746,0.882968539042421
"R-HSA-212436",0.118615236803102,20,1.07396434442321,0.402689645674893,0.664437915363573,344232,13,509,2.15604827392647,0.00663729939054925,0.0547577199720313
"R-HSA-597592",0.117365471360627,19,1.03113042428298,0.480034977722223,0.754340679277779,277485,10,589,1.4332356946958,0.157657624993178,0.520270162477488
"R-HSA-73857",0.125673170028501,20,1.01364941302075,0.510096094194379,0.765144141291568,344232,13,550,1.99532467532468,0.012336927313744,0.0814237202707106
"R-HSA-5663205",0.090615309821296,13,0.913780992792464,0.673618151298173,0.918263456740784,185649,7,428,1.38066139468009,0.243187512796296,0.550225744077824
"R-HSA-392499",0.151555435170985,22,0.924594940306432,0.688285997436987,0.918263456740784,246857,12,787,1.28718041805717,0.218549476599553,0.550225744077824
"R-HSA-983169",0.0380544248622654,5,0.836883854459229,0.716692678083234,0.918263456740784,513727,1,153,0.551748904690081,0.841441228543502,0.895727759417276
"R-HSA-74160",0.141178663976447,20,0.902321437558718,0.723480299250315,0.918263456740784,344232,13,634,1.73095989184317,0.0352349815932183,0.1937923987627
"R-HSA-1643685",0.165592645994106,18,0.692359741221496,0.970780983149344,0.999999670851814,205179,11,765,1.21384759031818,0.294487644703032,0.551394689614858
"R-HSA-1280218",0.0748757281350106,6,0.510399851346283,0.979941325596798,0.999999670851814,575951,2,301,0.560914168887591,0.877504009091208,0.904926009375308
"R-HSA-388396",0.06614455078912,5,0.481477814544328,0.980337024951659,0.999999670851814,37587,3,279,0.907715939974004,0.647956716193392,0.859990559338227
"R-HSA-372790",0.0733298631794752,5,0.43429964788037,0.991282076715495,0.999999670851814,37587,3,315,0.803976975405547,0.727588229038322,0.859990559338227
"R-HSA-1280215",0.0799280770792937,5,0.398447390725632,0.996011000086815,0.999999670851814,208590,3,297,0.852702852702853,0.689642800580751,0.859990559338227
"R-HSA-1430728",0.157371924880386,11,0.445210887016661,0.999689182759784,0.999999670851814,146615,9,869,0.87429026669533,0.715382927490116,0.859990559338227
"R-HSA-162582",0.247886566236226,15,0.385423876430795,0.999999670851814,0.999999670851814,160531,8,1186,0.5694272001186,0.978706999204573,0.978706999204573
