"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"Defensin",0.00785482479794497,27,21.8941258037973,0,0,682978,3,10,25.3252747252747,0.000181717882409727,0.00745043317879879
"Antimicrobial",0.00863601208988003,27,19.9136500161364,0,0,682978,3,14,18.0894819466248,0.000532578732017841,0.00829386275589306
"GPI-anchor biosynthesis",0.00594574801904594,10,10.7125743156105,4.67097358569646e-08,6.38366390045183e-07,359414,1,9,9.37973137973138,0.101748851403582,0.404277124699287
"Proto-oncogene",0.0189980185761506,6,2.01160770300171,0.0802510336739463,0.822573095157949,184517,1,98,0.861403902220229,0.691275867317362,0.999979837631009
"Protein phosphatase",0.0166331149856688,5,1.91468247441333,0.122528385055868,1,40909,3,65,3.89619611158073,0.0414810763820239,0.209126266736882
"Chromosomal rearrangement",0.0335336054155876,8,1.51953282032277,0.159014520805244,1,145602,3,151,1.6771705116076,0.265412930957864,0.638108203448799
"Zinc-finger",0.164575357594523,29,1.12236350870506,0.277962797297932,1,281010,19,717,2.23700706545895,0.00060686800652876,0.00829386275589306
"Zinc",0.173206000699579,29,1.0664375082279,0.383363402561416,1,281010,19,758,2.11600800255154,0.00119410053379476,0.0122395304713963
"Disulfide bond",0.267987105846046,44,1.04577709507809,0.393636437759871,1,480076,11,1250,0.742874725274725,0.89456280768186,0.999979837631009
"Metal-binding",0.183767330747451,29,1.00514805893343,0.52019356546536,1,281010,19,814,1.97043497043497,0.00274276990734235,0.0224907132402072
"Signal",0.264107343187389,41,0.98878923116499,0.563830965705409,1,508083,12,1252,0.809114208475231,0.828688995386909,0.999979837631009
"Microtubule",0.0320725704202761,5,0.992971044747577,0.568640028051107,1,229386,3,126,2.00994243851387,0.187439943976495,0.638108203448799
"Receptor",0.0564940690166892,8,0.901960416370183,0.667180661267865,1,48552,3,241,1.05084127490766,0.547888112852172,0.999979837631009
"Ubl conjugation pathway",0.050322420961161,7,0.886006404492305,0.680493740595133,1,159628,2,266,0.634718664793853,0.829078419370624,0.999979837631009
"Magnesium",0.0523027710136026,7,0.852459370643113,0.718649395289576,1,187957,6,276,1.83516483516484,0.108464594431516,0.404277124699287
"Palmitate",0.0382698553783403,5,0.832172827493527,0.72129184111005,1,12552,3,155,1.63388869195321,0.27830378085825,0.638108203448799
"G-protein coupled receptor",0.0516633249210289,6,0.739723209219903,0.82593612490744,1,63932,2,217,0.778042234263432,0.733113105273646,0.999979837631009
"Transducer",0.0516633249210289,6,0.739723209219903,0.82593612490744,1,63932,2,217,0.778042234263432,0.733113105273646,0.999979837631009
"Repressor",0.0832351032818188,10,0.76523323699457,0.849934059532334,1,117895,5,299,1.4116652578191,0.280145064928741,0.638108203448799
"Endosome",0.0721092244796716,7,0.618311839891106,0.940480489563855,1,176095,2,289,0.584204722613027,0.862512389010507,0.999979837631009
"Cytoskeleton",0.128203304126951,14,0.695551297445441,0.949190684342399,1,152937,9,588,1.29210585333034,0.260000594896028,0.638108203448799
"Cytoplasm",0.128403164587035,14,0.69446866678936,0.949930499576571,1,152937,9,591,1.28554694036928,0.264774567672909,0.638108203448799
"Isopeptide bond",0.153294717804815,17,0.706353462974108,0.958414973266997,1,256853,15,725,1.7465706707086,0.0224484136505443,0.153397493278719
"Hydrolase",0.0818435966399819,7,0.544770624600893,0.976250906002922,1,38619,5,404,1.04477205962354,0.525839636031992,0.999979837631009
"Transcription",0.249302501759014,28,0.715371678126924,0.986602028996254,1,269189,18,1005,1.5119567000164,0.0456925536506966,0.209126266736882
"Transport",0.0819282923755852,6,0.466463530502471,0.990608469462473,1,14585,6,418,1.21173563278826,0.375143044302028,0.769043240819158
"Golgi apparatus",0.0895534588476709,6,0.426745778457982,0.996039716299709,1,59871,6,389,1.30207067996271,0.313336401912852,0.676146972548787
"Lipoprotein",0.0802310220480046,5,0.396942889982215,0.996154505874132,1,12552,3,334,0.758241758241758,0.763669789399319,0.999979837631009
"Ubl conjugation",0.225419243891236,20,0.565118278425739,0.999367690813799,1,190278,19,1077,1.48926097115512,0.0459057658690716,0.209126266736882
"Coiled coil",0.174946625579615,12,0.436893942743267,0.99988657410188,1,146967,8,838,0.805895774869522,0.790194871763019,0.999979837631009
"Transmembrane helix",0.392502320072567,38,0.616654231536162,0.999976543131961,1,185579,20,1851,0.912129469665936,0.720555308232331,0.999979837631009
"Transmembrane",0.393147537823827,38,0.615642203688349,0.999978105686395,1,185579,20,1855,0.910162613666657,0.724430918480946,0.999979837631009
"Membrane",0.422555481075805,40,0.602943474819081,0.999995963560905,1,177318,22,2030,0.914870351323553,0.724788402303928,0.999979837631009
"Repeat",0.380405863038808,33,0.55254427763934,0.999998486771183,1,241564,26,1941,1.1307867814823,0.267468163732406,0.638108203448799
"Direct protein sequencing",0.213274465994058,8,0.238919430768419,0.999999997683065,1,46573,8,1052,0.641958801654619,0.943421677872118,0.999979837631009
"Acetylation",0.248924256778142,11,0.281465917280859,0.99999999886618,1,139111,10,1287,0.655925271309887,0.954097910085623,0.999979837631009
"Disease variant",0.312769405591637,14,0.285104530456279,0.999999999995977,1,130769,14,1481,0.798005505635485,0.861513026878245,0.999979837631009
"Reference proteome",0.95573057252975,119,0.793070563216598,1,1,285847,79,7162,0.931162944846274,0.992099174463406,0.999979837631009
"Alternative splicing",0.710857751700022,47,0.421129342134782,1,1,97634,45,4260,0.891735025537842,0.89683775679973,0.999979837631009
"Phosphoprotein",0.602251107957131,30,0.317280948134631,1,1,125709,25,3336,0.632625767517854,0.999460679292831,0.999979837631009
"3D-structure",0.564819485334484,22,0.248092341311577,1,1,67199,19,3108,0.516066301780587,0.999979837631009,0.999979837631009
