"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GSE17721_POLYIC_VS_GARDIQUIMOD_0.5H_BMDC_DN",0.00996876521037907,145,1.47849485179364,5.00015025051148e-06,0.0188339898732268,133591,78,80,1.00069297700435,0.661847419952,0.903227067228612
"GSE45837_WT_VS_GFI1_KO_PDC_DN",0.0134434955544367,184,1.39122956053691,1.05945966448751e-05,0.0188339898732268,110907,76,81,0.962996723676235,0.982453532938174,0.989767082811163
"GSE29618_PRE_VS_DAY7_POST_LAIV_FLU_VACCINE_PDC_DN",0.0140698916032568,191,1.37986245330141,1.15972844046963e-05,0.0188339898732268,197079,78,80,1.00069297700435,0.661847419952,0.903227067228612
"GSE17721_0.5H_VS_12H_CPG_BMDC_UP",0.0156339925515276,206,1.33933895763652,3.04208512424964e-05,0.0270926727782782,115219,90,91,1.01507318039326,0.316958835431982,0.852739575285961
"GSE13229_IMM_VS_INTMATURE_NKCELL_DN",0.013802708454471,185,1.36238732785386,3.0951924669731e-05,0.0270926727782782,137652,80,80,1.02635177128651,0.123564172906747,0.764206157028566
"GSE17721_CPG_VS_GARDIQUIMOD_24H_BMDC_UP",0.0170079616530109,220,1.31481180461464,4.89617905259365e-05,0.0270926727782782,141577,94,96,1.00496944271804,0.550638850122329,0.903227067228612
"GSE21927_BALBC_VS_C57BL6_MONOCYTE_TUMOR_UP",0.00945517982437971,133,1.42979913439432,5.17249730236369e-05,0.0270926727782782,124001,73,75,0.998982390718873,0.697200348859787,0.916804345383234
"GSE9988_ANTI_TREM1_AND_LPS_VS_CTRL_TREATED_MONOCYTES_DN",0.016496940145712,214,1.31857111105199,5.24389986091833e-05,0.0270926727782782,111555,104,105,1.01657699251236,0.243449170750012,0.852739575285961
"GSE17721_0.5H_VS_12H_LPS_BMDC_UP",0.0162211207739351,210,1.31592645722571,6.81746403671246e-05,0.0270926727782782,174206,77,77,1.02635177128651,0.133693021918266,0.764206157028566
"GSE21360_PRIMARY_VS_TERTIARY_MEMORY_CD8_TCELL_UP",0.0150787104013995,197,1.32799123195697,6.97914740297456e-05,0.0270926727782782,98067,88,90,1.00354395414681,0.591703530560811,0.903227067228612
"GSE3203_INFLUENZA_INF_VS_IFNB_TREATED_LN_BCELL_DN",0.015106508244152,197,1.32554756391364,7.68019762980021e-05,0.0270926727782782,148010,98,99,1.01598458167756,0.272969800346499,0.852739575285961
"GSE11864_CSF1_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP",0.0142606981549654,187,1.33288905172722,8.6923230062208e-05,0.0270926727782782,170468,84,87,0.990960330897323,0.81552968560258,0.948182450410354
"GSE9988_LPS_VS_CTRL_TREATED_MONOCYTE_DN",0.0150610331324647,196,1.32280092281179,8.89183174541675e-05,0.0270926727782782,121328,89,89,1.02635177128651,0.0975366153644444,0.764206157028566
"GSE24634_NAIVE_CD4_TCELL_VS_DAY5_IL4_CONV_TREG_UP",0.0197043523999996,248,1.27933033141021,9.03090130706108e-05,0.0270926727782782,122216,95,96,1.01566060700228,0.288829286692413,0.852739575285961
"GSE2770_TGFB_AND_IL4_VS_IL12_TREATED_ACT_CD4_TCELL_2H_DN",0.0164927569752007,212,1.30657932915549,9.2872332307814e-05,0.0270926727782782,119812,95,95,1.02635177128651,0.0832953373607334,0.764206157028566
"GSE2826_XID_VS_BTK_KO_BCELL_UP",0.0132288044485185,175,1.3446542653284,9.399342588301e-05,0.0270926727782782,171173,83,84,1.01413329781882,0.360033951500923,0.852739575285961
"GSE6674_ANTI_IGM_VS_PL2_3_STIM_BCELL_DN",0.0125352077895493,167,1.35418536355005,9.60904793609885e-05,0.0270926727782782,97025,78,80,1.00069297700435,0.661847419952,0.903227067228612
"GSE36392_TYPE_2_MYELOID_VS_NEUTROPHIL_IL25_TREATED_LUNG_DN",0.0192894088734762,243,1.28050281205405,0.000100096081693146,0.0270926727782782,193557,92,92,1.02635177128651,0.0901364741413162,0.764206157028566
"GSE25123_CTRL_VS_ROSIGLITAZONE_STIM_PPARG_KO_MACROPHAGE_DN",0.0205822784434342,257,1.26920816095711,0.000109697960896549,0.0281288666046308,148578,103,103,1.02635177128651,0.0674753650696632,0.764206157028566
"GSE17721_LPS_VS_PAM3CSK4_12H_BMDC_DN",0.0098490725573624,135,1.39325821805327,0.000135237506246444,0.0329438565216337,112328,72,74,0.998612534224716,0.704256579885284,0.920844024599113
"GSE21033_1H_VS_24H_POLYIC_STIM_DC_UP",0.0147833245869085,191,1.31327124904958,0.000154819711426502,0.0342608307493481,109278,90,91,1.01507318039326,0.316958835431982,0.852739575285961
"GSE12366_PLASMA_CELL_VS_MEMORY_BCELL_UP",0.0142616427418551,185,1.31854621720714,0.000160057226943566,0.0342608307493481,122721,88,89,1.01481972891251,0.328819870196207,0.852739575285961
"GSE17721_POLYIC_VS_PAM3CSK4_6H_BMDC_DN",0.0142647463844925,185,1.31825933539734,0.000161740375048236,0.0342608307493481,109012,84,85,1.0142770445655,0.353610844722277,0.852739575285961
"GSE33424_CD161_HIGH_VS_INT_CD8_TCELL_DN",0.0159695907793206,204,1.29846294885678,0.000170464634246636,0.0346043207520672,139493,82,84,1.00191482435112,0.633622567051316,0.903227067228612
"GSE15330_HSC_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_DN",0.0120156850002436,159,1.3450603530393,0.000186572761681214,0.0357406132084904,99855,84,86,1.00248312544264,0.619577925888717,0.903227067228612
"GSE9988_LOW_LPS_VS_VEHICLE_TREATED_MONOCYTE_DN",0.016459696434063,209,1.29067722489443,0.000195175417769589,0.0357406132084904,130617,91,93,1.00427969018358,0.571042161630012,0.903227067228612
"GSE9988_LPS_VS_VEHICLE_TREATED_MONOCYTE_DN",0.0153033871401512,196,1.30185222027431,0.000198069900785969,0.0357406132084904,94665,87,89,1.0032876865385,0.598640646504084,0.903227067228612
"GSE25088_CTRL_VS_IL4_STIM_STAT6_KO_MACROPHAGE_DN",0.0133912733935377,174,1.32074979958792,0.000226700321945827,0.039445856018574,78405,74,74,1.02635177128651,0.144647922863974,0.776128502415506
"GSE2770_UNTREATED_VS_IL12_TREATED_ACT_CD4_TCELL_6H_UP",0.015117438463875,193,1.29769395420668,0.000256850680227405,0.0431509142782041,116550,86,88,1.00302559466637,0.605599944342507,0.903227067228612
"GSE21033_3H_VS_12H_POLYIC_STIM_DC_UP",0.012114596741688,159,1.33407837281299,0.000266215987165364,0.043233476315655,131210,73,73,1.02635177128651,0.148494556035971,0.787231204578075
"GSE360_L_DONOVANI_VS_M_TUBERCULOSIS_DC_UP",0.0202904010945333,250,1.25239855634342,0.00028455598043986,0.0447211850549354,143657,103,103,1.02635177128651,0.0674753650696632,0.764206157028566
"GSE23114_PERITONEAL_CAVITY_B1A_BCELL_VS_SPLEEN_BCELL_IN_SLE2C1_MOUSE_DN",0.0162365040461379,205,1.2833777857779,0.000295171340175759,0.0449398365417594,116890,89,90,1.01494786271666,0.322845241551557,0.852739575285961
"GSE5589_UNSTIM_VS_180MIN_LPS_AND_IL10_STIM_MACROPHAGE_DN",0.012169112899319,159,1.32810186265435,0.000322410004925056,0.0475994407271173,131132,76,77,1.01302252750357,0.407554847717461,0.863307486121508
"GSE22886_IGG_IGA_MEMORY_BCELL_VS_BM_PLASMA_CELL_DN",0.014770370252422,188,1.2937776636818,0.000351395806386989,0.0498111025029533,131994,85,85,1.02635177128651,0.108352100952005,0.764206157028566
"GSE37532_TREG_VS_TCONV_CD4_TCELL_FROM_LN_UP",0.0103587446548189,138,1.35414490622507,0.000362007277375787,0.0498111025029533,70155,68,70,0.997027434964042,0.732346752663882,0.937042740700755
"GSE6674_ANTI_IGM_VS_ANTI_IGM_AND_CPG_STIM_BCELL_DN",0.0131840040417524,170,1.31067427553902,0.000371381166058393,0.0498111025029533,120736,88,88,1.02635177128651,0.100135303620981,0.764206157028566
"GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL6_KO_MACROPHAGE_180MIN_UP",0.0157799986964701,199,1.28185616131319,0.000378286287481377,0.0498111025029533,149963,84,89,0.968691559416485,0.973414792344697,0.987398889923665
"GSE7831_UNSTIM_VS_CPG_STIM_PDC_4H_UP",0.0180663037923679,224,1.26029406568737,0.000413406195876931,0.050171002799553,121211,102,103,1.01638719098276,0.25297103064453,0.852739575285961
"GSE22919_RESTING_VS_IL2_IL12_IL15_STIM_NK_CELL_UP",0.0135757377189873,174,1.30280372358736,0.000417852071697311,0.050171002799553,112576,85,86,1.01441744836458,0.347278295170695,0.852739575285961
"GSE18893_TCONV_VS_TREG_24H_CULTURE_UP",0.0229082561886972,277,1.22908217293572,0.000419904318989195,0.050171002799553,120600,107,107,1.02635177128651,0.060725823434038,0.764206157028566
"GSE41867_DAY6_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_DN",0.0123358999558338,160,1.31838522060153,0.000422210819946978,0.050171002799553,131842,83,85,1.00220231784448,0.626592882814735,0.903227067228612
"GSE41087_WT_VS_FOXP3_MUT_ANTI_CD3_CD28_STIM_CD4_TCELL_DN",0.0136797772178327,175,1.30032587838546,0.000438429614080249,0.0506209323210716,180587,77,81,0.975667733198291,0.943219431708672,0.980239989608501
"GSE43863_TH1_VS_TFH_MEMORY_CD4_TCELL_UP",0.0178301570699562,221,1.25988320472045,0.000456727462165407,0.0506209323210716,113573,89,90,1.01494786271666,0.322845241551557,0.852739575285961
"GSE21033_CTRL_VS_POLYIC_STIM_DC_3H_DN",0.0120054294854417,156,1.32080918047991,0.000457167697480942,0.0506209323210716,93295,79,80,1.01352237414543,0.38663828444308,0.852739575285961
"GSE27670_CTRL_VS_LMP1_TRANSDUCED_GC_BCELL_DN",0.0200271312342903,245,1.24348491884921,0.00047464098850647,0.0513877976889671,140004,95,97,1.00518987909504,0.543901929607651,0.903227067228612
"GSE20152_SPHK1_KO_VS_WT_HTNFA_OVERXPRESS_ANKLE_UP",0.0194010050674388,238,1.2469410136478,0.000490127713640875,0.0519109178447466,119091,100,100,1.02635177128651,0.0730229188010945,0.764206157028566
"GSE2770_UNTREATED_VS_ACT_CD4_TCELL_2H_UP",0.0147980331541902,187,1.28449019154669,0.000504695708110958,0.0523165423386508,143733,97,98,1.01587879402849,0.278173085762057,0.852739575285961
"GSE369_PRE_VS_POST_IL6_INJECTION_IFNG_KO_LIVER_UP",0.0150805995751788,190,1.28064327767101,0.000525283390123699,0.0533162640975554,97092,77,78,1.01319341524438,0.400490685707236,0.860692819040871
"GSE19198_1H_VS_6H_IL21_TREATED_TCELL_DN",0.0145560839694564,184,1.28489148946407,0.000548265319862962,0.054513237517803,147797,82,84,1.00191482435112,0.633622567051316,0.903227067228612
"GSE29617_CTRL_VS_DAY7_TIV_FLU_VACCINE_PBMC_2008_DN",0.008569697085828,116,1.3758962908184,0.000583282563245913,0.0557921578288024,98893,65,65,1.02635177128651,0.183166653252465,0.852739575285961
"GSE17721_POLYIC_VS_GARDIQUIMOD_24H_BMDC_UP",0.0171082228042977,212,1.25957532767045,0.000593255724236741,0.0557921578288024,155748,91,91,1.02635177128651,0.092538904681668,0.764206157028566
