"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"Reference proteome",0.95537650086423,9549,1.01595979146814,4.32986979603811e-15,1.84452453311224e-12,138795,7498,7677,1.00242094322083,1.10959064252292e-05,0.00336226207833668
"Acetylation",0.252878055047015,2811,1.12990748293639,7.54951656745106e-14,1.60804702886708e-11,120938,1365,1391,1.00716762602882,0.0394599549390209,0.999914387237644
"Phosphoprotein",0.605186024917932,6234,1.04705884315163,3.44117667694377e-09,4.88647088126015e-07,137679,3534,3600,1.00753532214626,0.000111063347269402,0.0118282464841913
"Alternative splicing",0.714595230348983,7275,1.03482298455443,1.87152719988148e-08,1.99317646787378e-06,140434,4445,4531,1.0068712477088,1.57852679734116e-05,0.00336226207833668
"Isopeptide bond",0.155638772161189,1713,1.1187492283153,3.36602328676605e-07,2.86785184032468e-05,134036,765,783,1.00275747769372,0.361580002333956,0.999914387237644
"Transport",0.0776125215517619,889,1.16429531335822,2.07948018993154e-06,0.000147643093485139,141330,454,460,1.01296457426973,0.0443773941332807,0.999914387237644
"Ubl conjugation",0.228244173551918,2416,1.07594584240922,2.54254820228894e-05,0.00150542725722264,137964,1135,1157,1.00683600726897,0.0702938855845209,0.999914387237644
"3D-structure",0.568924548693252,5795,1.03536134916939,2.82709344079368e-05,0.00150542725722264,135751,3274,3332,1.00848610419929,4.40813007783758e-05,0.00625954471052936
"Disease variant",0.311770213855821,3240,1.05633962483105,9.45913113006291e-05,0.00447732206822978,146623,1584,1610,1.00977714640859,0.0032023228936362,0.22736492544817
"Ion channel",0.0200974354870769,250,1.26442346610654,0.000167009667570994,0.00711461183852435,172928,128,129,1.01839555600522,0.151357521925477,0.999914387237644
"Repeat",0.38261814386787,3932,1.04457861458428,0.000268185005598554,0.0103860738531803,150162,2018,2066,1.00250623158576,0.234519047617618,0.999914387237644
"Cell cycle",0.0310279250921006,362,1.18590259124364,0.000713975434295744,0.0236308223097065,152128,174,176,1.01468868297644,0.164858017459635,0.999914387237644
