Category	Disorders_Enriched	BrainRegions_Enriched	Average_Enrichment
Coding_UCSCL2_0	3	3	7.007983379647358
Backgrd_Selection_StatL2_0	3	3	1.3069530709887798
CpG_Content_50kbL2_0	3	3	1.1923740587858829
Human_Promoter_Villar_ExACL2_0	2	3	12.297282693542625
Conserved_Primate_phastCons46wayL2_0	2	3	11.090072692164357
Ancient_Sequence_Age_Human_EnhancerL2_0	2	3	9.146287610702899
Conserved_Mammal_phastCons46wayL2_0	2	3	7.590593062008561
Conserved_LindbladTohL2_0	2	3	6.999976428043833
Conserved_Vertebrate_phastCons46wayL2_0	2	3	5.889421017237733
GTEx_eQTL_MaxCPPL2_0	2	3	4.45455138674827
H3K9ac_peaks_TrynkaL2_0	2	3	4.021856224994433
FetalDHS_TrynkaL2_0	2	3	2.6536202766047494
Conserved_Primate_phastCons46way.flanking.500L2_0	2	3	2.21343298918378
H3K4me1_peaks_TrynkaL2_0	2	3	2.070052185989912
SuperEnhancer_HniszL2_0	2	3	1.948497585809391
GERP.NSL2_0	2	3	1.9463001506754036
H3K4me3_TrynkaL2_0	2	3	1.7518793644004713
H3K27ac_HniszL2_0	2	3	1.5211686720662012
MAFbin9L2_0	2	3	1.5057796678151758
H3K4me1_TrynkaL2_0	2	3	1.3202804638925372
Intron_UCSCL2_0	2	3	1.2487161979032806
GERP.RSsup4L2_0	1	3	14.378085871252802
UTR_3_UCSCL2_0	1	3	4.750714048113616
BivFlnkL2_0	1	3	3.73471987101934
UTR_5_UCSC.flanking.500L2_0	1	3	3.0485489552393585
H3K4me3_peaks_TrynkaL2_0	1	3	3.0272111580842638
BLUEPRINT_H3K27acQTL_MaxCPPL2_0	1	3	2.499248440882342
H3K9ac_TrynkaL2_0	1	3	1.6906664457887268
MAFbin10L2_0	1	3	1.4490625943160718
H3K27ac_PGC2L2_0	1	3	1.4008717391589922
