"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0090304","nucleic acid metabolic process",0.382983639483065,3166,1.12686364002756,0,0,142922,1699,2207,1.02341073522594,0.013762688238268,0.651592882386572
"GO:0006139","nucleobase-containing compound metabolic process",0.40983641256154,3374,1.12221279033638,0,0,139969,1865,2441,1.01571058710835,0.0577400238760793,0.873222954497296
"GO:0080090","regulation of primary metabolic process",0.431691290075421,3541,1.11813262048668,0,0,141738,1901,2484,1.01739464616289,0.0384818777462168,0.827646156548935
"GO:0043170","macromolecule metabolic process",0.62047621190102,4965,1.09077404211661,0,0,134596,3054,4036,1.00595093285412,0.189470669195178,0.873222954497296
"GO:0009058","biosynthetic process",0.548656231001625,4387,1.08995356440433,0,0,133847,2564,3383,1.00756934468734,0.168574335960001,0.873222954497296
"GO:0044238","primary metabolic process",0.659148398490303,5210,1.07744522156767,0,0,130762,3323,4405,1.00286702374233,0.326270076802723,0.957243939091174
"GO:0008152","metabolic process",0.721781338633688,5624,1.06213651588699,0,0,129063,3724,4943,1.0015623359512,0.393904589082045,0.975527273642985
"GO:0044249","cellular biosynthetic process",0.529009736255178,4230,1.08997711474951,2.22044604925031e-16,1.87849735766576e-13,135516,2443,3219,1.00893087605183,0.137610347305345,0.873222954497296
"GO:0050789","regulation of biological process",0.773739616068533,5956,1.04930207764344,8.88178419700125e-16,6.67910171614494e-13,135647,4055,5335,1.01045123104775,0.016479091196317,0.692735957867536
"GO:0060255","regulation of macromolecule metabolic process",0.466282711558925,3757,1.09832927389745,2.1094237467878e-15,1.42765799182598e-12,141503,2058,2686,1.01858736488167,0.0225774975939438,0.767861827717646
"GO:0009056","catabolic process",0.182569246341729,1605,1.19836217161892,2.44249065417534e-15,1.50279788613261e-12,119301,864,1164,0.986778514167474,0.811341669986571,0.997482188214422
"GO:0009987","cellular process",0.920185824195089,6922,1.02540807649812,5.10702591327572e-15,2.88036261508751e-12,132719,5473,7279,0.999568706743415,0.577427026170259,0.991596833582742
"GO:0019222","regulation of metabolic process",0.49939836862483,3993,1.08991559878869,7.66053886991358e-15,3.98819439012116e-12,138684,2243,2934,1.01631441767937,0.030387496680248,0.791214334264027
"GO:0016070","RNA metabolic process",0.358085808215122,2945,1.12108584006076,8.43769498715119e-15,4.07902283378852e-12,143849,1520,1974,1.02365912507636,0.0193879860332489,0.717037647393598
"GO:0034654","nucleobase-containing compound biosynthetic process",0.367403835945796,3012,1.1175113906738,1.4432899320127e-14,6.51212417324132e-12,142672,1565,2041,1.0193662715934,0.0425411689148318,0.827646156548935
"GO:0009059","macromolecule biosynthetic process",0.495010526609749,3957,1.08966322238445,1.54321000422897e-14,6.52777831788853e-12,136769,2245,2950,1.01170349876497,0.0898134322114257,0.873222954497296
