"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0016491","oxidoreductase activity",0.0537846702685499,66,1.51122592685798,0.000700343909308287,0.30675063227703,200683,57,320,1.2838161209068,0.0257990026815447,0.32576199967106
"GO:0008374","O-acyltransferase activity",0.00478069212098941,10,2.5760435150992,0.00654301371839927,0.357513169403954,162542,7,22,2.29326005648424,0.0249275890065426,0.32576199967106
"GO:0004601","peroxidase activity",0.00404574659140198,9,2.73960407355214,0.00660296122790305,0.357513169403954,314806,5,22,1.63804289748874,0.180495979263172,0.788314200916041
"GO:0003841","1-acylglycerol-3-phosphate O-acyltransferase activity",0.00341607824111311,8,2.88407233481812,0.00760067796248953,0.357513169403954,195220,5,12,3.00307864539603,0.0173413327345979,0.281314953250144
"GO:0042171","lysophosphatidic acid acyltransferase activity",0.00341607824111311,8,2.88407233481812,0.00760067796248953,0.357513169403954,195220,5,12,3.00307864539603,0.0173413327345979,0.281314953250144
"GO:0071617","lysophospholipid acyltransferase activity",0.00341607824111311,8,2.88407233481812,0.00760067796248953,0.357513169403954,195220,5,12,3.00307864539603,0.0173413327345979,0.281314953250144
"GO:0020037","heme binding",0.0098362130889898,16,2.00325402868642,0.007808652064766,0.357513169403954,190449,12,60,1.44147774979009,0.119539238690306,0.679976448653947
"GO:0016411","acylglycerol O-acyltransferase activity",0.0034467748502349,8,2.85838709427076,0.00799350713435754,0.357513169403954,195220,5,13,2.77207259575018,0.0250222871755615,0.32576199967106
"GO:0016684","oxidoreductase activity, acting on peroxide as acceptor",0.00423192097163522,9,2.61908100757414,0.00869342191680722,0.357513169403954,314806,5,24,1.50153932269801,0.232745128249767,0.81617931853841
"GO:0140311","protein sequestering activity",0.00350661661530987,8,2.80960761600049,0.00880286574423128,0.357513169403954,81305,7,19,2.65535374961333,0.0106974727055653,0.223118716430362
"GO:0016667","oxidoreductase activity, acting on a sulfur group of donors",0.00290210396996919,7,2.97049648957406,0.0104616304735751,0.357513169403954,194428,7,25,2.01806884970613,0.0485470687568256,0.462702648794678
"GO:0004712","protein serine/threonine/tyrosine kinase activity",0.00223963346697255,6,3.29927314917504,0.0107740016224311,0.357513169403954,287841,4,16,1.80184718723762,0.172001714734071,0.788314200916041
"GO:0042577","lipid phosphatase activity",0.00168920004636629,5,3.64529676708585,0.0130797446784732,0.357513169403954,192702,4,12,2.40246291631682,0.0728098596663088,0.549138972092095
"GO:0005212","structural constituent of eye lens",0.00234701618985709,6,3.14832193894082,0.0132852537071242,0.357513169403954,114453,5,15,2.40246291631682,0.0461129690333956,0.462702648794678
"GO:0016646","oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor",0.001706266031221,5,3.6088366968039,0.0136025079431216,0.357513169403954,105384,3,6,3.60369437447523,0.0384662367659641,0.423900655735237
"GO:0051018","protein kinase A binding",0.00787185174136212,13,2.03381018123424,0.0138260649149012,0.357513169403954,198298,11,29,2.73383711167087,0.00110042721842851,0.0602483902089611
"GO:0016620","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",0.00460648609377116,9,2.40611685713148,0.0143739795882249,0.357513169403954,293521,6,20,2.16221662468514,0.0485943421108566,0.462702648794678
"GO:0046906","tetrapyrrole binding",0.010586119059846,16,1.86134629566727,0.0146923220302995,0.357513169403954,190449,12,64,1.35138539042821,0.169208214043221,0.788314200916041
"GO:0034237","protein kinase A regulatory subunit binding",0.00253828820193005,6,2.91108100173882,0.0187235003590699,0.361796539721036,55688,4,12,2.40246291631682,0.0728098596663088,0.549138972092095
"GO:0051537","2 iron, 2 sulfur cluster binding",0.00185864089599523,5,3.31297749944489,0.0189024260798869,0.361796539721036,190345,3,13,1.66324355745011,0.265662123778612,0.895077001654094
"GO:0016903","oxidoreductase activity, acting on the aldehyde or oxo group of donors",0.00484208533923299,9,2.28904347318262,0.0191274299716306,0.361796539721036,293521,6,22,1.96565147698649,0.0736139463322935,0.549138972092095
"GO:0004867","serine-type endopeptidase inhibitor activity",0.00404751968073753,8,2.43413683586418,0.0191310982274439,0.361796539721036,165387,7,30,1.68172404142177,0.111992337810939,0.673095722026149
"GO:0015035","protein-disulfide reductase activity",0.00187393379151439,5,3.28594078182671,0.0194993481020548,0.361796539721036,224946,5,16,2.25230898404702,0.0596609705879939,0.533296022806966
"GO:0046915","transition metal ion transmembrane transporter activity",0.00188213432969133,5,3.27162380008771,0.0198244679299198,0.361796539721036,112030,4,17,1.69585617622364,0.201779314121495,0.81617931853841
"GO:0070840","dynein complex binding",0.00192524256416201,5,3.19836865369767,0.0215918929853669,0.378289965103628,171421,4,16,1.80184718723762,0.172001714734071,0.788314200916041
"GO:0008093","cytoskeletal anchor activity",0.00271737022482108,6,2.71923291647272,0.025038401982903,0.406740740956124,121265,4,13,2.21765807660014,0.0940487807733075,0.624141908768313
"GO:0004029","aldehyde dehydrogenase (NAD+) activity",0.00203872028163751,5,3.02034345929715,0.0267240198433798,0.406740740956124,173575,4,9,3.20328388842243,0.0260312100193769,0.32576199967106
"GO:0004030","aldehyde dehydrogenase [NAD(P)+] activity",0.00203872028163751,5,3.02034345929715,0.0267240198433798,0.406740740956124,173575,4,9,3.20328388842243,0.0260312100193769,0.32576199967106
"GO:0046703","natural killer cell lectin-like receptor binding",0.00207650924810152,5,2.96537830188332,0.0285910610263265,0.406740740956124,22741,3,5,4.32443324937028,0.0214231892482085,0.323564030714322
"GO:0004707","MAP kinase activity",0.00208072033527346,5,2.95937679062045,0.0288040900988314,0.406740740956124,333669,3,11,1.96565147698649,0.187746748384234,0.798379376624217
"GO:0016747","acyltransferase activity, transferring groups other than amino-acyl groups",0.0134278271743228,18,1.65086185552928,0.0290367979450505,0.406740740956124,156389,16,85,1.35668494097891,0.12321252054379,0.68312764554658
