"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GSE40273_GATA1_KO_VS_WT_TREG_UP",0.0112716397242048,23,2.51295497778231,7.5924843213504e-05,0.367096616937292,216256,19,80,1.71175482787573,0.0117485621066813,0.999682570101322
"GSE42088_UNINF_VS_LEISHMANIA_INF_DC_8H_DN",0.0174198269952408,29,2.05020897877132,0.000305995664368286,0.739744518610331,196885,24,98,1.76507479566134,0.0032996772825411,0.999682570101322
"GSE17721_CPG_VS_GARDIQUIMOD_8H_BMDC_DN",0.0150459928291835,25,2.04627090345173,0.000792675658039199,0.882802405041019,282810,17,93,1.31747966378664,0.13981939921433,0.999682570101322
"GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_12H_UP",0.010914473041174,20,2.25668630807959,0.000817886024672587,0.882802405041019,162106,17,76,1.61217906226523,0.0290437547148223,0.999682570101322
"GSE25123_CTRL_VS_ROSIGLITAZONE_STIM_PPARG_KO_MACROPHAGE_DN",0.0179422234407286,28,1.92187767221839,0.00101537831872278,0.882802405041019,229492,21,107,1.41453424044822,0.0605782769928053,0.999682570101322
"GSE17721_CTRL_VS_LPS_8H_BMDC_UP",0.0147932167807834,24,1.99798669108262,0.00136580806506048,0.882802405041019,242087,15,85,1.27189213216773,0.193658382217855,0.999682570101322
"GSE13738_RESTING_VS_TCR_ACTIVATED_CD4_TCELL_DN",0.0223781605040361,32,1.76104139515695,0.00185130278172174,0.882802405041019,270693,26,115,1.62949658671923,0.0071463127410456,0.999682570101322
"GSE17580_UNINFECTED_VS_S_MANSONI_INF_TREG_DN",0.0161110654294345,25,1.91099573611391,0.00198054136973891,0.882802405041019,134155,22,90,1.76180613863234,0.00490026364677121,0.999682570101322
"GSE21033_3H_VS_12H_POLYIC_STIM_DC_UP",0.0143653481604974,23,1.97176725800488,0.00200241470373119,0.882802405041019,210184,21,90,1.68172404142177,0.0102589893153477,0.999682570101322
"GSE16385_UNTREATED_VS_12H_ROSIGLITAZONE_IFNG_TNF_TREATED_MACROPHAGE_UP",0.0143757650603438,23,1.97033848520838,0.00202039022691425,0.882802405041019,223811,19,89,1.53865602505684,0.0342750196676261,0.999682570101322
