"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"Redox-active center",0.00241428276652469,9,4.56280930529201,0.000209043234030704,0.0422267332742021,201632,7,20,2.50575479566305,0.0150487044738837,0.151991915186226
"Iron",0.0156936137089948,24,1.8718292382234,0.00311494474018237,0.314609418758419,215794,17,89,1.36750663005688,0.108418578439007,0.56155263704306
"Heme",0.00804206831757537,14,2.13077808300229,0.00750476354906682,0.505320745637166,209090,10,51,1.40378419925101,0.166240338079142,0.597831718850712
"2Fe-2S",0.00160841366351507,5,3.80496086250409,0.0110541010402401,0.523549119277549,190345,3,9,2.38643313872672,0.119415819389555,0.588341354065613
"Transit peptide",0.0353725781538993,41,1.41871475448786,0.0177425611612652,0.523549119277549,193333,34,223,1.09155237735482,0.316425709868601,0.841026228861281
"Phospholipid biosynthesis",0.00566435551859649,10,2.16086402779608,0.01992167339039,0.523549119277549,166907,7,25,2.00460383653044,0.0500805619552999,0.306553742877896
"Phospholipid metabolism",0.00570956929665314,10,2.14375225955453,0.0208962552755769,0.523549119277549,166907,7,26,1.92750368897158,0.0605869709279634,0.35995788610143
"Acyltransferase",0.01058401351626,15,1.73467778484685,0.0303795053696767,0.523549119277549,126497,13,64,1.45423269391159,0.10245162776218,0.557806910155051
"Chloride",0.00529643948146889,9,2.07987118728484,0.0323886072237173,0.523549119277549,291115,8,27,2.12127390109041,0.0269985921210217,0.209758292632553
"Chloride channel",0.00529643948146889,9,2.07987118728484,0.0323886072237173,0.523549119277549,291115,8,27,2.12127390109041,0.0269985921210217,0.209758292632553
"Intermediate filament",0.0028916870701228,6,2.53967357821956,0.0332408942592881,0.523549119277549,107611,7,32,1.56609674728941,0.149458792769452,0.597831718850712
"Ribonucleoprotein",0.00805026885575231,12,1.82452074087498,0.0358689602923923,0.523549119277549,157988,11,57,1.38161918557863,0.163994003954046,0.597831718850712
"Signal transduction inhibitor",0.00715208828921037,11,1.88251203626405,0.0359289216816385,0.523549119277549,214883,7,34,1.47397340921356,0.188046072111519,0.602941374071856
"Parkinson disease",0.0022975913246285,5,2.66363777351972,0.04205435924857,0.523549119277549,49181,5,15,2.38643313872672,0.0472853363509386,0.306553742877896
"Aortic aneurysm",0.00233283147517265,5,2.62340040655476,0.0443641713492733,0.523549119277549,450646,1,9,0.795477712908906,0.741981292644416,0.984622847583212
"Lipid biosynthesis",0.00838072838066632,12,1.75257827599136,0.0460201470531887,0.523549119277549,144039,9,46,1.40073249447003,0.18460900435101,0.601468046433936
"Collagen",0.0131667397696624,17,1.58033301343703,0.0463718512389473,0.523549119277549,184933,18,57,2.26083139458321,0.0005063941264003,0.0160538431234839
"One-carbon metabolism",0.00244287383206051,5,2.50522600065253,0.0520571726444395,0.523549119277549,105384,3,9,2.38643313872672,0.119415819389555,0.588341354065613
"Translocase",0.0094985503886501,13,1.67518958724813,0.0520884051010438,0.523549119277549,168689,12,43,1.99794402312004,0.0124000640034297,0.139156273816267
"Synapse",0.0205145327942846,24,1.43194901333869,0.054069051551151,0.523549119277549,393185,19,109,1.24795127438003,0.179503053265535,0.601468046433936
"Ribosomal protein",0.0076827960909586,11,1.75247294467525,0.0544283737862798,0.523549119277549,166666,10,55,1.30169080294185,0.231877356245309,0.688812146493419
"Innate immunity",0.00340211516259562,6,2.15863981596291,0.0630145652434662,0.578588280871826,209046,5,8,4.47456213511259,0.00204516844424307,0.0344270021447584
"Centromere",0.00892384780776343,12,1.64591360289248,0.0667153217376392,0.585934564826222,280697,11,56,1.40629095674967,0.150116541199639,0.597831718850712
"Parkinsonism",0.00355050057636485,6,2.06842418146825,0.0738938109175036,0.614647595068938,70937,6,25,1.71823185988324,0.12545722113135,0.597831718850712
"Heparin-binding",0.0123237466086896,15,1.4897947599985,0.0857711834049923,0.614647595068938,165795,12,50,1.71823185988324,0.0391527718745822,0.265978647479999
"Cleavage on pair of basic residues",0.0241898145326391,26,1.31558451459383,0.0992466746144374,0.614647595068938,271217,23,126,1.30685624263606,0.104933973197485,0.557806910155051
"DNA-directed RNA polymerase",0.00387442183435401,6,1.89549346004408,0.101105022121827,0.614647595068938,57008,3,8,2.68473728106756,0.0884869935299817,0.510696362658751
"Calcium",0.0086292933418944,11,1.56025432853184,0.101190286876294,0.614647595068938,105308,10,66,1.08474233578487,0.443438181086348,0.942889606099394
"Postsynaptic cell membrane",0.0157689700057559,18,1.39716314618952,0.101498488425603,0.614647595068938,440288,14,83,1.2075926726087,0.264266051160357,0.738219781527183
"Tricarboxylic acid cycle",0.0030466107508169,5,2.00877353260528,0.107061791221789,0.614647595068938,478380,3,10,2.14778982485405,0.153635132245201,0.597831718850712
"Oxidoreductase",0.0128409346042542,15,1.42979103056038,0.110138153116189,0.614647595068938,218537,13,72,1.29265128347697,0.198411865887637,0.616603029373886
"Repeat",0.37398155410837,323,1.0571345909075,0.110353470276419,0.614647595068938,222086,330,2165,1.09125580015679,0.0267151592018009,0.209758292632553
"Biomineralization",0.00308484298961479,5,1.98387764336618,0.111243481179505,0.614647595068938,58411,5,9,3.97738856454453,0.00407392978153642,0.0587809868478827
"Basement membrane",0.0049348400750992,7,1.73621258767461,0.113494148420097,0.614647595068938,140823,6,19,2.26083139458321,0.0395017793287127,0.265978647479999
"Extracellular matrix",0.0049348400750992,7,1.73621258767461,0.113494148420097,0.614647595068938,140823,6,19,2.26083139458321,0.0395017793287127,0.265978647479999
"Hydroxylation",0.0160956617158318,18,1.36880509384335,0.116182219977509,0.614647595068938,203162,17,71,1.71419845176144,0.0163219421764177,0.157001539030304
"Immunity",0.0604309848247933,58,1.17475219499348,0.11788718185281,0.614647595068938,64001,42,171,1.75842441800916,0.000133370923712794,0.00673523164749612
"Secreted",0.00502427026846124,7,1.70530863164979,0.121356765385505,0.614647595068938,140823,6,20,2.14778982485405,0.049981668552211,0.306553742877896
"Monooxygenase",0.00504255525223415,7,1.69912495311821,0.122998037878684,0.614647595068938,56024,7,32,1.56609674728941,0.149458792769452,0.597831718850712
"Myristate",0.0151938241525353,17,1.36949284975498,0.123578791587587,0.614647595068938,118845,13,92,1.01164013489502,0.52798497837805,0.984622847583212
"Ubl conjugation pathway",0.0438176918410629,43,1.20114905044007,0.127370028840706,0.614647595068938,148911,40,273,1.04898159944032,0.39689729761543,0.942889606099394
"ANK repeat",0.0208910926419231,22,1.28896008644786,0.14000694324395,0.614647595068938,183440,20,115,1.24509555064003,0.174614214911842,0.597831718850712
"Protein transport",0.00622742220071859,8,1.57238763472578,0.142055620404071,0.614647595068938,321194,7,39,1.28500245931439,0.29839816697915,0.803685729730511
"Cell adhesion",0.0534404693012853,51,1.16809416960891,0.144159352662204,0.614647595068938,310388,41,255,1.15110304338583,0.184116352886,0.601468046433936
"Calcium channel",0.0043220160734981,6,1.699193414273,0.146095858886064,0.614647595068938,93814,6,36,1.19321656936336,0.389042937701639,0.942889606099394
"Calcium transport",0.0043220160734981,6,1.699193414273,0.146095858886064,0.614647595068938,93814,6,36,1.19321656936336,0.389042937701639,0.942889606099394
"Golgi apparatus",0.103235356110587,94,1.11449297889877,0.14647917646994,0.614647595068938,149274,79,464,1.21893244370309,0.032082481750776,0.240024493098398
"TPR repeat",0.0135599223298217,15,1.35397922455626,0.150239900844302,0.614647595068938,227015,9,66,0.976268102206384,0.585288431217212,0.984622847583212
"Coiled coil",0.175365849279871,155,1.08184394527902,0.150963612716838,0.614647595068938,193906,138,936,1.05553773443682,0.248108249074509,0.715969518757868
"Iron-sulfur",0.0053489672530347,7,1.60179172001612,0.152140493828945,0.614647595068938,205554,5,23,1.55636943830003,0.21004069100609,0.633257008704928
"G-protein coupled receptor",0.0570581256362343,53,1.13693676938724,0.186044752211241,0.693765491926561,164051,55,257,1.5321457894549,0.000635795767266689,0.0160538431234839
"Transducer",0.0570581256362343,53,1.13693676938724,0.186044752211241,0.693765491926561,164051,55,257,1.5321457894549,0.000635795767266689,0.0160538431234839
"Protease inhibitor",0.00369600471996381,5,1.65582879462654,0.187739476067132,0.693765491926561,167822,4,32,0.894912427022519,0.671928477383594,0.984622847583212
"Cilium",0.00776945583223383,9,1.41784857402784,0.189913281939484,0.693765491926561,109593,9,70,0.920481353508876,0.65831039338611,0.984622847583212
"Flagellum",0.00776945583223383,9,1.41784857402784,0.189913281939484,0.693765491926561,109593,9,70,0.920481353508876,0.65831039338611,0.984622847583212
"NADP",0.0131553255070648,14,1.30257992505729,0.194600186525694,0.693765491926561,54094,12,74,1.16096747289408,0.335303780364573,0.879628099138231
"SH3-binding",0.00578437150299685,7,1.48122081234052,0.198416947633823,0.693765491926561,249485,5,25,1.43185988323603,0.264960857184312,0.738219781527183
"Transport",0.076290271568579,69,1.1070261334892,0.20618119728569,0.693765491926561,196197,66,493,0.958445763626552,0.669431421226063,0.984622847583212
"Ion channel",0.0244417040363714,24,1.2018705794885,0.20792067977363,0.693765491926561,211050,23,159,1.03562192812669,0.462598220906093,0.958320261775153
"Membrane",0.458982348674028,387,1.03203143191619,0.209402410286421,0.693765491926561,195088,377,2368,1.13980400333611,0.000802894284974043,0.0180205161738618
"LIM domain",0.00695272655704394,8,1.40835707895147,0.212714310291468,0.693765491926561,329891,7,44,1.13897945257411,0.418644834830347,0.942889606099394
"Ion transport",0.0358965260525557,34,1.15932296662174,0.212937923264588,0.693765491926561,188380,33,239,0.988522513531151,0.558058323240539,0.984622847583212
"Leucine-rich repeat",0.0247092188898732,24,1.18885850357331,0.222784663638337,0.714325429443558,250100,24,136,1.26340577932591,0.131893187029785,0.597831718850712
"Steroid metabolism",0.00506848668376664,6,1.44894160854584,0.236916407812719,0.733539285515475,49220,5,34,1.05283814943826,0.525053313960275,0.984622847583212
"Hearing",0.00507768458469483,6,1.4463169434758,0.238132189168573,0.733539285515475,320172,4,25,1.14548790658882,0.46967181146406,0.958320261775153
"Serine/threonine-protein kinase",0.0284714928237534,27,1.16073069377464,0.242205340753796,0.733539285515475,188408,21,172,0.874100510115018,0.780310609601917,0.984622847583212
"Alternative splicing",0.681161302591215,566,1.01705492537073,0.250638226882025,0.733539285515475,207464,648,4709,0.98518284597255,0.739392466596602,0.984622847583212
"Kinetochore",0.00731089060282599,8,1.33936098850141,0.251793125997385,0.733539285515475,394315,7,41,1.22231941251856,0.346017943881646,0.884754742583448
"Nitration",0.0051972572967613,6,1.41304169278793,0.254103793852484,0.733539285515475,88500,5,24,1.4915207117042,0.237060129973719,0.694002119633208
"Non-syndromic deafness",0.0128337314288285,13,1.23984772419932,0.255493266923066,0.733539285515475,238240,11,71,1.1091872334927,0.405425942617809,0.942889606099394
"Transmembrane",0.43071143658136,361,1.02588514626733,0.271188406258754,0.733539285515475,195143,347,2175,1.14219627467334,0.00124753328537341,0.0243848197632626
"GTPase activation",0.0210512247725403,20,1.1628684043837,0.278436608882042,0.733539285515475,233586,15,99,1.08474233578487,0.409526062777775,0.942889606099394
"Transmembrane helix",0.430252871351952,360,1.02413372285842,0.285967246762192,0.733539285515475,194748,346,2170,1.14152884700384,0.00132788622473212,0.0243848197632626
"Metalloprotease",0.0132018691021231,13,1.20527423669573,0.287253344204191,0.733539285515475,169904,12,70,1.22730847134517,0.266782396294477,0.738219781527183
"Allosteric enzyme",0.00439737237025917,5,1.39172908843992,0.291985228218112,0.733539285515475,220675,4,29,0.987489574645538,0.59203402691581,0.984622847583212
"Coated pit",0.00549413894238324,6,1.33668648090002,0.294901312346591,0.733539285515475,105448,5,23,1.55636943830003,0.21004069100609,0.633257008704928
"Voltage-gated channel",0.0121980789020322,12,1.20411440316992,0.298621340230154,0.733539285515475,99986,12,88,0.976268102206384,0.583005287113374,0.984622847583212
"Endosome",0.081417048564252,71,1.06738461177428,0.300624200199128,0.733539285515475,124321,61,318,1.3733247307767,0.00528232040509602,0.0666892951143372
"Signal-anchor",0.0482404415524372,43,1.09102606140448,0.300701930485038,0.733539285515475,213124,40,234,1.2238118660137,0.0985099833932588,0.552750462373285
"Amino-acid transport",0.00555187516387224,6,1.32278573125334,0.302988747224506,0.733539285515475,129796,6,26,1.6521460191185,0.144918296192366,0.597831718850712
"Amidation",0.00559476176217597,6,1.31264592857547,0.309022123998576,0.733539285515475,349209,5,21,1.70459509909051,0.159441687000015,0.597831718850712
"Cytoplasmic vesicle",0.069893076063981,61,1.06825177682022,0.315083287975546,0.733539285515475,152621,50,331,1.08146516860727,0.294245576765989,0.80321089873959
