"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0008285","negative regulation of cell population proliferation",0.0964689147518595,7,3.45534449299802,0.00266503800730966,0.181355601414525,79119,7,395,4.11139240506329,0.00128621339150248,0.181356088201849
"GO:0042981","regulation of apoptotic process",0.13550325483793,8,2.81138915377364,0.00444767814146929,0.181355601414525,35844,8,719,2.58136300417246,0.0101297067842749,0.343852482323147
"GO:0032101","regulation of response to external stimulus",0.108355373203168,7,3.07629721978188,0.00514272103911606,0.181355601414525,62897,7,507,3.20315581854043,0.00526249994839123,0.343852482323147
"GO:0043067","regulation of programmed cell death",0.138700356546102,8,2.74658544821951,0.00514483975644042,0.181355601414525,35844,8,743,2.49798115746972,0.0122334523807435,0.343852482323147
"GO:0042127","regulation of cell population proliferation",0.188876679198714,9,2.26905423363853,0.00991422344896487,0.233301720171629,84379,9,879,2.37542662116041,0.0105824516958715,0.343852482323147
"GO:0080134","regulation of response to stress",0.126674156491535,7,2.63142335078907,0.0120403030270426,0.233301720171629,59329,7,633,2.56556082148499,0.0168955331041928,0.343852482323147
"GO:0006915","apoptotic process",0.165037603900265,8,2.30827624704608,0.0147004006921798,0.233301720171629,35844,8,930,1.99569892473118,0.0412284138609897,0.465273677439667
"GO:1902533","positive regulation of intracellular signal transduction",0.103606596690218,6,2.75768430622777,0.0170113554060154,0.233301720171629,114476,6,543,2.56353591160221,0.027110234874292,0.382254311727517
"GO:0012501","programmed cell death",0.1706929831541,8,2.23179871786798,0.0178741841913408,0.233301720171629,35844,8,961,1.93132154006243,0.0486429084352341,0.465273677439667
"GO:0008219","cell death",0.170721020129218,8,2.23143219659793,0.0178911013547201,0.233301720171629,35844,8,963,1.92731048805815,0.0491500965629257,0.465273677439667
"GO:0031347","regulation of defense response",0.0758837908384031,5,3.13762972915085,0.0183054723903218,0.233301720171629,49719,5,354,3.27683615819209,0.0170706906117875,0.343852482323147
"GO:0008283","cell population proliferation",0.21029382528288,9,2.03796487126966,0.0198554655465216,0.233301720171629,84379,9,1019,2.04906771344455,0.0259622437540836,0.382254311727517
"GO:0051247","positive regulation of protein metabolic process",0.109598752099726,6,2.60691185109763,0.0219663966206931,0.238250917193671,151047,6,532,2.61654135338346,0.0248046124882643,0.382254311727517
"GO:0009893","positive regulation of metabolic process",0.326411229506689,11,1.60475337996541,0.048237892731503,0.368874278770112,112085,11,1724,1.48027842227378,0.106628002321294,0.465273677439667
"GO:0060255","regulation of macromolecule metabolic process",0.466282711558925,14,1.42974776919736,0.052158799462824,0.368874278770112,145172,14,2686,1.20923306031273,0.243762849587346,0.479337143281753
