"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GSE18281_PERIMEDULLARY_CORTICAL_REGION_VS_WHOLE_CORTEX_THYMUS_DN",0.0168309396996697,7,6.30152611518699,0.000124963426198943,0.00499853704795772,365408,5,79,4.98432237835327,0.00322027937629654,0.0145612730132069
"GSE34156_UNTREATED_VS_24H_NOD2_LIGAND_TREATED_MONOCYTE_DN",0.0193065048663545,7,5.49351665642175,0.00028739053284732,0.00574781065694641,37713,7,94,5.864532500488,0.000181136640283741,0.00362273280567482
"GSE12845_IGD_NEG_BLOOD_VS_NAIVE_TONSIL_BCELL_UP",0.0198567166507938,6,4.57825392323643,0.00201187704100592,0.018838547257003,48006,6,85,5.558985429034,0.000708045477536556,0.00944060636715409
"GSE25123_CTRL_VS_IL4_AND_ROSIGLITAZONE_STIM_PPARG_KO_MACROPHAGE_UP",0.0200243844110872,6,4.53991938242835,0.00209793884509624,0.018838547257003,66149,6,101,4.6783540739395,0.00174220419919258,0.0145612730132069
"GSE24972_MARGINAL_ZONE_BCELL_VS_FOLLICULAR_BCELL_IRF8_KO_UP",0.0356076233089438,8,3.40410591744481,0.00235481840712537,0.018838547257003,128140,8,97,6.49503452189539,2.95740132694178e-05,0.00118296053077671
"GSE41867_NAIVE_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_UP",0.0149591114517413,5,5.06430986907029,0.00314193458120982,0.019302708785209,142769,5,92,4.28001595532509,0.00617234442602022,0.0145612730132069
"GSE37301_LYMPHOID_PRIMED_MPP_VS_COMMON_LYMPHOID_PROGENITOR_DN",0.0152167634958141,5,4.97856037378879,0.00337797403741158,0.019302708785209,314892,3,100,2.36256880733945,0.133935497506959,0.137369741032779
"GSE360_DC_VS_MAC_B_MALAYI_LOW_DOSE_DN",0.0168806970191487,5,4.48782272862547,0.00522052632152825,0.0219201073260969,83522,5,81,4.86125268999887,0.00358855597357366,0.0145612730132069
"GSE35685_CD34POS_CD38NEG_VS_CD34POS_CD10POS_BONE_MARROW_UP",0.0242330335851933,6,3.751453180201,0.0053167133319223,0.0219201073260969,159130,4,113,2.78769180807015,0.0553490595738619,0.0598368211609318
"GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_1H_DN",0.0172106024536453,5,4.4017968552594,0.00565660786287414,0.0219201073260969,141800,5,90,4.37512742099898,0.0056271407188635,0.0145612730132069
"GSE37301_HEMATOPOIETIC_STEM_CELL_VS_RAG2_KO_NK_CELL_UP",0.0178667563258841,5,4.2401415442054,0.00659959866882542,0.0219201073260969,178601,5,96,4.10168195718654,0.00737250046777871,0.0145612730132069
"GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_24H_ACT_CD4_TCELL_UP",0.0180395217180172,5,4.19953349882397,0.00686521129613127,0.0219201073260969,200723,5,88,4.47456213511259,0.00511690312484014,0.0145612730132069
"GSE37301_MULTIPOTENT_PROGENITOR_VS_CD4_TCELL_UP",0.018454424622537,5,4.10511719043566,0.00753362369103683,0.0219201073260969,177317,5,94,4.18895178606285,0.00675373088277786,0.0145612730132069
"GSE34156_NOD2_LIGAND_VS_NOD2_AND_TLR1_TLR2_LIGAND_6H_TREATED_MONOCYTE_DN",0.0186206517477452,5,4.0684706842632,0.00781376016444746,0.0219201073260969,97643,5,95,4.14485755673588,0.00705836844967633,0.0145612730132069
