"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0009056","catabolic process",0.182569246341729,1452,1.23018510520119,0,0,115588,796,1164,0.999175842655553,0.53246639990907,0.857994706069836
"GO:0006357","regulation of transcription by RNA polymerase II",0.247580010102176,1900,1.18705132033725,0,0,138359,904,1239,1.06605340614428,0.000104337467175419,0.0315434069413486
"GO:0006366","transcription by RNA polymerase II",0.253330360453547,1942,1.18575087906827,0,0,139320,930,1278,1.06324642892818,0.000151272412798775,0.0333858215046897
"GO:0006355","regulation of DNA-templated transcription",0.305071434444787,2298,1.16514493348681,0,0,137235,1145,1574,1.06287599015924,2.30560514562494e-05,0.0254423527819713
"GO:2001141","regulation of RNA biosynthetic process",0.307165009677743,2302,1.1592178182418,0,0,137441,1148,1584,1.05893316140125,6.42773288160869e-05,0.0315434069413486
"GO:0051252","regulation of RNA metabolic process",0.321374880067129,2407,1.1584989205909,0,0,138918,1216,1687,1.05317448826445,0.000167480381300211,0.0353951301830396
"GO:0090304","nucleic acid metabolic process",0.382983639483065,2864,1.15670939362618,0,0,136095,1580,2207,1.0460118192598,0.00011298640525248,0.0315434069413486
"GO:0006351","DNA-templated transcription",0.312791243775625,2335,1.15468565024987,0,0,136259,1179,1618,1.06467517029167,9.97064159102834e-06,0.0220052059913995
"GO:0019219","regulation of nucleobase-containing compound metabolic process",0.335948898678805,2507,1.15428375353165,0,0,138528,1292,1797,1.05050052688287,0.000198479367208959,0.0365036636191811
"GO:0016070","RNA metabolic process",0.358085808215122,2670,1.15333540165057,0,0,136179,1416,1974,1.04808846924918,0.000171068443718059,0.0353951301830396
"GO:0032774","RNA biosynthetic process",0.348732207879653,2600,1.15322157657616,0,0,136271,1355,1883,1.05140687675845,0.000100958354465996,0.0315434069413486
"GO:0141187","nucleic acid biosynthetic process",0.354081507586938,2636,1.15152568917874,0,0,136390,1387,1928,1.05111750684206,8.76139565215706e-05,0.0315434069413486
"GO:0006139","nucleobase-containing compound metabolic process",0.40983641256154,3049,1.15074303191039,0,0,132901,1734,2441,1.03791825812581,0.000578260194824542,0.0648925550836152
"GO:0034654","nucleobase-containing compound biosynthetic process",0.367403835945796,2732,1.15018706567581,0,0,134664,1459,2041,1.04446556235471,0.000361520923208403,0.0494590401960893
"GO:0080090","regulation of primary metabolic process",0.431691290075421,3205,1.14838158139851,0,0,134512,1763,2484,1.03700907938466,0.000664176347816903,0.0672528117801171
"GO:0060255","regulation of macromolecule metabolic process",0.466282711558925,3386,1.12323107807477,0,0,134881,1906,2686,1.03680892254559,0.000366442618172869,0.0494590401960893
"GO:0010467","gene expression",0.461575935099611,3347,1.12161555840563,0,0,131052,1938,2733,1.0360864142747,0.000400691817268317,0.0520192259241868
"GO:0031323","regulation of cellular metabolic process",0.456525400945367,3305,1.1197936180838,0,0,132544,1858,2619,1.03655428009716,0.000496939368792693,0.0598224647413894
"GO:0009059","macromolecule biosynthetic process",0.495010526609749,3567,1.11460284085254,0,0,129589,2089,2950,1.03466143526866,0.000326734757748248,0.0491661552511625
"GO:0019222","regulation of metabolic process",0.49939836862483,3589,1.11162373165453,0,0,132373,2072,2934,1.03183790917925,0.000920540223739441,0.0834917372791622
"GO:0048519","negative regulation of biological process",0.469617560144853,3373,1.11097294806898,0,0,136258,1837,2579,1.04073378268008,0.000139984236314339,0.031959849263353
"GO:0044249","cellular biosynthetic process",0.529009736255178,3798,1.11051074756862,0,0,127893,2268,3219,1.02944680851064,0.000984142400679344,0.0868800911319725
"GO:0009058","biosynthetic process",0.548656231001625,3933,1.10880481044178,0,0,126236,2376,3383,1.02618645165754,0.00210072529290228,0.140484821687569
"GO:0043170","macromolecule metabolic process",0.62047621190102,4444,1.10784852823491,0,0,127561,2828,4036,1.02378811968876,0.00119845927040774,0.0991874853671203
"GO:0044238","primary metabolic process",0.659148398490303,4659,1.0933041081837,0,0,123213,3071,4405,1.01862830922308,0.00485405256750893,0.210931630562621
"GO:0008152","metabolic process",0.721781338633688,5015,1.07472353335289,0,0,121698,3436,4943,1.01565072464392,0.00689724166131289,0.236873178697123
"GO:0044237","cellular metabolic process",0.65176004604713,4527,1.07437088666041,0,0,124663,2904,4152,1.02192989792153,0.00202753314736159,0.138394814110115
"GO:0050789","regulation of biological process",0.773739616068533,5284,1.05632959152822,0,0,128747,3691,5335,1.01086104209456,0.03051501088044,0.472424563051378
"GO:0009987","cellular process",0.920185824195089,6128,1.03008885625414,0,0,125312,4993,7279,1.00223989149784,0.2448238970507,0.753243040136005
"GO:0008150","biological_process",0.946764100880804,6263,1.02322725673562,0,0,124797,5279,7713,1.00002341446191,0.510044162804635,0.849096364953617
"GO:0048523","negative regulation of cellular process",0.444440134852309,3203,1.11474398786112,1.11022302462516e-16,2.3712214987236e-14,137821,1714,2407,1.0404388618303,0.000296881889366496,0.0457129067324551
"GO:0050794","regulation of cellular process",0.751670527199301,5134,1.05647643177025,4.44089209850063e-16,9.18848330755395e-14,127565,3511,5068,1.01222267376446,0.0240126004180816,0.417289835611859
