"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0009056","catabolic process",0.182569246341729,1452,1.22771637930313,0,0,115114,794,1164,0.994295964460503,0.635354945445507,0.918941028338074
"GO:0006366","transcription by RNA polymerase II",0.253330360453547,1936,1.17971518133858,0,0,139269,925,1278,1.05501596966945,0.000828393650726622,0.147806193786795
"GO:0006355","regulation of DNA-templated transcription",0.305071434444787,2288,1.15774664819497,0,0,137103,1138,1574,1.05386671637923,0.000237865768988765,0.147806193786795
"GO:0051252","regulation of RNA metabolic process",0.321374880067129,2399,1.15233134834855,0,0,138710,1210,1687,1.04548653145834,0.00106507481211859,0.171918661136606
"GO:0090304","nucleic acid metabolic process",0.382983639483065,2857,1.15156663887525,0,0,135915,1574,2207,1.03956236747446,0.000745521019981599,0.147806193786795
"GO:0019219","regulation of nucleobase-containing compound metabolic process",0.335948898678805,2499,1.14829134317635,0,0,138328,1286,1797,1.04313626992706,0.00122610117863053,0.177448817758448
"GO:0016070","RNA metabolic process",0.358085808215122,2663,1.14800323935693,0,0,135944,1411,1974,1.04190475502297,0.000886320827743425,0.147806193786795
"GO:0032774","RNA biosynthetic process",0.348732207879653,2590,1.14648073394822,0,0,136152,1348,1883,1.04348864328184,0.000822860685218307,0.147806193786795
"GO:0006139","nucleobase-containing compound metabolic process",0.40983641256154,3042,1.14579711573965,0,0,132728,1728,2441,1.03186792615455,0.00311993855412729,0.278944017478317
"GO:0080090","regulation of primary metabolic process",0.431691290075421,3202,1.14500424717573,0,0,134293,1758,2484,1.03160973993108,0.00301459494295231,0.278944017478317
"GO:0141187","nucleic acid biosynthetic process",0.354081507586938,2626,1.14485512436511,0,0,136274,1380,1928,1.04332643531896,0.000725716925296771,0.147806193786795
"GO:0034654","nucleobase-containing compound biosynthetic process",0.367403835945796,2722,1.14367727278176,0,0,134546,1452,2041,1.03698330930145,0.00244199876983431,0.264936850143663
"GO:0060255","regulation of macromolecule metabolic process",0.466282711558925,3383,1.11998379975177,0,0,134609,1900,2686,1.03108803507732,0.00213809048110458,0.24396349661983
"GO:0031323","regulation of cellular metabolic process",0.456525400945367,3303,1.11687014876053,0,0,132255,1852,2619,1.03075070035312,0.00276847809376823,0.278944017478317
"GO:0010467","gene expression",0.461575935099611,3336,1.11568588865313,0,0,130606,1930,2733,1.02935654901692,0.0031611969342511,0.278944017478317
"GO:0048519","negative regulation of biological process",0.469617560144853,3377,1.11005830168652,0,0,135604,1835,2579,1.03712924596834,0.000449184807149505,0.147806193786795
"GO:0019222","regulation of metabolic process",0.49939836862483,3588,1.10908382459429,0,0,132028,2068,2934,1.02739767729814,0.00361770216111268,0.291529415831151
"GO:0009059","macromolecule biosynthetic process",0.495010526609749,3556,1.10893572344156,0,0,129170,2080,2950,1.02775470497998,0.00314167119553765,0.278944017478317
"GO:0044249","cellular biosynthetic process",0.529009736255178,3793,1.10682314929719,0,0,127413,2261,3219,1.02382973906153,0.00606740691007857,0.311622546247201
"GO:0009058","biosynthetic process",0.548656231001625,3927,1.10489152362588,0,0,125799,2369,3383,1.02073079530683,0.0116392578573598,0.393003104591872
"GO:0043170","macromolecule metabolic process",0.62047621190102,4441,1.1048789347087,0,0,127125,2823,4036,1.01954846523924,0.00621088925656144,0.311622546247201
"GO:0044238","primary metabolic process",0.659148398490303,4659,1.0911100740055,0,0,122706,3071,4405,1.01620671025396,0.0120530706511593,0.398836107846863
"GO:0008152","metabolic process",0.721781338633688,5013,1.07213904304354,0,0,121185,3435,4943,1.01294131602562,0.0206591576643063,0.490044105456555
"GO:0050789","regulation of biological process",0.773739616068533,5298,1.05700289465434,0,0,128365,3698,5335,1.01037045383328,0.036365388072999,0.589572357304298
"GO:0009987","cellular process",0.920185824195089,6138,1.02969926302536,0,0,124952,5001,7279,1.00145926736254,0.329295149887479,0.861645440791631
"GO:0008150","biological_process",0.946764100880804,6275,1.02313043633906,0,0,124452,5290,7713,0.999724868140023,0.55839659801303,0.899578550547768
"GO:0050794","regulation of cellular process",0.751670527199301,5149,1.05743681429541,1.11022302462516e-16,2.72127999147011e-14,127283,3517,5068,1.01154199306481,0.0305375186585458,0.566597395470922
"GO:0006357","regulation of transcription by RNA polymerase II",0.247580010102176,1891,1.17905756424893,2.22044604925031e-16,5.06721101859951e-14,138136,899,1239,1.05763676714401,0.000600503228923466,0.147806193786795
"GO:0048523","negative regulation of cellular process",0.444440134852309,3204,1.11285426108979,2.22044604925031e-16,5.06721101859951e-14,137437,1712,2407,1.03675425082909,0.000875444592025154,0.147806193786795
"GO:2001141","regulation of RNA biosynthetic process",0.307165009677743,2292,1.15186591594159,4.44089209850063e-16,9.79660796929238e-14,137310,1141,1584,1.04997418573578,0.000577608446874267,0.147806193786795
"GO:0044237","cellular metabolic process",0.65176004604713,4523,1.07126745203234,1.11022302462516e-15,2.37014708934493e-13,124224,2898,4152,1.01739404415207,0.0112137203833991,0.393003104591872
"GO:0006351","DNA-templated transcription",0.312791243775625,2325,1.14743323934226,1.4432899320127e-15,2.98490399064377e-13,136125,1172,1618,1.05583790440412,0.000113486514852656,0.147806193786795
"GO:0051179","localization",0.409313351207551,2960,1.11633581030759,4.88498130835069e-15,9.79660796929238e-13,127638,1778,2586,1.0021930593526,0.432246827049446,0.878826353697793
"GO:0045934","negative regulation of nucleobase-containing compound metabolic process",0.161208506662051,1273,1.21898820961175,3.01980662698043e-14,5.87796478157543e-12,154728,539,746,1.05316906105216,0.0131094181798768,0.422797926111362
"GO:0009966","regulation of signal transduction",0.291905470401709,2168,1.14650538872277,4.34097202628436e-14,8.20815796284283e-12,126339,1148,1579,1.05976095017697,4.97677094966065e-05,0.109787567149514
"GO:0031326","regulation of cellular biosynthetic process",0.415217073786448,2987,1.11050131069293,4.72955008490317e-14,8.69448957274699e-12,133474,1646,2323,1.03282983728172,0.00323796596172721,0.281958667561982
"GO:0051253","negative regulation of RNA metabolic process",0.156477128588206,1237,1.22033168598141,5.97299987248334e-14,1.06835981502959e-11,156512,517,706,1.06741670863765,0.00295420535624125,0.278944017478317
"GO:0045892","negative regulation of DNA-templated transcription",0.148486701497529,1178,1.2246635355777,1.18682841332429e-13,2.06695537878425e-11,156245,482,648,1.08422692234318,0.000478978974167488,0.147806193786795
"GO:1902679","negative regulation of RNA biosynthetic process",0.148939060914262,1180,1.22301688347345,1.58761892521397e-13,2.6940671915554e-11,156066,484,656,1.07544864546964,0.0015005368968426,0.194716729084398
"GO:0010468","regulation of gene expression",0.40039659575713,2883,1.11150986701525,1.63646873829748e-13,2.70753752751318e-11,133598,1584,2228,1.03630631677049,0.00169417690940454,0.208112066003104
"GO:0023051","regulation of signaling",0.331835663874568,2428,1.12949595240404,1.92734717074927e-13,3.04744483616202e-11,130198,1300,1818,1.04231173669243,0.00138350618373151,0.190750915081982
"GO:0009889","regulation of biosynthetic process",0.421243471983748,3019,1.10634094506115,1.93400850889702e-13,3.04744483616202e-11,132599,1667,2349,1.034429119786,0.00199198325147443,0.235409734968889
"GO:0010646","regulation of cell communication",0.333888790507057,2441,1.1285608925571,2.19824158875781e-13,3.38324717079051e-11,128661,1306,1822,1.04482356452028,0.000742078710989635,0.147806193786795
"GO:0010556","regulation of macromolecule biosynthetic process",0.409212506751592,2938,1.10831177981284,2.8288482667449e-13,4.25484496120858e-11,134301,1617,2280,1.03376857834857,0.00283958093972003,0.278944017478317
