"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0060090","molecular adaptor activity",0.108108913785526,943,1.35698273087267,0,0,154640,419,612,1.00512301152147,0.443291276061621,0.997703854452283
"GO:0140110","transcription regulator activity",0.199035151274441,1581,1.23573747874458,0,0,136024,724,979,1.08570662901608,1.39664241938231e-05,0.00566906459517239
"GO:0097159","organic cyclic compound binding",0.437289930470518,3201,1.13878130574124,0,0,128633,1865,2693,1.01671468847491,0.0659201430721896,0.997703854452283
"GO:0043167","ion binding",0.447140217456109,3206,1.11543409753205,0,0,120474,1935,2813,1.00987553754767,0.181722740938678,0.997703854452283
"GO:0005515","protein binding",0.839316881871691,5788,1.07281959141232,0,0,122388,4536,6572,1.01328614920897,0.000665985914629186,0.0475809936785074
"GO:0005488","binding",0.898235753947506,6134,1.06237432313997,0,0,123208,5062,7354,1.01054377329918,0.0003020864347415,0.0261145250735875
"GO:0003674","molecular_function",0.947374154430319,6279,1.03108170855637,0,0,124133,5437,7947,1.00441394823913,0.0200209133442422,0.788025130716788
"GO:0036094","small molecule binding",0.458199086460047,3274,1.11160012773427,1.11022302462516e-16,1.78468351208494e-14,119138,1996,2906,1.00837377442282,0.2158189773904,0.997703854452283
"GO:0030674","protein-macromolecule adaptor activity",0.0940820040519524,803,1.32780138525796,2.22044604925031e-16,3.172770688151e-14,139628,367,535,1.0070914231917,0.42278359354222,0.997703854452283
"GO:0003676","nucleic acid binding",0.309870189913382,2278,1.14366295359459,1.33226762955019e-14,1.71329617160154e-12,134769,1208,1725,1.02809784777527,0.0297299232962089,0.940244914572359
"GO:0003712","transcription coregulator activity",0.0475348628149699,437,1.4301886396243,2.24709140184132e-13,2.62705412978903e-11,145020,190,264,1.05658949681525,0.0961646091950099,0.997703854452283
"GO:0008134","transcription factor binding",0.0729105416588448,609,1.29942464652034,5.93207705179566e-11,6.35720924050768e-09,132886,245,312,1.15283752790166,2.19846920386235e-05,0.00566906459517239
"GO:0019899","enzyme binding",0.181857350973504,1368,1.17025193701461,1.57149182555827e-10,1.55456806743687e-08,124560,705,999,1.03604887596678,0.0406991005633719,0.997703854452283
"GO:0035639","purine ribonucleoside triphosphate binding",0.127593946584354,993,1.21071886553406,1.80367276669813e-10,1.61522602792896e-08,119280,574,849,0.992569251685551,0.646307940919898,0.997703854452283
"GO:0003700","DNA-binding transcription factor activity",0.157961093543982,1203,1.18478521949466,1.97710292582087e-10,1.61522602792896e-08,132526,538,721,1.09547791380148,4.05485815875295e-05,0.00744935370308042
"GO:0097367","carbohydrate derivative binding",0.17238772410464,1302,1.17497541631069,2.00961247642795e-10,1.61522602792896e-08,123771,741,1078,1.00915078471334,0.332843582135926,0.997703854452283
"GO:0140297","DNA-binding transcription factor binding",0.0627041961710579,530,1.3149323095706,2.31809571538122e-10,1.75357122940015e-08,142444,205,258,1.16651618865038,2.64497570536815e-05,0.00566906459517239
"GO:0003677","DNA binding",0.228079795225913,1678,1.1445355166228,3.05699354719025e-10,2.18405205649259e-08,143297,809,1126,1.05479180317759,0.00203725621865025,0.124757690342106
"GO:0046872","metal ion binding",0.346021708376008,2461,1.10645154515335,3.90849574927188e-10,2.64543449134928e-08,124541,1392,2012,1.01570566340286,0.12506634482318,0.997703854452283
"GO:0017076","purine nucleotide binding",0.138691491099424,1065,1.19460388368676,5.61542812249627e-10,3.6107202827651e-08,119445,619,919,0.988853039411039,0.713125409309825,0.997703854452283
"GO:0032553","ribonucleotide binding",0.133350502748399,1026,1.19695227718016,8.59051163537572e-10,5.26066569671104e-08,120209,595,882,0.990387147390739,0.684898824851676,0.997703854452283
"GO:0032555","purine ribonucleotide binding",0.132881409801062,1022,1.19649475897391,1.00874975039744e-09,5.89660081368686e-08,119978,590,874,0.991053715668697,0.673321787280454,0.997703854452283
"GO:1901265","nucleoside phosphate binding",0.148920000203905,1132,1.18254460371263,1.20768139932892e-09,6.75251425885648e-08,116408,668,994,0.986612681046085,0.756149788756673,0.997703854452283
"GO:0000166","nucleotide binding",0.148165883145877,1126,1.18226357244383,1.42425626847853e-09,7.63163983859746e-08,116485,661,985,0.985194194775576,0.776253498515014,0.997703854452283
"GO:0043169","cation binding",0.354818891114362,2508,1.09962582237174,2.1677504236095e-09,1.11509081790473e-07,124617,1417,2055,1.01231259235401,0.181944459664042,0.997703854452283
"GO:0019901","protein kinase binding",0.0645391219971901,535,1.2895995147614,2.65249266995227e-09,1.31196368213793e-07,135655,253,357,1.04042054653228,0.139305610245588,0.997703854452283
"GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding",0.0429770258598431,376,1.3610548238999,3.16767367891657e-09,1.50875124114323e-07,155271,145,186,1.14448913237374,0.00179278344889355,0.115275975763855
"GO:0030554","adenyl nucleotide binding",0.11292839223573,877,1.20814922641578,3.84711862366771e-09,1.7669266250131e-07,117233,510,758,0.9877739886905,0.711863274035302,0.997703854452283
"GO:0005524","ATP binding",0.102886279147649,806,1.21871375365729,4.49307824279543e-09,1.99244780008101e-07,116905,466,692,0.98863603784758,0.691961533317249,0.997703854452283
"GO:1901363","heterocyclic compound binding",0.158183948709845,1188,1.16836398151845,5.49325918086652e-09,2.35477710219811e-07,114174,707,1057,0.98197638003074,0.828991108968623,0.997703854452283
"GO:0019904","protein domain specific binding",0.0612163525823606,507,1.28844131237842,7.96313481821187e-09,3.28864817586427e-07,125190,228,312,1.07284471984318,0.0305513939084514,0.940244914572359
"GO:0032559","adenyl ribonucleotide binding",0.107262485263965,834,1.20960152928619,8.18326140183956e-09,3.28864817586427e-07,117774,481,714,0.989016369332067,0.689031522689316,0.997703854452283
"GO:0043168","anion binding",0.177723947278075,1318,1.15370185717859,1.01618228276479e-08,3.96003156253187e-07,114756,777,1141,0.999751327564553,0.520062564236597,0.997703854452283
"GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific",0.153149815631955,1148,1.16613691000665,1.58236247438381e-08,5.9850533589929e-07,133248,513,684,1.10107747562853,2.45476840816661e-05,0.00566906459517239
"GO:0000976","transcription cis-regulatory region binding",0.158071468355121,1181,1.1623061666421,1.79098917918452e-08,6.39781134564248e-07,136240,543,734,1.08607642010225,0.000174027238923791,0.0248665588062216
"GO:0001067","transcription regulatory region nucleic acid binding",0.158071468355121,1181,1.1623061666421,1.79098917918452e-08,6.39781134564248e-07,136240,543,734,1.08607642010225,0.000174027238923791,0.0248665588062216
"GO:0098772","molecular function regulator activity",0.182523810927505,1342,1.14381850890365,4.62034006609713e-08,1.60588035810835e-06,120187,695,1022,0.998367704581639,0.547859335354945,0.997703854452283
"GO:0001221","transcription coregulator binding",0.0160576511132009,161,1.55979667503131,6.66759918388493e-08,2.2564559343358e-06,112477,57,69,1.21278098764881,0.00505120565456596,0.282428281381384
"GO:0003713","transcription coactivator activity",0.0243551551131796,226,1.44358270798277,7.56653786293526e-08,2.47431795938891e-06,125767,106,138,1.12767354991907,0.0152581542226721,0.720656274718252
