"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"hsa04148",0.0142082081181338,147,1.59711828251193,6.39857471451677e-08,2.19471112707925e-05,97958,60,75,1.16610629988113,0.019203003303349,0.993530749058092
"hsa05205",0.0226127623867467,204,1.39262954473958,3.14810533952325e-06,0.000539900065728238,159394,85,112,1.10623923537831,0.0557033648693428,0.993530749058092
"hsa04714",0.0171533095044902,160,1.43989596646416,6.42648511406385e-06,0.000734761464707967,131904,69,93,1.08146955230912,0.14516804322938,0.993530749058092
"hsa04330",0.011447951295009,114,1.53722038363133,9.34126193585794e-06,0.000801013210999818,107256,36,44,1.19260871578752,0.0372059326046956,0.993530749058092
"hsa05417",0.0147749317970105,139,1.45227336299421,1.68268095502855e-05,0.00115431913514958,121129,70,91,1.12125605757801,0.0513728048884363,0.993530749058092
"hsa05206",0.0193834126162842,173,1.37776427275825,2.9268514704528e-05,0.00167318342394218,160409,69,95,1.0587017722605,0.231809695735085,0.993530749058092
"hsa04015",0.0215707399478579,189,1.35255775064164,3.51345783633494e-05,0.00172159433980412,155760,93,124,1.09322465613856,0.0716989508281667,0.993530749058092
"hsa04910",0.012379709740843,118,1.47139949094169,4.1123039875357e-05,0.00176315033465593,116697,47,70,0.978696358828809,0.657937723616656,0.993530749058092
"hsa05160",0.0100620603431061,99,1.51882358840836,5.32038199920759e-05,0.00202765669525356,129180,45,70,0.937049705261626,0.819597354552389,0.993530749058092
"hsa04660",0.0113947586149424,109,1.47665970720715,6.86343117821675e-05,0.00232114584213738,149398,39,57,0.997327756477286,0.575327854121245,0.993530749058092
"hsa04152",0.0118007960727844,112,1.46509495717769,7.44390794854555e-05,0.00232114584213738,134283,49,64,1.11600016980812,0.10516307356577,0.993530749058092
"hsa04064",0.00796017375388944,81,1.57080229683401,8.53073875359822e-05,0.00237630392406218,196300,40,51,1.1432414704717,0.0829580457512318,0.993530749058092
"hsa04390",0.0207757310170285,180,1.33744289383274,9.27861389252715e-05,0.00237630392406218,120745,76,105,1.05504855703531,0.233619647260189,0.993530749058092
"hsa03082",0.00665407182208644,70,1.6239386272789,9.69919969004973e-05,0.00237630392406218,104672,32,50,0.932885039904907,0.805476330633071,0.993530749058092
"hsa05131",0.0186955647721724,163,1.34588536749429,0.000144969716822763,0.00267798145515449,132528,90,123,1.06656064013518,0.158295791108589,0.993530749058092
"hsa05225",0.0137112998318446,125,1.40731216393681,0.000152333715707886,0.00267798145515449,127236,67,94,1.03895109164941,0.330573233733163,0.993530749058092
"hsa04662",0.00641570212453781,67,1.61209142240805,0.00016404207748355,0.00267798145515449,121289,22,33,0.971755249900945,0.672349035358379,0.993530749058092
"hsa04623",0.00272014067690788,35,1.98625834911923,0.000164694145690092,0.00267798145515449,45910,22,26,1.23338166333582,0.0545606826299263,0.993530749058092
"hsa04151",0.030422001910947,249,1.26348652378968,0.000165669971844751,0.00267798145515449,156421,125,184,0.990239724763192,0.612874221782022,0.993530749058092
"hsa05135",0.0133628877774081,122,1.40934904592238,0.000171365036767179,0.00267798145515449,97654,53,72,1.07297975509896,0.21605325135773,0.993530749058092
"hsa04611",0.0109214545804328,103,1.45584720507472,0.000174786633099,0.00267798145515449,114930,59,72,1.19444916133658,0.00789513575913037,0.993530749058092
"hsa04921",0.01533057366754,137,1.37949845080131,0.000175013614995834,0.00267798145515449,119465,71,97,1.06692715581908,0.193090279487189,0.993530749058092
"hsa04140",0.0106848579722197,101,1.45918943445224,0.00018542728625015,0.00267798145515449,153297,48,65,1.07640581527489,0.219742317425917,0.993530749058092
"hsa03460",0.00306766618667661,38,1.91220545854889,0.000187380626599731,0.00267798145515449,129085,19,26,1.06519325469911,0.399402484913216,0.993530749058092
"hsa04613",0.0144923456841565,130,1.38472560864652,0.000216925294366455,0.00297621503870776,165107,50,67,1.08778572750106,0.17561719852111,0.993530749058092
"hsa04072",0.0130018424614558,118,1.40099364106914,0.000268715381645634,0.0035449759963251,134162,57,74,1.12277126846663,0.0718354076205316,0.993530749058092
"hsa04071",0.00867062848702952,84,1.49550463753424,0.000294912738304731,0.00374648404587121,129834,40,59,0.988225677865368,0.614295941767964,0.993530749058092
"hsa05208",0.0135811994018483,122,1.38669439882423,0.000314081231912677,0.0038474950909303,85378,68,91,1.08922017021864,0.123706697284389,0.993530749058092
"hsa05200",0.0512097012809906,394,1.1876898244353,0.000343595173180278,0.00406390153106329,140149,199,283,1.02497859397679,0.287303717153118,0.993530749058092
"hsa03250",0.00241816139944622,31,1.97895293598159,0.00039658843577739,0.00453432778238816,69934,21,30,1.02034301239599,0.522563721150101,0.993530749058092
"hsa04919",0.0113565263761445,104,1.41366622388085,0.000441629361026097,0.00488641518812746,152174,49,64,1.11600016980812,0.10516307356577,0.993530749058092
"hsa05161",0.0107940137844398,99,1.41583056148479,0.000566242522858529,0.0060378067259266,119464,52,75,1.01062545989698,0.501465258683173,0.993530749058092
"hsa05014",0.0213402383342358,178,1.28759651686905,0.000580896857013347,0.0060378067259266,108727,97,139,1.0171970421625,0.421020576585194,0.993530749058092
"hsa05235",0.00752144496142312,72,1.47771360186343,0.00102249876186966,0.0101475481752214,145109,32,43,1.08475004640106,0.259011181241484,0.993530749058092
"hsa03040",0.00443228006655291,47,1.63692853539753,0.00103546409951238,0.0101475481752214,113126,29,42,1.00646079454026,0.549674916393455,0.993530749058092
"hsa04510",0.0227611478005159,186,1.26147265763187,0.00109830125493704,0.0104643702900946,120733,87,123,1.03100861879734,0.343063860838381,0.993530749058092
"hsa04150",0.0115852549004311,103,1.37243153153945,0.001192365430145,0.0110535497983713,101712,56,74,1.10307352691459,0.115396042145423,0.993530749058092
"hsa04670",0.0118394715839162,104,1.35600120704518,0.00163457187179472,0.0147541618954102,118214,48,68,1.02891732342453,0.417977355343829,0.993530749058092
"hsa04932",0.0133309721693682,115,1.33166527453954,0.00174447857586446,0.0153424654236285,118332,47,67,1.02251858385099,0.450161423732272,0.993530749058092
"hsa01521",0.00731975604950377,69,1.45516265244966,0.00184683858974255,0.0158366409070424,153367,31,41,1.10211266147302,0.214176012946732,0.993530749058092
"hsa03083",0.00888062875520928,81,1.40799256003948,0.00192936554832568,0.0161407898311148,130836,26,37,1.0242825607064,0.49237944365393,0.993530749058092
"hsa05034",0.0154448271115998,130,1.29932967544437,0.00215471203322748,0.0175968149380244,163737,51,73,1.01834625503318,0.4639268279703,0.993530749058092
"hsa03015",0.00828464910229595,75,1.39748193062701,0.00328311083884869,0.0256747097741702,142905,29,40,1.05678383426728,0.366159993422985,0.993530749058092
"hsa04931",0.0106613645385236,93,1.34657085886705,0.00332076457805397,0.0256747097741702,129516,41,57,1.04847276962997,0.350444493514773,0.993530749058092
"hsa05016",0.0210289503377624,169,1.24058968415672,0.0033684021569611,0.0256747097741702,119586,86,121,1.03600353088613,0.315044775575475,0.993530749058092
"hsa04310",0.0202750549159013,163,1.24103669106092,0.00386861956398854,0.0288464458793059,123612,77,101,1.11126466696593,0.0574055112273022,0.993530749058092
"hsa04062",0.0143783138762636,120,1.28834549271113,0.00399706466740302,0.0291700676791327,116750,60,84,1.04116633917958,0.33349223876347,0.993530749058092
"hsa04217",0.00737837881566055,67,1.40175757061161,0.00485836422417019,0.0333749408758163,83565,44,64,1.00212260146035,0.550235286172574,0.993530749058092
"hsa05223",0.00444236451214888,44,1.52896499203458,0.00487009777716751,0.0333749408758163,158441,20,35,0.832933071343667,0.94713603199087,0.993530749058092
"hsa04270",0.0112401673884987,96,1.31843131761363,0.00508451869814486,0.0333749408758163,155924,59,75,1.14667119488312,0.0358548235096151,0.993530749058092
"hsa05017",0.00911101955074792,80,1.35544551460211,0.00518151629268004,0.0333749408758163,166264,44,67,0.957251440200931,0.745486848607964,0.993530749058092
"hsa00260",0.00240043050609067,27,1.73633565369226,0.00519309698496773,0.0333749408758163,111081,12,18,0.971755249900945,0.67577777588959,0.993530749058092
"hsa04664",0.00521598555286809,50,1.479764760938,0.00523307596746947,0.0333749408758163,135028,25,34,1.07178887856722,0.339081599314502,0.993530749058092
"hsa04520",0.011523750864104,98,1.31277794384877,0.00525436386966205,0.0333749408758163,113433,44,59,1.0870482456519,0.198772435701185,0.993530749058092
"hsa04625",0.00980086212036218,85,1.33879383097557,0.0055161188357159,0.0340398859096516,144539,37,53,1.01759276168873,0.490802749794908,0.993530749058092
"hsa04530",0.0175676583185927,142,1.2477670835923,0.0055575323934125,0.0340398859096516,130005,68,98,1.01141872948874,0.481953069039147,0.993530749058092
"hsa04350",0.0107489108244666,92,1.32124216145827,0.00566232257511812,0.0340732744432546,141539,44,58,1.10579045678383,0.145571732171838,0.993530749058092
"hsa04915",0.0099604401605621,86,1.33284294300983,0.00587730555607646,0.0344603022226243,152860,54,72,1.09322465613856,0.147145432870651,0.993530749058092
"hsa04014",0.0210830295624969,167,1.22276362211917,0.00592757385170506,0.0344603022226243,146774,83,123,0.983605923680225,0.647489694676651,0.993530749058092
"hsa04936",0.0114992600676567,97,1.30214963783852,0.00673138254540029,0.0384810702178717,109505,53,68,1.13609621128125,0.0592400747825632,0.993530749058092
"hsa04020",0.0280118194135108,215,1.18483042651576,0.00752759139672921,0.0422415057472408,148148,105,147,1.04116633917958,0.258430427014309,0.993530749058092
"hsa05215",0.00846616912302336,74,1.34928544702525,0.00763549083477821,0.0422415057472408,163054,34,48,1.03248995301975,0.436978356335905,0.993530749058092
"hsa05132",0.0176171940019047,141,1.23549625162152,0.00777040848835364,0.0423055573254809,104342,86,123,1.01915794501806,0.417979187013448,0.993530749058092
"hsa05214",0.00664487392115825,60,1.39387414231339,0.00815392870094267,0.0436999616316146,170719,24,37,0.945491594498217,0.751804510118777,0.993530749058092
"hsa00590",0.00288947070845336,30,1.60273608424859,0.00973958403329878,0.0513950357449458,41247,20,30,0.971755249900945,0.671927668736704,0.993530749058092
"hsa04928",0.0115430332106282,96,1.28383834905467,0.00990961848435667,0.0514999869717324,147789,43,58,1.08065885549329,0.2231614000287,0.993530749058092
"hsa04210",0.0117084846092521,97,1.27888089981155,0.0105259821417737,0.0538775540378513,128373,50,72,1.01224505198015,0.495592761962135,0.993530749058092
