"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GSE22886_NAIVE_CD4_TCELL_VS_MEMORY_TCELL_UP",0.0167759739302675,177,1.64138195926896,4.51947479440662e-10,2.2018881198349e-06,103777,75,102,1.07948772120444,0.140991977846789,0.719937080470106
"GSE45837_WT_VS_GFI1_KO_PDC_DN",0.0117862789038496,133,1.75549282632018,1.36689848329041e-09,3.32976470529545e-06,112810,52,72,1.06029682838303,0.269541178973075,0.798471887294577
"GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_60H_UP",0.0187648260743425,190,1.57519088279805,2.28495833365372e-09,3.71077233385364e-06,137683,74,94,1.15574089640441,0.0151913521498599,0.649571039033098
"GSE22589_SIV_VS_HIV_AND_SIV_INFECTED_DC_DN",0.0168349291506747,173,1.59867042989295,4.33959690404606e-09,5.2856290291281e-06,85054,81,106,1.1218525223385,0.0383346904662369,0.669698685245829
"GSE16385_MONOCYTE_VS_12H_IFNG_TNF_TREATED_MACROPHAGE_UP",0.0144676332515422,152,1.63444469102476,9.58014956253805e-09,8.09598305995252e-06,113767,75,101,1.09017571844409,0.108884258634416,0.705430994769777
"GSE9988_LPS_VS_VEHICLE_TREATED_MONOCYTE_DN",0.018048165528528,181,1.56016180423324,1.04230306607889e-08,8.09598305995252e-06,94324,80,104,1.12931023141387,0.0308007016142884,0.653696059453069
"GSE28783_CTRL_ANTI_MIR_VS_UNTREATED_ATHEROSCLEROSIS_MACROPHAGE_DN",0.0207226491550454,202,1.51645744334224,1.22559635773456e-08,8.09598305995252e-06,142532,76,112,0.996212954140096,0.568525041561935,0.907079684521725
"GSE27786_CD8_TCELL_VS_ERYTHROBLAST_UP",0.0143027359433356,150,1.63153453187109,1.32938966501683e-08,8.09598305995252e-06,115101,63,85,1.08812362297407,0.140250857517169,0.719937080470106
"GSE11864_UNTREATED_VS_CSF1_IFNG_IN_MAC_UP",0.017446866607608,175,1.56043161231858,1.79113384124463e-08,9.69600452727093e-06,131894,70,87,1.18123254090417,0.00713110993705812,0.563281716308435
"GSE37532_WT_VS_PPARG_KO_LN_TREG_UP",0.0122570341224394,132,1.67537745882401,2.2528069076877e-08,1.09756752542545e-05,111883,57,72,1.16224844649678,0.0259769017166827,0.649571039033098
"GSE13522_CTRL_VS_T_CRUZI_Y_STRAIN_INF_SKIN_IFNAR_KO_DN",0.0185498389924065,183,1.5347409362223,2.63375202758098e-08,1.16651271621587e-05,115463,88,114,1.13327272345392,0.0208879932172855,0.649571039033098
"GSE16266_CTRL_VS_LPS_STIM_MEF_UP",0.0285269018654895,260,1.41789108457987,3.59456229226396e-08,1.45919623670832e-05,102736,89,114,1.14615082258408,0.0121787875958832,0.624579507022557
"GSE7768_OVA_ALONE_VS_OVA_WITH_LPS_IMMUNIZED_MOUSE_WHOLE_SPLEEN_6H_UP",0.0153260301261176,156,1.58350360111194,4.32006705963772e-08,1.45919623670832e-05,125100,67,89,1.10520136130504,0.0874278983577476,0.683705811876318
