"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"R-HSA-73857",0.102935482376711,868,1.30170831026713,1.55431223447522e-15,2.39830377779526e-12,153020,417,569,1.06824764290517,0.0067293062961572,0.999999951363696
"R-HSA-74160",0.117746208414683,970,1.27169762271876,7.105427357601e-15,5.48183720638917e-12,145979,487,664,1.06907712357325,0.00319087237241567,0.999999951363696
"R-HSA-212436",0.0982537508042622,817,1.28360669747236,2.29261054585095e-13,1.17916602408267e-10,152959,391,536,1.06331054863228,0.0135039587082644,0.999999951363696
"R-HSA-162582",0.248703483832417,1860,1.15448988346363,1.04372066545011e-12,4.0261524669738e-10,126498,927,1317,1.02598760439428,0.0685866492572114,0.999999951363696
"R-HSA-3700989",0.0230565888110527,223,1.49303113672399,7.43998729291206e-09,2.29598007859266e-06,149650,104,148,1.0242825607064,0.366346221443882,0.999999951363696
"R-HSA-4090294",0.00592112101800151,75,1.95531342575929,9.77090846010498e-08,1.98635228644979e-05,228223,16,18,1.29567366653459,0.0466165812383651,0.999999951363696
"R-HSA-109582",0.0540765651004156,449,1.28172926241272,1.05824817908662e-07,1.98635228644979e-05,96402,218,304,1.04527620630792,0.129788724345437,0.999999951363696
"R-HSA-73887",0.0157309594031249,158,1.55046130864682,1.25415968055265e-07,1.98635228644979e-05,115456,58,78,1.08388085565875,0.164265060363967,0.999999951363696
"R-HSA-157118",0.0233293121144777,218,1.44249267509221,1.35067097173369e-07,1.98635228644979e-05,144303,68,96,1.03248995301975,0.362942709755588,0.999999951363696
"R-HSA-3247509",0.0178813843129024,175,1.5107617049505,1.41606449455267e-07,1.98635228644979e-05,136909,82,115,1.03935561511145,0.302309606780015,0.999999951363696
"R-HSA-4839726",0.0178813843129024,175,1.5107617049505,1.41606449455267e-07,1.98635228644979e-05,136909,82,115,1.03935561511145,0.302309606780015,0.999999951363696
"R-HSA-350054",0.00905549969092836,102,1.73878869542155,1.61462668568646e-07,2.07614081334517e-05,183889,16,17,1.37188976456604,0.014433022547871,0.999999951363696
"R-HSA-193704",0.0131780432141766,136,1.59311467194067,2.21540627398653e-07,2.62951683135478e-05,111119,44,56,1.14528297309754,0.0676485634058367,0.999999951363696
"R-HSA-109581",0.0113196239543483,120,1.63647095963416,3.04309648369028e-07,3.17651948393024e-05,145562,55,80,1.00212260146035,0.542765792459925,0.999999951363696
"R-HSA-3108232",0.0196305369424271,187,1.47051169938062,3.0879969059594e-07,3.17651948393024e-05,151656,70,95,1.07404527620631,0.168341512544283,0.999999951363696
"R-HSA-2990846",0.0201643476505126,189,1.44689389457183,7.38343569062216e-07,7.12040079414375e-05,150616,72,97,1.08195429885878,0.13719796647829,0.999999951363696
"R-HSA-5357801",0.0138029463868761,138,1.54335680654498,9.53558960903322e-07,8.65494986278721e-05,149703,64,93,1.00310219344614,0.532451056683905,0.999999951363696
"R-HSA-204998",0.0112596713711898,116,1.59034493599099,1.7672837866467e-06,0.000151495493488659,113573,34,45,1.1013226165544,0.200370779456249,0.999999951363696
"R-HSA-2122947",0.0126516573176838,127,1.54958483375337,2.07750546266094e-06,0.000168715312046623,174378,25,31,1.17551038294469,0.101816094355861,0.999999951363696
"R-HSA-5663202",0.0487199513996213,398,1.26105864000219,2.56703259249313e-06,0.000180691637145967,158410,151,227,0.969614819835084,0.776932771177911,0.999999951363696
"R-HSA-2644602",0.0147443460059722,143,1.49716470361513,2.92760267572856e-06,0.000180691637145967,169151,27,35,1.12445964631395,0.183002575134893,0.999999951363696
"R-HSA-2644603",0.0147443460059722,143,1.49716470361513,2.92760267572856e-06,0.000180691637145967,169151,27,35,1.12445964631395,0.183002575134893,0.999999951363696
"R-HSA-2644606",0.0147443460059722,143,1.49716470361513,2.92760267572856e-06,0.000180691637145967,169151,27,35,1.12445964631395,0.183002575134893,0.999999951363696
"R-HSA-2894858",0.0147443460059722,143,1.49716470361513,2.92760267572856e-06,0.000180691637145967,169151,27,35,1.12445964631395,0.183002575134893,0.999999951363696
"R-HSA-2894862",0.0147443460059722,143,1.49716470361513,2.92760267572856e-06,0.000180691637145967,169151,27,35,1.12445964631395,0.183002575134893,0.999999951363696
"R-HSA-76002",0.0265229784620622,233,1.35610302500266,3.93798665998535e-06,0.000233704362167592,106083,101,138,1.06681826347821,0.140198909808442,0.999999951363696
