"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"Repressor",0.063362513896586,593,1.41972782864431,0,0,188651,229,561,1.29058930580866,1.95424279925138e-06,0.000217898072116529
"Isopeptide bond",0.133313809194214,1135,1.29152710509847,0,0,155940,523,1639,1.00887689557265,0.40862123976419,0.871985994903486
"Transcription",0.187621735086609,1584,1.28072188451407,0,0,151936,764,2155,1.12088620720943,3.04602601580717e-05,0.00183667824867034
"Acetylation",0.216374459565546,1780,1.24794891405777,0,0,144122,951,3103,0.968978592531646,0.905509958620636,1
"Phosphoprotein",0.538892110673773,4130,1.16260189726647,0,0,147453,2507,7422,1.06794484802091,1.24752594587996e-07,4.86136759544342e-05
"Alternative splicing",0.648817179116284,4769,1.11503316063284,0,0,146890,3117,9354,1.05354933598747,2.17998546880871e-07,4.86136759544342e-05
"Reference proteome",0.869853986382269,6392,1.11473903592439,0,0,142604,5318,16709,1.00626719584769,0.0249803349632305,0.242347675517042
"3D-structure",0.516453452789724,3734,1.09679618114183,2.22044604925031e-16,1.23789867245705e-14,143998,2290,7092,1.0208976319214,0.0645472091271724,0.36542082378912
"Ubl conjugation",0.188924436156917,1507,1.21006282481809,5.55111512312578e-16,2.75088593879344e-14,157305,758,2314,1.03566975128318,0.110360577635802,0.485038088851684
"SH3 domain",0.0204782584217324,236,1.74824294803277,1.11022302462516e-15,4.9515946898282e-14,127693,70,203,1.09022827971489,0.209952048280992,0.639890892899413
"Direct protein sequencing",0.171234568085643,1371,1.21458751732897,6.66133814775094e-15,2.70086983081538e-13,127124,756,2549,0.937707524694754,0.990357653677483,1
"Methylation",0.069063720557438,620,1.36183508937998,1.50990331349021e-14,5.61180731513862e-13,154504,295,901,1.03517235659943,0.241361783329149,0.657037457183485
"Coiled coil",0.160157263212325,1287,1.21903088607731,2.26485497023532e-14,7.7701947440381e-13,147444,614,1876,1.03478703350764,0.145506902454889,0.550394445175369
"Metal-binding",0.140486316897135,1135,1.22558838370232,3.48165940522449e-13,1.10915721052152e-11,153047,592,1760,1.06346813103098,0.0305642418604825,0.278196976934187
"Zinc-finger",0.12347582040206,1004,1.23348704828834,2.87436741075453e-12,8.54645243464347e-11,156166,516,1536,1.06212083187849,0.0448504456068196,0.339038961705789
"Zinc",0.131844068564417,1055,1.21387694926876,2.5682123094839e-11,7.15889181268636e-10,153677,543,1616,1.06236539113059,0.0397934590915939,0.322688777360925
"Guanine-nucleotide releasing factor",0.0144822358397582,166,1.73882259021214,2.73367994907403e-11,7.17188974874716e-10,127586,63,149,1.33681011210678,0.00385658206561668,0.0716681500527099
"Gamma-carboxyglutamic acid",0.00101635068528089,29,4.32849793715086,1.55709889426703e-10,3.85814503801719e-09,111127,6,17,1.11588070982583,0.461560409259562,0.927279020404345
"Immunity",0.021248414000318,215,1.53495179742111,1.66798175271765e-09,3.91536769322143e-08,134369,100,349,0.905920347041027,0.897901723347446,1
"Protein phosphatase inhibitor",0.00222521201329475,42,2.86325940415325,4.21333068434393e-09,9.39572742608696e-08,238599,12,24,1.58083100558659,0.0464377123134749,0.339528191669013
"ANK repeat",0.0225387868746439,223,1.50091855800824,4.98101759838221e-09,1.0578732613707e-07,232693,87,217,1.26757877867312,0.0049370604894452,0.0880771591317024
"Magnesium",0.0513182099784145,444,1.31248476827951,9.25998622225421e-09,1.87725175232972e-07,153843,202,582,1.09734660868897,0.0580812037965415,0.358994799581363
"Neuronal ceroid lipofuscinosis",0.000612270934259118,20,4.95529088963786,1.15843417081152e-08,2.24635495731277e-07,124416,7,11,2.01196673438294,0.028969839351479,0.269178090640826
"FAD",0.00607700600369286,78,1.94709767682545,6.51052755040737e-08,1.2098730364507e-06,104733,30,96,0.98801937849162,0.570231739584806,0.977334044179203
"Charcot-Marie-Tooth disease",0.004313463931223,61,2.14529225797313,7.19534956061807e-08,1.23427919385987e-06,154777,19,55,1.09221051295074,0.368385328101352,0.825627418759815
"Neuropathy",0.004313463931223,61,2.14529225797313,7.19534956061807e-08,1.23427919385987e-06,154777,19,55,1.09221051295074,0.368385328101352,0.825627418759815
"Chromatin regulator",0.027449269268728,254,1.40373694544779,1.14308424725706e-07,1.88820583065426e-06,220425,91,277,1.03866874735292,0.351024777980619,0.802856671689005
"Lipid metabolism",0.0151151301851036,153,1.53554426406362,3.4003469917554e-07,5.2870305622991e-06,180257,62,194,1.01042806542648,0.487625891829953,0.940863102207282
"Peroxisome biogenesis disorder",0.000981094563968842,23,3.55631128541623,3.55629858450612e-07,5.2870305622991e-06,302415,2,11,0.574847638395124,0.907145785934837,1
"Zellweger syndrome",0.000981094563968842,23,3.55631128541623,3.55629858450612e-07,5.2870305622991e-06,302415,2,11,0.574847638395124,0.907145785934837,1
"Transit peptide",0.0318913488619801,284,1.35091571254317,4.95410833911691e-07,7.12752361047143e-06,123696,146,507,0.910458882901943,0.925882561406469,1
"Disease variant",0.288621884198104,2084,1.09534582790693,5.43219286108787e-07,7.57111880014122e-06,146753,1154,3387,1.07722408057096,0.000397784409575719,0.0136470651285208
"Peroxisome biogenesis",0.00117467019860118,25,3.22854511221233,6.47344583604159e-07,8.74896012992288e-06,311970,3,11,0.862271457592687,0.727522203290349,0.977334044179203
"Electron transport",0.00281858185082233,43,2.31430506462818,8.56571531704375e-07,1.09151686611472e-05,138713,15,49,0.967855717706077,0.613823988480144,0.977334044179203
"Respiratory chain",0.00281858185082233,43,2.31430506462818,8.56571531704375e-07,1.09151686611472e-05,138713,15,49,0.967855717706077,0.613823988480144,0.977334044179203
"Flavoprotein",0.00696735380275374,82,1.78537228630948,9.26262442524362e-07,1.14753624823851e-05,101840,34,107,1.0046402652326,0.523454932898701,0.95680696751156
"Ehlers-Danlos syndrome",0.0012939431390515,26,3.04818244190603,1.11253840184844e-06,1.3410598033092e-05,186135,7,14,1.58083100558659,0.118617488358129,0.503841902930719
"mRNA capping",0.000632654730263147,17,4.07628896423957,1.94201190706345e-06,2.27930871197446e-05,205204,3,6,1.58083100558659,0.286393474658079,0.734089021250018
"Hydroxylation",0.0101286108017286,106,1.58759156632165,5.13842954630306e-06,5.87625532731068e-05,88931,50,145,1.09022827971489,0.255160284057068,0.67738980172293
"Nucleotidyltransferase",0.000952905144758302,20,3.18392717177933,9.82422341055944e-06,0.000107431196241394,156664,6,17,1.11588070982583,0.461560409259562,0.927279020404345
"Cytoskeleton",0.1051286910744,802,1.15727324401977,9.87596198631646e-06,0.000107431196241394,128983,418,1242,1.06406982340611,0.0599605167885091,0.358994799581363
"Growth regulation",0.00540269192475067,64,1.79701859726635,1.10372752787358e-05,0.000117205351769432,188286,24,53,1.43169600505956,0.0254700058470381,0.242347675517042
"Limb-girdle muscular dystrophy",0.00420963774466978,53,1.90991458917566,1.24336731108787e-05,0.000128963214126789,214209,16,39,1.29709210714797,0.138249990071983,0.549016286524764
"Ubiquinone",0.000321965928962429,11,5.18281336713449,1.42207079132373e-05,0.000144146266575087,94142,5,7,2.25833000798085,0.036152974193663,0.304230688497617
"Holoprosencephaly",0.00188079803677509,30,2.41970205455432,1.58127011800069e-05,0.000153893937395458,157930,8,11,2.2993905535805,0.00616058046326295,0.0947454788488027
"Cytoplasm",0.105524976535361,802,1.15292725337356,1.58724688793521e-05,0.000153893937395458,128983,418,1249,1.05810626154555,0.0788571801092176,0.39914727389761
"Dyskeratosis congenita",0.000329661134948604,11,5.06183211632911,1.76159990308289e-05,0.000167164586547866,183320,5,10,1.58083100558659,0.179535867461817,0.595735964036912
"Cytoplasmic vesicle",0.0552563903868319,442,1.21345188139118,2.62107568475001e-05,0.000239110842510173,134319,217,640,1.07200102566341,0.112015522761712,0.485038088851684
"Endosome",0.0537367541256093,431,1.21671438138164,2.62700252982029e-05,0.000239110842510173,153330,206,576,1.13073328871819,0.0175805756300491,0.182347365837254
"Isoprene biosynthesis",0.000641435651615266,15,3.54748824946519,3.68461770003936e-05,0.000328667898843511,353201,3,7,1.35499800478851,0.390122437006383,0.861359440123005
"Alternative initiation",0.00957885349960455,97,1.53617610143533,4.20129249786294e-05,0.000367407147852328,127082,40,121,1.04517752435477,0.400484935054473,0.862880584706738
"Actin-binding",0.0237842672157012,208,1.32664999817285,4.41472685686062e-05,0.000378647726569199,131409,88,249,1.11737452603711,0.115721577102308,0.49626753257336
"Catecholamine biosynthesis",0.000243351134712327,9,5.61037557416723,4.61104470701468e-05,0.000387346883084534,59742,3,5,1.89699720670391,0.185259342425873,0.595735964036912
"S-nitrosylation",0.0048821906527574,57,1.77109934355196,4.6898501539383e-05,0.000387346883084534,144197,25,58,1.36278534964361,0.0433426616200918,0.339038961705789
"Homeobox",0.0266578028428135,229,1.30314857059827,5.41071656778858e-05,0.000438759925315219,163879,83,211,1.24368695226244,0.0103626265326644,0.14442910729901
"Serine protease",0.00689830288832723,74,1.62731737603681,5.90646360817404e-05,0.00047040763736529,92307,38,113,1.06321377366886,0.356619661713729,0.811491679205731
"Threonine protease",0.0003167617484192,10,4.78905770293502,6.58590893372057e-05,0.000515318488498136,62026,2,7,0.903332003192339,0.704048377335802,0.977334044179203
"Host cell receptor for virus entry",0.00492962407731044,56,1.72328467604021,0.000108278519191818,0.000832624475164668,140303,26,65,1.26466480446927,0.0950256806774723,0.436922201877862
"Hydrolase",0.0721799736345114,554,1.16432935486332,0.000148861418828417,0.00112529140334701,144336,275,892,0.974727637973796,0.712466677624386,0.977334044179203
"Peroxisome",0.00774126421443903,79,1.54809640505718,0.000160308848418445,0.00118208407001532,194395,32,100,1.01173184357542,0.505847295517158,0.947932326893498
"Bartter syndrome",0.000169232037491979,7,6.27477645261954,0.000161675175495368,0.00118208407001532,48016,4,6,2.10777467411546,0.0841252101936667,0.39914727389761
"Nitration",0.00247839740430862,33,2.01988105396744,0.000185058523573867,0.0013312274437733,103857,16,39,1.29709210714797,0.138249990071983,0.549016286524764
"Lysosome",0.0252175484679084,213,1.28132571034822,0.000233649754998733,0.00165409191634023,143295,114,339,1.06321377366886,0.228659326535977,0.641396601478274
"Hydrogen peroxide",0.000451756028698713,11,3.69378428705207,0.000273727656616707,0.00178968164215326,232783,2,7,0.903332003192339,0.704048377335802,0.977334044179203
"Peroxidase",0.000451756028698713,11,3.69378428705207,0.000273727656616707,0.00178968164215326,232783,2,7,0.903332003192339,0.704048377335802,0.977334044179203
"Protease",0.0322054677208029,264,1.24353243481856,0.000273986608602561,0.00178968164215326,128241,129,414,0.985155554206137,0.600790725697125,0.977334044179203
"Chaperone",0.0101256042800546,97,1.45322742408845,0.00027994247190144,0.00178968164215326,181053,42,186,0.713923679942332,0.997624221428003,1
"Lipoprotein",0.0738544271432033,562,1.15436349135338,0.000286123564397833,0.00178968164215326,132654,282,743,1.19998477409265,0.000110389136630529,0.00547039499302398
"Cholesterol biosynthesis",0.00122755648529633,20,2.47156087631429,0.000288917215773621,0.00178968164215326,277103,5,17,0.929900591521525,0.666030433950645,0.977334044179203
"Cholesterol metabolism",0.00122755648529633,20,2.47156087631429,0.000288917215773621,0.00178968164215326,277103,5,17,0.929900591521525,0.666030433950645,0.977334044179203
"Sterol biosynthesis",0.00122755648529633,20,2.47156087631429,0.000288917215773621,0.00178968164215326,277103,5,17,0.929900591521525,0.666030433950645,0.977334044179203
"Sterol metabolism",0.00122755648529633,20,2.47156087631429,0.000288917215773621,0.00178968164215326,277103,5,17,0.929900591521525,0.666030433950645,0.977334044179203
"Heparin-binding",0.010144802952814,97,1.45047724373603,0.000297668766779724,0.00181863383539393,163858,37,81,1.44421598041244,0.00551415185785875,0.0910856195779631
"Diabetes mellitus",0.00658414355398381,68,1.56672373498615,0.000317785653724201,0.00191530272379721,193821,27,75,1.13819832402235,0.242304083744717,0.657037457183485
"Steroid metabolism",0.00437466648029319,49,1.69915865830446,0.000376964492001974,0.00224168217910507,174133,18,65,0.875537172324882,0.791484693145075,1
"Activator",0.0737407359389528,559,1.14997167036353,0.000411124287942211,0.00241265042660824,145584,257,632,1.28567584948023,6.74425755131658e-07,0.000100264628929573
"Necrosis",0.000991167463940142,17,2.60186455767415,0.000451919268302348,0.0026176103073097,80253,6,16,1.18562325418994,0.394790480461734,0.862880584706738
"Ubl conjugation pathway",0.0462892495831056,363,1.18962281887831,0.000522627075557391,0.00298835481664867,179657,185,596,0.981388375951408,0.638526128031605,0.977334044179203
"Tumor suppressor",0.0155152154879433,137,1.33950875554653,0.000555303895160897,0.00313500680052861,184548,61,166,1.16181555832268,0.0911633715974982,0.42352983054671
"Repeat",0.379015907857828,2624,1.05024154441691,0.000774643117976481,0.00431863538271888,153236,1447,4220,1.084105433689,1.30669405369321e-05,0.00116557109589435
"Aspartyl protease",0.00133669629820061,20,2.26976059304454,0.000815679269193792,0.0044912710377831,168538,6,13,1.45922862054147,0.200665165834974,0.62585079693985
"Nucleotide-binding",0.037871283234006,300,1.20169439352399,0.000870368658314136,0.00473395636107445,158071,150,478,0.992153350786564,0.564518770998398,0.977334044179203
"Lipid biosynthesis",0.0069054145992077,67,1.47186454997539,0.00163113344125188,0.00876488572046188,167752,28,86,1.02937832921918,0.466703236882949,0.933406473765898
"Ichthyosis",0.002381949743268,29,1.84692051421054,0.00165502869165934,0.00878741424381032,80333,13,44,0.934127412392077,0.67118020758817,0.977334044179203
"Blood coagulation",0.000847398738391815,14,2.50624211666575,0.00192776839758657,0.00999749657353036,74497,8,18,1.40518311607697,0.178361054497748,0.595735964036912
"Hemostasis",0.000847398738391815,14,2.50624211666575,0.00192776839758657,0.00999749657353036,74497,8,18,1.40518311607697,0.178361054497748,0.595735964036912
"Collagen degradation",0.00125650652049094,18,2.17315428112936,0.00228321152160893,0.0117047395245699,204570,4,16,0.790415502793296,0.795993756875208,1
"Folate-binding",0.000350232737368454,8,3.46510221211268,0.00264286759475918,0.0133945334916204,133193,1,7,0.451666001596169,0.930197109275573,1
"Steroid biosynthesis",0.00160627783692397,21,1.98326811117003,0.00304021008242339,0.0152352100759644,270297,6,22,0.862271457592687,0.742542552278305,0.988579039749624
"Triplet repeat expansion",0.00365786184737987,39,1.6174099467863,0.00316152034292128,0.0156670896993654,179280,11,27,1.28808452307056,0.206065296479137,0.633828429170311
"Prenylation",0.0125963035641395,109,1.31270210268919,0.00343422392924619,0.0167834023898603,135363,52,164,1.00247819866467,0.520928750157863,0.956107911812374
"Transport",0.0857488534464456,628,1.11100016457667,0.00346204712974696,0.0167834023898603,159410,326,993,1.0379675887638,0.210905742726937,0.639890892899413
"Golgi apparatus",0.0807154753909108,593,1.11450157279225,0.00353785543078433,0.0169664894852668,167193,310,863,1.13570709555468,0.00330101573873698,0.0699445718055594
"Endocytosis",0.0110475689654147,97,1.33194966886457,0.00372817710490703,0.017689010519027,87729,41,113,1.14715170316903,0.166826684025527,0.575272200961904
"NAD",0.0122730080952748,106,1.31020015325906,0.00407022673307922,0.0191086433995088,130129,62,166,1.18086171501649,0.0671849945083136,0.36542082378912
"Alternative promoter usage",0.0109586377704611,96,1.32891579237806,0.00413395038433184,0.0191270641555655,133859,42,90,1.47544227188082,0.00197471016391981,0.0463537227951703
"Rotamase",0.00176095487718984,22,1.8952096297337,0.00415992202486515,0.0191270641555655,260790,9,32,0.889217440642458,0.726056036582859,0.977334044179203
"Parkinson disease",0.00177341097581707,22,1.8818980407173,0.00450376734160129,0.0204967370852467,173698,11,22,1.58083100558659,0.0556236262442432,0.358994799581363
"DNA-directed DNA polymerase",0.0007418469994422,12,2.45385955713688,0.00459000100686313,0.0206781863541511,80187,4,15,0.843109869646183,0.748468365505017,0.993502651831065
"Parkinsonism",0.00304925216681677,33,1.6417362970643,0.00501187967480865,0.0223529833496466,127076,18,36,1.58083100558659,0.016387990324202,0.182347365837254
"Ribonucleoprotein",0.00817006349923697,74,1.37400745494674,0.00512233227149639,0.0226194078523504,126500,41,158,0.820431281380383,0.950275111696205,1
"Nemaline myopathy",0.000571549646246686,10,2.65417064156031,0.00546249950497191,0.0237731412786161,53854,4,11,1.14969527679025,0.478162747765294,0.940863102207282
"Phagocytosis",0.00214134673450579,25,1.77107035822044,0.00549020975716918,0.0237731412786161,72674,10,27,1.17098593006414,0.337909833980052,0.776844257500531
"Leucine-rich repeat",0.0260724636723872,206,1.19858255025957,0.00562538086632491,0.0241242294844318,132314,93,247,1.19042334833646,0.0250263583567181,0.242347675517042
"Myogenesis",0.00465712668207938,46,1.49838211759576,0.00577789270463858,0.024542287107322,176210,18,45,1.26466480446927,0.147435923280526,0.550394445175369
"Alzheimer disease",0.00192930681496078,23,1.80846179718379,0.00592325407593253,0.0249223709232633,124908,8,15,1.68621973929237,0.0667301308733245,0.36542082378912
"DNA damage",0.0200745581691923,162,1.22419843621572,0.00637926354505858,0.0265902013186554,161326,83,300,0.874726489757914,0.940887493323932,1
"Bromodomain",0.00334718891248325,35,1.58624629748741,0.00654905012196028,0.0268743832070051,302474,9,35,0.812998802873105,0.8243934566944,1
"GTP-binding",0.0245099395494829,194,1.20072151100456,0.00656795464027704,0.0268743832070051,147212,105,327,1.01521257239506,0.446008436422009,0.927279020404345
"Angiogenesis",0.0150616604033027,125,1.25898328159216,0.00677383440998747,0.0274648195168583,119639,61,132,1.46107108092094,0.000307019678995823,0.0114108980693448
"IgG-binding protein",0.000180007268697616,5,4.21369176433215,0.00739631631751292,0.0297185322307276,48450,4,7,1.80666400638468,0.148088191527005,0.550394445175369
"GPI-anchor",0.0162820682640438,133,1.23915282423559,0.00868982021202114,0.0343236111664553,167757,60,120,1.58083100558659,2.04227100466525e-05,0.00151808811346784
"Mast cell degranulation",0.000430031683450722,8,2.82209957943431,0.00869634094576111,0.0343236111664553,144941,3,7,1.35499800478851,0.390122437006383,0.861359440123005
"ATP-binding",0.0103676527506103,89,1.30224400035372,0.0090553801508686,0.0347353523424563,195128,36,128,0.889217440642458,0.828903113489238,1
"Helicase",0.0103676527506103,89,1.30224400035372,0.0090553801508686,0.0347353523424563,195128,36,128,0.889217440642458,0.828903113489238,1
"WD repeat",0.021533345475493,171,1.20466808142308,0.00907814772965843,0.0347353523424563,149654,82,252,1.0287947814135,0.400350401034395,0.862880584706738
"Antiviral defense",0.00466142000150588,45,1.46445853591273,0.00911218884320042,0.0347353523424563,74541,27,117,0.729614310270735,0.984051059981884,1
"Neurodegeneration",0.0116218592901158,98,1.27918472279325,0.0101339449754901,0.0383028767717678,157521,54,143,1.19391432589757,0.0692333460492657,0.367596099261577
"Ribosomal protein",0.00792474849226265,70,1.33997085828058,0.0106222647698517,0.0398111772046544,131880,39,152,0.811215910761541,0.955387487780893,1
"Heme",0.00667411998878274,60,1.36376657340152,0.0122559326964715,0.0455512165218858,174667,33,113,0.923317224501903,0.742259819809485,0.988579039749624
"GTPase activation",0.0177410861189101,142,1.21420199369652,0.0127864302825266,0.0471301479835277,145481,67,167,1.26845122603954,0.0121877826260607,0.155307172892088
"ER-Golgi transport",0.00542715014856551,50,1.39759381050394,0.013901994335653,0.0508220448664035,111035,31,87,1.12656922237205,0.243074395594787,0.657037457183485
"Zymogen",0.0145027277863534,118,1.23428403956785,0.0141004094530915,0.0511283139518604,136332,57,186,0.968896422778879,0.640895480255409,0.977334044179203
"Cushing syndrome",0.00038220127499114,7,2.77836122840802,0.0147176580597342,0.0529360926987215,19360,2,7,0.903332003192339,0.704048377335802,0.977334044179203
"Intermediate filament",0.00190467891776337,21,1.67255466626962,0.0179625056206085,0.0640902200543312,49171,21,65,1.02146003437903,0.499727736790697,0.947932326893498
"Congenital stationary night blindness",0.000310096563482552,6,2.93519594198435,0.0181928287951736,0.0643968384337097,21691,3,10,0.948498603351955,0.659515079056243,0.977334044179203
"Phospholipid biosynthesis",0.00348943543465093,34,1.47810930647216,0.0185666275056167,0.0652024871457089,127316,13,39,1.05388733705773,0.468971779870135,0.933756311705716
"Methyltransferase",0.0114071476624036,94,1.25006786620832,0.0195243608648087,0.0680301948883178,149224,51,166,0.971353991384533,0.628118778497263,0.977334044179203
"Translocase",0.0084656293508058,72,1.29019705971981,0.0205293843190557,0.0709775612891383,208246,31,85,1.15307673348669,0.197869135772364,0.62585079693985
