"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0060090","molecular adaptor activity",0.108108913785526,1033,1.31577785594548,0,0,163011,454,612,0.994979575163399,0.608344705012035,0.999066655112881
"GO:0097159","organic cyclic compound binding",0.437289930470518,3554,1.11915876920024,0,0,136717,2015,2693,1.00357176011883,0.361340519754638,0.999066655112881
"GO:0005515","protein binding",0.839316881871691,6487,1.06429419856057,0,0,129860,4935,6572,1.00716201308582,0.021891138538474,0.944603316446454
"GO:0005488","binding",0.898235753947506,6891,1.05641769573775,0,0,131374,5522,7354,1.00712299428882,0.00344405649464896,0.383151285029697
"GO:0003674","molecular_function",0.947374154430319,7066,1.02706009603502,0,0,132091,5943,7947,1.00302614194035,0.0507755745497506,0.999066655112881
"GO:0043167","ion binding",0.447140217456109,3592,1.10620686603085,2.22044604925031e-16,4.94049245958195e-14,130195,2109,2813,1.00557989690722,0.27743184335918,0.999066655112881
"GO:0036094","small molecule binding",0.458199086460047,3670,1.10294943029222,4.44089209850063e-16,8.46941564499762e-14,128925,2178,2906,1.00524518238128,0.285014556846333,0.999066655112881
"GO:0140110","transcription regulator activity",0.199035151274441,1712,1.18445272801882,9.43689570931383e-15,1.57478197149175e-12,145303,766,979,1.04943564862104,0.00247657635757303,0.300566312487273
"GO:0030674","protein-macromolecule adaptor activity",0.0940820040519524,879,1.28654822723125,2.08721928629529e-14,3.09604194133802e-12,150385,396,535,0.992775700934579,0.637981267644473,0.999066655112881
"GO:0003676","nucleic acid binding",0.309870189913382,2506,1.11364051829199,7.0352390579842e-11,9.39204414240891e-09,142116,1296,1725,1.00768695652174,0.281478800945645,0.999066655112881
"GO:0097367","carbohydrate derivative binding",0.17238772410464,1461,1.16704508867382,1.06205266803272e-10,1.28894573802153e-08,131896,806,1078,1.00282699443414,0.449071474291757,0.999066655112881
"GO:0003712","transcription coregulator activity",0.0475348628149699,465,1.34705231760635,1.78810632966986e-10,1.98926829175772e-08,155770,199,264,1.01101799242424,0.409435687483222,0.999066655112881
"GO:0035639","purine ribonucleoside triphosphate binding",0.127593946584354,1109,1.19686517578809,2.22045382081149e-10,2.28023526983333e-08,127376,624,849,0.985795053003534,0.785224905461142,0.999066655112881
"GO:0017076","purine nucleotide binding",0.138691491099424,1189,1.18052664209972,8.90782336782081e-10,8.49424585431484e-08,127683,674,919,0.983680631120783,0.825608064869023,0.999066655112881
"GO:0032553","ribonucleotide binding",0.133350502748399,1146,1.18340586051833,1.17508047736692e-09,1.04582162485656e-07,128717,648,882,0.985408163265306,0.795504265345895,0.999066655112881
"GO:0032555","purine ribonucleotide binding",0.132881409801062,1142,1.18343833228886,1.25884913604324e-09,1.05035224788608e-07,128627,642,874,0.985220251716247,0.797256544931931,0.999066655112881
"GO:1901265","nucleoside phosphate binding",0.148920000203905,1263,1.16786885799057,2.55854881725526e-09,1.95643336716363e-07,123940,731,994,0.986371981891348,0.794603621331145,0.999066655112881
"GO:0000166","nucleotide binding",0.148165883145877,1257,1.16823662925918,2.63788768606332e-09,1.95643336716363e-07,124096,724,985,0.985852791878173,0.801807029836455,0.999066655112881
"GO:0005524","ATP binding",0.102886279147649,901,1.20589941653289,4.13955880684824e-09,2.90858474060126e-07,124013,507,692,0.982678829479769,0.805280615693923,0.999066655112881
"GO:0046872","metal ion binding",0.346021708376008,2748,1.09359656595024,4.4345382921307e-09,2.96005430999724e-07,134057,1512,2012,1.00793737574553,0.252746474508343,0.999066655112881
"GO:0030554","adenyl nucleotide binding",0.11292839223573,979,1.19377726068239,5.15638154396925e-09,3.27798541009473e-07,124211,555,758,0.982049802110818,0.823947382948519,0.999066655112881
"GO:1901363","heterocyclic compound binding",0.158183948709845,1328,1.15605745303146,8.54864268262645e-09,5.03041380434835e-07,122315,773,1057,0.980876300851466,0.879529271754141,0.999066655112881
"GO:0032559","adenyl ribonucleotide binding",0.107262485263965,932,1.1964975466712,8.66663052434546e-09,5.03041380434835e-07,125197,523,714,0.982456232492997,0.811740231810213,0.999066655112881
"GO:0043169","cation binding",0.354818891114362,2806,1.08899199620388,1.21658727536555e-08,6.7672667192209e-07,134213,1542,2055,1.00642700729927,0.294228834379393,0.999066655112881
"GO:0043168","anion binding",0.177723947278075,1475,1.14285155964628,1.4387915192593e-08,7.68314671284465e-07,125198,846,1141,0.994476336546889,0.649228159295632,0.999066655112881
"GO:0019904","protein domain specific binding",0.0612163525823606,560,1.25969188815746,2.83885053242727e-08,1.45764056184246e-06,140347,245,312,1.05322516025641,0.0559613662122012,0.999066655112881
"GO:0008134","transcription factor binding",0.0729105416588448,651,1.22951666427419,6.00007638018596e-08,2.96670443242528e-06,137971,257,312,1.10481169871795,0.000536330716806255,0.229039402784458
"GO:0019901","protein kinase binding",0.0645391219971901,581,1.23964357816902,1.19027839362573e-07,5.67507734103697e-06,140366,270,357,1.01439075630252,0.34253755510502,0.999066655112881
