"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"hsa04148",0.0142082081181338,150,1.45377000687283,7.78866293849045e-06,0.0022014730115395,101777,59,75,1.05511666666667,0.249613605784042,0.787136036244487
"hsa05160",0.0100620603431061,112,1.5327624788778,1.268860525383e-05,0.0022014730115395,131919,53,70,1.01551785714286,0.474873715293523,0.887066114584096
"hsa05417",0.0147749317970105,152,1.41664769254405,2.40784132945482e-05,0.00265727086732288,130789,77,91,1.13490384615385,0.0147283624191059,0.423307957365474
"hsa04330",0.011447951295009,122,1.4674922387506,3.49302050040023e-05,0.00265727086732288,123580,38,44,1.15835227272727,0.0453752943085426,0.470272581557306
"hsa04071",0.00867062848702952,97,1.54051138193079,3.82892055810213e-05,0.00265727086732288,143099,49,59,1.11391949152542,0.0840573333091321,0.583357893165377
"hsa04140",0.0106848579722197,114,1.4691963916706,5.87308799482322e-05,0.00277384559153706,162658,56,65,1.15553846153846,0.0176442176718775,0.423307957365474
"hsa03250",0.00241816139944622,36,2.05003356533078,7.37318760217764e-05,0.00277384559153706,72891,25,30,1.11770833333333,0.187094642982711,0.762120261559615
"hsa04714",0.0171533095044902,169,1.35669597386874,7.7360923377956e-05,0.00277384559153706,135384,70,93,1.00954301075269,0.492264292621193,0.887066114584096
"hsa04623",0.00272014067690788,39,1.97431751126483,8.27138438854735e-05,0.00277384559153706,45150,24,26,1.23807692307692,0.0229412698655247,0.438091284868253
"hsa05205",0.0226127623867467,214,1.3031785096987,9.46935171728391e-05,0.00277384559153706,163459,89,112,1.06581473214286,0.136734471752976,0.723473613954715
"hsa04151",0.030422001910947,278,1.25834799672856,9.53190649086721e-05,0.00277384559153706,157838,143,184,1.04238451086957,0.182174734356756,0.762120261559615
"hsa04660",0.0113947586149424,119,1.43808841349751,9.59254959609357e-05,0.00277384559153706,160615,45,57,1.05888157894737,0.276054245118566,0.791659694678863
"hsa04910",0.012379709740843,127,1.41265793799471,0.000118284819974335,0.00315729481008417,129542,51,70,0.977196428571429,0.685355521824055,0.95894502448769
"hsa05161",0.0107940137844398,112,1.42882424111318,0.000189931898545659,0.00470759777109597,137822,58,75,1.03723333333333,0.3434911396589,0.816379626449577
"hsa04152",0.0118007960727844,120,1.40027616348267,0.000247256776857552,0.00543857179466614,139252,51,64,1.06880859375,0.213843263746451,0.762120261559615
"hsa05225",0.0137112998318446,136,1.36585323594122,0.000277042947891104,0.00543857179466614,133649,69,94,0.984534574468085,0.652933677502431,0.957137244307002
"hsa05135",0.0133628877774081,133,1.37055060351383,0.000280733830898106,0.00543857179466614,110640,59,72,1.09907986111111,0.0920056753111278,0.613960948710795
"hsa04611",0.0109214545804328,112,1.41215150789065,0.000288388572405429,0.00543857179466614,118705,62,72,1.15496527777778,0.0129952457347037,0.423307957365474
"hsa04064",0.00796017375388944,86,1.48771471652642,0.000297789233713708,0.00543857179466614,187591,43,51,1.13085784313725,0.0695086748075389,0.579627809406852
"hsa04662",0.00641570212453781,72,1.5453685158767,0.000318184981520475,0.00552050942938024,126144,26,33,1.05674242424242,0.371180474098506,0.817499875418414
"hsa05131",0.0186955647721724,177,1.30370230249839,0.000352265706802024,0.00582077144096678,140722,101,123,1.10135162601626,0.0299964146014922,0.447821991595958
"hsa05206",0.0193834126162842,182,1.29295944406538,0.000428571497212538,0.00675974134239775,170709,74,95,1.04476315789474,0.267382727563497,0.788693565063427
"hsa05132",0.0176171940019047,167,1.30533952890564,0.000479544673006704,0.00723486963188376,114453,99,123,1.07954268292683,0.0754567518499871,0.579627809406852
