"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"Acetylation",0.218232611146659,1938,1.23065862328371,0,0,128715,1049,1423,0.991835430907813,0.728801725285967,0.99969444578593
"Phosphoprotein",0.56632706095593,4561,1.116082333109,0,0,137724,2802,3767,1.00078673649154,0.466415568979234,0.99969444578593
"Alternative splicing",0.681161302591215,5329,1.08417459990133,0,0,136707,3491,4709,0.997447827178131,0.680109702872344,0.99969444578593
"Reference proteome",0.954991457033945,7056,1.02391183061968,0,0,130841,5988,8059,0.999699940213652,0.59091247854283,0.99969444578593
"Disease variant",0.289328617506731,2394,1.14666413680271,2.44249065417534e-15,2.1103119252075e-13,138691,1282,1708,1.00987864594422,0.228496198096422,0.99969444578593
"Isopeptide bond",0.140860976719559,1253,1.23271832211784,4.32986979603811e-15,3.11750625314744e-13,137231,591,788,1.00909090909091,0.341611253288117,0.99969444578593
"Ubl conjugation",0.199141204180324,1666,1.15935741393091,1.87438953247465e-11,1.15676611147007e-09,137693,857,1143,1.00879662769427,0.30718005046581,0.99969444578593
"Coiled coil",0.175365849279871,1482,1.17113418020901,2.82684986530057e-11,1.52649892726231e-09,138432,704,936,1.01196581196581,0.268583565853182,0.99969444578593
"Transcription",0.212475057619862,1754,1.14399758804482,2.21134222044839e-10,1.06144426581523e-08,148783,835,1077,1.0431332826876,0.00516463460144057,0.770135096200227
"Repeat",0.37398155410837,2955,1.09499157748844,3.02108449368177e-10,1.30510850127052e-08,144955,1640,2165,1.01918958639513,0.0415452958225804,0.99969444578593
"Repressor",0.0769983991219662,688,1.2382553637058,8.63603688561199e-09,3.39160721325853e-07,179270,250,329,1.0223818734457,0.262976249366661,0.99969444578593
"Cytoskeleton",0.114613713649175,967,1.16921227194801,2.32482970208281e-07,8.36938692749811e-06,131236,478,638,1.00803647762895,0.379823477825219,0.99969444578593
"Cytoplasm",0.114682642497095,967,1.16850952868081,2.56447920454761e-07,8.52196166434283e-06,131236,478,640,1.00488636363636,0.434367578126717,0.99969444578593
"Chromatin regulator",0.0251229027954748,242,1.33490089257896,7.62016911459718e-06,0.000235136646964713,202557,95,131,0.975711311589174,0.721655812270331,0.99969444578593
"3D-structure",0.547119738274283,4129,1.04584175119197,9.53092932753918e-06,0.000274490764633129,134727,2563,3445,1.00098693759071,0.459626750840281,0.99969444578593
"Activator",0.0774066529414776,658,1.17801570416123,1.04795065676289e-05,0.000282946677325979,149249,298,373,1.0749207896661,0.00607267456237293,0.770135096200227
