"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"R-HSA-9623433",0.000673510073199976,38,7.70776420007563,0,0,129229,3,8,1.09837457544881,0.551541262051335,1
"R-HSA-8941284",0.00121758364081208,58,6.50755890780114,0,0,335262,3,5,1.7573993207181,0.221964025930776,0.730423594998932
"R-HSA-8951936",0.00151142523520117,58,5.24240106835648,0,0,318576,4,8,1.46449943393175,0.275362106671286,0.808994878910122
"R-HSA-350054",0.00347830790451355,105,4.12391964393619,0,0,213185,14,26,1.57715323654188,0.0304056985615524,0.325857297791731
"R-HSA-2644602",0.00609149591628176,138,3.09488166379679,0,0,188242,28,55,1.49112669636687,0.00755448735771524,0.195043128144648
"R-HSA-2644603",0.00609149591628176,138,3.09488166379679,0,0,188242,28,55,1.49112669636687,0.00755448735771524,0.195043128144648
"R-HSA-2644606",0.00609149591628176,138,3.09488166379679,0,0,188242,28,55,1.49112669636687,0.00755448735771524,0.195043128144648
"R-HSA-2894858",0.00609149591628176,138,3.09488166379679,0,0,188242,28,55,1.49112669636687,0.00755448735771524,0.195043128144648
"R-HSA-2894862",0.00609149591628176,138,3.09488166379679,0,0,188242,28,55,1.49112669636687,0.00755448735771524,0.195043128144648
"R-HSA-2122947",0.007172789088741,133,2.53310095728648,0,0,197694,27,46,1.71919498765901,0.000553293419634393,0.0554595286504121
"R-HSA-1980143",0.00907360890846341,156,2.3487319791751,0,0,182943,38,70,1.59002795684018,0.000415622765272516,0.0554595286504121
"R-HSA-76002",0.0229810693648811,286,1.700140129731,0,0,122991,111,254,1.27999556823956,0.000908457965939413,0.0587524725029017
"R-HSA-168256",0.126326823468728,1185,1.28147958965907,0,0,160397,592,1837,0.943912536622314,0.968374759875245,1
"R-HSA-1430728",0.148650783117573,1365,1.25445292601369,0,0,121885,698,2039,1.00266856781203,0.472363251102163,1
"R-HSA-9024446",0.0043981711008415,89,2.76443768707155,1.11022302462516e-16,1.11283531409486e-14,144634,15,45,0.976332955954499,0.600932723942927,1
"R-HSA-109582",0.0514652970490479,542,1.43871152198789,1.11022302462516e-16,1.11283531409486e-14,114455,235,596,1.15489049320121,0.0034694189897182,0.128519346923474
"R-HSA-162582",0.22636862299223,1958,1.18164052624464,1.11022302462516e-16,1.11283531409486e-14,145832,984,2461,1.17112348068983,4.35905755935551e-11,7.42783408114178e-08
"R-HSA-4551638",0.00390040088124586,82,2.87206011213174,2.22044604925031e-16,1.99138950943291e-14,222833,22,67,0.961760822283536,0.633994246751315,1
"R-HSA-416482",0.00709288328728421,121,2.33051270904782,2.22044604925031e-16,1.99138950943291e-14,128566,34,75,1.32781282009812,0.0287827922226132,0.31642501901505
"R-HSA-1643685",0.131544042634276,1202,1.24830928854574,6.66133814775094e-16,5.6754601018838e-14,145505,589,1693,1.01900787547053,0.285669304910438,0.823191813154276
"R-HSA-9029569",0.00349626770253683,75,2.93052549491849,1.55431223447522e-15,1.26121335597418e-13,160282,11,35,0.920542501328528,0.692200373684245,1
"R-HSA-157118",0.0174799027650156,226,1.76627509631706,1.77635683940025e-15,1.37586911560819e-13,157130,75,223,0.985089305335257,0.589136442302774,1
"R-HSA-159763",0.000496944842778524,27,7.42240239287042,3.77475828372553e-15,2.79660352846448e-13,117722,4,9,1.301777274606,0.369649322462287,0.920880768239383
"R-HSA-159740",0.000503064417696796,27,7.33211187356737,4.88498130835069e-15,3.46833672892899e-13,117722,4,10,1.1715995471454,0.462800987010681,1
"R-HSA-9006931",0.0243563177869914,288,1.61536167491194,1.19904086659517e-14,8.17266254671267e-13,147376,104,289,1.05403419466368,0.271541010205663,0.808994878910122
"R-HSA-159782",0.000548867164473843,27,6.72025005121201,3.77475828372553e-14,2.47391850594935e-12,117722,4,10,1.1715995471454,0.462800987010681,1
"R-HSA-159854",0.000554986739392115,27,6.64614904890165,4.88498130835069e-14,3.08296598127021e-12,117722,4,11,1.06509049740491,0.550445895699032,1
"R-HSA-193704",0.00751388763441309,118,2.14538989183249,9.01501095995627e-14,5.48627809848767e-12,128764,44,88,1.46449943393175,0.00152154888297806,0.0668457190942921
"R-HSA-202430",0.000833800582473892,32,5.24296191600518,1.36890498936282e-13,8.04349690301463e-12,281510,2,8,0.732249716965874,0.817890387633033,1
"R-HSA-389948",0.000907233214863999,33,4.96917071316363,2.42250663973209e-13,1.37598377136783e-11,273128,3,12,0.732249716965874,0.833914051860374,1
"R-HSA-8878159",0.00885718921377979,129,1.98967758216735,1.10245146345278e-12,6.0599267539469e-11,242458,36,86,1.22609254933821,0.0823087845092311,0.500792233016863
"R-HSA-74160",0.109366233290615,994,1.24162957469642,1.28641541863317e-12,6.85016210422162e-11,155626,497,1470,0.990280569610992,0.620305863428796,1
"R-HSA-202427",0.00109669232714405,35,4.35985612982164,1.76925141204265e-12,9.13577092763841e-11,260405,4,11,1.06509049740491,0.550445895699032,1
