"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"hsa05203",0.0120522597865106,147,2.02370711671329,7.88258347483861e-15,2.71949129881932e-12,243059,59,182,1.02924687514449,0.421530907640032,0.857818487616651
"hsa05165",0.0280875980193781,271,1.60086053507568,1.62314606200198e-13,2.79992695695341e-11,214973,120,309,1.23299609199472,0.00348614968933381,0.100226803568347
"hsa05214",0.00727114168968554,92,2.0993460303485,1.25571997244833e-10,1.44407796831558e-08,329900,30,72,1.322902057036,0.0437152926971044,0.398373143897391
"hsa05310",0.00122734180313479,30,4.05559460592207,3.42791794949449e-10,2.95657923143899e-08,171379,3,15,0.634992987377279,0.896780138586762,0.985021876841921
"hsa04612",0.00218310937671354,41,3.11606974941229,6.04373440182826e-10,4.1701767372615e-08,175157,10,34,0.933813216731293,0.66534245914784,0.921860033759055
"hsa05225",0.0165334869795322,163,1.63576893130135,2.6510650341649e-09,1.30894281604098e-07,262650,62,155,1.26998597475456,0.015076096802716,0.206111763718658
"hsa05167",0.01435581718899,146,1.68742214789906,2.6558260035614e-09,1.30894281604098e-07,242914,59,179,1.04649682277261,0.362586799401687,0.817804475886683
"hsa04145",0.010872733820648,116,1.77018249475812,9.43671951691982e-09,4.06958529167167e-07,148958,48,121,1.25949022289708,0.0344110785698061,0.363401981767369
"hsa04152",0.0105595015376296,113,1.77555379229036,1.24490506792085e-08,4.77213609369661e-07,190624,51,114,1.42037905071234,0.00199605845576178,0.0688640167237816
"hsa04215",0.0027462197150024,44,2.65837475719623,1.53229762211993e-08,5.16294225251134e-07,514118,14,32,1.3890471598878,0.0983793775220836,0.540862005494461
"hsa01524",0.0049566089450264,65,2.17584276774347,1.64615550080072e-08,5.16294225251134e-07,411375,22,70,0.997846123021438,0.549881903169036,0.904775471036951
"hsa05332",0.00166947631486851,32,3.18030318982317,2.71967319775968e-08,7.81906044355907e-07,196554,3,15,0.634992987377279,0.896780138586762,0.985021876841921
"hsa04658",0.00719879315364055,83,1.91300984894302,5.19055760594966e-08,1.37749413388664e-06,199323,23,74,0.986813426329555,0.57431533152192,0.912044969847855
"hsa04330",0.0051445021403635,65,2.09637423239681,6.17996618323957e-08,1.52292023801261e-06,149145,22,57,1.22542506335966,0.155504196200466,0.638677948680487
"hsa05150",0.00270862637522588,42,2.5727583467105,7.63297602901503e-08,1.67288879322075e-06,129234,13,52,0.793741234221599,0.878468975495073,0.985021876841921
"hsa04930",0.00450785425713501,59,2.17160560388363,7.75832483812522e-08,1.67288879322075e-06,178577,21,43,1.55056427150266,0.0130207246843,0.204188637094705
"hsa05206",0.0180075125098477,166,1.52951299585513,1.37315092851864e-07,2.78668864905253e-06,279535,59,155,1.20853504049224,0.0480086882450913,0.403975547428207
"hsa05217",0.00836892653208299,91,1.80414087253764,1.56409552642955e-07,2.99784975898998e-06,334314,35,60,1.8520628798504,1.56465588880828e-05,0.00269903140819427
"hsa04940",0.00300211696589989,44,2.43177772585175,1.75434840876676e-07,3.18552737381333e-06,233058,9,22,1.29884929236262,0.231411186526484,0.697534986659552
"hsa04210",0.0104499171416065,107,1.69890752242095,2.37871266683953e-07,4.10327935029819e-06,298745,40,126,1.00792537678933,0.50954543788592,0.904775471036951
"hsa05169",0.0129377051905103,126,1.61589115203229,2.93481969282361e-07,4.73186688901284e-06,262032,50,172,0.922954923513487,0.778369068424443,0.956813614202555
"hsa05166",0.0171771199662126,158,1.52617925740892,3.0715234644596e-07,4.73186688901284e-06,181501,61,190,1.01933084815826,0.455221494290518,0.875430797677171
