"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GSE40666_STAT1_KO_VS_STAT4_KO_CD8_TCELL_DN",0.0191712616316389,80,1.65723297881515,1.48111070585877e-05,0.0487310045060112,99441,41,86,1.28007204328626,0.0300296102317723,0.897572153676041
"GSE2770_UNTREATED_VS_IL12_TREATED_ACT_CD4_TCELL_6H_UP",0.0160398674722698,68,1.68365231289577,3.9292570902294e-05,0.0487310045060112,102455,33,82,1.08056051720595,0.32372453837389,0.999988731911883
"GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_60H_UP",0.0182145730843427,75,1.63525897338812,4.09187602147254e-05,0.0487310045060112,131174,41,85,1.29513171438374,0.0242556968582014,0.865016591873852
"GSE12845_IGD_NEG_BLOOD_VS_PRE_GC_TONSIL_BCELL_UP",0.0134710794391983,59,1.73937766339165,5.24149134991658e-05,0.0487310045060112,92579,41,79,1.39349614838757,0.00536035073358065,0.778997812898448
"GSE12392_WT_VS_IFNAR_KO_CD8A_NEG_SPLEEN_DC_DN",0.0141401345288724,61,1.71324931911975,5.97639980162157e-05,0.0487310045060112,152356,33,74,1.1973778704174,0.117088885155812,0.944788744387814
"GSE19923_HEB_KO_VS_HEB_AND_E2A_KO_DP_THYMOCYTE_DN",0.022862926431966,89,1.54597498340981,6.00135523473044e-05,0.0487310045060112,128813,43,91,1.26875004451155,0.0315127955265722,0.901191326256537
"GSE45837_WT_VS_GFI1_KO_PDC_DN",0.0125609776784145,55,1.73893568529937,9.25923571452048e-05,0.061524756521982,119915,29,72,1.08147007993087,0.337024708252667,0.999988731911883
"GSE6259_FLT3L_INDUCED_33D1_POS_DC_VS_BCELL_UP",0.012937605419506,56,1.71900998630557,0.000107445891532998,0.061524756521982,136412,35,78,1.20482077870283,0.100744909519051,0.944788744387814
"GSE20500_RETINOIC_ACID_VS_RARA_ANTAGONIST_TREATED_CD4_TCELL_DN",0.0213792786398723,83,1.54180453606486,0.000113654106875583,0.061524756521982,129250,47,105,1.20187019720396,0.0676660452908304,0.944788744387814
"GSE2770_IL12_VS_IL4_TREATED_ACT_CD4_TCELL_2H_DN",0.0174560320300752,70,1.59256359611785,0.000153937373860602,0.0749982885448853,195987,38,74,1.37879875987459,0.00896899969413845,0.778997812898448
"GSE41867_DAY6_VS_DAY15_LCMV_CLONE13_EFFECTOR_CD8_TCELL_DN",0.0166769632888747,67,1.59551945516432,0.000199951625200701,0.0885603925434375,150907,34,78,1.17039732788275,0.147666592633104,0.967670526435261
"GSE19888_ADENOSINE_A3R_INH_VS_ACT_WITH_INHIBITOR_PRETREATMENT_IN_MAST_CELL_DN",0.0229913781256476,86,1.48551732572977,0.000279240719938789,0.106666721900686,179626,41,91,1.20973841453427,0.0759517505292835,0.944788744387814
"GSE15330_LYMPHOID_MULTIPOTENT_VS_PRO_BCELL_UP",0.0156409911603109,63,1.59963372991837,0.000284619742345837,0.106666721900686,82324,50,91,1.47529074943203,0.000415584808368785,0.602887682494798
"GSE2770_TGFB_AND_IL4_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_48H_DN",0.018712891903659,72,1.52804400658724,0.000396037792966597,0.125579672199726,84009,36,92,1.05066358589986,0.39119809422217,0.999988731911883
