"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"Reference proteome",0.967683397673906,5844,1.01158547797229,1.18399242410305e-07,4.81884916609943e-05,140110,5568,7774,1.00062579713008,0.379257169571695,0.999626882756744
"Acetylation",0.267370295134053,1721,1.07818524388858,0.000154105329237542,0.0313604344998397,123545,1025,1423,1.0063196897846,0.35167930421883,0.999626882756744
"Ehlers-Danlos syndrome",0.00109251545783994,16,2.45311586435025,0.0011919624391491,0.161709570911227,105739,8,9,1.24183667734502,0.225430696306274,0.967155389481798
"Guanine-nucleotide releasing factor",0.0212853675451615,160,1.25911239070159,0.00246343699933682,0.18673312192657,114912,65,86,1.05592217477738,0.242507418896549,0.967155389481798
"Translocase",0.00769185950605223,66,1.4372696710348,0.00299360571684093,0.18673312192657,147037,32,38,1.1764768522216,0.0549773705442956,0.967155389481798
"ER-Golgi transport",0.00456021950612106,43,1.57945907150603,0.00307431253640877,0.18673312192657,157696,24,28,1.19748536743984,0.0671600615528398,0.967155389481798
"Magnesium",0.0541146703634531,372,1.15147255578641,0.00328791156482344,0.18673312192657,121527,219,304,1.00643918217395,0.456926576119995,0.999626882756744
"Initiation factor",0.00230844287783912,25,1.81403868829415,0.00410567579971088,0.18673312192657,108794,15,18,1.16422188501096,0.2024865874174,0.967155389481798
"Transport",0.089046155828007,591,1.11172654174517,0.00414789621830058,0.18673312192657,139818,341,470,1.01361616031167,0.335732924235742,0.999626882756744
"ADP-ribosylation",0.00644618537804255,56,1.45516052607085,0.00458803739377323,0.18673312192657,106079,33,45,1.02451525880964,0.471261366060489,0.999626882756744
"Dyskeratosis congenita",0.000189665993637155,5,4.41576753936023,0.00611366415916148,0.226205573888975,20418,5,5,1.39706626201315,0.187804835685458,0.967155389481798
"NAD",0.0123812682275412,96,1.29876856833459,0.00743015141264047,0.252005968745389,98530,56,72,1.0866070926769,0.148638738890041,0.967155389481798
"Neuronal ceroid lipofuscinosis",0.00159538232755452,18,1.8898763793542,0.00909194708262873,0.284647881740761,404722,3,6,0.698533131006576,0.941429010813447,0.999626882756744
"Lipid transport",0.0116069933773011,89,1.28438711147812,0.012405249936382,0.360638337436249,136770,56,78,1.00302193170175,0.540322033622535,0.999626882756744
"Alternative initiation",0.0118577507506127,90,1.27135214776235,0.0150909261900745,0.406010895451481,118743,43,59,1.01820083502653,0.477246585550405,0.999626882756744
"Alternative splicing",0.744868877248611,4519,1.01622103823375,0.0163616920060091,0.406010895451481,144538,3334,4624,1.00731377974737,0.122502809746462,0.967155389481798
"SH3 domain",0.0309208425349407,214,1.15927941183678,0.016958686050799,0.406010895451481,129803,92,111,1.15792879374063,0.00392769948798777,0.89612171867713
"Isopeptide bond",0.163285088761964,1033,1.05969153158798,0.0223116627009701,0.465118707905209,137573,538,766,0.981229306740307,0.818151702404903,0.999626882756744
"Bromodomain",0.00504722965958211,42,1.3938687862243,0.0231929866790237,0.465118707905209,330624,13,18,1.00899230034283,0.593579061680008,0.999626882756744
"Protein biosynthesis",0.00298241477875456,27,1.51642658745651,0.0249939734504665,0.465118707905209,102136,17,23,1.03261419366189,0.506730933988502,0.999626882756744
"Transit peptide",0.0378884557451341,256,1.13177143759172,0.0251345893934434,0.465118707905209,137691,155,221,0.979842853448138,0.71381583687689,0.999626882756744
