"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"hsa05310",0.00122734180313479,15,20.2678844858145,3.5527136788005e-15,6.78568312650896e-13,169713,1,15,1.37509491268033,0.52561585217785,0.766355937144804
"hsa05332",0.00166947631486851,16,15.8936047471511,1.73194791841524e-14,1.65401026208656e-12,190883,2,15,2.75018982536067,0.162760745497764,0.662675567452116
"hsa04672",0.00374555513900992,20,8.85516155098716,4.46309655899313e-13,2.84150480922563e-11,141708,4,35,2.35730556459486,0.0876274482751606,0.626442167342638
"hsa04612",0.00218310937671354,16,12.1542223061654,9.53459533548084e-13,4.5527692726921e-11,190883,2,34,1.21331904060029,0.495843539586745,0.752316280875409
"hsa05330",0.00223803239160784,16,11.8559484584528,1.37656552823273e-12,5.25848031784904e-11,190883,2,17,2.42663808120059,0.198197564926436,0.662675567452116
"hsa05320",0.00246068013560508,16,10.783196198203,5.55311352457011e-12,1.76774113865482e-10,171215,2,33,1.25008628425485,0.480013715785852,0.749638003017419
"hsa04940",0.00300211696589989,17,9.39083046935944,1.02587938144438e-11,2.79918516936967e-10,180746,3,22,2.81269413957341,0.0881917054047552,0.626442167342638
"hsa05150",0.00270862637522588,15,9.1838513122626,2.2697865809107e-10,5.41911546192431e-09,169713,1,52,0.396661994042404,0.924825093251681,0.960008656581908
"hsa05321",0.0059435170889774,20,5.58044931267618,1.35346822638382e-09,2.87236034710345e-08,196503,5,50,2.0626423690205,0.0935878017909779,0.626442167342638
"hsa05416",0.00640067093311013,20,5.18187799383505,4.6260818509225e-09,8.83581633526198e-08,214608,5,48,2.14858580106302,0.0816869164769095,0.626442167342638
"hsa04658",0.00719879315364055,21,4.83773736840239,6.20977258503075e-09,1.07824233067352e-07,200845,7,74,1.95114818691128,0.0669446903061391,0.626442167342638
"hsa05152",0.0112294769645621,26,3.83969304593192,1.10610118841947e-08,1.76054439156766e-07,171094,11,161,1.40925876144258,0.159148056093592,0.662675567452116
"hsa05323",0.00621481317075553,19,5.07000294226533,1.5740196035452e-08,2.31259803290102e-07,177683,5,72,1.43239053404201,0.270120185658605,0.662675567452116
"hsa04740",0.0141368536887845,29,3.40194997041992,2.15675037829044e-08,2.81976933313999e-07,167895,23,369,1.28565784518893,0.130887058548687,0.662675567452116
"hsa04215",0.0027462197150024,13,7.85038144885729,2.21447853387957e-08,2.81976933313999e-07,832844,2,32,1.28915148063781,0.463881843264065,0.749638003017419
"hsa05140",0.00580105879888567,18,5.14574102823967,3.00662710284172e-08,3.5891611040173e-07,183557,4,59,1.39840160611559,0.320625493479486,0.689430854596203
"hsa05322",0.00482786764698123,16,5.49600747647703,7.28241082992298e-08,8.18200275597229e-07,190883,2,113,0.365069445844336,0.975701159753684,0.981099784557216
"hsa04659",0.00839717876930158,21,4.14732990728775,8.11537490541525e-08,8.61131448296841e-07,186757,6,90,1.37509491268033,0.27089841150565,0.662675567452116
"hsa05145",0.00893402794218372,21,3.89811525911276,2.21575248371408e-07,2.22741433889153e-06,178668,7,90,1.60427739812706,0.146306061733925,0.662675567452116
"hsa05166",0.0171771199662126,30,2.89636702072031,3.72020508621063e-07,3.55279585733115e-06,177592,12,190,1.30272149622347,0.212412075605327,0.662675567452116
