"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GSE42021_TREG_PLN_VS_CD24LO_TREG_THYMUS_DN",0.0258405473197601,17,2.5598474793758,0.000442932155284792,0.550872527424188,86871,12,94,2.54275777414075,0.00248191798249819,0.665464259057328
"GSE5099_MONOCYTE_VS_CLASSICAL_M1_MACROPHAGE_DN",0.0197207152878658,14,2.76230894143706,0.00068298935342237,0.550872527424188,82644,10,80,2.48978365384615,0.00644491846912321,0.665767231211873
"GSE22432_UNTREATED_VS_TGFB1_TREATED_COMMON_DC_PROGENITOR_UP",0.0223186354275425,15,2.61511322877907,0.000770451087306556,0.550872527424188,79838,16,102,3.12443438914027,4.31812102515972e-05,0.0926236959896759
"GSE32423_MEMORY_VS_NAIVE_CD8_TCELL_IL7_IL4_DN",0.0198202807155042,13,2.55211610337991,0.00210300662535257,0.748409623732775,43855,11,96,2.28230168269231,0.00841755836281033,0.665767231211873
"GSE6259_FLT3L_INDUCED_33D1_POS_DC_VS_BCELL_UP",0.012937605419506,10,3.00755082373362,0.00213752668686895,0.748409623732775,276865,6,78,1.53217455621302,0.196697077279986,0.665767231211873
"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_UP",0.0230377190715979,14,2.36458774420796,0.00285971318408385,0.748409623732775,49163,12,101,2.36652703731912,0.0045192009092222,0.665767231211873
"GSE16450_CTRL_VS_IFNA_12H_STIM_MATURE_NEURON_CELL_LINE_UP",0.0182568576610188,12,2.55753798768925,0.00303081424331864,0.748409623732775,136911,10,93,2.14174937965261,0.0178057965330778,0.665767231211873
"GSE42021_CD24HI_VS_CD24INT_TREG_THYMUS_DN",0.0217881114945951,13,2.32161734623475,0.00463979136139447,0.748409623732775,94890,9,88,2.03709571678322,0.0318678692371382,0.665767231211873
"GSE27786_LIN_NEG_VS_CD8_TCELL_UP",0.0173639647395799,11,2.46496448605833,0.00581521362211967,0.748409623732775,223660,9,83,2.15981232622799,0.0227810975354357,0.665767231211873
"GSE3720_VD1_VS_VD2_GAMMADELTA_TCELL_UP",0.0173873195929765,11,2.46165351659624,0.00587149756208616,0.748409623732775,150167,10,76,2.62082489878543,0.00446253009191633,0.665767231211873
"GSE27786_CD8_TCELL_VS_MONO_MAC_UP",0.0175930881434293,11,2.43286204623599,0.00638616070894915,0.748409623732775,135934,8,88,1.81075174825175,0.0736889125147506,0.665767231211873
"GSE10239_NAIVE_VS_KLRG1INT_EFF_CD8_TCELL_DN",0.0204909337688317,12,2.27869591159941,0.00737633069392829,0.748409623732775,45732,9,89,2.0142070008643,0.0339492287952337,0.665767231211873
"GSE10325_BCELL_VS_LUPUS_BCELL_DN",0.020765291836102,12,2.2485890096046,0.00814267714290429,0.748409623732775,46867,9,81,2.21314102564103,0.0197273865317877,0.665767231211873
"GSE1448_CTRL_VS_ANTI_VBETA5_DP_THYMOCYTE_UP",0.0236149527113387,13,2.14201816136862,0.00879946742796078,0.748409623732775,139448,12,102,2.3433257918552,0.0048964137054921,0.665767231211873
"GSE13306_TREG_VS_TCONV_LAMINA_PROPRIA_DN",0.0184226771201352,11,2.32330817834577,0.00883011727268568,0.748409623732775,235592,10,87,2.28945623342175,0.0114875593799209,0.665767231211873
