"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0001959","regulation of cytokine-mediated signaling pathway",0.0165367112482137,5,12.0943032141052,4.98338554123512e-05,0.00596674945639997,58613,4,77,10.4985745961356,0.000537920750461218,0.0688218578233237
"GO:0060759","regulation of response to cytokine stimulus",0.017487130861177,5,11.4369819490525,6.48559723521736e-05,0.00596674945639997,58613,4,84,9.62369337979094,0.000748063671992649,0.0688218578233237
"GO:0019221","cytokine-mediated signaling pathway",0.0404943657030782,5,4.93895870518098,0.00293185246037453,0.179820284236304,58613,4,214,3.777524504217,0.020767680039286,0.207329423585992
"GO:0002831","regulation of response to biotic stimulus",0.0476625848119209,5,4.19616352720295,0.00586720677591845,0.264453583845499,58613,4,216,3.74254742547426,0.0214090165659448,0.207329423585992
"GO:0032870","cellular response to hormone stimulus",0.0721887455665728,6,3.32461795971605,0.00757156750510557,0.264453583845499,52229,5,310,3.25963808025177,0.0176373007482702,0.207329423585992
"GO:0071345","cellular response to cytokine stimulus",0.0764006089962404,6,3.14133621646668,0.00991050816359573,0.264453583845499,91235,5,371,2.72368680560121,0.0349437391691305,0.247899543574836
"GO:0042981","regulation of apoptotic process",0.162033022779341,9,2.22176932717138,0.0131417780100506,0.264453583845499,73461,9,681,2.67089287632964,0.00519434005330033,0.207329423585992
"GO:0043067","regulation of programmed cell death",0.164975488466759,9,2.18214234942264,0.0147301707381213,0.264453583845499,73461,9,706,2.57631451668624,0.00657231872357111,0.207329423585992
"GO:0000226","microtubule cytoskeleton organization",0.0598831962321492,5,3.33983508870602,0.0149329173882,0.264453583845499,38852,5,292,3.46057467423989,0.0139276892590374,0.207329423585992
"GO:0034097","response to cytokine",0.0834938467336517,6,2.87446332141827,0.014975013327968,0.264453583845499,91235,5,420,2.40592334494774,0.0546593815473686,0.299843954474017
"GO:1901652","response to peptide",0.0856701503093781,6,2.80144249932205,0.0168427376593057,0.264453583845499,91235,5,429,2.35544942862016,0.05887126643018,0.299843954474017
"GO:0065008","regulation of biological quality",0.299549718426512,13,1.73593887095431,0.0172469728594891,0.264453583845499,95981,12,1412,1.71754301112416,0.0363765634593509,0.247899543574836
"GO:0050793","regulation of developmental process",0.310381453591325,13,1.67535783463621,0.0232790011568726,0.315501949481395,95640,12,1274,1.90358770149711,0.0173860243393829,0.207329423585992
"GO:0023056","positive regulation of signaling",0.18573119252094,9,1.93828508347844,0.0304471766760112,0.315501949481395,111679,8,864,1.87127371273713,0.058021781745665,0.299843954474017
"GO:0010647","positive regulation of cell communication",0.185963020170972,9,1.93586875320169,0.0306732311143703,0.315501949481395,111679,8,862,1.87561541508687,0.0573728774012678,0.299843954474017
"GO:0009725","response to hormone",0.0982592767321496,6,2.44251746992021,0.0309637112847102,0.315501949481395,52229,5,436,2.31763257999552,0.0622750508538583,0.299843954474017
"GO:0009968","negative regulation of signal transduction",0.155896719429788,8,2.05264101239873,0.0314139979529739,0.315501949481395,53449,7,639,2.21390129394252,0.0353848198964327,0.247899543574836
"GO:0031347","regulation of defense response",0.0737633543666324,5,2.71137344169468,0.0334524295753236,0.315501949481395,57262,4,343,2.35682286852023,0.088121207435351,0.299843954474017
"GO:0080134","regulation of response to stress",0.130189663535232,7,2.15070837727626,0.0361427136779657,0.315501949481395,46151,6,599,2.02434952563215,0.0722695984991775,0.299843954474017
"GO:0023051","regulation of signaling",0.365825383873892,14,1.53078497197189,0.0374359226024987,0.315501949481395,97155,15,1734,1.74824879736687,0.015182678046374,0.207329423585992
"GO:0010646","regulation of cell communication",0.367491814123884,14,1.5238434666499,0.0389164894490873,0.315501949481395,97155,15,1737,1.74522936939214,0.0154195332636736,0.207329423585992
"GO:1901698","response to nitrogen compound",0.103845757664633,6,2.31111992822157,0.0392309353821517,0.315501949481395,50591,5,489,2.06643722878947,0.0916546836531364,0.299843954474017
"GO:0032101","regulation of response to external stimulus",0.103974946880001,6,2.30824835406734,0.0394377436851744,0.315501949481395,50704,5,491,2.05801996920173,0.0928864424185813,0.299843954474017
"GO:0009967","positive regulation of signal transduction",0.164129919853518,8,1.94967499091934,0.0412938792692498,0.316586407730915,125563,7,752,1.88122729631552,0.0734471341478822,0.299843954474017
"GO:0010648","negative regulation of cell communication",0.167471999374582,8,1.91076718015566,0.0458636808900112,0.324832759499224,118886,8,699,2.3129906835549,0.0193898443253677,0.207329423585992
