"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0010832","negative regulation of myotube differentiation",0.00356997372210232,26,3.22112639248339,3.90490331181326e-07,0.00142537089653882,233040,4,9,1.28899778322249,0.378059402112451,0.802819153252912
"GO:0030812","negative regulation of nucleotide catabolic process",0.00331454537811139,24,3.20248209446075,1.18189958253634e-06,0.00142537089653882,265760,5,11,1.31829318738664,0.318083950437654,0.774186163931
"GO:0033122","negative regulation of purine nucleotide catabolic process",0.00331454537811139,24,3.20248209446075,1.18189958253634e-06,0.00142537089653882,265760,5,11,1.31829318738664,0.318083950437654,0.774186163931
"GO:0045820","negative regulation of glycolytic process",0.00331454537811139,24,3.20248209446075,1.18189958253634e-06,0.00142537089653882,265760,5,11,1.31829318738664,0.318083950437654,0.774186163931
"GO:0051154","negative regulation of striated muscle cell differentiation",0.00769825136066605,40,2.29809163305907,2.20212658541552e-06,0.00164402111504255,208737,10,23,1.26097609228287,0.241822187078934,0.726584714754898
"GO:1903579","negative regulation of ATP metabolic process",0.00393258855115586,26,2.92411383167865,2.23326600012896e-06,0.00164402111504255,247139,7,16,1.26885719285964,0.295984681403288,0.766414440735085
"GO:1900543","negative regulation of purine nucleotide metabolic process",0.00394733898488007,26,2.91318699021876,2.38560277887601e-06,0.00164402111504255,247139,7,17,1.19421853445613,0.363681263726706,0.795425991426739
"GO:0045980","negative regulation of nucleotide metabolic process",0.00403977503621846,26,2.84652894620098,3.57819797902614e-06,0.00215765338135276,247139,7,18,1.12787306031968,0.432244157485215,0.816743366905082
"GO:0043502","regulation of muscle adaptation",0.0122472851212129,53,1.91397155349142,1.06933278942734e-05,0.00573162375133052,192009,19,49,1.1245848006686,0.310278859239781,0.774186163931
"GO:0043500","muscle adaptation",0.0139353493406679,58,1.84081256827769,1.28203363448653e-05,0.00618453025276304,182655,22,59,1.08144729270362,0.37059484263561,0.802819153252912
"GO:0051148","negative regulation of muscle cell differentiation",0.0105563937352941,47,1.96916321942696,1.65199042854169e-05,0.00724472893389558,216429,14,40,1.01508575428771,0.531872860243286,0.839326608115698
"GO:0014888","striated muscle adaptation",0.00611098177165984,32,2.31599932085243,1.86475922301366e-05,0.0074963320765149,228866,6,22,0.790975912431985,0.824692442590532,0.941390521310158
"GO:0010944","negative regulation of transcription by competitive promoter binding",0.00379086146712239,23,2.68342437118202,3.10910487130167e-05,0.011537170691661,264220,4,7,1.65728286414321,0.191269391736981,0.715069584775225
"GO:0008150","biological_process",0.960218326086363,2205,1.01563589409634,6.21665717321918e-05,0.01968850070537,129756,2561,7447,0.997385185494,0.710516090912066,0.906050786830503
"GO:1990009","retinal cell apoptotic process",0.00175222860615531,14,3.5337572064769,6.76795311003175e-05,0.01968850070537,309019,4,5,2.32019600980049,0.0511234796916065,0.523957669553698
"GO:0014874","response to stimulus involved in regulation of muscle adaptation",0.00270068149462211,18,2.94780379854583,6.86596478903789e-05,0.01968850070537,321849,1,6,0.483374168708435,0.920962078490479,0.971115166447894
"GO:0014896","muscle hypertrophy",0.0138670056644124,55,1.75420132292761,7.34645548707835e-05,0.01968850070537,186609,20,56,1.0358017900895,0.472752640805466,0.827188516229803
"GO:0014897","striated muscle hypertrophy",0.0138670056644124,55,1.75420132292761,7.34645548707835e-05,0.01968850070537,186609,20,56,1.0358017900895,0.472752640805466,0.827188516229803
"GO:0010830","regulation of myotube differentiation",0.0097598703141867,42,1.90328875232978,9.34410477153591e-05,0.0237241902199417,215669,10,23,1.26097609228287,0.241822187078934,0.726584714754898
"GO:0003300","cardiac muscle hypertrophy",0.013413921508517,53,1.74750950455589,0.000107707514985789,0.0259790526145722,193393,19,54,1.02045657838447,0.507726953519279,0.837645288569427
"GO:0021515","cell differentiation in spinal cord",0.00956737715408574,41,1.89535427788761,0.000122418392902057,0.0281212536837869,226781,19,32,1.7220204760238,0.00339159125801625,0.277305698791023
"GO:0016925","protein sumoylation",0.0106662844665395,44,1.82447934951421,0.000161273520395078,0.0353628846539025,199510,16,38,1.22115579463184,0.204503625895897,0.721291470684629
"GO:0045618","positive regulation of keratinocyte differentiation",0.00105109132313111,10,4.20783776152565,0.000184378586282286,0.0386714043576411,65271,4,7,1.65728286414321,0.191269391736981,0.715069584775225
"GO:0009199","ribonucleoside triphosphate metabolic process",0.0191524548286405,68,1.57030460267425,0.000272674392128969,0.0548075528179227,175375,43,105,1.1877193859693,0.0976820454038941,0.631200781426343
"GO:0046427","positive regulation of receptor signaling pathway via JAK-STAT",0.00278303808291563,17,2.7016507746111,0.000292802920984547,0.0564992516331782,134575,8,17,1.36482118223558,0.199275278084121,0.71880919649704
"GO:0033235","positive regulation of protein sumoylation",0.00360943113231459,20,2.45070294910815,0.000314858319756306,0.05841832825017,291771,3,9,0.966748337416871,0.650615379932434,0.882658867201404
"GO:0009205","purine ribonucleoside triphosphate metabolic process",0.0189330421269929,67,1.5651423366163,0.000328167115749345,0.0586325246805496,177664,42,102,1.19421853445613,0.0933932883753121,0.631200781426343
"GO:0009144","purine nucleoside triphosphate metabolic process",0.0189876187317725,67,1.56064360742145,0.000353787692773055,0.0592576499558439,177664,42,103,1.18262417975268,0.106809028673128,0.631200781426343
"GO:0072538","T-helper 17 type immune response",0.00597699866533159,28,2.07192633329885,0.000356233799485794,0.0592576499558439,83179,18,28,1.86444322216111,0.00121106455763231,0.207681333298111
"GO:0009141","nucleoside triphosphate metabolic process",0.0197306718306296,69,1.54670202859379,0.000370414744705894,0.0595626909487077,173043,44,110,1.16009800490025,0.130713084080199,0.666553824104526
"GO:0045606","positive regulation of epidermal cell differentiation",0.00214164005647449,14,2.89121901959067,0.00050535796116058,0.0786402195044721,75390,6,14,1.24296214810741,0.343800040330331,0.78156993145783
"GO:0030168","platelet activation",0.0140636781140685,52,1.63532419946851,0.000563251750656857,0.0846022694556285,97163,29,69,1.21894355587345,0.116411559013432,0.646224810910009
