"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"hsa05224",0.0157052784672923,125,1.49298584187028,1.29168438837146e-05,0.00366314194100603,166382,58,79,1.10206384149697,0.120298585703549,0.99999751236498
"hsa04919",0.0110402079614483,93,1.58014525688961,2.15478937706237e-05,0.00366314194100603,178962,42,64,0.985088315217391,0.623664130091015,0.99999751236498
"hsa05214",0.00704259458162484,63,1.67802790488039,8.68427159672613e-05,0.00984217447628962,164983,27,38,1.06656178489703,0.347652880794571,0.99999751236498
"hsa00310",0.00455923614387278,44,1.81030565084567,0.000199881305372296,0.0169899109566451,103127,25,37,1.01424794359577,0.528396628486044,0.99999751236498
"hsa05225",0.0178644961239548,129,1.35453507868422,0.000513856127104306,0.030676860521344,145908,65,89,1.09629946262824,0.118413200776643,0.99999751236498
"hsa04510",0.0240904083583824,167,1.30036007479638,0.000541356362141365,0.030676860521344,160954,81,112,1.0856075310559,0.116448676653182,0.99999751236498
"hsa05218",0.0078598915302272,61,1.45580967019864,0.00318155840393519,0.108953959703819,222874,25,37,1.01424794359577,0.528396628486044,0.99999751236498
"hsa04520",0.0146064940751195,103,1.32276457427331,0.00346557498647448,0.108953959703819,182214,44,58,1.13875562218891,0.0846724922343962,0.99999751236498
"hsa04932",0.0123679928371894,89,1.34983939564875,0.00371333230821858,0.108953959703819,146656,40,60,1.00072463768116,0.557284467690505,0.99999751236498
"hsa05010",0.0293693427477157,191,1.21991748791427,0.00372266837384427,0.108953959703819,148035,117,166,1.05799502357255,0.16281421828526,0.99999751236498
"hsa04152",0.0145343398701519,102,1.31642517105572,0.00412284558941256,0.108953959703819,183604,52,70,1.11509316770186,0.106055474863035,0.99999751236498
"hsa04066",0.013095066299512,93,1.33219121204506,0.00435762885287672,0.108953959703819,183790,41,58,1.0611131934033,0.305652838056373,0.99999751236498
"hsa05216",0.00302260971065303,28,1.73766988897415,0.00444155944457325,0.108953959703819,152510,9,14,0.96498447204969,0.688525483496823,0.99999751236498
"hsa05200",0.0575188246264391,352,1.14795265840656,0.00478835197868488,0.108953959703819,160872,190,267,1.06818921999674,0.0612523760674603,0.99999751236498
"hsa05221",0.00434744449964931,37,1.59646350523208,0.00480679233987436,0.108953959703819,132938,20,30,1.00072463768116,0.582631612119334,0.99999751236498
"hsa04666",0.0112510162434235,81,1.35046889194442,0.00534417416516053,0.113563701009661,102030,36,56,0.96498447204969,0.70005283113269,0.99999751236498
"hsa03008",0.00229406120495801,22,1.7989081845233,0.0073840327794803,0.130537727998809,65470,16,20,1.20086956521739,0.150150812012358,0.99999751236498
"hsa05014",0.0260136190754576,168,1.2114341795551,0.00784637886783157,0.130537727998809,150671,97,141,1.03266265803269,0.324656202721216,0.99999751236498
"hsa05205",0.0234611794397638,153,1.22329980674276,0.00787900967223498,0.130537727998809,160537,77,113,1.02286456329357,0.407152622718782,0.99999751236498
"hsa04370",0.00406411325186341,34,1.56929442857545,0.00841440937244142,0.130537727998809,141804,17,31,0.823176718092567,0.940740817560865,0.99999751236498
"hsa04015",0.0235538613316642,153,1.21848625456743,0.00893520255801383,0.130537727998809,198916,77,120,0.963197463768116,0.750718029722395,0.99999751236498
"hsa01522",0.0106951707325828,76,1.33296021729708,0.00900455020416846,0.130537727998809,179228,25,43,0.872724974721941,0.908737958296681,0.99999751236498
"hsa04151",0.0373560880079711,233,1.16999996460133,0.00915283252902921,0.130537727998809,168509,123,178,1.0372679531021,0.266184322748421,0.99999751236498
