"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GSE6674_CPG_VS_PL2_3_STIM_BCELL_DN",0.0166029652796916,144,1.62692731178996,2.86354119305443e-08,0.000139511726925612,129704,73,88,1.24521986166008,0.000460563716457862,0.216801846331149
"GSE22886_NAIVE_VS_MEMORY_TCELL_UP",0.0113837701469414,97,1.59836857904793,9.43938429820435e-06,0.0229943401504258,79104,57,83,1.03086694604505,0.39349214068778,0.806779204297755
"GSE3337_CTRL_VS_4H_IFNG_IN_CD8POS_DC_DN",0.0123121870295995,101,1.53878338081165,2.72264177496595e-05,0.0395889671600007,127470,65,87,1.12150174912544,0.0650659467779237,0.620579646790311
"GSE26928_NAIVE_VS_CENT_MEMORY_CD4_TCELL_UP",0.00953652416354593,82,1.61292827899047,3.2503257110017e-05,0.0395889671600007,111678,54,73,1.11039309112567,0.110964522830809,0.66260596662825
"GSE24972_WT_VS_IRF8_KO_SPLEEN_FOLLICULAR_BCELL_UP",0.0194210356427022,145,1.40051232270951,5.81394224421494e-05,0.0464300530407934,139417,64,89,1.07943331704934,0.170997331261661,0.707423930492543
"GSE5542_UNTREATED_VS_IFNA_TREATED_EPITHELIAL_CELLS_24H_UP",0.021192439812699,156,1.38081328694152,6.09205701802562e-05,0.0464300530407934,111745,84,110,1.14628458498024,0.0167736895065707,0.486914732903532
"GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_1H_UP",0.0187384593221143,140,1.40147538013547,7.4810603333364e-05,0.0464300530407934,195237,61,76,1.20481979405034,0.00623164650453423,0.4359020833419
"GSE9006_TYPE_1_VS_TYPE_2_DIABETES_PBMC_AT_DX_UP",0.0137660881136826,108,1.47164997676697,8.1984592744222e-05,0.0464300530407934,82020,51,75,1.02073913043478,0.452840889857537,0.820794057281078
"GSE11864_CSF1_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP",0.0137829281921844,108,1.46985190448579,8.57698024152587e-05,0.0464300530407934,173773,57,82,1.04343849416755,0.333600597542241,0.789748353365305
"GSE17721_LPS_VS_CPG_8H_BMDC_DN",0.0105316867588061,86,1.5317639182335,0.00011787748953096,0.0574299128994836,132595,53,71,1.12052969993876,0.0923148552417543,0.637171397604796
"GSE5589_IL6_KO_VS_IL10_KO_LPS_AND_IL10_STIM_MACROPHAGE_45MIN_UP",0.0218922249726318,158,1.35381244471238,0.000135532591559739,0.0587785442149813,173469,72,103,1.04930350358801,0.274715914413947,0.765930909260711
"GSE14350_TREG_VS_TEFF_IN_IL2RB_KO_UP",0.0222681151920371,160,1.34780741368866,0.000150819662018575,0.0587785442149813,106233,78,103,1.13674546222035,0.0285655873456201,0.531862138027912
"GSE1460_CD4_THYMOCYTE_VS_NAIVE_CD4_TCELL_ADULT_BLOOD_DN",0.0163676958617904,123,1.4096421667909,0.000156839301066247,0.0587785442149813,132711,66,84,1.17942546583851,0.0112081245435073,0.461618331910459
"GSE360_L_MAJOR_VS_T_GONDII_MAC_DN",0.0159002300330139,119,1.40389578924475,0.000230570681743258,0.0682923169693053,103046,65,82,1.18988600212089,0.00824202901564597,0.4359020833419
