"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"R-HSA-4090294",0.00475209806481685,30,2.79955699984973,9.31124924163917e-07,0.00106986253786434,237605,8,16,1.45368421052632,0.146716886418388,0.761374682342728
"R-HSA-5578749",0.00335670703450643,23,3.03856024257408,4.54503769020675e-06,0.00261112415302378,50562,15,34,1.28266253869969,0.155046200043296,0.761374682342728
"R-HSA-4551638",0.00568420255590599,31,2.41849727312956,1.11197362915316e-05,0.00321154170312454,217150,10,30,0.969122807017544,0.616387912528233,0.847157054202181
"R-HSA-3108232",0.0203334728888257,77,1.67931674289539,1.34203788830778e-05,0.00321154170312454,156766,39,91,1.24601503759398,0.056684399547103,0.745430206676411
"R-HSA-2990846",0.0207002670074345,78,1.67098329847804,1.39753772981921e-05,0.00321154170312454,156096,40,94,1.23717805151176,0.0603350820025293,0.745430206676411
"R-HSA-3247509",0.018684988999864,70,1.66134048049641,4.46507810382135e-05,0.00596622524330326,148633,48,101,1.38171964564878,0.00415581486528405,0.613164152762679
"R-HSA-4839726",0.018684988999864,70,1.66134048049641,4.46507810382135e-05,0.00596622524330326,148633,48,101,1.38171964564878,0.00415581486528405,0.613164152762679
"R-HSA-350054",0.00762769511935191,36,2.0929681944279,4.66422493332619e-05,0.00596622524330326,193452,8,15,1.55059649122807,0.10348450797094,0.759252549619289
"R-HSA-6804759",0.00148057478506774,13,3.8937355942562,4.6732834803942e-05,0.00596622524330326,237901,3,7,1.24601503759398,0.45382662802477,0.810337893561739
"R-HSA-5607764",0.00634330110281618,31,2.16720413528399,8.22564682985139e-05,0.00908234309100413,139276,18,36,1.45368421052632,0.0383359565106758,0.744373168175468
"R-HSA-211000",0.00638878160679916,31,2.15177622705782,9.32112067688617e-05,0.00908234309100413,76984,22,47,1.36089585666293,0.0523943407767556,0.744373168175468
"R-HSA-8941326",0.00673025414751466,32,2.10849204954012,0.0001043904121516,0.00908234309100413,270642,9,21,1.24601503759399,0.273666124766671,0.783957914097071
"R-HSA-8951936",0.00305948579496356,19,2.75396624972495,0.000104912717368677,0.00908234309100413,305118,2,5,1.16294736842105,0.559944813862192,0.829947337050993
"R-HSA-8878166",0.0114891128277884,47,1.8141150125772,0.000112171778379855,0.00908234309100413,257950,21,48,1.27197368421053,0.113118923652215,0.761374682342728
