"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0005488","binding",0.941157938548218,5100,1.0168618312767,1.55084842967668e-07,0.000189203508420555,136775,4776,7133,1.00543807358831,0.0445767722166429,0.966908460009963
"GO:0003674","molecular_function",0.965061753919989,5204,1.01189736053639,8.26186587254973e-07,0.000503973818225534,137228,5136,7693,1.00251877657216,0.131403423298945,0.996208584175469
"GO:0030554","adenyl nucleotide binding",0.123325180440827,760,1.1564213803619,1.4704912308483e-05,0.00597999767211643,133165,509,724,1.05570468521904,0.0142892029020649,0.856905410825532
"GO:0005515","protein binding",0.888195522899188,4824,1.01918494352692,3.00063605286338e-05,0.00754443748836042,135347,4274,6399,1.00296468260462,0.249902851471716,0.996208584175469
"GO:0042054","histone methyltransferase activity",0.00525963590521076,52,1.85524787126236,3.09198257719689e-05,0.00754443748836042,164086,26,37,1.05520018024549,0.388956697348764,0.996208584175469
"GO:0032559","adenyl ribonucleotide binding",0.118470566861626,727,1.15153786785131,3.79449377585495e-05,0.00771547067757172,135630,481,686,1.05289289122163,0.022069392388484,0.856905410825532
"GO:0016278","lysine N-methyltransferase activity",0.00415114081083626,43,1.94381652557392,5.19463972495915e-05,0.0079218255805627,143992,23,35,0.986786102625175,0.620863078750644,0.996208584175469
"GO:0016279","protein-lysine N-methyltransferase activity",0.00415114081083626,43,1.94381652557392,5.19463972495915e-05,0.0079218255805627,143992,23,35,0.986786102625175,0.620863078750644,0.996208584175469
"GO:0005524","ATP binding",0.115790658894499,706,1.14415656160532,0.000100389065795792,0.0136082955856518,136105,467,667,1.05136685010159,0.0273088400639059,0.856905410825532
"GO:0140096","catalytic activity, acting on a protein",0.208275017903339,1217,1.09649758000087,0.000186273851742857,0.0193624953632607,146551,721,1067,1.01469163032257,0.245208984570013,0.996208584175469
"GO:0000166","nucleotide binding",0.161898916752731,960,1.11270892071433,0.000192562940991348,0.0193624953632607,133612,640,919,1.04574957178426,0.0201601527522746,0.856905410825532
"GO:0045296","cadherin binding",0.0374686829853993,251,1.25707032172632,0.000198768215224132,0.0193624953632607,152185,135,188,1.07829887486215,0.0713906186068617,0.996208584175469
"GO:0017076","purine nucleotide binding",0.153726807708675,914,1.11570882118887,0.000206321671903598,0.0193624953632607,133156,606,864,1.05322731666063,0.0104059568425023,0.856905410825532
"GO:1901363","heterocyclic compound binding",0.172231226815698,1016,1.10697061524183,0.000232449055522999,0.0202562748384327,132327,685,987,1.04216540286501,0.0246501450025561,0.856905410825532
"GO:1901265","nucleoside phosphate binding",0.163291111855735,965,1.10896808286104,0.00027906358714036,0.0226971717540826,133947,646,927,1.04644405892572,0.0181765358206711,0.856905410825532
"GO:0032553","ribonucleotide binding",0.149266153630192,884,1.11133553957487,0.000418175552935995,0.030039339345816,134944,583,833,1.05096145018355,0.0152191025143764,0.856905410825532
"GO:0035639","purine ribonucleoside triphosphate binding",0.144778088329039,859,1.11338305094746,0.000418580958097436,0.030039339345816,135629,562,803,1.05095471539538,0.0170480981402128,0.856905410825532
"GO:0140938","histone H3 methyltransferase activity",0.00390972537888333,38,1.82386052188011,0.000451517084692155,0.030330532146982,170709,19,26,1.09734574957482,0.31758045496966,0.996208584175469
