"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GSE40666_STAT1_KO_VS_STAT4_KO_CD8_TCELL_DN",0.0191712616316389,76,1.75955038110241,3.16217548923525e-06,0.0114634749105305,100171,40,86,1.35321400574863,0.012822414346324,0.731531714016252
"GSE12392_WT_VS_IFNAR_KO_CD8A_NEG_SPLEEN_DC_DN",0.0141401345288724,60,1.88337376854621,4.70585997969231e-06,0.0114634749105305,153547,32,74,1.25812329183116,0.0696205679659894,0.887061639693113
"GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_60H_UP",0.0182145730843427,71,1.73012770376909,1.12698909635611e-05,0.0183023029248233,133077,41,85,1.4033625247852,0.00553166752549272,0.724461174068692
"GSE45837_WT_VS_GFI1_KO_PDC_DN",0.0125609776784145,53,1.87279928132948,1.89409353537062e-05,0.0214630042048665,119867,29,72,1.17184573970037,0.174398104045215,0.94310353003191
"GSE20500_RETINOIC_ACID_VS_RARA_ANTAGONIST_TREATED_CD4_TCELL_DN",0.0213792786398723,79,1.64010952958623,2.29801522451112e-05,0.0214630042048665,127760,46,105,1.27459871589085,0.0272964370942614,0.797468193150826
"GSE19923_HEB_KO_VS_HEB_AND_E2A_KO_DP_THYMOCYTE_DN",0.022862926431966,83,1.61133218471625,2.64322711882592e-05,0.0214630042048665,125427,41,91,1.31083312754661,0.0217897801419902,0.780586829792472
"GSE2770_TGFB_AND_IL4_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_48H_DN",0.018712891903659,70,1.66033582754517,4.54532121818563e-05,0.031635435678572,86071,34,92,1.07521678065462,0.33589579368949,0.98050838817253
"GSE40443_INDUCED_VS_TOTAL_TREG_DN",0.0224409411071725,80,1.58229599660186,6.56042226740983e-05,0.0399529716085258,129041,42,94,1.29994919913937,0.0238272546087662,0.789703295604824
"GSE21927_SPLENIC_C26GM_TUMOROUS_VS_4T1_TUMOR_MONOCYTES_DN",0.0193743259359089,71,1.62656175031825,7.41517073064024e-05,0.0401407908885325,136202,36,92,1.13846482657548,0.195152391656084,0.943448519110772
"GSE1925_CTRL_VS_3H_IFNG_STIM_MACROPHAGE_UP",0.0167469049287837,63,1.66972443547474,9.11224959304624e-05,0.0436968347699481,85351,30,86,1.01491050431147,0.500718246649169,0.98050838817253
"GSE37416_12H_VS_48H_F_TULARENSIS_LVS_NEUTROPHIL_UP",0.0137469125498411,54,1.74352186521552,9.86586991932326e-05,0.0436968347699481,131727,35,83,1.22685968593475,0.0841012903059244,0.887061639693113
"GSE2770_UNTREATED_VS_IL12_TREATED_ACT_CD4_TCELL_6H_UP",0.0160398674722698,60,1.66031037983534,0.000152593168295523,0.0597551598380947,106399,30,82,1.06441833379008,0.37525038286772,0.98050838817253
