"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"Reference proteome",0.967683397673906,5224,1.01303431809957,1.46971737002843e-08,5.83477795901288e-06,136828,5174,7774,0.999413291374777,0.632317547382166,0.999998448078232
"Acetylation",0.267370295134053,1583,1.11102041499888,6.86279740813589e-07,0.000136226528551497,119316,971,1423,1.02465476176225,0.0786351966206448,0.891947801668457
"Magnesium",0.0541146703634531,344,1.19288260338917,0.000570190198948661,0.0471862933267917,118783,212,304,1.04719005741974,0.130616320550585,0.923592540768887
"Phosphoprotein",0.637446139405857,3511,1.0335740906092,0.000579886905415661,0.0471862933267917,138412,2448,3615,1.01687213028955,0.0297087135914074,0.882543418121375
"Isopeptide bond",0.163285088761964,957,1.09981513243782,0.000779077789936244,0.0471862933267917,133833,514,766,1.00762186322096,0.393945701489296,0.999998448078232
"Guanine-nucleotide releasing factor",0.0212853675451615,148,1.30477264018613,0.000945585208373179,0.0471862933267917,114146,65,86,1.13495368224078,0.0456924853340097,0.882543418121375
"Initiation factor",0.00230844287783912,25,2.03224075232053,0.000947911986703964,0.0471862933267917,108794,15,18,1.25135918811163,0.100296496720875,0.923592540768887
"Alternative splicing",0.744868877248611,4068,1.02483841335721,0.000950857296257768,0.0471862933267917,140603,3115,4624,1.01158750976672,0.0495170503540199,0.882543418121375
"ADP-ribosylation",0.00644618537804255,53,1.54286298037048,0.0018211752489492,0.0776143268055844,99016,32,45,1.06782650718859,0.31865760953206,0.99866188368785
"Transport",0.089046155828007,536,1.12954592721472,0.00195502082633714,0.0776143268055844,137822,318,470,1.01599716209234,0.326414643292556,0.99866188368785
"Coiled coil",0.186367796656421,1073,1.08039640634984,0.00282655150764677,0.100832818412456,135155,612,884,1.03959071012351,0.0420346890657598,0.882543418121375
"Translocase",0.00769185950605223,60,1.4637745331851,0.00304784337770647,0.100832818412456,141464,30,38,1.18549817821102,0.0703849388493708,0.882543418121375
