"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0051179","localization",0.431713850436011,2468,1.07316494127468,1.83585102830897e-06,0.0116007426478844,141103,1664,2455,1.01817515865713,0.0680036205265035,0.997155256356889
"GO:0051234","establishment of localization",0.39255993039762,2224,1.06352111844783,0.000107382323448979,0.25340722833638,143972,1464,2160,1.01814116509548,0.087165404274111,0.997155256356889
"GO:0009259","ribonucleotide metabolic process",0.0272510575446379,191,1.31573161321467,0.000127999808464452,0.25340722833638,122700,107,158,1.01729605933487,0.414541021637837,0.997155256356889
"GO:0019693","ribose phosphate metabolic process",0.0275397972847893,192,1.30875330901175,0.000160409703014008,0.25340722833638,122292,108,161,1.00767051468568,0.481913112152124,0.997155256356889
"GO:0032879","regulation of localization",0.190431049466317,1116,1.10012931393349,0.000243615027297861,0.259203684816978,147938,663,971,1.02568728066802,0.12158001492874,0.997155256356889
"GO:0009150","purine ribonucleotide metabolic process",0.026298794127459,183,1.30626881106287,0.000246118390394345,0.259203684816978,125159,100,147,1.02188808808513,0.389417352377953,0.997155256356889
"GO:0009798","axis specification",0.0143554908612459,108,1.41228716318898,0.000353970563767625,0.286533617712136,187042,42,57,1.10686615014694,0.158192322808637,0.997155256356889
"GO:0051602","response to electrical stimulus",0.00318978129286077,33,1.94209440184207,0.000362758180360356,0.286533617712136,240189,13,19,1.0278042822793,0.539483547822854,0.999999937861239
"GO:0051641","cellular localization",0.301815876727675,1718,1.06855869121536,0.000563667421605185,0.325406259559222,144508,1064,1581,1.01095175256938,0.25710106206782,0.997155256356889
"GO:0009141","nucleoside triphosphate metabolic process",0.0197306718306296,140,1.33199767150414,0.000590404291999858,0.325406259559222,143404,76,110,1.03786670182609,0.32509403348426,0.997155256356889
"GO:0045070","positive regulation of viral genome replication",0.00186580694583174,22,2.21346815678687,0.000638821077700635,0.325406259559222,125883,12,12,1.50217548948513,0.00754419269898976,0.809000703450382
"GO:0044238","primary metabolic process",0.707417648943119,3875,1.028284097577,0.00065248035953136,0.325406259559222,138849,2900,4319,1.00863832357187,0.128299113231602,0.997155256356889
"GO:0003190","atrioventricular valve formation",0.00165598202610483,20,2.26720964369655,0.000824828156711144,0.325406259559222,100185,6,7,1.28757899098726,0.26148691098448,0.997155256356889
"GO:1900102","negative regulation of endoplasmic reticulum unfolded protein response",0.000745019823353723,12,3.02364444677907,0.000851892208785898,0.325406259559222,158910,5,5,1.50217548948513,0.130657191273978,0.997155256356889
"GO:0006413","translational initiation",0.00773377532188519,63,1.52920708564651,0.000907660978483493,0.325406259559222,97160,39,54,1.08490452018371,0.232448342655527,0.997155256356889
"GO:0034332","adherens junction organization",0.00804623867627641,65,1.51648370796391,0.000932857945340038,0.325406259559222,195316,29,40,1.08907722987672,0.268710485505264,0.997155256356889
"GO:0032467","positive regulation of cytokinesis",0.00464122397132319,42,1.69876798219577,0.000933037419473814,0.325406259559222,140852,20,25,1.20174039158811,0.109705157875753,0.997155256356889
"GO:1905475","regulation of protein localization to membrane",0.0170644080146973,122,1.34210318567453,0.000980794246817407,0.325406259559222,176193,66,86,1.15283235239557,0.0264345127338577,0.974755871249635
"GO:0009205","purine ribonucleoside triphosphate metabolic process",0.0189330421269929,133,1.31870770272226,0.00113775920314874,0.325406259559222,135269,71,102,1.0456319583671,0.294447994272834,0.997155256356889
"GO:0060841","venous blood vessel development",0.00248913569096071,26,1.96083964522685,0.0012482652022332,0.325406259559222,105282,9,10,1.35195794053662,0.102783237397728,0.997155256356889
"GO:0014823","response to activity",0.00603600040022844,51,1.58612795470306,0.00125802098623051,0.325406259559222,94450,29,37,1.17738078905592,0.0850446652987897,0.997155256356889
"GO:0009144","purine nucleoside triphosphate metabolic process",0.0189876187317725,133,1.31491730698449,0.00125933363002562,0.325406259559222,135269,71,103,1.03548019178101,0.34590090974054,0.997155256356889
