"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"hsa05224",0.0157052784672923,125,1.49410691252308,1.24976672111199e-05,0.00356495095887976,166382,58,79,1.10286301759668,0.118502113910257,0.999997388337409
"hsa04919",0.0110402079614483,93,1.58133177482232,2.09702997581163e-05,0.00356495095887976,178962,42,64,0.985802664974619,0.62051306358418,0.999997388337409
"hsa05214",0.00704259458162484,63,1.67928792207948,8.51000215420505e-05,0.00964466910809906,164983,27,38,1.06733521621312,0.345321560350477,0.999997388337409
"hsa00310",0.00455923614387278,44,1.81166499430416,0.000196770327911322,0.0167254778724624,103127,25,37,1.01498343884131,0.525892305006107,0.999997388337409
"hsa05225",0.0178644961239548,129,1.35555218781032,0.000499803274823574,0.0297120713268395,145908,65,89,1.09709445861274,0.1165260822524,0.999997388337409
"hsa04510",0.0240904083583824,167,1.30133650436258,0.000524330670473638,0.0297120713268395,160954,81,112,1.0863947736455,0.114352930553203,0.999997388337409
"hsa05218",0.0078598915302272,61,1.4569028255733,0.00313159176055799,0.10771376613228,222874,25,37,1.01498343884131,0.525892305006107,0.999997388337409
"hsa04520",0.0146064940751195,103,1.32375782719186,0.00339319151804074,0.10771376613228,182214,44,58,1.13958140581631,0.083489190992494,0.999997388337409
"hsa05010",0.0293693427477157,191,1.22083351381096,0.00361431213537777,0.10771376613228,148035,117,166,1.05876224258892,0.159584210237062,0.999997388337409
"hsa04932",0.0123679928371894,89,1.35085297882551,0.00364223960439591,0.10771376613228,146656,40,60,1.00145032632342,0.554120893562217,0.999997388337409
"hsa04152",0.0145343398701519,102,1.31741366376911,0.00403853697131173,0.10771376613228,183604,52,70,1.11590179218896,0.104513851150611,0.999997388337409
"hsa04066",0.013095066299512,93,1.33319154334752,0.00427338461494231,0.10771376613228,183790,41,58,1.06188267360156,0.302926324731514,0.999997388337409
"hsa05216",0.00302260971065303,28,1.7389746908431,0.00439834563666763,0.10771376613228,152510,9,14,0.965684243240443,0.687124892411147,0.999997388337409
"hsa05200",0.0575188246264391,352,1.14881464651124,0.00459840533124933,0.10771376613228,160872,190,267,1.06896383146882,0.059244252919884,0.999997388337409
"hsa05221",0.00434744449964931,37,1.59766227640177,0.00475207791760057,0.10771376613228,132938,20,30,1.00145032632342,0.580409443807163,0.999997388337409
"hsa04666",0.0112510162434235,81,1.35148294780472,0.00525029793121234,0.111568831038262,102030,36,56,0.965684243240443,0.697342214606806,0.999997388337409
"hsa03008",0.00229406120495801,22,1.80025896971911,0.00732451232342757,0.127588742630437,65470,16,20,1.20174039158811,0.149104133517201,0.999997388337409
"hsa05014",0.0260136190754576,168,1.21234383540609,0.00764880946463342,0.127588742630437,150671,97,141,1.03341150695077,0.320271749575805,0.999997388337409
"hsa05205",0.0234611794397638,153,1.22421837239452,0.0076905313956529,0.127588742630437,160537,77,113,1.0236063069943,0.402908750713018,0.999997388337409
"hsa04370",0.00406411325186341,34,1.57047279871142,0.00832784559235789,0.127588742630437,141804,17,31,0.823773655524106,0.940040798225425,0.999997388337409
"hsa04015",0.0235538613316642,153,1.2194012057629,0.00872440658969842,0.127588742630437,198916,77,120,0.963895939086294,0.747087913359563,0.999997388337409
"hsa01522",0.0106951707325828,76,1.33396112603919,0.00885977701756702,0.127588742630437,179228,25,43,0.873357842723915,0.907599502776027,0.999997388337409
"hsa04151",0.0373560880079711,233,1.17087850784489,0.00888230827693504,0.127588742630437,168509,123,178,1.03802014161051,0.261692454606299,0.999997388337409
"hsa05100",0.00993576923634792,71,1.34144896803916,0.00986095402817266,0.127588742630437,157317,29,42,1.0372164094064,0.43672976771319,0.999997388337409
