"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"R-HSA-9616222",0.00237629487297049,28,1.97735349080153,0.000739661452717533,0.374678124740771,93782,17,26,0.914082880170277,0.820932964124703,0.999979925917728
"R-HSA-9843940",0.0032410390500524,35,1.81221781413202,0.000821862950681096,0.374678124740771,37204,23,32,1.00481904842247,0.57149990765607,0.999979925917728
"R-HSA-201722",0.00495430192711958,48,1.62586836872455,0.00105540074574884,0.374678124740771,148771,22,28,1.09843572995252,0.275329856013459,0.999979925917728
"R-HSA-2682334",0.00855955376987898,74,1.45079887404167,0.00140152904956481,0.374678124740771,183287,40,49,1.1412319272234,0.0747268098702419,0.999979925917728
"R-HSA-9821002",0.00100794630448779,15,2.49735612048183,0.0014055305523033,0.374678124740771,35078,11,16,0.961131263708453,0.709335647001082,0.999979925917728
"R-HSA-5578749",0.00335670703450643,35,1.74977102333452,0.00146410061819036,0.374678124740771,44163,25,34,1.02794787562401,0.483733045164254,0.999979925917728
"R-HSA-3928665",0.00454927960110894,44,1.62306779837854,0.00170346851983894,0.374678124740771,192741,24,27,1.24267476519881,0.0294704194174941,0.999979925917728
"R-HSA-73728",0.000734940360308845,12,2.74003280654972,0.00192462157122053,0.374678124740771,30206,9,14,0.898720142688423,0.817711212837508,0.999979925917728
"R-HSA-6803529",0.000647544040492891,11,2.85068997807468,0.00215883682629125,0.374678124740771,36080,10,12,1.16500759237388,0.291048017212025,0.999979925917728
"R-HSA-2299718",0.0013473292004257,17,2.11739466104167,0.00382467593479685,0.467907991713592,154239,13,19,0.95653254952803,0.718779646102758,0.999979925917728
"R-HSA-167287",0.0019420175200735,22,1.90106143483732,0.00401380267067919,0.467907991713592,61762,11,12,1.28150835161127,0.103467566424762,0.999979925917728
"R-HSA-167290",0.0019420175200735,22,1.90106143483732,0.00401380267067919,0.467907991713592,61762,11,12,1.28150835161127,0.103467566424762,0.999979925917728
"R-HSA-2424491",0.00245053872271569,26,1.78048530259071,0.00440363796124443,0.467907991713592,182583,11,15,1.02520668128902,0.568316126454099,0.999979925917728
"R-HSA-195721",0.0292893216447619,210,1.2031965999157,0.00442850023605312,0.467907991713592,147780,108,147,1.02710873450106,0.336220621014709,0.999979925917728
"R-HSA-9843745",0.0118110410438194,93,1.32136069567471,0.00540323806736043,0.467907991713592,164908,48,61,1.10007274296288,0.134239881019609,0.999979925917728
"R-HSA-193648",0.0110837217409347,88,1.33236640164111,0.00541882067042065,0.467907991713592,100399,29,35,1.15835040613175,0.0926405908700983,0.999979925917728
"R-HSA-167238",0.00188399914742493,21,1.87053228049399,0.00577436978058254,0.467907991713592,64644,10,10,1.39800911084866,0.0349913245523095,0.999979925917728
"R-HSA-167243",0.00188399914742493,21,1.87053228049399,0.00577436978058254,0.467907991713592,64644,10,10,1.39800911084866,0.0349913245523095,0.999979925917728
"R-HSA-5601884",0.000956442706734089,13,2.2809250091536,0.00589242749458019,0.467907991713592,49507,9,9,1.39800911084866,0.0489393702804098,0.999979925917728
"R-HSA-381340",0.00973835926500555,78,1.34411189621136,0.00688027234809319,0.467907991713592,149444,39,50,1.09044710646195,0.196674921384986,0.999979925917728
"R-HSA-9670095",0.00132286806449971,16,2.02969164967612,0.00718926385495111,0.467907991713592,62667,11,14,1.09843572995252,0.403224483928397,0.999979925917728
"R-HSA-3371453",0.00426717755613339,39,1.53373563268537,0.00726142185385548,0.467907991713592,126439,23,33,0.974369986349065,0.673264113088446,0.999979925917728
"R-HSA-3214847",0.00707332465188362,59,1.39976469146984,0.00795795906387975,0.467907991713592,146613,29,44,0.921415095786616,0.84061096397206,0.999979925917728
"R-HSA-167242",0.00122244219489404,15,2.05915738440935,0.00800453391787936,0.467907991713592,75660,7,7,1.39800911084866,0.0957175634395826,0.999979925917728
"R-HSA-9006335",0.00323329507234719,31,1.60895155572405,0.00828909393240551,0.467907991713592,219424,9,13,0.967852461356764,0.699626285970088,0.999979925917728
"R-HSA-211000",0.00638878160679916,54,1.41841178791003,0.00844925461859647,0.467907991713592,83495,34,47,1.01132573976286,0.524636305342543,0.999979925917728
"R-HSA-168325",0.00183163510770398,20,1.83238889452171,0.00853685738188925,0.467907991713592,54199,14,19,1.0301119764148,0.533154797119981,0.999979925917728
"R-HSA-3214841",0.00337809516340653,32,1.58966170830466,0.00871154162945809,0.467907991713592,114514,22,32,0.961131263708453,0.713745758907354,0.999979925917728
"R-HSA-73887",0.0165153231193136,123,1.24981188720581,0.00878402546519674,0.467907991713592,104669,54,71,1.06327453501166,0.239748021375133,0.999979925917728
"R-HSA-70326",0.00516302056431718,45,1.46263268251918,0.0092799691594605,0.467907991713592,94339,28,40,0.978606377594061,0.659546714195753,0.999979925917728
"R-HSA-9821993",0.000688353573796543,10,2.43789526047036,0.00954343925919132,0.467907991713592,40200,6,10,0.838805466509195,0.874857632691638,0.999979925917728
"R-HSA-3928662",0.00462979238518693,41,1.48610315094649,0.00985365532050531,0.467907991713592,191015,17,23,1.03331108193162,0.504655552170014,0.999979925917728
"R-HSA-416482",0.0145163935091208,109,1.26006915305438,0.010469409957331,0.467907991713592,96674,34,42,1.1317216611632,0.115485343742044,0.999979925917728
"R-HSA-427389",0.00126276004707355,15,1.99341187461803,0.0104964671521676,0.467907991713592,33349,12,17,0.986829960599053,0.65094981406845,0.999979925917728
