"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"hsa05203",0.0120522597865106,147,2.02673359794467,6.99440505513849e-15,2.41306974402278e-12,243059,59,182,1.02978848900617,0.419633559963473,0.861186877453376
"hsa05165",0.0280875980193781,271,1.60325464355286,1.38222766565832e-13,2.3843427232606e-11,214973,120,309,1.23364492347621,0.00341920219476033,0.0983020630993595
"hsa05214",0.00727114168968554,92,2.10248563059329,1.16598730670603e-10,1.34088540271193e-08,329900,30,72,1.32359819914635,0.0434276885328135,0.396840413806491
"hsa05310",0.00122734180313479,30,4.06165980224199,3.31218830140756e-10,2.85676240996402e-08,171379,3,15,0.635327135590247,0.896540440527002,0.984567335324073
"hsa04612",0.00218310937671354,41,3.12072987366366,5.79244874288065e-10,3.99678963258765e-08,175157,10,34,0.934304611162128,0.664585820412893,0.920811678885334
"hsa05225",0.0165334869795322,163,1.63821524575494,2.40096320602845e-09,1.19298704486554e-07,262650,62,155,1.27065427118049,0.0149035251272608,0.205036774451054
"hsa05167",0.01435581718899,146,1.68994571043331,2.42055342436487e-09,1.19298704486554e-07,242914,59,179,1.04704751396158,0.360780939181247,0.8198623468966
"hsa04145",0.010872733820648,116,1.77282982650502,8.7246654345563e-09,3.7625119686524e-07,148958,48,121,1.26015299621206,0.0341056598401157,0.360102822899172
"hsa04152",0.0105595015376296,113,1.77820915688501,1.15296798774978e-08,4.41971061970747e-07,190624,51,114,1.4211264875045,0.00197124707128193,0.0680080239592267
"hsa04215",0.0027462197150024,44,2.66235039242633,1.4691613703377e-08,4.89095022361174e-07,514118,14,32,1.38977810910367,0.0980177718789159,0.536738642315852
"hsa01524",0.0049566089450264,65,2.17909676988865,1.55943340462983e-08,4.89095022361174e-07,411375,22,70,0.998371213070389,0.54869613931334,0.903613477271915
"hsa05332",0.00166947631486851,32,3.18505937604922,2.62997028599443e-08,7.56116457223399e-07,196554,3,15,0.635327135590247,0.896540440527002,0.984567335324073
"hsa04658",0.00719879315364055,83,1.9158707809205,4.88151467026299e-08,1.2954788932621e-06,199323,23,74,0.987332710714574,0.573109039742647,0.911088668292159
"hsa04330",0.0051445021403635,65,2.09950938827776,5.86388737566779e-08,1.44502938900385e-06,149145,22,57,1.2260699107882,0.154847600176128,0.635981215009097
"hsa05150",0.00270862637522588,42,2.57660594144636,7.33774931926945e-08,1.59270904256936e-06,129234,13,52,0.794158919487809,0.877958172908823,0.984567335324073
"hsa04930",0.00450785425713501,59,2.17485326929322,7.38647671916226e-08,1.59270904256936e-06,178577,21,43,1.55138021481339,0.0129392185390526,0.202910472544233
"hsa05206",0.0180075125098477,166,1.5318004031271,1.25420239860397e-07,2.54529310304922e-06,279535,59,155,1.20917099999434,0.0475571019101904,0.400175613634529
"hsa05217",0.00836892653208299,91,1.80683898949557,1.46845034132426e-07,2.81452982087149e-06,334314,35,60,1.85303747880489,1.54483387744264e-05,0.00266483843858856
"hsa04940",0.00300211696589989,44,2.43541448217157,1.68574464387561e-07,3.06095737966887e-06,233058,9,22,1.29953277734369,0.230885842331607,0.694672731814894
"hsa04210",0.0104499171416065,107,1.70144826148738,2.22065331678678e-07,3.8306269714572e-06,298745,40,126,1.00845577077817,0.507940168570835,0.903613477271915
"hsa05169",0.0129377051905103,126,1.61830773899943,2.72188869776535e-07,4.4200599634937e-06,262032,50,172,0.923440604055592,0.776978361029229,0.956096524054252
"hsa05166",0.0171771199662126,158,1.52846167903017,2.81858896222786e-07,4.4200599634937e-06,181501,61,190,1.01986724397382,0.453257973194006,0.878123929782713
"hsa00190",0.00693480662708782,78,1.86899467382736,3.10007202131146e-07,4.45757002420777e-06,154006,37,114,1.03101333407189,0.445873160861104,0.878123929782713
"hsa04666",0.00790526292901291,86,1.8077149458298,3.10091827770975e-07,4.45757002420777e-06,105169,37,93,1.26382279660426,0.0549650718981373,0.403467017124625
"hsa05222",0.00922857866769462,96,1.72855909275974,4.63514616466654e-07,6.39650170723982e-06,329442,33,89,1.17785367834147,0.152603493036266,0.634315724066405
"hsa05218",0.0081238281500952,87,1.77953421005115,4.98256077841042e-07,6.61147487904459e-06,376466,26,69,1.19699315401061,0.162973749722233,0.642088371086315
"hsa05170",0.0132083277596248,126,1.58515058194548,7.58098347430902e-07,9.68681221717264e-06,265991,46,196,0.74553694482529,0.994834467457525,0.999999999999882
"hsa05216",0.00417818373186561,53,2.10783277154121,8.14814764993343e-07,1.00396819258108e-05,443684,11,34,1.02773507227834,0.520696739843439,0.903613477271915
"hsa05213",0.00653405946853438,73,1.85646853959076,9.15816126045854e-07,1.08950539133041e-05,398803,23,55,1.32841128350688,0.0681450627744622,0.452116281869028
"hsa05224",0.0158037305038148,145,1.52460101178657,9.68656034938675e-07,1.11395444017948e-05,284348,57,137,1.32166593900161,0.00770465365424622,0.166131594419684
"hsa00565",0.00259909670210668,38,2.42945564808217,1.17844250113741e-06,1.31149246094325e-05,64855,23,47,1.55452384240167,0.00924150258046164,0.177128799458848
"hsa05322",0.00482786764698123,58,1.9962753975813,1.36401725048252e-06,1.46880845391434e-05,147218,21,113,0.590348223336071,0.999322334874655,0.999999999999882
"hsa05130",0.0131140052253204,124,1.57120969195223,1.40494721678763e-06,1.46880845391434e-05,221169,61,185,1.04743122354068,0.356358291915545,0.8198623468966
"hsa04932",0.010395881673929,103,1.64635585911632,1.53038302475039e-06,1.55288865746731e-05,172465,41,140,0.930300448542862,0.740814531973926,0.934031244867745
"hsa05330",0.00223803239160784,34,2.52441275439514,1.85823139065011e-06,1.83168522792654e-05,201297,4,17,0.747443688929703,0.832756099648388,0.967130705804678
"hsa04151",0.0354085799699767,282,1.32339172524084,2.5056967428716e-06,2.40129271191862e-05,188221,125,350,1.13451274212544,0.0491450174459251,0.403467017124625
"hsa05200",0.0532423964781108,403,1.25775272692923,2.69034445588012e-06,2.50856442507741e-05,213317,195,510,1.21459599451077,0.000606763283127476,0.0434662865831689
"hsa05022",0.0360547923806371,286,1.31810755923361,2.87521602926333e-06,2.61039350025223e-05,208986,146,432,1.07358520597426,0.15939972705287,0.642088371086315
"hsa04510",0.0208855260247607,179,1.42414900132176,3.48462136356975e-06,3.08254966777324e-05,169197,78,194,1.27720403546493,0.00603682724985188,0.138847026746593
"hsa05163",0.0169594970152511,150,1.46969124760036,4.3638563995696e-06,3.72217645245944e-05,261921,58,199,0.925853614679255,0.784075138689734,0.956096524054252
"hsa05212",0.00684493834288007,73,1.77215268151638,4.4658348814508e-06,3.72217645245944e-05,344237,27,75,1.14358884406245,0.23357112142182,0.694672731814894
"hsa05160",0.0106714843511044,103,1.60383693040619,4.53134524647236e-06,3.72217645245944e-05,311784,44,149,0.938066911609761,0.724409562582093,0.934031244867745
"hsa05226",0.0168523553978503,149,1.46917481742624,4.7695872622544e-06,3.82676187320412e-05,298075,61,140,1.38410554539304,0.00168833305070448,0.0680080239592267
"hsa05223",0.00711859722365173,75,1.75071180064832,5.04317644567376e-06,3.9543088039942e-05,391824,26,68,1.21459599451077,0.142481158000113,0.621241133821586
"hsa05012",0.0158237652389287,141,1.48066598016491,5.79428493341361e-06,4.4422851156171e-05,176795,70,235,0.946231904070581,0.73492693386227,0.934031244867745
"hsa04066",0.00993623550913664,96,1.60545143627319,8.96728576127437e-06,6.72546432095578e-05,216128,41,107,1.21721554014954,0.0789851416020498,0.495452251867403
"hsa05418",0.0110738268927798,104,1.56057061701052,1.22847292215456e-05,9.0175140030494e-05,187632,45,131,1.09121072906722,0.266741096131112,0.721937209610769
"hsa05320",0.00246068013560508,34,2.29599834304959,1.3056742800277e-05,9.38453388769911e-05,190144,3,33,0.288785061631931,0.999516888958955,0.999999999999882
"hsa05215",0.00955976653928218,92,1.5991468889699,1.56542764562229e-05,0.00010861617526885,202893,36,93,1.22966542372306,0.0834436446145134,0.496345817103571
"hsa05208",0.0138336703442292,124,1.48947109462754,1.57414746766449e-05,0.00010861617526885,153624,60,197,0.967503252167889,0.64798148657085,0.911088668292159
"hsa04977",0.00170728045115658,26,2.53055800747704,2.70374315441968e-05,0.000182900272210743,137464,9,24,1.19123837923171,0.331035418927129,0.812003179459555
"hsa05152",0.0112294769645621,103,1.52414228717556,3.32743668516322e-05,0.000220762626227175,174135,47,161,0.927340850085144,0.7604160503406,0.943250267150455
"hsa05020",0.0172889279254382,147,1.4128533559642,3.55840429346888e-05,0.000231631977593729,159382,69,237,0.924843298644031,0.804434018306188,0.963644917762621
"hsa04672",0.00374555513900992,44,1.95202015844792,3.9215790591518e-05,0.000250545328779143,194313,10,35,0.907610193700353,0.704020789717003,0.934031244867745
"hsa05210",0.00997324049674498,93,1.54951032092282,4.37188574493597e-05,0.000274236469455074,334442,34,84,1.28578110774217,0.0504268089544706,0.403467017124625
"hsa04144",0.0182198830334454,153,1.3953837555867,4.49341665229586e-05,0.000276826561614655,147059,76,228,1.05887855931708,0.294350368424324,0.766654680479456
"hsa05168",0.00937227486110994,88,1.56021867567373,5.45949855539352e-05,0.000329668209085071,319627,35,147,0.756341828083628,0.983986266852191,0.999999999999882
"hsa05010",0.0287864477113306,226,1.30457238174361,5.54224815273452e-05,0.000329668209085071,157225,122,346,1.12008541245679,0.0717494953276929,0.458399553482483
"hsa05220",0.00725114289683394,71,1.62704551305151,8.19482501144275e-05,0.000479188920160636,367594,26,74,1.11611523819908,0.286610696918419,0.766358678993114
"hsa04148",0.0138585109807631,120,1.43883996551245,8.64019898620949e-05,0.000496811441707046,143015,61,145,1.33637776796569,0.00448985984929873,0.119153972923697
"hsa00830",0.00352877958354873,41,1.93066596767536,8.82143536320434e-05,0.000498917245951721,157128,18,60,0.952990703385371,0.644758138914443,0.911088668292159
"hsa05034",0.0111435995666906,100,1.49115338527437,9.36959563722084e-05,0.00051314097854762,153001,46,180,0.811806895476427,0.96606491749376,0.999999999999882
