"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"hsa04064",0.00665029305261417,34,2.13557086650884,5.11571028746216e-05,0.0156540734796342,175959,24,37,1.68740904805923,0.000993730780648461,0.304081618878429
"hsa04613",0.0117583452144493,49,1.74070720701055,0.000209841491027096,0.0273315869029622,155157,27,66,1.06421820644645,0.383795549032505,0.934815942242496
"hsa05034",0.0157995800916969,61,1.6127243532897,0.000285655600783974,0.0273315869029622,157995,33,68,1.26245493117667,0.0568819990517917,0.768705025388275
"hsa03082",0.00770086915810828,35,1.89847181412534,0.000357275645790356,0.0273315869029622,94083,21,37,1.47648291705183,0.0179176580343835,0.583410468858445
"hsa03013",0.00552522228268296,27,2.04122022820144,0.000560573089447458,0.0343070730741844,61333,20,46,1.13105316627159,0.287768095649841,0.934815942242496
"hsa04974",0.0080259611892194,33,1.71748415272649,0.00253105582949686,0.12908384730434,113961,24,48,1.30071114121233,0.0678269140048477,0.768705025388275
"hsa04014",0.0218779420359029,73,1.39377364031365,0.00368023909316162,0.160879023215351,149474,50,114,1.14097468527397,0.135643856275557,0.864234259452162
"hsa04625",0.00883667789768809,34,1.60718453940984,0.00591138626664933,0.197264103837065,139703,22,49,1.16798551455801,0.215116395101763,0.922423372516592
"hsa04530",0.0177504007276048,60,1.41194877942262,0.00608841618812039,0.197264103837065,101625,43,87,1.28576043843977,0.0233763887270892,0.583410468858445
"hsa00340",0.00164196978389031,10,2.54396242930277,0.00720605284784592,0.197264103837065,20306,7,9,2.02332844188584,0.0196867657412135,0.583410468858445
"hsa05205",0.0211452098320071,69,1.36305363563795,0.00748302540284596,0.197264103837065,159637,40,101,1.03026625046521,0.441764178643188,0.934815942242496
"hsa04010",0.0274841017648122,86,1.30705167277074,0.0087662391360982,0.197264103837065,135762,60,140,1.11489526389628,0.159471959207136,0.864234259452162
"hsa05014",0.0249388002842341,79,1.32320577581968,0.00885653969867395,0.197264103837065,126965,58,135,1.11764809170837,0.158505883653191,0.864234259452162
"hsa04148",0.0160218560634227,54,1.40785130562613,0.00933738752204194,0.197264103837065,84060,32,77,1.08111055892973,0.324804299961108,0.934815942242496
"hsa04330",0.0108444097727336,39,1.50222346429613,0.00966980901162084,0.197264103837065,121772,20,34,1.53024840142627,0.0125422956516987,0.583410468858445
"hsa04510",0.020493280849717,66,1.34526640745984,0.0113316844014538,0.216718464177804,121407,46,105,1.13967071420509,0.149786941579253,0.864234259452162
"hsa03250",0.00382473056420782,17,1.85662386650372,0.0127613086145422,0.222894780264157,67509,12,27,1.15618768107762,0.324369792052699,0.934815942242496
"hsa04657",0.00445410981023592,19,1.78183930676096,0.0131114576625975,0.222894780264157,87839,14,35,1.04056891296986,0.488277742356916,0.934815942242496
"hsa04392",0.0023874533267438,12,2.09953060534058,0.0142987021383916,0.228207958396818,71901,8,13,1.60087525072286,0.0784773366398651,0.829302719606371
"hsa05016",0.0207885750150533,66,1.32615738624708,0.0149155528363933,0.228207958396818,136127,50,109,1.19331297358929,0.0668853632690151,0.768705025388275
"hsa04919",0.0102212048592534,36,1.47121539897018,0.0165407858762898,0.236190461390093,114842,23,61,0.980864139274869,0.595177166199687,0.9613507124775
"hsa04920",0.0058907159245969,23,1.63093108470891,0.017692435925593,0.236190461390093,114245,14,30,1.2139970651315,0.227907534675034,0.922423372516592
"hsa05206",0.0211421226657332,66,1.30398081316819,0.020385162197162,0.236190461390093,177152,29,84,0.898110073694225,0.802961741695754,0.969356182929925
"hsa00520",0.00138774835245989,8,2.40799244783138,0.0203987729927972,0.236190461390093,34153,6,14,1.11489526389628,0.465607654072558,0.934815942242496
"hsa05132",0.0157712586967487,51,1.35076461270368,0.02201625477831,0.236190461390093,98145,44,90,1.27180644918539,0.0272098741281057,0.583410468858445
"hsa05203",0.0290679522879795,87,1.25020337759925,0.0226316483944631,0.236190461390093,124866,48,90,1.38742521729315,0.00276119977692357,0.422463565869307
"hsa03440",0.00169149866889444,9,2.22252524661917,0.0227677608538157,0.236190461390093,68718,7,14,1.30071114121233,0.265613309321026,0.934815942242496
"hsa04512",0.00671445242126451,25,1.55526809119927,0.0230083144760829,0.236190461390093,142299,17,43,1.02846927444696,0.498851477173016,0.934815942242496
"hsa04932",0.0122717543882726,41,1.39557459864602,0.023773922608195,0.236190461390093,124466,27,54,1.30071114121233,0.0548631457041741,0.768705025388275
"hsa04151",0.0317751286610101,94,1.23570951222278,0.0238550393250088,0.236190461390093,166041,59,161,0.953316240143196,0.709024037171795,0.969356182929925
"hsa04217",0.00741805788248849,27,1.52037038095184,0.0240439099721914,0.236190461390093,95321,23,49,1.22107576521973,0.14047913142166,0.864234259452162
"hsa04660",0.0115986179159265,39,1.40454034567973,0.0246996560930817,0.236190461390093,123772,21,50,1.09259735861835,0.351104706738891,0.934815942242496
"hsa04730",0.00484805907171863,19,1.63704852170757,0.027991208981446,0.256917759956921,142486,15,31,1.25875271730225,0.169278801864474,0.864234259452162
"hsa04072",0.0138726514382571,45,1.35496754638885,0.0285464177729913,0.256917759956921,156006,30,69,1.13105316627159,0.228511893778951,0.922423372516592
"hsa05417",0.0143060627381984,46,1.34311611635289,0.0306926872571844,0.266907344013922,111401,33,84,1.02198732523826,0.477737075032864,0.934815942242496
"hsa01523",0.00123607453117353,7,2.36553422503666,0.0314008640016379,0.266907344013922,64515,5,8,1.62588892651541,0.150351869077028,0.864234259452162
"hsa00190",0.00973907002203163,33,1.41537755881199,0.0331612271737225,0.269322460142349,118325,23,41,1.45933445111627,0.0161253049642175,0.583410468858445
"hsa04662",0.00595165390235266,22,1.54404824597672,0.0334452728281348,0.269322460142349,118264,10,30,0.867140760808218,0.775491720374515,0.969356182929925
"hsa04961",0.00213229232296913,10,1.95897597870205,0.0356227927618633,0.279490229841673,83724,9,22,1.06421820644645,0.485644703964974,0.934815942242496
"hsa04912",0.00740517231891018,26,1.46660794333729,0.0379373182299636,0.279490229841673,108490,23,47,1.27303643608015,0.0923171719130287,0.864234259452162
"hsa03060",0.00215860034860818,10,1.9351008828293,0.0381542831163562,0.279490229841673,72727,7,11,1.65545054336114,0.081304188196703,0.829302719606371
"hsa00900",0.00130063657368569,7,2.24811193791151,0.039465583181056,0.279490229841673,51052,5,11,1.18246467382939,0.424243870200349,0.934815942242496
"hsa00564",0.0074908076268577,26,1.44984160396212,0.0424336605425294,0.279490229841673,120111,21,46,1.18760582458517,0.195084604856732,0.890983419196419
"hsa01250",0.00250758436218742,11,1.83236921300861,0.0425439301035648,0.279490229841673,30645,8,18,1.15618768107762,0.382878932381971,0.934815942242496
"hsa05110",0.00544951959666038,20,1.53301932993403,0.0434852503719965,0.279490229841673,121066,15,23,1.69657974940738,0.00836116047969282,0.583410468858445
"hsa03083",0.00893721213852303,30,1.40215182615917,0.0447521070847088,0.279490229841673,183225,15,36,1.08392595101027,0.405475912705134,0.934815942242496
"hsa04380",0.0100124855742089,33,1.37672719233569,0.045230990570829,0.279490229841673,152865,21,58,0.941894274670995,0.68366793080017,0.969356182929925
"hsa00514",0.00685283800511074,24,1.4629067036409,0.045652299531193,0.279490229841673,168115,11,22,1.30071114121233,0.184157663106825,0.880503826729509
"hsa04062",0.0165885524116272,51,1.28421441586619,0.0463189000660734,0.279490229841673,96970,39,76,1.33494038177055,0.014777089288815,0.583410468858445
"hsa04670",0.0114752654895883,37,1.34683637106365,0.0465359440873796,0.279490229841673,123548,28,54,1.34888562792389,0.03050512255469,0.583410468858445
"hsa04933",0.0093267319875257,31,1.38837904661009,0.0465817049736121,0.279490229841673,134170,18,45,1.04056891296986,0.470636951754153,0.934815942242496
"hsa00532",0.00320031762914221,13,1.69678228901393,0.0485858585290617,0.285909090574863,106132,9,11,2.1284364128929,0.00429991392195994,0.438591220039914
"hsa04936",0.00839024680954788,28,1.39398836509063,0.0539445901304624,0.311453671319273,94484,23,55,1.08786749992304,0.349627958903838,0.934815942242496
"hsa04061",0.00426820871069467,16,1.56585011592369,0.0563365184590248,0.319240271267807,109476,14,27,1.34888562792389,0.10909542901047,0.864234259452162
"hsa00350",0.00202383882951836,9,1.85755824100642,0.0582588992136011,0.324131330170217,111365,6,11,1.41895760859527,0.213080280812285,0.922423372516592
"hsa04810",0.0219854559570095,64,1.21596297434021,0.0682262294172681,0.36655054390156,122857,45,107,1.09405610008513,0.248882872408779,0.934815942242496
"hsa00250",0.00371520327379219,14,1.57406009453828,0.0682790228836239,0.36655054390156,42093,9,19,1.23225266009589,0.282390825589204,0.934815942242496
"hsa04110",0.0119710912381121,37,1.29105230438679,0.074485804266202,0.392976829404445,135457,26,63,1.07360284671494,0.366198388487457,0.934815942242496
"hsa05161",0.0116553949304435,36,1.29018313619599,0.0780948198994549,0.405034150664969,115894,24,67,0.931852757883458,0.712878954342417,0.969356182929925
"hsa05214",0.00694947973194806,23,1.38245625330024,0.0796810751988153,0.406373483513958,158576,13,35,0.966242562043442,0.625330900657171,0.969356182929925
"hsa03320",0.00522979389272607,18,1.43768514528628,0.084552941404084,0.424150820813929,129101,12,26,1.20065643804215,0.268734159411168,0.934815942242496
"hsa05120",0.00560105919332614,19,1.41696555286625,0.0867681662978703,0.428242885276586,110148,15,30,1.30071114121233,0.132718257470194,0.864234259452162
"hsa00603",0.000986416736843773,5,2.11731476375431,0.0910015845366881,0.442007696321056,67260,4,6,1.73428152161644,0.158256911721343,0.864234259452162
"hsa04371",0.0182749505449385,53,1.21142215837889,0.0936702217247634,0.447533913245272,172982,26,69,0.980246077435377,0.596917109054657,0.9613507124775
"hsa04964",0.00192249924095977,8,1.73819967312216,0.0950643933364139,0.447533913245272,94166,7,10,1.82099559769726,0.0439454440949116,0.672365294652148
"hsa04981",0.00131942802057073,6,1.89950920026414,0.100621511532803,0.462047488176921,59566,4,9,1.15618768107762,0.478084433960905,0.934815942242496
"hsa04750",0.00972766092928,30,1.28821598654647,0.101167260483182,0.462047488176921,106575,25,54,1.20436216778919,0.146907760046691,0.864234259452162
"hsa04962",0.00230732122824118,9,1.6293346805058,0.107422502038803,0.478398116213874,87826,7,13,1.40076584438251,0.194289616698921,0.890983419196419
"hsa04666",0.0109152803724143,33,1.2628591005064,0.107874085028619,0.478398116213874,90470,23,52,1.15062908645706,0.234829411066213,0.922423372516592
"hsa04015",0.0213631906158736,60,1.17317010797917,0.120258240769295,0.521334301335446,149627,49,114,1.11815519156849,0.181774669587037,0.880503826729509
"hsa00511",0.0013970098512818,6,1.79402146796661,0.122387347628609,0.521334301335446,136743,4,7,1.48652701852837,0.260139703148919,0.934815942242496
