"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0042802","identical protein binding",0.192312204319939,8,2.59993899902566,0.00545988223321969,0.070978469031856,188295,9,909,2.92536176694593,0.00209889914740147,0.0272856889162191
"GO:0004888","transmembrane signaling receptor activity",0.103457921521012,5,3.02055169295599,0.0194894171415467,0.126681211420054,202570,4,439,2.69213246889784,0.0579966923851016,0.255279514581733
"GO:0038023","signaling receptor activity",0.124416022231892,5,2.51173437628112,0.0399491860532951,0.129834854673209,202570,4,534,2.21319504465572,0.102446948696522,0.255279514581733
"GO:0060089","molecular transducer activity",0.124416022231892,5,2.51173437628112,0.0399491860532951,0.129834854673209,202570,4,534,2.21319504465572,0.102446948696522,0.255279514581733
"GO:0005515","protein binding",0.865319686805639,16,1.15564226175362,0.0988155633057088,0.256920464594843,124935,23,5910,1.14985031888585,0.117821314422338,0.255279514581733
"GO:0097159","organic cyclic compound binding",0.487633214580337,10,1.28170104355562,0.198164426651465,0.42935625774484,174663,11,2464,1.31902472527473,0.180400276796637,0.335029085479468
"GO:0005488","binding",0.922217235031874,16,1.08434321330531,0.273735894663911,0.497047287869704,122959,25,6606,1.1181559887282,0.103113413364825,0.255279514581733
"GO:0043167","ion binding",0.470866814546405,9,1.19460531645635,0.313626679718569,0.497047287869704,222044,8,2528,0.935004868549172,0.662978689337283,0.75689141654422
"GO:0036094","small molecule binding",0.481223988946334,9,1.1688943463347,0.344109660832872,0.497047287869704,222044,8,2599,0.909462219196732,0.698668999886972,0.75689141654422
"GO:0003674","molecular_function",0.948235872388895,16,1.05458992758911,0.427230348135539,0.528932875001514,122959,25,7117,1.03787248300386,0.420006750856029,0.682510970141047
"GO:0003824","catalytic activity",0.392351451599004,7,1.11507169966364,0.447558586539742,0.528932875001514,154715,7,2237,0.92455555173481,0.669130499375697,0.75689141654422
"GO:0043169","cation binding",0.373288602531101,6,1.00458464967131,0.587709689004187,0.636685496421202,162297,5,1865,0.792122087028253,0.793048378631938,0.793048378631938
"GO:0003676","nucleic acid binding",0.3658059826061,5,0.854277991228209,0.754108270343313,0.754108270343313,33764,5,1628,0.907437157437157,0.672642891217082,0.75689141654422
