"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0048562","embryonic organ morphogenesis",0.0397099205431308,6,6.56938018634535,0.000220492290016416,0.0290451751627823,91548,4,297,7.0953342953343,0.00233049107796801,0.0391946226749165
"GO:0007423","sensory organ development",0.0872612438916128,8,3.98603173006056,0.000495846696477509,0.0290451751627823,62774,6,606,5.21612446958982,0.000884911383358666,0.0286449073945271
"GO:0090596","sensory organ morphogenesis",0.0469168603800134,6,5.56025196708435,0.000538608852722167,0.0290451751627823,69937,4,280,7.52612244897959,0.00188110997896063,0.0391946226749165
"GO:0003018","vascular process in circulatory system",0.0318107668118306,5,6.8338907274306,0.00067805798957532,0.0290451751627823,257303,3,264,5.98668831168831,0.0135480456317133,0.119351830565093
"GO:0045664","regulation of neuron differentiation",0.0342462594355454,5,6.34788464290461,0.000944904977639549,0.0290451751627823,262399,3,184,8.58959627329193,0.00505981390954613,0.0668618266618596
"GO:0060255","regulation of macromolecule metabolic process",0.444070367695618,18,1.76235288950557,0.00100551101941204,0.0290451751627823,169448,16,5643,1.49375458849143,0.0425987238332857,0.197712801398456
"GO:0065007","biological regulation",0.743614482858698,23,1.34478284521258,0.00109900662778095,0.0290451751627823,146165,27,11479,1.2391646858238,0.0466242203938565,0.200592576113104
"GO:0048568","embryonic organ development",0.0580513755289762,6,4.4937706099174,0.00163563892040131,0.0378241500342802,85465,5,450,5.85365079365079,0.00150223400356353,0.0391946226749165
"GO:0009887","animal organ morphogenesis",0.133294014652699,9,2.93564830233106,0.00184780811095153,0.0379827222806704,79343,7,988,3.73259109311741,0.00223073829997555,0.0391946226749165
"GO:0019222","regulation of metabolic process",0.474217525301192,18,1.65031584430608,0.00255794479593874,0.0473219787248667,166540,17,6160,1.45391001855288,0.0449498557036414,0.197993412027944
"GO:0031323","regulation of cellular metabolic process",0.432570712566044,17,1.70869273695861,0.00287775569757887,0.04839861855019,174462,16,5453,1.54580178669671,0.0314352774284528,0.19211589095614
"GO:0001525","angiogenesis",0.0670870723107742,6,3.88852212850993,0.00340037887085254,0.05242250759231,153143,7,530,6.95811320754717,5.20573043666372e-05,0.00963060130782789
