"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0003674","molecular_function",0.948235872388895,2081,1.03567797985509,6.66133814775094e-16,5.31574784190525e-13,129372,2512,7117,1.00460211352276,0.156750534079347,0.875846736995966
"GO:0005488","binding",0.922217235031874,2033,1.04033494697956,2.10198525252281e-12,8.38692115756601e-10,126603,2331,6606,1.00432696336215,0.256000932678288,0.875846736995966
"GO:0005515","protein binding",0.865319686805639,1906,1.03947812690061,1.01914423411564e-06,0.000271092366274761,125078,2081,5910,1.00220373654716,0.409124477039089,0.899700786214274
"GO:0046872","metal ion binding",0.365070431685171,875,1.13109852734022,3.12583929540367e-06,0.000570981405930659,125017,661,1828,1.02919267448921,0.152883236157504,0.875846736995966
"GO:0019789","SUMO transferase activity",0.00687324014744306,35,2.40312061733021,3.57757773139511e-06,0.000570981405930659,192093,13,19,1.94742692225191,0.0031820970249995,0.510912135114794
"GO:0043169","cation binding",0.373288602531101,890,1.12516009212832,5.59894770124636e-06,0.000744660044265766,125799,672,1865,1.02556184546555,0.182464510628993,0.875846736995966
"GO:0004407","histone deacetylase activity",0.00315521815661812,20,2.99136664341025,2.28306355618546e-05,0.002277355897295,262304,3,8,1.06733975546499,0.575454984426751,0.920721620631796
"GO:0033558","protein lysine deacetylase activity",0.00315521815661812,20,2.99136664341025,2.28306355618546e-05,0.002277355897295,262304,3,8,1.06733975546499,0.575454984426751,0.920721620631796
"GO:0036094","small molecule binding",0.481223988946334,1111,1.08952157204371,3.98135547410305e-05,0.00353013518703804,120168,924,2599,1.0118988678206,0.300084093988057,0.875846736995966
"GO:0043167","ion binding",0.470866814546405,1086,1.08843070519351,6.82068842350336e-05,0.00544290936195568,121197,894,2528,1.00654192129293,0.393233599388714,0.881685647338684
"GO:0030955","potassium ion binding",0.00295589459501613,18,2.87377395867679,9.36925332232219e-05,0.00679696741019373,290029,2,5,1.13849573916265,0.574210084981973,0.920721620631796
"GO:0004709","MAP kinase kinase kinase activity",0.000898231161104712,9,4.72850045711149,0.000163830969229117,0.0108947594537363,99271,8,10,2.27699147832531,0.004928995084024,0.655556346175192
"GO:0098772","molecular function regulator activity",0.191443099901506,472,1.16351322502299,0.00017805642697355,0.0109299252865302,117232,338,940,1.02343499956643,0.298080527388827,0.875846736995966
"GO:0003824","catalytic activity",0.392351451599004,912,1.09695450964012,0.000194661415295672,0.0110957006718533,116274,770,2237,0.979706883275864,0.806494797710616,0.968983631507025
"GO:0005126","cytokine receptor binding",0.0142290178059697,51,1.69146998840612,0.000299875188199517,0.015000552735032,135554,36,93,1.10177007015741,0.266415757238465,0.875846736995966
"GO:0019838","growth factor binding",0.0142308969506582,51,1.69124663517297,0.000300762962105905,0.015000552735032,136181,28,68,1.17198090796155,0.178077119388876,0.875846736995966
"GO:0070008","serine-type exopeptidase activity",0.00124372533454816,10,3.79441267465166,0.000412032157693698,0.0182952996273116,36061,4,5,2.27699147832531,0.0547149501030083,0.789911015833991
"GO:0031420","alkali metal ion binding",0.00334930695801642,18,2.53621809473731,0.000412675931443118,0.0182952996273116,290029,2,10,0.569247869581326,0.915522357481104,0.981127504915891
"GO:0008186","ATP-dependent activity, acting on RNA",0.0034251438686596,18,2.48006309734228,0.000532866978798729,0.0223804131095466,58756,12,27,1.26499526573628,0.20625175852721,0.875846736995966
"GO:0003724","RNA helicase activity",0.00287227265637772,16,2.62883520488414,0.0005783371679835,0.0230756530025417,60329,11,25,1.25234531307892,0.232881860560421,0.875846736995966
"GO:0019213","deacetylase activity",0.00500067246534924,23,2.17054337662769,0.000620052758456002,0.0235620048213281,240262,6,14,1.21981686338856,0.363456909495253,0.875846736995966
"GO:0031683","G-protein beta/gamma-subunit complex binding",0.0015945884928159,11,3.25546554104836,0.000761398196943763,0.0276179891436874,77123,7,13,1.53259041810357,0.131517374244953,0.875846736995966
"GO:0004386","helicase activity",0.00815589062196736,32,1.85160194688596,0.000921115258533445,0.0319586946221604,87154,23,52,1.25891355772793,0.10987916497338,0.875846736995966
"GO:0140677","molecular function activator activity",0.0978760564484326,251,1.21022550708916,0.00106687386278104,0.0353452287961417,132274,180,492,1.04130707850243,0.257655569986053,0.875846736995966
"GO:0030957","Tat protein binding",0.00220517629195895,13,2.78207658386506,0.00110730666654579,0.0353452287961417,124527,4,6,1.89749289860442,0.118797925887859,0.875846736995966
"GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds",0.0144447167712858,49,1.60087009768324,0.00122176276562547,0.0373233153350292,182009,21,65,0.919554250862143,0.726152368436765,0.96168157502274
"GO:0070063","RNA polymerase binding",0.00663593101820918,27,1.92013137759603,0.00133710558781319,0.0373233153350292,109359,9,21,1.21981686338856,0.298435307353236,0.875846736995966
"GO:0016787","hydrolase activity",0.185452655083798,448,1.14002401995054,0.00134042708012805,0.0373233153350292,119158,331,947,0.994831282108865,0.563052122793057,0.920721620631796
"GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding",0.0414415831632931,117,1.33235073835902,0.00135636108360382,0.0373233153350292,159160,66,167,1.12486105965172,0.131993150233029,0.875846736995966
"GO:0030234","enzyme regulator activity",0.124282737183629,310,1.17711780158888,0.00146139191796246,0.0378058367533786,109566,214,597,1.02026000075715,0.367680021169986,0.875846736995966
"GO:0032266","phosphatidylinositol-3-phosphate binding",0.005021611506164,22,2.06751473471905,0.00146864779367761,0.0378058367533786,57650,13,28,1.32146826867094,0.145794933767282,0.875846736995966
"GO:0140297","DNA-binding transcription factor binding",0.0613896436041029,164,1.26071749397196,0.00170965347521501,0.0426344835381744,143511,95,247,1.09470744150255,0.147950656494416,0.875846736995966
"GO:0097001","ceramide binding",0.00234101160801364,13,2.62064882726444,0.0018605646670331,0.044571897698866,304594,4,6,1.89749289860442,0.118797925887859,0.875846736995966
"GO:0031005","filamin binding",0.00293777427123413,15,2.40958293804466,0.00194953929193531,0.044571897698866,188975,7,9,2.21374171503849,0.0114056996046089,0.755763289350249
"GO:0000340","RNA 7-methylguanosine cap binding",0.00153432163816317,10,3.07576133700659,0.00195490779380991,0.044571897698866,59748,3,7,1.21981686338856,0.470810404713889,0.900085915383105
"GO:0005172","vascular endothelial growth factor receptor binding",0.00154814677408574,10,3.04829442026377,0.00208405495589048,0.046196551522239,198582,4,7,1.62642248451808,0.201965539849385,0.875846736995966
"GO:0046625","sphingolipid binding",0.0026922774401432,14,2.45401530464908,0.00230151893935115,0.0496381652324925,287953,5,9,1.58124408217035,0.173858341789673,0.875846736995966
"GO:0051082","unfolded protein binding",0.00623768656886703,25,1.89140922724018,0.00238734716102451,0.0501342903815147,142992,17,36,1.3440574698448,0.0905601112338884,0.875846736995966
"GO:0005112","Notch binding",0.00492107726532906,21,2.01385479832466,0.00251207405737808,0.0502234844345763,75658,10,21,1.35535207043173,0.165289535126185,0.875846736995966
"GO:0035925","mRNA 3'-UTR AU-rich region binding",0.00301965128980465,15,2.34424775592228,0.00251746789145746,0.0502234844345763,81959,7,15,1.32824502902309,0.248519544045585,0.875846736995966
"GO:0140097","catalytic activity, acting on DNA",0.015800922337903,51,1.52319947333456,0.0026774649469139,0.0518288908330579,96334,36,83,1.23451345210408,0.07286703966854,0.875846736995966
"GO:0042393","histone binding",0.0216494917316291,66,1.43868353720203,0.00274171987659488,0.0518288908330579,237843,31,85,1.03804023276595,0.437992392270153,0.900085915383105
"GO:0048156","tau protein binding",0.00431263706011572,19,2.07912084974517,0.00279278484438783,0.0518288908330579,73324,11,21,1.4908872774749,0.0788465438251155,0.875846736995966
"GO:0005125","cytokine activity",0.0121207516900893,41,1.59633246392795,0.00304077945681103,0.0539657805569859,148563,33,82,1.14543778635267,0.194601674790037,0.875846736995966
"GO:0008201","heparin binding",0.0186138677119722,58,1.47048437369765,0.00304762698002037,0.0539657805569859,160589,37,90,1.17012062080606,0.139567077438503,0.875846736995966
"GO:0060090","molecular adaptor activity",0.127739423838132,314,1.16004206677881,0.00311080940554054,0.0539657805569859,158225,209,537,1.10775423410146,0.0321805678810557,0.789911015833991
"GO:0016811","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides",0.00743027232296377,28,1.77837090090327,0.00320451972722302,0.0542305514894857,201555,10,30,0.948746449302211,0.648524705995119,0.938937682524498
"GO:0016740","transferase activity",0.182841717763743,437,1.12791192289658,0.00326198805951794,0.0542305514894857,128890,334,934,1.01782006659616,0.347018323052241,0.875846736995966
