"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GSE38304_MYC_NEG_VS_POS_GC_BCELL_DN",0.013217635289693,109,1.64503457004841,7.79356540414611e-07,0.00379702506489998,102988,71,95,1.09462044051979,0.103969680692123,0.639643162333533
"GSE17721_0.5H_VS_12H_CPG_BMDC_UP",0.016113397254677,124,1.53510068809766,3.9984010909988e-06,0.00974010505767309,116422,69,88,1.14840540774764,0.0234989048855598,0.543876921665471
"GSE17721_CTRL_VS_LPS_12H_BMDC_UP",0.0171168605183379,127,1.48006880301361,1.60718355785017e-05,0.0146575466303017,102467,67,83,1.18229409535186,0.00789433951709939,0.454721556210461
"GSE8621_UNSTIM_VS_LPS_STIM_MACROPHAGE_DN",0.013255218183463,103,1.55007474116924,1.71072445878107e-05,0.0146575466303017,91879,66,84,1.15078305869536,0.0245274344939079,0.543876921665471
"GSE360_L_DONOVANI_VS_M_TUBERCULOSIS_DC_UP",0.0198205470512327,143,1.43920512188163,1.87551720038925e-05,0.0146575466303017,135002,77,96,1.17475770575151,0.00620602361182265,0.454721556210461
"GSE37301_MULTIPOTENT_PROGENITOR_VS_RAG2_KO_NK_CELL_DN",0.0128129480585617,100,1.5568731534865,1.90354893377931e-05,0.0146575466303017,134379,53,67,1.15859027076249,0.0340390847416581,0.557142579062359
"GSE19941_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_NFKBP50_KO_MACROPHAGE_UP",0.0200029583106382,143,1.42608070224588,2.86164435112646e-05,0.0146575466303017,174627,73,93,1.14965814856955,0.0192508063878739,0.543876921665471
"GSE37416_CTRL_VS_6H_F_TULARENSIS_LVS_NEUTROPHIL_DN",0.0142839156757981,108,1.50826888973069,3.21079453661222e-05,0.0146575466303017,162436,59,76,1.13701771110331,0.0476687014649571,0.58205993367737
"GSE3337_CTRL_VS_4H_IFNG_IN_CD8POS_DC_DN",0.0125271838412885,97,1.54461617623387,3.3500372910833e-05,0.0146575466303017,133563,61,83,1.07641701218602,0.182514732406105,0.707971159460624
"GSE3203_INFLUENZA_INF_VS_IFNB_TREATED_LN_BCELL_DN",0.0144641793412739,109,1.50326309379968,3.37066531082009e-05,0.0146575466303017,146987,69,87,1.16160546990566,0.0150498672223849,0.518532894748139
