"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0005488","binding",0.922217235031874,4774,1.03367701683697,0,0,136675,4552,6606,1.00942789914538,0.00161312085824461,0.522514987616379
"GO:0003674","molecular_function",0.948235872388895,4878,1.0272143903314,0,0,136896,4881,7117,1.0046700635247,0.0192882233875419,0.534482692801529
"GO:0005515","protein binding",0.865319686805639,4502,1.03887808754289,2.54463117244086e-13,9.72049107872408e-11,134464,4077,5910,1.01056639059578,0.0072951481691641,0.522514987616379
"GO:0003824","catalytic activity",0.392351451599004,2183,1.11100023750148,1.90102822372751e-10,5.44644586097931e-08,132739,1533,2237,1.00389384278757,0.384920378266115,0.990181786811762
"GO:0030554","adenyl nucleotide binding",0.116660255203956,721,1.23409337919414,2.94900726061087e-09,5.15677613563018e-07,127959,472,660,1.04763423710792,0.0325423722451952,0.534482692801529
"GO:0097367","carbohydrate derivative binding",0.17843042560748,1055,1.1806447167287,3.04967739950257e-09,5.15677613563018e-07,137942,681,942,1.0590289417812,0.00236415616276986,0.522514987616379
"GO:0032559","adenyl ribonucleotide binding",0.111977695089446,695,1.23933570128151,3.14986325911093e-09,5.15677613563018e-07,128902,450,623,1.05812283517783,0.0141421295576687,0.534482692801529
"GO:0140096","catalytic activity, acting on a protein",0.192415020379324,1125,1.16747941318208,7.68293928476993e-09,1.10058105254329e-06,143223,701,989,1.03832508470367,0.031037984572341,0.534482692801529
"GO:1901265","nucleoside phosphate binding",0.154761524458813,923,1.19089749513378,9.12609410264054e-09,1.16205598240289e-06,126061,602,851,1.03628342301111,0.053333769327218,0.623678567846855
"GO:1901363","heterocyclic compound binding",0.16328196915035,967,1.18256201415173,1.3194375925174e-08,1.51207548102494e-06,124214,637,908,1.0276972718139,0.10244148180604,0.667033739487053
"GO:0005524","ATP binding",0.109362999480014,674,1.23062338429495,1.62227167255224e-08,1.55192282963457e-06,130326,435,605,1.05328403653763,0.0243359225296749,0.534482692801529
"GO:0036094","small molecule binding",0.481223988946334,2606,1.08134137967633,1.62505008338698e-08,1.55192282963457e-06,138283,1822,2599,1.02696043687518,0.00699255130675236,0.522514987616379
"GO:0000166","nucleotide binding",0.153876313085907,915,1.18736707468177,1.8273077273534e-08,1.5718749479175e-06,126846,600,847,1.03771826259865,0.0470005287866131,0.573888180499802
"GO:0043167","ion binding",0.470866814546405,2553,1.08265082460527,1.92026607948037e-08,1.5718749479175e-06,139113,1776,2528,1.02914723517655,0.00459943596204682,0.522514987616379
"GO:0017076","purine nucleotide binding",0.144959368865096,866,1.19290890983828,2.27448027079191e-08,1.70215923593157e-06,127424,567,791,1.05006986492781,0.0155680853036024,0.534482692801529
"GO:0032553","ribonucleotide binding",0.140440697012348,841,1.19574534644604,2.60729057233178e-08,1.70215923593157e-06,128129,547,758,1.05713326852752,0.00798839301288412,0.534482692801529
"GO:0016740","transferase activity",0.182841717763743,1068,1.16635737484184,2.61079984298362e-08,1.70215923593157e-06,139504,672,934,1.05398399639355,0.00516329476036637,0.522514987616379
"GO:0032555","purine ribonucleotide binding",0.140276808750586,840,1.19571888530199,2.67354853811241e-08,1.70215923593157e-06,128177,545,754,1.05885569361068,0.00662828542488192,0.522514987616379
