"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"hsa04919",0.0102212048592534,84,1.64101621778103,1.44975220457422e-05,0.0030886738780378,180058,40,61,0.960598216853609,0.726268157457806,0.917959752920647
"hsa04510",0.020493280849717,147,1.4323248365659,1.81686698708106e-05,0.0030886738780378,139662,82,105,1.14402673350042,0.0167888712344608,0.451852706974661
"hsa04151",0.0317751286610101,212,1.33224538041135,2.7479696322219e-05,0.00311436558318482,165787,128,161,1.1646507573281,0.000921765894976834,0.19231814820476
"hsa05014",0.0249388002842341,170,1.36115957921274,5.88926984066429e-05,0.00417027165689898,141412,100,135,1.08512020792723,0.0836140255465363,0.557426836976909
"hsa04744",0.00155016014339485,21,2.70506937795535,6.13275243661615e-05,0.00417027165689898,50596,12,13,1.35222672064777,0.0490976408473072,0.461027696832391
"hsa04810",0.0219854559570095,152,1.38052345873699,7.48982988367786e-05,0.00424423693408412,126329,87,107,1.19109690113133,0.00169692483710082,0.19231814820476
"hsa05417",0.0143060627381984,105,1.46556421971639,0.000117297826605745,0.00510713988532419,128546,66,84,1.15100250626566,0.0243839389101748,0.451852706974661
"hsa04014",0.0218779420359029,150,1.36905366273314,0.000120167997301746,0.00510713988532419,162741,87,114,1.1179593721145,0.0367547821641059,0.451852706974661
"hsa05016",0.0207885750150533,143,1.37355797972516,0.000148462610695788,0.0056085875151742,137176,83,109,1.11548366328666,0.0442064388538925,0.451852706974661
"hsa04670",0.0114752654895883,86,1.49648162626322,0.000242658296347731,0.00825038207582285,154936,43,54,1.16650422352177,0.0451852706974661,0.451852706974661
"hsa04015",0.0213631906158736,144,1.34595969896269,0.000326481258684064,0.0100628125981277,171119,84,114,1.07940904893813,0.123840205383618,0.616582946952119
"hsa05022",0.0369234482090275,232,1.25464659562654,0.000370012073293013,0.0100628125981277,137977,141,191,1.08142739046569,0.0538607986588766,0.464662634569297
"hsa04310",0.0197295427584609,134,1.35619911854915,0.000384754599340176,0.0100628125981277,132693,70,95,1.07940904893813,0.150926185996864,0.630313864958287
"hsa04625",0.00883667789768809,68,1.53658138472331,0.000518160470588946,0.0119773289708397,142523,35,49,1.04636591478697,0.379724469964744,0.768489998738172
"hsa04933",0.0093267319875257,71,1.52007330251277,0.000528411572242926,0.0119773289708397,181650,36,45,1.1719298245614,0.0582126254789151,0.471245063400742
"hsa05161",0.0116553949304435,85,1.45622208014134,0.000587468397307167,0.0124837034427773,148312,45,67,0.983896307934014,0.632986177795987,0.878429797757696
"hsa04961",0.00213229232296913,23,2.15385653632772,0.000700338536833045,0.013356993803341,145256,16,22,1.06539074960128,0.423475630906505,0.769955692557282
"hsa04512",0.00671445242126451,54,1.60590126004693,0.000707134966059231,0.013356993803341,139770,34,43,1.15830273357813,0.0831670069994586,0.557426836976909
"hsa03013",0.00552522228268296,46,1.6624314904335,0.000852210941549969,0.0152500905329994,55271,29,46,0.923531655225019,0.822477512840929,0.963282489870017
"hsa05205",0.0211452098320071,139,1.31261837904772,0.00105467396968772,0.0179294574846913,160299,75,101,1.08780614903596,0.11475880552663,0.583788158971679
"hsa04520",0.0114719098740731,81,1.40988916259748,0.00183889605656984,0.0285520113027263,136206,44,53,1.21615359152598,0.0119330667999897,0.451852706974661
"hsa05131",0.0206010632200648,134,1.29882560975503,0.00184748308429405,0.0285520113027263,133297,82,106,1.13323402846739,0.0249023060192313,0.451852706974661
"hsa03082",0.00770086915810828,58,1.50391720866574,0.00200570212277273,0.0296495096409882,111095,31,37,1.22735893788525,0.0268159512864086,0.451852706974661
"hsa04662",0.00595165390235266,47,1.57686992213194,0.00210761268484305,0.0298578463686099,159805,24,30,1.1719298245614,0.11504060779736,0.583788158971679
"hsa04664",0.00550213564793848,44,1.59682404327939,0.00227794619817667,0.0308917722725991,156556,26,30,1.26959064327485,0.0188911018490253,0.451852706974661
"hsa05214",0.00694947973194806,53,1.52285746571782,0.0023623119973164,0.0308917722725991,162420,28,35,1.1719298245614,0.091111193130212,0.565929867156407
"hsa03250",0.00382473056420782,33,1.7228551811399,0.00246672315868235,0.031062439776,95971,21,27,1.13937621832359,0.197835497617791,0.697629347727329
"hsa04360",0.024882425943579,157,1.25991896154647,0.00257286130383427,0.0312418872608447,194658,82,105,1.14402673350042,0.0167888712344608,0.451852706974661
"hsa05225",0.0177298643606519,116,1.30643635089112,0.00297246029763898,0.0348495345240432,147679,62,81,1.1212908815248,0.0654543044148095,0.505783261387164
"hsa04530",0.0177504007276048,116,1.30492486634977,0.00307866075550589,0.0348914885624001,105465,68,87,1.14498890905424,0.0272844603685838,0.451852706974661
"hsa05206",0.0211421226657332,135,1.27503134078755,0.00331736796644777,0.0363840357610401,174285,62,84,1.0812447786132,0.163579093341222,0.630313864958287
"hsa04660",0.0115986179159265,80,1.3772710688774,0.0034989117176043,0.0371759369995457,176521,38,50,1.11333333333333,0.151909841377907,0.630313864958287
"hsa03083",0.00893721213852303,64,1.42992607958469,0.00378814103281355,0.0390293318532305,171988,28,36,1.13937621832359,0.146166328877179,0.630313864958287
"hsa04064",0.00665029305261417,50,1.50129106794486,0.00399826476767262,0.0399826476767262,189487,28,37,1.108582266477,0.216155332207093,0.697629347727329
"hsa05200",0.0525761865657799,306,1.16216561932041,0.00442573295713289,0.0429928344407195,156476,176,236,1.09247695509961,0.0189947879487122,0.451852706974661
"hsa04010",0.0274841017648122,169,1.22783733951172,0.00477544357264059,0.0451014115193834,153452,98,140,1.02543859649123,0.365335516142199,0.76517147506127
"hsa04750",0.00972766092928,68,1.3958416991605,0.00497593040120936,0.0456439637852214,129094,41,54,1.11224821312541,0.142191158959041,0.630313864958287
"hsa05132",0.0157712586967487,103,1.30408695001605,0.00510626051808816,0.0456439637852214,106335,71,90,1.1556530214425,0.0169849368184083,0.451852706974661
"hsa04350",0.0114535211010499,78,1.35985080350328,0.00523974304775632,0.0456439637852214,135459,40,52,1.12685560053981,0.113841831397958,0.583788158971679
"hsa04217",0.00741805788248849,54,1.45358094728382,0.00536987809237899,0.0456439637852214,101648,35,49,1.04636591478697,0.379724469964744,0.768489998738172
"hsa04714",0.0176873151559193,113,1.27571073193813,0.00658981415552296,0.054647239338483,135436,57,78,1.07051282051282,0.214740503584269,0.697629347727329
"hsa04620",0.00654626897164344,48,1.46414157106273,0.00728305814762809,0.0578172203297859,141883,33,44,1.09868421052632,0.213973111876603,0.697629347727329
"hsa03040",0.005565892342727,42,1.50678111491096,0.00731217786523763,0.0578172203297859,120604,29,39,1.08929374718848,0.262965049841739,0.73891005740654
"hsa04137",0.00976698874311797,67,1.36977676549777,0.00779864556078391,0.0602622611515121,141353,34,46,1.08276125095347,0.256137899656349,0.738024456636939
"hsa05171",0.0157523330252431,101,1.28030124788971,0.00886867009157821,0.0670077295808132,140502,66,91,1.06246385193754,0.223638091627673,0.697629347727329
"hsa04380",0.0100124855742089,68,1.35613426453863,0.00908693203207811,0.0671642802370991,145297,41,58,1.03554143980641,0.404987252256846,0.769955692557282
"hsa04668",0.00870339284942494,60,1.37657013514197,0.0102480448783189,0.0728952676552035,164430,34,47,1.05972377752893,0.333948645287924,0.756950262652628
"hsa04611",0.0105917990367504,71,1.33851824838619,0.0102910966101464,0.0728952676552035,170465,45,64,1.03001644736842,0.419575847566655,0.769955692557282
"hsa04912",0.00740517231891018,52,1.40218027809483,0.0116280684129844,0.0806845563349935,99822,37,47,1.15322881672266,0.0792055930548474,0.557426836976909
"hsa05133",0.00460283068986891,35,1.51837387952518,0.011984265987202,0.0814930087129738,126845,23,27,1.24788823911631,0.039872501372104,0.451852706974661
"hsa04613",0.0117583452144493,77,1.3076159170874,0.0129436756182375,0.085152872419874,146881,44,66,0.976608187134503,0.664773340984131,0.884413302893132
"hsa05110",0.00544951959666038,40,1.46567423157431,0.0130233804877454,0.085152872419874,125556,19,23,1.21014492753623,0.100716120824612,0.566730082953086
"hsa05226",0.0165653315522621,104,1.25362858554458,0.0136415444454834,0.087256651326569,197910,56,72,1.13937621832359,0.0499106642277385,0.461027696832391
"hsa04024",0.0243457959103906,147,1.20567161787643,0.0139316849783699,0.087256651326569,155413,73,107,0.999426135432038,0.549945621024174,0.843597582029133
"hsa04062",0.0165885524116272,104,1.25187374085659,0.0141150465381215,0.087256651326569,125098,57,76,1.09868421052632,0.125130068646165,0.616582946952119
"hsa04728",0.0148959799457679,94,1.26006936901462,0.0161848298663534,0.0982650384742884,191138,45,60,1.09868421052632,0.162054421167912,0.630313864958287
"hsa04721",0.00556736881355368,40,1.43464906219965,0.0176328875877498,0.100779883463604,140295,24,34,1.03405572755418,0.466309012315897,0.816859221803527
"hsa04922",0.00793911785968641,54,1.35817956029938,0.0177365008348739,0.100779883463604,168963,27,43,0.919828641370869,0.826427831067031,0.963282489870017
"hsa04141",0.0117906933480157,76,1.28709299800374,0.0185182359616076,0.100779883463604,135897,45,63,1.04636591478697,0.347601798729847,0.76517147506127
"hsa04925",0.0100444310339135,66,1.31206174780061,0.0187607371896249,0.100779883463604,151587,35,53,0.967394902350215,0.69507666065049,0.898720172554752
"hsa00010",0.00443907665272789,33,1.48442060917336,0.0190256290432272,0.100779883463604,128884,19,25,1.11333333333333,0.274572654170367,0.744217342885183
"hsa00310",0.00477624889969367,35,1.46324407252353,0.0194619292050759,0.100779883463604,132298,21,31,0.992359932088285,0.609206747079595,0.852388041181326
"hsa04390",0.0215270788776352,130,1.20585178329247,0.0195516161200415,0.100779883463604,143174,69,89,1.13571850975754,0.0351351548617764,0.451852706974661
"hsa00052",0.00207095167135155,18,1.73555435937926,0.0195559101399438,0.100779883463604,200774,9,12,1.09868421052632,0.439690204008891,0.782694603994884
"hsa05162",0.00798676760000204,54,1.35007654458746,0.0195588934199347,0.100779883463604,156685,36,46,1.14645308924485,0.0935716937522442,0.566730082953086
"hsa05235",0.00713229366521534,49,1.37183709858193,0.0196367086459058,0.100779883463604,164627,26,35,1.08822055137845,0.284553689926688,0.744217342885183
"hsa05223",0.00662760909173152,46,1.38591509958492,0.0198831976178604,0.100779883463604,167213,26,31,1.22863610639502,0.0411810660781251,0.451852706974661
"hsa04918",0.0068067989602424,47,1.37876615430771,0.0202968818045006,0.100779883463604,141251,24,32,1.09868421052632,0.269353834187993,0.739587733611666
"hsa04392",0.0023874533267438,20,1.67274902462239,0.0204523881146725,0.100779883463604,102761,10,13,1.12685560053981,0.367792440520999,0.76517147506127
"hsa05010",0.0278171130485391,164,1.17724667461801,0.02080657564802,0.101060510290383,150256,106,144,1.07833820662768,0.095128425721679,0.566730082953086
"hsa04114",0.0115387537351356,74,1.28058524920953,0.0219025667886255,0.10488553110046,94956,43,57,1.10510926438904,0.152277481919022,0.630313864958287
"hsa04152",0.0131443486468413,83,1.26088274690566,0.0222219133513812,0.104936813048189,209371,40,54,1.08512020792723,0.221755658608665,0.697629347727329
"hsa04973",0.00305723418357472,24,1.56753849414542,0.0237601622191239,0.11002495068923,185507,17,21,1.1858813700919,0.154355115008203,0.630313864958287
"hsa00051",0.00370365995641995,28,1.5096024956091,0.0239466069147147,0.11002495068923,177399,17,21,1.1858813700919,0.154355115008203,0.630313864958287
"hsa04935",0.0123165854115555,78,1.26456151212103,0.0244655557404617,0.11091051935676,170215,43,59,1.0676479333928,0.269731996964255,0.739587733611666
"hsa05160",0.0109097771629694,70,1.28120268397336,0.0249068046563754,0.111310052688001,126893,45,60,1.09868421052632,0.162054421167912,0.630313864958287
"hsa05211",0.00537851477235907,38,1.41077225703928,0.0252084531087531,0.111310052688001,165217,21,29,1.06079854809437,0.398354883028717,0.769549205850931
"hsa05415",0.0137727883205252,86,1.2468443979546,0.0255440301440446,0.111345772422759,149230,52,77,0.989291410344042,0.608345982857623,0.852388041181326
"hsa05221",0.0040836498573595,30,1.46692677989211,0.0277934074412833,0.119617196582738,141256,19,27,1.03086419753086,0.498835523215465,0.816859221803527
"hsa04930",0.00644855344784125,44,1.36246718943673,0.0283207226712294,0.120363071352725,171577,23,27,1.24788823911631,0.039872501372104,0.451852706974661
"hsa04630",0.0126055710197232,79,1.25141180504276,0.0289949873331349,0.121501392944734,157665,47,66,1.04319510898458,0.355722304070639,0.76517147506127
"hsa04723",0.0133310550941062,83,1.24322360916821,0.029392812705291,0.121501392944734,146074,41,60,1.00102339181287,0.557211397212622,0.845767299340587
"hsa04066",0.0115500286032667,73,1.26204685866936,0.0296606341600381,0.121501392944734,183169,37,56,0.967888471177945,0.695089917976782,0.898720172554752
"hsa04722",0.0119234414977964,75,1.25601642289484,0.0304509857840037,0.12325399007811,131815,39,49,1.16595059076262,0.056032847109827,0.464662634569297
"hsa04210",0.0130101240262339,81,1.24319502051917,0.0310592391164292,0.124236956465717,142847,42,59,1.04281891168599,0.371333215838558,0.76517147506127
"hsa04726",0.00965786412656415,62,1.28187677223981,0.0326151645528356,0.128340517725676,108695,30,47,0.93505039193729,0.793455575435111,0.959007014974124
"hsa04929",0.00414606430594194,30,1.44484380690335,0.0328400736533347,0.128340517725676,193171,19,28,0.994047619047619,0.607300406788166,0.852388041181326
"hsa04915",0.0105675043804205,67,1.26601265233343,0.0339124808557275,0.131025494215311,151125,38,52,1.07051282051282,0.278799953397825,0.744217342885183
"hsa05418",0.0160327282576919,97,1.20809192754651,0.0371039837431452,0.140540355985302,136904,46,62,1.08687040181098,0.193224041514297,0.697629347727329
"hsa04920",0.0058907159245969,40,1.35589978357867,0.0372018589372859,0.140540355985302,118070,22,30,1.07426900584795,0.352068409549406,0.76517147506127
"hsa04979",0.00387076960907616,28,1.44442962970185,0.0381786124544552,0.140911498344971,72422,15,19,1.15650969529086,0.229719020459355,0.697629347727329
"hsa05224",0.0146037729467056,89,1.21691603670247,0.0382975672686827,0.140911498344971,149417,50,67,1.09321811992668,0.160559413156726,0.630313864958287
"hsa05212",0.00659794545057729,44,1.33161793437441,0.0385434392531832,0.140911498344971,152656,26,33,1.15417331206805,0.131026015810495,0.630313864958287
"hsa04071",0.0123152431653494,76,1.23227114934597,0.0416718163216696,0.149332995901035,180157,45,57,1.15650969529086,0.0515199687113833,0.461027696832391
"hsa05120",0.00560105919332614,38,1.35471866356302,0.0417253959135244,0.149332995901035,99815,22,30,1.07426900584795,0.352068409549406,0.76517147506127
"hsa04012",0.00719027870131774,47,1.30523230258643,0.0440739487812492,0.156095235266924,140962,28,39,1.05173189383716,0.388714776390196,0.769549205850931
"hsa05215",0.0100366460059182,63,1.25339403193606,0.0451712272811338,0.158332136861706,205904,32,39,1.20197930724247,0.0414823948878633,0.451852706974661
"hsa04657",0.00445410981023592,31,1.38974926761348,0.0465126244092927,0.16137032958326,71689,26,35,1.08822055137845,0.284553689926688,0.744217342885183
"hsa04910",0.0113429200136694,70,1.23227844028725,0.0486792846111849,0.167181381492958,144532,42,60,1.02543859649123,0.44662447720822,0.788984753741273
"hsa03440",0.00169149866889444,14,1.65269249568885,0.0501261354777482,0.169976685089995,64642,11,14,1.15100250626566,0.303990089573438,0.748961090253399
"hsa01523",0.00123607453117353,11,1.77698477527714,0.0508753013216316,0.169976685089995,55460,7,8,1.28179824561403,0.222384847001198,0.697629347727329
"hsa00520",0.00138774835245989,12,1.72665752399411,0.0509930055269985,0.169976685089995,65311,10,14,1.04636591478697,0.527298317889901,0.843597582029133
"hsa04330",0.0108444097727336,67,1.23368579107362,0.0517165670451334,0.170714881508207,127695,27,34,1.16331269349845,0.109556676218229,0.583788158971679
"hsa04928",0.0135824578085039,82,1.20551097215125,0.0531395212189311,0.171943931334275,158641,43,55,1.14529505582137,0.0715793073032891,0.52906444528518
"hsa05218",0.00694679523953592,45,1.29349184672315,0.0536633521203721,0.171943931334275,188277,26,32,1.19024122807018,0.0778032063659174,0.557426836976909
"hsa04270",0.0112380905849751,69,1.22600500212965,0.054207084089994,0.171943931334275,166185,46,67,1.00576067033255,0.531122236895052,0.843597582029133
"hsa04972",0.00677740376832938,44,1.29635813245615,0.0542928878514906,0.171943931334275,121697,26,39,0.976608187134503,0.657022249759011,0.884413302893132
"hsa05034",0.0157995800916969,94,1.18800423442787,0.0546174840708873,0.171943931334275,140220,46,68,0.990970072239422,0.600667953079419,0.852388041181326
"hsa03460",0.004872890626531,33,1.35226857609579,0.0553383657247806,0.172615085747022,155693,19,23,1.21014492753623,0.100716120824612,0.566730082953086
"hsa04936",0.00839024680954788,53,1.26135348969812,0.0562004005414156,0.173710328946194,95581,40,55,1.06539074960128,0.289178957734933,0.744854891135433
"hsa04022",0.0210579638286123,122,1.15685555177547,0.0597006474089072,0.182866847919175,171684,61,84,1.06380534670008,0.230288668320406,0.697629347727329
"hsa04932",0.0122717543882726,74,1.20409497778059,0.0642792142579313,0.195133328997291,142749,40,54,1.08512020792723,0.221755658608665,0.697629347727329
"hsa00380",0.00241241910617678,18,1.48989418632741,0.0659035014705412,0.198293721238797,176028,11,16,1.00712719298246,0.601583743082145,0.852388041181326
"hsa05134",0.00275227584555471,20,1.45102106320207,0.0677251665919605,0.200129624781584,82208,16,19,1.23361034164358,0.101678044294524,0.566730082953086
"hsa05017",0.0114030526437016,69,1.20826902252141,0.0679404274443827,0.200129624781584,211931,42,57,1.07940904893813,0.232276194802721,0.697629347727329
"hsa04150",0.0159999774502637,94,1.17312465654811,0.0687608061466418,0.200129624781584,152598,53,71,1.09352606869286,0.150443456806705,0.630313864958287
"hsa05135",0.0156320677651789,92,1.17518726919003,0.0688681355866038,0.200129624781584,145539,50,64,1.14446271929825,0.0551844703057728,0.464662634569297
"hsa04110",0.0119710912381121,72,1.20097629523866,0.0698437042975335,0.201244571704758,122984,39,63,0.906850459482038,0.888411987406763,0.974387341026772
"hsa04977",0.00195162598363158,15,1.53472422116361,0.0720107905911728,0.205745115974779,109319,5,7,1.04636591478697,0.607415179867949,0.852388041181326
"hsa04981",0.00131942802057073,11,1.66472561500785,0.07288830733158,0.20651687077281,53413,7,9,1.13937621832359,0.417240679302897,0.769955692557282
"hsa05217",0.00965638765573747,59,1.22003699310316,0.0747205712179444,0.208827097470189,194365,29,39,1.08929374718848,0.262965049841739,0.73891005740654
