"id","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GSE21033_CTRL_VS_POLYIC_STIM_DC_3H_DN",0.011777942009058,57,2.28820574844081,1.99902178144029e-08,9.7392341191771e-05,108846,34,71,1.36551752982632,0.0171835319787966,0.793482031628897
"GSE12392_WT_VS_IFNAR_KO_CD8A_NEG_SPLEEN_DC_DN",0.0132240780714821,59,2.10948399855779,1.70860072090662e-07,0.000416215135612852,168266,31,60,1.4732863152685,0.00591239758395168,0.718769788848058
"GSE40666_STAT1_KO_VS_STAT4_KO_CD8_TCELL_DN",0.0178200633057001,69,1.83075182817908,2.41326025496313e-06,0.00391913465406013,97112,42,88,1.36095363433894,0.00934883499753603,0.718769788848058
"GSE11961_MARGINAL_ZONE_BCELL_VS_PLASMA_CELL_DAY7_UP",0.0222753811375214,81,1.71929145023316,3.4725971023164e-06,0.00422962327062137,138337,34,83,1.16809330864661,0.154858529000747,0.908348135007318
"GSE41867_NAIVE_VS_DAY8_LCMV_CLONE13_EFFECTOR_CD8_TCELL_DN",0.0144385424387379,58,1.89930306089102,5.21418157894971e-06,0.00508069853052859,127903,32,69,1.32244493937144,0.033834291185275,0.849021338887833
"GSE45837_WT_VS_GFI1_KO_PDC_DN",0.0124729570945631,51,1.93326049263938,1.18688101549136e-05,0.00963747384578983,123694,28,72,1.10892518353543,0.28558027665086,0.930610887073696
"GSE20500_RETINOIC_ACID_VS_RARA_ANTAGONIST_TREATED_CD4_TCELL_DN",0.0196067272306051,71,1.71215417840454,1.54578042557141e-05,0.010758631761977,133635,43,92,1.33277654046028,0.0133291639895562,0.718769788848058
"GSE22196_HEALTHY_VS_OBESE_MOUSE_SKIN_GAMMADELTA_TCELL_DN",0.0219445174477242,77,1.65903030094282,1.9712888993606e-05,0.0120051493971061,122201,42,92,1.30178173719376,0.0225434724220003,0.825802989774326
"GSE19923_HEB_KO_VS_HEB_AND_E2A_KO_DP_THYMOCYTE_DN",0.0227501336206098,78,1.62106444028547,3.70770457625014e-05,0.0171495444620476,136617,39,88,1.26374266045758,0.0446454791483095,0.871496459135968
"GSE22601_DOUBLE_NEGATIVE_VS_CD8_SINGLE_POSITIVE_THYMOCYTE_UP",0.0177342937731319,64,1.70630123017184,4.36252287261407e-05,0.0171495444620476,170464,33,79,1.19114205971075,0.128439989559733,0.908348135007318
"GSE27786_NKTCELL_VS_ERYTHROBLAST_UP",0.0188207078523282,67,1.68317192138537,4.36466721114304e-05,0.0171495444620476,93318,43,85,1.44253460849819,0.00223890643276059,0.638739283071796
"GSE7460_FOXP3_MUT_VS_WT_ACT_WITH_TGFB_TCONV_UP",0.0185136019203785,66,1.68555389129957,4.75963185304629e-05,0.0171495444620476,98681,40,88,1.29614631841803,0.0276136372955681,0.834179770632272
"GSE2770_TGFB_AND_IL4_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_48H_DN",0.0200284609885536,70,1.6524947539835,5.16823597416227e-05,0.0171495444620476,85348,33,87,1.08161175536953,0.323436280076385,0.937357793194423
"GSE40666_WT_VS_STAT1_KO_CD8_TCELL_UP",0.0230035497043166,78,1.60320616157745,5.27007390431766e-05,0.0171495444620476,80348,42,84,1.42576095025984,0.00331401784226892,0.638739283071796
"GSE360_L_DONOVANI_VS_T_GONDII_DC_DN",0.0153825441954697,57,1.75200891786589,5.62537969002186e-05,0.0171495444620476,114984,36,75,1.36873051224944,0.0138678900147203,0.718769788848058
"GSE40443_INDUCED_VS_TOTAL_TREG_DN",0.0211932622461846,73,1.62860092180824,5.63203430609116e-05,0.0171495444620476,127584,38,85,1.27479802611468,0.0409944189813389,0.871496459135968
"GSE21927_SPLENIC_C26GM_TUMOROUS_VS_4T1_TUMOR_MONOCYTES_DN",0.0183365596457973,65,1.67604289538242,6.34005265610638e-05,0.0181698450238531,134879,35,82,1.21711300631937,0.0919372312547053,0.908348135007318
"GSE23568_CTRL_TRANSDUCED_VS_WT_CD8_TCELL_DN",0.0188322511697005,66,1.65703364285373,7.71660044887046e-05,0.0201662238399267,146823,40,83,1.37422742193719,0.00905650994228613,0.718769788848058
"GSE17721_0.5H_VS_12H_LPS_BMDC_UP",0.0170406209338329,61,1.69252092849204,8.07825081633462e-05,0.0201662238399267,199233,27,80,0.96238864142539,0.639045775670131,0.972676863120502
"GSE12198_LOW_IL2_STIM_NK_CELL_VS_HIGH_IL2_STIM_NK_CELL_UP",0.0218481441701281,74,1.60142570447097,8.36156264789611e-05,0.0201662238399267,122482,41,90,1.29902664357007,0.0249501845447974,0.832671573744597
"GSE13485_DAY1_VS_DAY3_YF17D_VACCINE_PBMC_UP",0.0114251997061018,45,1.86225153975364,8.69233786203738e-05,0.0201662238399267,179703,27,56,1.37484091632199,0.0286904907779471,0.834179770632272
"GSE37301_COMMON_LYMPHOID_PROGENITOR_VS_CD4_TCELL_UP",0.0153417399108051,56,1.72584997041375,9.51867359215708e-05,0.0207213726355099,127564,34,83,1.16809330864661,0.154858529000747,0.908348135007318
"GSE3337_CTRL_VS_4H_IFNG_IN_CD8POS_DC_DN",0.0125271838412885,48,1.81166300012234,9.78225719656667e-05,0.0207213726355099,100313,37,83,1.2711603652919,0.0452975140053156,0.871496459135968
"GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_60H_UP",0.0154013356423547,56,1.71917176445031,0.000104898760974859,0.0212944484778963,145887,30,74,1.15602239210257,0.191713930678919,0.926617331614775
"GSE25088_ROSIGLITAZONE_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_DAY10_DN",0.0161521881700325,58,1.69779893349549,0.000110097047965052,0.0214557127074293,146811,35,86,1.1605030990487,0.161850411756174,0.908348135007318
"GSE20727_DNFB_ALLERGEN_VS_ROS_INH_AND_DNFB_ALLERGEN_TREATED_DC_DN",0.0170182054221915,60,1.66696744001272,0.000136516872458303,0.0248977251460101,88436,37,83,1.2711603652919,0.0452975140053156,0.871496459135968
"GSE34156_UNTREATED_VS_6H_TLR1_TLR2_LIGAND_TREATED_MONOCYTE_DN",0.014143785171884,52,1.73831036863809,0.000139749939752631,0.0248977251460101,73957,34,73,1.328106090653,0.0273787028178134,0.834179770632272
"GSE19772_HCMV_INFL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_UP",0.0185239372161653,64,1.63356455640094,0.000144170536464872,0.0248977251460101,96117,46,91,1.44142865300994,0.00163243387418999,0.638739283071796
"GSE27786_CD8_TCELL_VS_ERYTHROBLAST_UP",0.0134667561855403,50,1.75548302893595,0.000148200744916727,0.0248977251460101,114405,32,82,1.11278903434914,0.259560426529384,0.930610887073696
"GSE42021_CD24HI_VS_CD24INT_TREG_THYMUS_UP",0.0171572621291407,60,1.65345695092332,0.000168115183058593,0.0253577238598696,104164,34,86,1.12734586764731,0.222541934972683,0.930610887073696
"GSE41867_DAY8_EFFECTOR_VS_DAY30_EXHAUSTED_CD8_TCELL_LCMV_CLONE13_DN",0.023899499046871,78,1.54310483879962,0.000169711524518612,0.0253577238598696,111702,45,92,1.39476614699332,0.00413795433576081,0.672003784127555
"GSE3982_NEUTROPHIL_VS_TH2_DN",0.0121380666661477,46,1.79183469506798,0.000171401893747758,0.0253577238598696,102180,35,70,1.42576095025984,0.00699661353198033,0.718769788848058
"GSE2770_UNTREATED_VS_IL12_TREATED_ACT_CD4_TCELL_6H_UP",0.0131983069443255,49,1.75536519930114,0.000171757981809462,0.0253577238598696,125195,26,73,1.01561053991112,0.505024790941493,0.956907407256811
"GSE37533_UNTREATED_VS_PIOGLIZATONE_TREATED_CD4_TCELL_PPARG2_AND_FOXP3_TRASDUCED_DN",0.0139490252473827,51,1.72868532027566,0.000182986924460504,0.0261064317919978,171989,28,66,1.20973656385683,0.130213659548467,0.908348135007318
"GSE26343_WT_VS_NFAT5_KO_MACROPHAGE_LPS_STIM_UP",0.0206151568052285,69,1.58253045482065,0.000197917528417912,0.0261064317919978,117893,43,98,1.25117797675863,0.0431124726959486,0.871496459135968
"GSE14415_ACT_VS_CTRL_NATURAL_TREG_UP",0.00945666142027366,38,1.89992030747423,0.000201127086750796,0.0261064317919978,141385,26,64,1.15843077208612,0.209496118821929,0.930610887073696
"GSE360_T_GONDII_VS_M_TUBERCULOSIS_MAC_UP",0.0206348878244578,69,1.58101724384026,0.000203172674797636,0.0261064317919978,89525,42,99,1.20973656385683,0.0765849718789959,0.908348135007318
"GSE43863_NAIVE_VS_LY6C_INT_CXCR5POS_CD4_EFF_TCELL_D6_LCMV_UP",0.0172875942357505,60,1.64099144967059,0.000203621594436765,0.0261064317919978,128175,37,71,1.48600437069335,0.00227873713935178,0.638739283071796
"GSE21033_CTRL_VS_POLYIC_STIM_DC_6H_UP",0.0195545138531889,66,1.59582968889694,0.00021553435741839,0.0267091278181337,173143,36,85,1.20770339316127,0.0977537954006968,0.908348135007318
"GSE33162_UNTREATED_VS_4H_LPS_STIM_HDAC3_HET_MACROPHAGE_UP",0.0222139062612833,73,1.55377293954,0.000222160857539677,0.0267091278181337,153871,43,101,1.21401427447867,0.0699876300028183,0.900082319283645
"GSE20366_EX_VIVO_VS_HOMEOSTATIC_CONVERSION_TREG_UP",0.0188543982321007,64,1.60493307231649,0.000229665289244174,0.0267091278181337,137340,32,80,1.14060876020787,0.207509155156137,0.930610887073696
"GSE40274_IRF4_VS_FOXP3_AND_IRF4_TRANSDUCED_ACTIVATED_CD4_TCELL_UP",0.0170037091631659,59,1.64058211180769,0.000230251101880463,0.0267091278181337,169219,23,62,1.05782264051536,0.414997757722169,0.945497813097933
